Time,Open,High,Low,Last,Change,%Chg,Volume
01/13/2023,340.25,342.53,335.5,338.87,-5.67,-1.65%,1001952
01/12/2023,344.17,346.44,337.37,344.54,1.61,+0.47%,2121800
01/11/2023,337.39,343.19,333.47,342.93,4.23,+1.25%,2344400
01/10/2023,337.65,344.63,336.8,338.7,-3.28,-0.96%,1670200
01/09/2023,338.9,349.455,338.42,341.98,9.23,+2.77%,3133800
01/06/2023,332.28,334.88,322.44,332.75,4.31,+1.31%,2216500
01/05/2023,337.53,337.55,328.16,328.44,-12.97,-3.80%,2081600
01/04/2023,342.89,345.6292,336.73,341.41,4.49,+1.33%,2186800
01/03/2023,340.16,345.82,331.92,336.92,0.39,+0.12%,2229100
12/30/2022,333,336.64,331.64,336.53,-1.05,-0.31%,1740800
12/29/2022,330.75,339.5,329.7604,337.58,9.25,+2.82%,1793000
12/28/2022,335.06,338.5,327.19,328.33,-6.76,-2.02%,1672000
12/27/2022,338,338.16,332.46,335.09,-3.36,-0.99%,1464300
12/23/2022,335,338.92,333.285,338.45,1.93,+0.57%,1629700
12/22/2022,336.01,339.88,330.94,336.52,-4.86,-1.42%,2320000
12/21/2022,340.29,345.29,336.44,341.38,3.16,+0.93%,2582900
12/20/2022,327,342.5,325.52,338.22,9.46,+2.88%,3873600
12/19/2022,338,340.7436,326.3,328.76,-9.78,-2.89%,4086200
12/16/2022,345,354.4699,337.24,338.54,9.83,+2.99%,11940700
12/15/2022,332.76,334.5,324.59,328.71,-11.21,-3.30%,5498700
12/14/2022,343.89,345.9499,335,339.92,-2.54,-0.74%,3236400
12/13/2022,353.63,355.67,338.79,342.46,4.29,+1.27%,3428000
12/12/2022,334.76,338.27,332.65,338.17,7.53,+2.28%,2914600
12/09/2022,331.5,334.69,328.5,330.64,-1.94,-0.58%,1969100
12/08/2022,325.71,336.2005,324.345,332.58,5.9,+1.81%,2065800
12/07/2022,327.53,331,325.49,326.68,-4.47,-1.35%,2055900
12/06/2022,334.09,334.22,327.395,331.15,-2.94,-0.88%,2182400
12/05/2022,337.8,340.51,330.83,334.09,-7.44,-2.18%,2542300
12/02/2022,337.2,343.5276,334.2225,341.53,-2.58,-0.75%,2741900
12/01/2022,348.03,350.67,341.5,344.11,-0.82,-0.24%,3365200
11/30/2022,327.12,345.03,326.38,344.93,18.15,+5.55%,4979700
11/29/2022,326.69,329.7,323.6749,326.78,-2.19,-0.67%,2392600
11/28/2022,335.83,338.19,328.065,328.97,-5.33,-1.59%,2315300
11/25/2022,332.89,335.51,332.01,334.3,-1.48,-0.44%,1197700
11/23/2022,329.93,338.5,327.59,335.78,4.9,+1.48%,2240700
11/22/2022,322.49,331.54,320.2,330.88,9.39,+2.92%,2573800
11/21/2022,329.53,330.25,320.6,321.49,-9.37,-2.83%,3219800
11/18/2022,344.3,344.7,329.1383,330.86,-6.97,-2.06%,3421700
11/17/2022,331.74,339.8699,329.35,337.83,-0.58,-0.17%,2741300
11/16/2022,345,345.015,336.72,338.41,-7.55,-2.18%,2123100
11/15/2022,348.41,350.9699,342.56,345.96,5.59,+1.64%,2948500
11/14/2022,338.07,345.11,334.425,340.37,-0.78,-0.23%,3449900
11/11/2022,330.34,342.31,329.49,341.15,11.2,+3.39%,4110000
11/10/2022,318.55,330.37,317.87,329.95,31.08,+10.40%,5502900
11/09/2022,299.65,303.29,297.35,298.87,-3.3,-1.09%,2778100
11/08/2022,301.15,309.9,297.77,302.17,2.63,+0.88%,4230600
11/07/2022,288.97,300.355,287.57,299.54,13.79,+4.83%,3980600
11/04/2022,290.38,291.01,278.23,285.75,-0.18,-0.06%,5738200
11/03/2022,297.07,299.61,285.37,285.93,-15.29,-5.08%,4897000
11/02/2022,318.84,318.84,301.09,301.22,-14.8,-4.68%,3481100
11/01/2022,321.01,322.84,312.785,316.02,-2.48,-0.78%,2467600
10/31/2022,323.49,325.58,317.42,318.5,-7.18,-2.20%,3253200
10/28/2022,318.67,327.05,318.67,325.68,7.03,+2.21%,3008300
10/27/2022,322.96,323.85,316.87,318.65,-1.83,-0.57%,2870200
10/26/2022,318.16,330.5849,316.54,320.48,-3.31,-1.02%,4209800
10/25/2022,319.12,324.23,316.74,323.79,7.57,+2.39%,3814500
10/24/2022,308.43,317.329,306.2,316.22,9.85,+3.22%,4817400
10/21/2022,300.99,307.43,298.23,306.37,3.99,+1.32%,3659300
10/20/2022,301.03,309.19,299.34,302.38,2.55,+0.85%,3621500
10/19/2022,295.4,303.71,292.7,299.83,6.85,+2.34%,5529000
10/18/2022,302.68,303.49,286.81,292.98,-0.52,-0.18%,5472000
10/17/2022,297.45,297.96,291.4,293.5,5.56,+1.93%,4600500
10/14/2022,295.12,297.59,287.45,287.94,-6.8,-2.31%,3564000
10/13/2022,279.71,298.17,276.595,294.74,8.59,+3.00%,4737100
10/12/2022,284.69,289.79,283.09,286.15,1.32,+0.46%,3044100
10/11/2022,285.69,288.28,281.44,284.83,-0.89,-0.31%,3209800
10/10/2022,289.75,290.28,283.05,285.72,-3.05,-1.06%,2906300
10/07/2022,291.36,293.705,286.83,288.77,-9.64,-3.23%,3495900
10/06/2022,297.15,305.5,297.1045,298.41,1.03,+0.35%,4884000
10/05/2022,291.41,298.8087,289.175,297.38,2.41,+0.82%,3469500
10/04/2022,290.95,296.79,290.18,294.97,9.73,+3.41%,4509200
10/03/2022,278.27,286.9,277,285.24,10.04,+3.65%,3738100
09/30/2022,279.69,284.29,274.85,275.2,-3.05,-1.10%,4578700
09/29/2022,277.8,279.59,275.01,278.25,-3.15,-1.12%,5155200
09/28/2022,280.38,282.74,275.37,281.4,3.83,+1.38%,4985000
09/27/2022,281.7,284.5,274.73,277.57,0.61,+0.22%,6390900
09/26/2022,286.03,288.9,276.75,276.96,-7.6,-2.67%,6746100
09/23/2022,285.57,288.5537,280.7,284.56,-2.5,-0.87%,4739300
09/22/2022,282,289.55,280.06,287.06,0.76,+0.27%,5657500
09/21/2022,292.84,297.94,286.22,286.3,-4.76,-1.64%,4913100
09/20/2022,292.82,294.08,287.8088,291.06,-5,-1.69%,6548800
09/19/2022,294.88,299.28,293.4642,296.06,-3.44,-1.15%,6593400
09/16/2022,298.32,300.2,292.14,299.5,-9.63,-3.12%,14948000
09/15/2022,323.15,329,305,309.13,-62.39,-16.79%,27840200
09/14/2022,369.57,374.24,365.61,371.52,3.13,+0.85%,3004300
09/13/2022,382.55,383.575,367.37,368.39,-27.97,-7.06%,4175100
09/12/2022,391.09,396.39,389.28,396.36,1.58,+0.40%,2854800
09/09/2022,390.19,396.09,389.665,394.78,11.15,+2.91%,3000400
09/08/2022,377.2,386.66,375.2001,383.63,3.91,+1.03%,2276700
09/07/2022,368.2,381.52,367.19,379.72,11.42,+3.10%,2385500
09/06/2022,367.23,374.3,365.37,368.3,0.16,+0.04%,2564400
09/02/2022,374.53,382,365.43,368.14,-2.39,-0.65%,2450500
09/01/2022,371,371.64,361.7205,370.53,-2.91,-0.78%,2574300
08/31/2022,378.53,381.145,372.5,373.44,-1.63,-0.43%,3193800
08/30/2022,379.92,380.66,371.06,375.07,-0.19,-0.05%,1835000
08/29/2022,380.09,382.86,374.82,375.26,-5.76,-1.51%,2410300
08/26/2022,403.99,405.54,380.5,381.02,-22.91,-5.67%,3600100
08/25/2022,405.79,406.67,392.915,403.93,-1.72,-0.42%,3062400
08/24/2022,410.68,413.24,405.33,405.65,-4.76,-1.16%,1883900
08/23/2022,410.37,415.7,409.2,410.41,-0.94,-0.23%,1392200
08/22/2022,419.41,419.79,410.08,411.35,-13.705,-3.22%,2074500
08/19/2022,431.58,432.5,424.62,425.055,-13.975,-3.18%,2007700
08/18/2022,438.61,441.39,437.0101,439.03,1.21,+0.28%,1402300
08/17/2022,440.87,442.99,436.1138,437.82,-9.74,-2.18%,1894300
08/16/2022,446.12,450.09,440.1,447.56,-3.46,-0.77%,2139400
08/15/2022,445.07,451.15,442.14,451.02,5.35,+1.20%,2503300
08/12/2022,439.61,446,436.58,445.67,10.78,+2.48%,2150800
08/11/2022,445.26,445.61,434.4,434.89,-3.51,-0.80%,1756700
08/10/2022,441.42,443.22,436.2,438.4,11.83,+2.77%,2634600
08/09/2022,434.34,434.59,424.615,426.57,-7.77,-1.79%,1977200
08/08/2022,435,440.3,432.48,434.34,0.91,+0.21%,2202300
08/05/2022,423,434.5425,421,433.43,2.84,+0.66%,2481300
08/04/2022,425.45,431.15,419.6303,430.59,6.05,+1.43%,2745600
08/03/2022,412.81,426.04,412.02,424.54,14.58,+3.56%,2403400
08/02/2022,405.34,412.42,402.245,409.96,-1.13,-0.27%,2165400
08/01/2022,406.51,417.16,405.07,411.09,0.97,+0.24%,1910000
07/29/2022,404.69,411.38,400.89,410.12,6.62,+1.64%,2670000
07/28/2022,392.76,406.15,390.06,403.5,10.72,+2.73%,2421700
07/27/2022,385.08,394.91,383.405,392.78,13.52,+3.56%,2669600
07/26/2022,393.58,393.58,378.16,379.26,-12.7,-3.24%,2368500
07/25/2022,400.11,400.7688,388.57,391.96,-9.94,-2.47%,2340400
07/22/2022,410.03,414.62,398.631,401.9,-7.01,-1.71%,2413200
07/21/2022,404.12,409.65,399.2401,408.91,7.42,+1.85%,2009900
07/20/2022,392.19,403.13,390.07,401.49,13.66,+3.52%,2746700
07/19/2022,382.89,388.32,378,387.83,12.6,+3.36%,1977600
07/18/2022,383.83,385.565,374.01,375.23,-4.63,-1.22%,1866600
07/15/2022,377.79,384.47,376.86,379.86,6.9,+1.85%,2488200
07/14/2022,368.83,374.194,361.46,372.96,1.02,+0.27%,2098300
07/13/2022,368.2,374.41,364.7,371.94,-3.6,-0.96%,1993900
07/12/2022,383.9,391.515,372.91,375.54,-8.62,-2.24%,2639600
07/11/2022,386.57,388.05,380.4569,384.16,-5.28,-1.36%,1835800
07/08/2022,384.35,391.86,383.84,389.44,-1.45,-0.37%,1611200
07/07/2022,382.5,392.07,382.38,390.89,8.06,+2.11%,2368500
07/06/2022,378.54,385.385,374.09,382.83,6.34,+1.68%,2284500
07/05/2022,363.5,378.52,359.82,376.49,8.01,+2.17%,3121500
07/01/2022,364.17,369.529,359.07,368.48,2.42,+0.66%,2471700
06/30/2022,362.9,370.42,357.56,366.06,-2.44,-0.66%,2595500
06/29/2022,367.94,370.37,362.64,368.5,2.87,+0.78%,2027900
06/28/2022,381,382.98,364.45,365.63,-15.44,-4.05%,2660000
06/27/2022,388.8,389.385,379.38,381.07,-6.65,-1.72%,2244600
06/24/2022,380.64,388.06,378.22,387.72,11.08,+2.94%,3305300
06/23/2022,371.71,378.18,367.47,376.64,11.31,+3.10%,2534300
06/22/2022,360.79,372.55,358.2228,365.33,2.34,+0.64%,3168100
06/21/2022,355.02,372.795,353.51,362.99,2.2,+0.61%,5343400
06/17/2022,349.24,367.32,338,360.79,-4.29,-1.18%,9475000
06/16/2022,369.37,376.12,360.9,365.08,-11.84,-3.14%,5775200
06/15/2022,376.03,382.75,368.5,376.92,6.1,+1.65%,3664400
06/14/2022,371.44,376.89,367.31,370.82,-0.83,-0.22%,3197200
06/13/2022,377.36,385.65,371.085,371.65,-22.19,-5.63%,4724700
06/10/2022,412.9,413.96,390.185,393.84,-32.58,-7.64%,4407500
06/09/2022,424.17,436.04,423.48,426.42,-2.42,-0.56%,2572400
06/08/2022,430.54,433.75,426.42,428.84,-4.58,-1.06%,1790100
06/07/2022,423.98,435.2,423.12,433.42,3.96,+0.92%,1611100
06/06/2022,437.59,440,427.0361,429.46,-0.3,-0.07%,1563900
06/03/2022,430.71,438.01,427.255,429.76,-11.52,-2.61%,2355500
06/02/2022,418.11,441.9,415.84,441.28,23.12,+5.53%,3415600
06/01/2022,428,437.549,413.785,418.16,1.68,+0.40%,3409800
05/31/2022,427.22,427.29,412.79,416.48,-11.74,-2.74%,7944100
05/27/2022,414.8,428.55,414.63,428.22,19.62,+4.80%,3560300
05/26/2022,405.09,411.55,402.46,408.6,6.1,+1.52%,2419400
05/25/2022,395.32,406.095,394.71,402.5,4.09,+1.03%,2726700
05/24/2022,401.61,404.33,391.0375,398.41,-8.35,-2.05%,2630700
05/23/2022,404.01,407.88,398.89,406.76,7.67,+1.92%,2337500
05/20/2022,401.39,406.24,385.621,399.09,4.71,+1.19%,3432300
05/19/2022,399.01,403.035,391.565,394.38,-3.5,-0.88%,2797400
05/18/2022,404.38,411.6599,396.11,397.88,-11.77,-2.87%,2915900
05/17/2022,413.08,416.72,403.54,409.65,6.79,+1.69%,2614600
05/16/2022,399.74,407.17,396.6,402.86,-2.59,-0.64%,2645100
05/13/2022,396.47,408.97,393.94,405.45,16.96,+4.37%,3379400
05/12/2022,373.4,390.13,370.27,388.49,9.16,+2.41%,4048100
05/11/2022,389.99,409.9899,377.81,379.33,-13.7,-3.49%,3821900
05/10/2022,385.72,400.83,374.78,393.03,16.12,+4.28%,5334300
05/09/2022,381.95,389.6271,374.86,376.91,-14.1,-3.61%,4324800
05/06/2022,395,401.26,382.82,391.01,-9.5,-2.37%,3522400
05/05/2022,415.55,417.99,395.71,400.51,-22.84,-5.40%,3507700
05/04/2022,407.29,424.23,395.05,423.35,15.77,+3.87%,3330400
05/03/2022,406.59,413.93,403.5,407.58,0.29,+0.07%,2196200
05/02/2022,397.13,407.98,394.04,407.29,11.34,+2.86%,3009900
04/29/2022,407.47,413,394.64,395.95,-14.58,-3.55%,3033200
04/28/2022,406.13,414.2749,398.49,410.53,12.63,+3.17%,2593800
04/27/2022,401.44,412.46,396.81,397.9,-1.22,-0.31%,3080600
04/26/2022,410.17,411.61,397.465,399.12,-14.83,-3.58%,2820000
04/25/2022,405.7,414.08,401.67,413.95,5.28,+1.29%,3368800
04/22/2022,420.71,424.33,408.02,408.67,-8.81,-2.11%,3198800
04/21/2022,432.69,438.94,416.3625,417.48,-10.63,-2.48%,2390100
04/20/2022,440.59,442.44,427.2,428.11,-8.29,-1.90%,2094400
04/19/2022,422.02,437.49,420.64,436.4,10.93,+2.57%,1962600
04/18/2022,419.4,429.69,418.73,425.47,5.03,+1.20%,2594600
04/14/2022,435.86,435.95,420.03,420.44,-11.23,-2.60%,2597000
04/13/2022,427.3,433.52,425.67,431.67,4.9,+1.15%,3078900
04/12/2022,442.68,444.44,425.16,426.77,-7.67,-1.77%,2199000
04/11/2022,438.81,440,429.74,434.44,-10.9,-2.45%,2932000
04/08/2022,449.95,454.41,443.37,445.34,-7.38,-1.63%,2260600
04/07/2022,444.09,455.9199,440.76,452.72,8.39,+1.89%,2757700
04/06/2022,448.23,450.01,439.57,444.33,-14.25,-3.11%,3824900
04/05/2022,469.32,471.76,455.07,458.58,-10.23,-2.18%,2481900
04/04/2022,461.04,473.49,460.61,468.81,10.62,+2.32%,2975000
04/01/2022,455,461.55,450.96,458.19,2.57,+0.56%,2718400
03/31/2022,461.59,465.43,455.43,455.62,-4.44,-0.97%,4141200
03/30/2022,461.52,466.765,456.84,460.06,-6.27,-1.34%,3889200
03/29/2022,459.16,467.8,452.44,466.33,16.32,+3.63%,4323700
