Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/14/2023,72.86,72.8761,71.665,71.78,-1.15,-1.58%,930700,0
02/13/2023,72.79,73.17,72.56,72.93,0.25,+0.34%,853400,0
02/10/2023,71.68,73.03,71.57,72.68,0.88,+1.23%,768600,0
02/09/2023,73.5,73.72,71.691,71.8,-1.5,-2.05%,945101,0
02/08/2023,73.7,73.96,73.065,73.3,-0.41,-0.56%,1051300,0
02/07/2023,73.67,74.16,73.15,73.71,-0.5,-0.67%,920200,0
02/06/2023,73.85,74.33,73.14,74.21,0.14,+0.19%,1161400,0
02/03/2023,74.5,74.5,72.81,74.07,-0.64,-0.86%,18277600,0
02/02/2023,74.38,75.71,74.06,74.71,0.33,+0.44%,1625800,0
02/01/2023,74.38,74.96,73.125,74.38,-0.25,-0.33%,1297000,0
01/31/2023,72.19,74.83,71.34,74.63,0.48,+0.65%,2249700,0
01/30/2023,73.82,74.68,73.63,74.15,-0.12,-0.16%,531601,0
01/27/2023,74.3,74.7,74.1,74.27,-0.09,-0.12%,509501,0
01/26/2023,74.2,74.47,73.58,74.36,0.35,+0.47%,380200,0
01/25/2023,73.76,74.32,73.3101,74.01,0.24,+0.33%,487100,0
01/24/2023,73.42,74.2902,73.42,73.77,-0.56,-0.75%,450800,0
01/23/2023,74.61,74.98,73.8911,74.33,0.02,+0.03%,565600,0
01/20/2023,74.34,74.4,73.32,74.31,0.18,+0.24%,394600,0
01/19/2023,73.88,74.58,73.43,74.13,0.39,+0.53%,586300,0
01/18/2023,74.86,75.09,73.08,73.74,-1.12,-1.50%,557700,0
01/17/2023,75.1,75.585,74.81,74.86,0.04,+0.05%,1654300,0
01/13/2023,74.63,75.08,74.31,74.82,-0.31,-0.41%,427100,0
01/12/2023,74.16,75.17,73.67,75.13,1.46,+1.98%,611500,0
01/11/2023,71.74,73.8525,71.61,73.67,2.31,+3.24%,751400,0
01/10/2023,71.91,72.1907,71.035,71.36,-0.76,-1.05%,484400,0
01/09/2023,70.73,72.37,70.31,72.12,1.34,+1.89%,1100700,0
01/06/2023,69.17,70.79,69.17,70.78,1.74,+2.52%,545000,0
01/05/2023,70.45,70.515,68.78,69.04,-1.61,-2.28%,662200,0
01/04/2023,70.79,72.02,70.39,70.65,0.07,+0.10%,664300,0
