Time,Open,High,Low,Last,Change,%Chg,Volume
01/13/2023,167.5,169.43,166.42,168.72,0.05,+0.03%,557761
01/12/2023,170.02,170.64,167.1601,168.67,-1.12,-0.66%,2478100
01/11/2023,167.72,170.13,167.31,169.79,0.57,+0.34%,3068900
01/10/2023,166.5,169.75,166.5,169.22,2.12,+1.27%,2351900
01/09/2023,167.39,169.91,165.68,167.1,1.58,+0.95%,3734100
01/06/2023,161.76,166.75,159.93,165.52,5.83,+3.65%,3483400
01/05/2023,164.47,165.625,159.58,159.69,-6.22,-3.75%,4750200
01/04/2023,165.38,167.59,163.76,165.91,3.46,+2.13%,3477900
01/03/2023,165.57,166.2,161.44,162.45,-1.58,-0.96%,4475700
12/30/2022,162.36,164.16,160.76,164.03,0.05,+0.03%,1619400
12/29/2022,162.58,164.78,161.5,163.98,3.7,+2.31%,2148900
12/28/2022,161.5,163.57,160.06,160.28,-1.92,-1.18%,1500000
12/27/2022,163.57,163.7,161.15,162.2,-1.64,-1.00%,1932000
12/23/2022,162.7,164.116,161.25,163.84,0.09,+0.05%,1498200
12/22/2022,164.83,164.83,161.06,163.75,-3.66,-2.19%,2972000
12/21/2022,165.38,167.84,165.22,167.41,3.08,+1.87%,2181300
12/20/2022,163.72,165.809,163.56,164.33,-0.81,-0.49%,2102300
12/19/2022,167.44,167.49,163.75,165.14,-1.68,-1.01%,2621800
12/16/2022,165.28,167.25,164.07,166.82,0.73,+0.44%,7411800
12/15/2022,169.22,169.77,165.49,166.09,-5.59,-3.26%,3984900
12/14/2022,175.87,176.8505,170.11,171.68,-3.81,-2.17%,3202400
12/13/2022,178.01,179.95,173.68,175.49,3.23,+1.88%,4778000
12/12/2022,169.17,172.34,167.74,172.26,3.58,+2.12%,2966800
12/09/2022,168.47,170.36,167.9,168.68,-0.97,-0.57%,2514900
12/08/2022,167.07,169.8,165.92,169.65,3.64,+2.19%,2836300
12/07/2022,166.29,168.48,165.01,166.01,-0.5,-0.30%,1881600
12/06/2022,167.75,168.45,165.3,166.51,-1.33,-0.79%,3572200
12/05/2022,167.86,168.9,166.78,167.84,-0.79,-0.47%,2615700
12/02/2022,167.2,168.79,165.24,168.63,-2.85,-1.66%,3055200
12/01/2022,173.21,173.21,169.7618,171.48,-0.43,-0.25%,3222100
11/30/2022,164.55,172.19,162.695,171.91,8.02,+4.89%,5396300
11/29/2022,164.76,165.005,162.41,163.89,-0.12,-0.07%,2685700
11/28/2022,164.89,167.3,162.5367,164.01,-3.08,-1.84%,3910800
11/25/2022,169.04,169.5,166.98,167.09,-2.11,-1.25%,1698600
11/23/2022,169.35,173.3,167.7,169.2,0.77,+0.46%,3851800
11/22/2022,165.18,168.8493,162.71,168.43,9.19,+5.77%,5740000
11/21/2022,161.16,162.01,159.15,159.24,-2.61,-1.61%,6276200
11/18/2022,163.56,163.88,160.97,161.85,0.38,+0.24%,4016600
11/17/2022,158.45,161.69,158.09,161.47,0.2,+0.12%,2836100
11/16/2022,161.89,162.11,160.23,161.27,-3.9,-2.36%,3858900
11/15/2022,167.46,167.86,162.56,165.17,3.91,+2.42%,4158100
11/14/2022,163.12,166.81,160.85,161.26,-2.8,-1.71%,4269600
11/11/2022,159.4,164.89,159.31,164.06,3.69,+2.30%,3211400
11/10/2022,155.91,160.76,154.5,160.37,12.14,+8.19%,5617300
11/09/2022,149.14,150.835,147.59,148.23,-2.81,-1.86%,3696200
11/08/2022,151.14,155.6,150.025,151.04,2.11,+1.42%,4968200
11/07/2022,145.81,149.19,143.88,148.93,4.64,+3.22%,3981500
11/04/2022,142.32,145.4,141.11,144.29,6.27,+4.54%,5004300
11/03/2022,139.4,141.01,137.79,138.02,-3.22,-2.28%,3706400
11/02/2022,145.44,147.81,141.02,141.24,-3.46,-2.39%,3327600
11/01/2022,145.11,145.91,143.32,144.7,2.08,+1.46%,2322700
10/31/2022,143.81,143.8832,140.605,142.62,-2.26,-1.56%,3078300
10/28/2022,141.5,145.99,141.15,144.88,4.2,+2.99%,3482000
10/27/2022,142.49,143.35,140.04,140.68,-0.7,-0.50%,4666500
10/26/2022,142.77,145.65,140.54,141.38,-4.99,-3.41%,6726500
10/25/2022,145.06,147.51,144.41,146.37,1.84,+1.27%,3644700
10/24/2022,144.98,146.88,142.38,144.53,-2.06,-1.41%,3334500
10/21/2022,141.93,147.42,140.95,146.59,4.51,+3.17%,3612300
10/20/2022,142.44,146.75,141.25,142.08,0.75,+0.53%,3341000
10/19/2022,140.76,142.97,139.26,141.33,0.23,+0.16%,2465400
10/18/2022,144.64,145.21,139.34,141.1,1.98,+1.42%,3280400
10/17/2022,140.05,141.28,137.75,139.12,2.39,+1.75%,5039700
10/14/2022,144.62,144.95,136.5,136.73,-6.02,-4.22%,4970400
10/13/2022,134.7,143.94,133.48,142.75,4.16,+3.00%,5040500
10/12/2022,139.03,140.335,138.4,138.59,-0.21,-0.15%,2541000
10/11/2022,139.66,141.07,136.9604,138.8,-2.1,-1.49%,4735400
10/10/2022,145.14,145.48,138.91,140.9,-4.02,-2.77%,3828700
10/07/2022,147.67,148.63,144.13,144.92,-6.05,-4.01%,4351200
10/06/2022,151.33,153.62,150.72,150.97,-0.92,-0.61%,2286400
10/05/2022,149.1,152.96,148.84,151.89,1.04,+0.69%,3052000
10/04/2022,148.25,151.7493,148.01,150.85,5.72,+3.94%,4181900
10/03/2022,141.28,146.61,139.845,145.13,5.79,+4.16%,4708400
09/30/2022,140.86,142.63,139.24,139.34,-2.65,-1.87%,3525900
09/29/2022,142.9,142.9,139.92,141.99,-2.59,-1.79%,3453500
09/28/2022,140.85,145.35,139.92,144.58,2.77,+1.95%,3307000
09/27/2022,142.69,143.93,139.87,141.81,0.99,+0.70%,2964200
09/26/2022,142.67,143.74,140.62,140.82,-1.1,-0.78%,4502400
09/23/2022,143.81,144.375,140.09,141.92,-3.42,-2.35%,4839300
09/22/2022,147.99,148.33,144.2,145.34,-3.1,-2.09%,3355600
09/21/2022,149.96,154,148.34,148.44,-1.34,-0.89%,3315500
09/20/2022,148.7,150.51,148.26,149.78,0.17,+0.11%,2574300
09/19/2022,148.07,150.39,147.87,149.61,0.3,+0.20%,2398100
09/16/2022,146.73,149.48,145.17,149.31,1.44,+0.97%,4592400
09/15/2022,149.7,150.759,146.99,147.87,-2.38,-1.58%,3142500
09/14/2022,149.52,151.29,147.99,150.25,2,+1.35%,2272900
09/13/2022,151,152.2,147.8,148.25,-7.4,-4.75%,4202100
