Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/22/2023,8.03,8.11,7.955,8,-0.03,-0.37%,1789100,0
02/21/2023,8.28,8.3,8.004,8.03,-0.34,-4.06%,3709200,0
02/17/2023,8.25,8.425,8.205,8.37,0.12,+1.45%,1891500,0
02/16/2023,8.3,8.3659,8.2399,8.25,-0.11,-1.32%,1562100,0
02/15/2023,8.2,8.37,8.2,8.36,0.06,+0.72%,1554000,0
02/14/2023,8.35,8.41,8.245,8.3,-0.04,-0.48%,1668900,0
02/13/2023,8.32,8.4,8.3,8.34,0.03,+0.36%,1733500,0
02/10/2023,8.27,8.35,8.215,8.31,0.04,+0.48%,1734900,0
02/09/2023,8.47,8.51,8.26,8.27,-0.13,-1.55%,1729600,0
02/08/2023,8.5,8.52,8.34,8.4,-0.16,-1.87%,1446800,0
02/07/2023,8.45,8.61,8.345,8.56,0.14,+1.66%,2322400,0
02/06/2023,8.41,8.48,8.3,8.42,-0.06,-0.71%,4048800,0
02/03/2023,8.74,8.78,8.475,8.48,-0.38,-4.29%,2594400,0
02/02/2023,8.88,8.92,8.78,8.86,0.07,+0.80%,2389100,0
02/01/2023,8.75,8.83,8.58,8.79,0,0.00%,1938400,0
01/31/2023,8.61,8.8,8.59,8.79,0.18,+2.09%,2479600,0
01/30/2023,8.51,8.67,8.49,8.61,0.01,+0.12%,1590600,0
01/27/2023,8.54,8.68,8.5,8.6,0.02,+0.23%,1680600,0
01/26/2023,8.51,8.69,8.475,8.58,0.06,+0.70%,2151900,0
01/25/2023,8.58,8.61,8.42,8.52,-0.16,-1.84%,2863600,0
01/24/2023,8.65,8.86,8.52,8.68,0.03,+0.35%,2535800,0
01/23/2023,8.75,8.855,8.62,8.65,-0.13,-1.48%,2422300,0
01/20/2023,8.72,8.82,8.565,8.78,0.05,+0.57%,3590000,0
01/19/2023,9.21,9.21,8.72,8.73,-0.59,-6.33%,2824800,0
01/18/2023,9.6,9.645,9.275,9.32,-0.21,-2.20%,2210300,0
01/17/2023,9.78,9.795,9.5,9.53,-0.26,-2.66%,3360400,0
01/13/2023,9.64,9.84,9.6,9.79,0.06,+0.62%,2823000,0
01/12/2023,9.73,9.75,9.515,9.73,0.01,+0.10%,2471600,0
