Time,Open,High,Low,Last,Change,%Chg,Volume
01/13/2023,14.64,14.71,14.54,14.63,-0.03,-0.20%,60611
01/12/2023,15.03,15.07,14.26,14.66,-0.47,-3.11%,366100
01/11/2023,15.41,15.58,15.1,15.13,-0.26,-1.69%,531000
01/10/2023,14.8,15.49,14.7001,15.39,0.57,+3.85%,611000
01/09/2023,14.42,15.15,14.42,14.82,0.43,+2.99%,454600
01/06/2023,14.31,14.65,14.01,14.39,0.16,+1.12%,326800
01/05/2023,15.21,15.34,13.69,14.23,-1.18,-7.66%,1294300
01/04/2023,16.26,16.4,15.15,15.41,-0.78,-4.82%,620200
01/03/2023,15.88,16.73,15.65,16.19,0.57,+3.65%,493000
12/30/2022,16.07,16.25,15.58,15.62,-0.46,-2.86%,306100
12/29/2022,15.45,16.16,15.45,16.08,0.71,+4.62%,510800
12/28/2022,15.48,15.61,15.14,15.37,-0.12,-0.77%,187900
12/27/2022,15.46,15.74,15.07,15.49,0.02,+0.13%,258300
12/23/2022,15.38,15.67,15.06,15.47,0.12,+0.78%,175000
12/22/2022,15.57,15.57,15.08,15.35,-0.27,-1.73%,288100
12/21/2022,15.53,15.64,15.28,15.62,0.05,+0.32%,298300
12/20/2022,15.59,15.9699,15.495,15.57,-0.05,-0.32%,792600
12/19/2022,14.21,15.79,13.74,15.62,1.34,+9.38%,887200
12/16/2022,14.25,14.43,14.01,14.28,-0.09,-0.63%,367100
12/15/2022,14.92,14.9553,13.824,14.37,-0.7,-4.64%,614800
12/14/2022,14.83,15.1399,14.63,15.07,0.28,+1.89%,402200
12/13/2022,15.09,15.1,14.61,14.79,0.04,+0.27%,248800
12/12/2022,15.09,15.09,14.68,14.75,-0.29,-1.93%,377400
12/09/2022,15.24,15.39,15,15.04,-0.21,-1.38%,251100
12/08/2022,15.3,15.51,15.18,15.25,0.11,+0.73%,175900
12/07/2022,15.14,15.5,15.13,15.14,-0.03,-0.20%,165000
12/06/2022,14.67,15.22,14.44,15.17,0.57,+3.90%,304900
12/05/2022,15.47,15.56,14.55,14.6,-0.9,-5.81%,318300
12/02/2022,15.3,16.09,15.21,15.5,0.07,+0.45%,324400
12/01/2022,15.12,15.53,14.6,15.43,0.41,+2.73%,822600
11/30/2022,14.68,15.02,14.58,15.02,0.42,+2.88%,183300
11/29/2022,14.69,14.835,14.55,14.6,0.02,+0.14%,98800
11/28/2022,14.71,14.91,14.56,14.58,-0.13,-0.88%,215200
11/25/2022,15.17,15.2308,14.52,14.71,-0.63,-4.11%,263400
11/23/2022,14.68,15.37,14.68,15.34,0.75,+5.14%,458300
11/22/2022,15.61,16.0497,14.01,14.59,-1.2,-7.60%,694700
11/21/2022,15.3,15.81,15.16,15.79,0.51,+3.34%,172000
11/18/2022,15.75,15.8702,15.07,15.28,-0.41,-2.61%,267200
11/17/2022,16.02,16.03,15.56,15.69,-0.37,-2.30%,558800
11/16/2022,16.17,16.32,15.81,16.06,-0.11,-0.68%,603200
11/15/2022,16.46,16.81,16.11,16.17,0.05,+0.31%,291000
11/14/2022,16.18,16.55,16.07,16.12,-0.16,-0.98%,410700
11/11/2022,16.37,17.02,16.13,16.28,0.28,+1.75%,845700
11/10/2022,16,16.45,15.62,16,0.27,+1.72%,502900
