Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/17/2023,60.53,62.08,60.12,61.63,1.68,+2.80%,102589,0
02/16/2023,58.66,60.2,57.91,59.95,1.3,+2.22%,679700,0
02/15/2023,58.5,58.81,57.88,58.65,-0.26,-0.44%,467300,0
02/14/2023,59.55,60.13,58.89,58.91,-1.61,-2.66%,360000,0
02/13/2023,60.27,60.82,60.07,60.52,0.17,+0.28%,264100,0
02/10/2023,60,60.9491,59.81,60.35,0.5,+0.84%,372500,0
02/09/2023,61.07,61.39,59.52,59.85,-1.12,-1.84%,445202,0
02/08/2023,61.73,61.935,60.96,60.97,-1.3,-2.09%,342000,0
02/07/2023,62.16,62.58,61.28,62.27,-0.23,-0.37%,349100,0
02/06/2023,62.47,62.73,61.39,62.5,-0.15,-0.24%,284700,0
02/03/2023,63.31,63.31,61.45,62.65,-0.68,-1.07%,300000,0
02/02/2023,62.47,63.72,62.21,63.33,0.92,+1.47%,394700,0
02/01/2023,61.42,62.89,61.05,62.41,0.55,+0.89%,298100,0
01/31/2023,60.48,61.92,60.27,61.86,1.51,+2.50%,350400,0
01/30/2023,60.87,61.405,60.31,60.35,-0.66,-1.08%,247600,0
01/27/2023,61.09,61.45,60.42,61.01,-0.16,-0.26%,288100,0
01/26/2023,61.56,61.715,60.86,61.17,-0.41,-0.67%,243400,0
01/25/2023,62.03,62.03,61.0663,61.58,-0.71,-1.14%,310700,0
01/24/2023,62.81,63.32,61.825,62.29,-0.85,-1.35%,414400,0
01/23/2023,63.36,63.93,62.85,63.14,-1.05,-1.64%,250600,0
01/20/2023,63.79,64.2,62.79,64.19,0.66,+1.04%,370646,0
01/19/2023,63.75,63.8599,63.26,63.53,-0.1,-0.16%,369100,0
01/18/2023,65.47,65.47,63.38,63.63,-1.67,-2.56%,179200,0
01/17/2023,65.33,65.855,64.4253,65.3,-0.13,-0.20%,231300,0
01/13/2023,65.78,65.94,65.41,65.43,-0.57,-0.86%,148100,0
01/12/2023,66.11,66.64,65.81,66,-0.07,-0.11%,222400,0
01/11/2023,65.52,66.24,65.1736,66.07,0.62,+0.95%,216800,0
01/10/2023,65.03,65.62,64.77,65.45,0.11,+0.17%,174100,0
01/09/2023,65.7,66.15,65.14,65.34,-0.1,-0.15%,273700,0
01/06/2023,65.15,65.96,65.06,65.44,1.2,+1.87%,261000,0
01/05/2023,65.13,65.13,63.68,64.24,-1.25,-1.91%,283800,0
01/04/2023,65.74,66.4,65.33,65.49,0.36,+0.55%,325200,0
01/03/2023,65.09,65.39,64.17,65.13,0.62,+0.96%,525000,0
12/30/2022,65.11,65.275,64.13,64.51,-0.86,-1.32%,195200,0
12/29/2022,65.02,65.895,64.7283,65.37,0.79,+1.22%,197500,0
12/28/2022,65.88,66.08,64.58,64.58,-0.99,-1.51%,186700,0
12/27/2022,64.66,65.625,64.39,65.57,0.92,+1.42%,140300,0
12/23/2022,64.3,64.88,63.9,64.65,0.03,+0.05%,129300,0
12/22/2022,64.54,64.895,63.39,64.62,-0.29,-0.45%,185300,0
12/21/2022,64.13,65.02,64.13,64.91,0.79,+1.23%,286900,0
12/20/2022,64.2,64.8,63.64,64.12,0.17,+0.27%,265200,0
12/19/2022,63.72,64.3175,63.414,63.95,0.2,+0.31%,367500,0
12/16/2022,63.32,64.18,62.9926,63.75,-0.15,-0.23%,1176700,0
12/15/2022,64.89,65.09,63.69,63.9,-1.11,-1.71%,549500,0
12/14/2022,65.76,66.45,64.71,65.01,-0.49,-0.75%,440900,0
12/13/2022,66.91,66.925,65.17,65.5,0.13,+0.20%,858800,0
12/12/2022,65.05,65.495,64.575,65.37,0.37,+0.57%,413500,0
12/09/2022,64.51,65.93,64.44,65,0.3,+0.46%,311700,0
12/08/2022,64.72,65.33,64.21,64.7,-0.04,-0.06%,281500,0
12/07/2022,65.03,65.93,64.74,64.74,-0.25,-0.38%,287600,0
12/06/2022,66.15,66.21,64.81,64.99,-0.82,-1.25%,307300,0
12/05/2022,65.12,65.97,65.08,65.81,-0.09,-0.14%,224200,0
12/02/2022,65.26,66.57,65.03,65.9,-0.09,-0.14%,261300,0
12/01/2022,66.87,67.45,65.72,65.99,-0.21,-0.32%,583100,0
11/30/2022,65.97,67.065,65.28,66.2,-0.1,-0.15%,576600,0
11/29/2022,66.07,66.52,65.8,66.3,-0.04,-0.06%,219600,0
11/28/2022,66.51,67.04,65.84,66.34,-0.59,-0.88%,270400,0
11/25/2022,66.36,67.36,66.36,66.93,1.06,+1.61%,144200,0
11/23/2022,65.91,66.435,65.43,65.87,-0.28,-0.42%,435100,0
11/22/2022,65.87,66.55,65.5655,66.15,0.45,+0.68%,296800,0
