Time,Open,High,Low,Last,Change,%Chg,Volume
01/13/2023,27.39,28.13,27.21,28.03,0.32,+1.15%,37800
01/12/2023,27.59,28.08,27.59,27.71,0.35,+1.28%,40700
01/11/2023,27.36,27.51,26.97,27.36,0.11,+0.40%,46600
01/10/2023,27.04,27.36,26.89,27.25,0.1,+0.37%,47600
01/09/2023,27.41,27.63,27.02,27.15,-0.08,-0.29%,55600
01/06/2023,27.01,27.34,26.96,27.23,0.42,+1.57%,82400
01/05/2023,27,27.125,26.7,26.81,-0.23,-0.85%,40200
01/04/2023,26.77,27.33,26.77,27.04,0.45,+1.69%,156400
01/03/2023,27.05,27.27,26.09,26.59,-0.25,-0.93%,137200
12/30/2022,26.83,27.03,26.67,26.84,-0.1,-0.37%,62100
12/29/2022,26.75,27.09,26.505,26.94,0.47,+1.78%,40375
12/28/2022,26.75,26.93,26.44,26.47,-0.33,-1.23%,35200
12/27/2022,27.1,27.19,25.8347,26.8,-0.16,-0.59%,55100
12/23/2022,26.72,27.085,26.49,26.96,0.29,+1.09%,46400
12/22/2022,27.63,27.63,26.27,26.67,-1.1,-3.96%,69800
12/21/2022,26.92,27.8,26.67,27.77,1.02,+3.81%,86800
12/20/2022,27.4,27.56,26.12,26.75,-0.7,-2.55%,144000
12/19/2022,25.96,27.6,25.46,27.45,2.25,+8.93%,258100
12/16/2022,25.52,25.61,24.95,25.2,-0.32,-1.25%,204800
12/15/2022,26.03,26.1133,25.32,25.52,-0.81,-3.08%,99000
12/14/2022,27.07,27.09,26.04,26.33,-0.84,-3.09%,117100
12/13/2022,27.32,28.01,26.76,27.17,-0.66,-2.37%,174500
12/12/2022,27.7,28.01,27.442,27.83,0.24,+0.87%,42200
12/09/2022,27.84,27.98,27.54,27.59,-0.38,-1.36%,26200
12/08/2022,27.7,28.165,27.7,27.97,0.03,+0.11%,33700
12/07/2022,27.92,28.33,27.89,27.94,-0.09,-0.32%,36600
12/06/2022,27.99,28.37,27.99,28.03,-0.2,-0.71%,32500
