Time,Open,High,Low,Last,Change,%Chg,Volume
03/27/2023,10.04,10.04,9.99,9.99,-0.01,-0.10%,3500
03/24/2023,9.98,10,9.98,10,0.02,+0.20%,12500
03/23/2023,10,10.01,9.98,9.98,-0.01,-0.10%,88700
03/22/2023,9.99,10,9.99,9.99,0.01,+0.10%,25800
03/21/2023,9.98,10,9.97,9.98,0.01,+0.10%,5900
03/20/2023,9.97,10.01,9.97,9.97,-0.03,-0.30%,168000
03/16/2023,10,10,10,10,0.01,+0.10%,400
03/15/2023,9.95,10.0001,9.95,9.99,0.04,+0.40%,71500
03/14/2023,9.94,9.99,9.94,9.95,0,0.00%,33500
03/13/2023,9.95,9.95,9.95,9.95,0.01,+0.10%,100
03/10/2023,9.98,9.98,9.94,9.94,0.005,+0.05%,500
03/09/2023,9.94,9.945,9.93,9.935,0.005,+0.05%,13900
03/08/2023,9.96,9.97,9.93,9.93,-0.005,-0.05%,141200
03/07/2023,9.95,9.95,9.93,9.935,-0.025,-0.25%,158300
03/06/2023,10.5,10.5,9.9,9.96,-0.06,-0.60%,227800
03/03/2023,9.99,10.02,9.98,10.02,0.06,+0.60%,5300
03/02/2023,9.95,9.97,9.95,9.96,-0.01,-0.10%,2700
03/01/2023,9.955,9.97,9.955,9.97,0,0.00%,700
02/28/2023,9.95,9.97,9.95,9.97,0.01,+0.10%,2200
02/27/2023,9.95,9.96,9.9499,9.96,0.01,+0.10%,207600
02/24/2023,10.01,10.01,9.95,9.95,-0.05,-0.50%,14300
02/23/2023,10.01,10.01,10,10,-0.08,-0.79%,3200
02/21/2023,10.07,10.08,10.07,10.08,0,0.00%,1500
02/17/2023,10.035,10.08,10.035,10.08,0.06,+0.60%,300
02/15/2023,10.07,10.07,10.02,10.02,0,0.00%,1500
02/14/2023,9.98,10.08,9.98,10.02,-0.06,-0.60%,3700
02/13/2023,10.15,10.15,10.03,10.08,0.13,+1.31%,10400
02/10/2023,9.99,9.99,9.95,9.95,-0.06,-0.60%,10100
02/09/2023,10.02,10.07,10.01,10.01,-0.01,-0.10%,8500
02/08/2023,10.02,10.02,10.01,10.02,-0.02,-0.20%,10200
02/07/2023,10.04,10.04,10.04,10.04,-0.01,-0.10%,10200
02/06/2023,10.01,10.1,10.01,10.05,-0.01,-0.10%,39700
02/03/2023,10.07,10.08,10.05,10.06,-0.03,-0.30%,1212600
02/02/2023,10.09,10.0901,10.09,10.09,0.02,+0.20%,32900
02/01/2023,10.1,10.1,10.06,10.07,-0.01,-0.10%,1222400
01/31/2023,10.09,10.095,10.08,10.08,0,0.00%,127000
01/30/2023,10.08,10.085,10.08,10.08,0,0.00%,66500
01/27/2023,10.08,10.0801,10.08,10.08,0,0.00%,31800
01/26/2023,10.08,10.0851,10.08,10.08,0,0.00%,15600
01/25/2023,10.08,10.09,10.07,10.08,0.01,+0.10%,38600
01/24/2023,10.07,10.075,10.07,10.07,0,0.00%,323200
01/23/2023,10.09,10.1,10.06,10.07,-0.02,-0.20%,2212600
01/20/2023,10.1,10.11,10.08,10.09,0.01,+0.10%,137000
01/19/2023,10.08,10.1,10.08,10.08,-0.01,-0.10%,1110700
01/18/2023,10.09,10.1,10.09,10.09,0.01,+0.10%,52400
01/17/2023,10.08,10.1,10.08,10.08,0.01,+0.10%,42800
01/13/2023,10.07,10.075,10.07,10.07,0,0.00%,22400
01/11/2023,10.07,10.075,10.07,10.07,0.01,+0.10%,53400
01/10/2023,10.06,10.08,10.06,10.06,-0.01,-0.10%,3156900
01/09/2023,10.07,10.08,10.06,10.07,0,0.00%,794700
01/06/2023,10.04,10.07,10.04,10.07,0.01,+0.10%,104700
01/05/2023,10.07,10.12,10.06,10.06,-0.01,-0.10%,34400
01/04/2023,10.05,10.07,10.03,10.07,0.05,+0.50%,13800
01/03/2023,10.03,10.03,10.02,10.02,0,0.00%,4400
12/30/2022,10.02,10.03,10.02,10.02,0,0.00%,1700
12/29/2022,10,10.03,9.99,10.02,-0.01,-0.10%,723700
12/28/2022,10.03,10.04,10.02,10.03,0.01,+0.10%,13100
12/27/2022,9.98,10.05,9.98,10.02,0.0499,+0.50%,41100
12/23/2022,9.985,9.985,9.97,9.9701,-0.0099,-0.10%,39400
12/20/2022,9.98,9.98,9.97,9.98,0,0.00%,14900
12/19/2022,10.02,10.02,9.97,9.98,-0.01,-0.10%,17200
12/16/2022,9.98,9.99,9.98,9.99,0.01,+0.10%,85500
12/15/2022,9.98,9.98,9.98,9.98,0.005,+0.05%,400
12/13/2022,9.96,9.975,9.96,9.975,-0.025,-0.25%,7500
