Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/30/2023,10.37,10.37,10.37,10.37,0.02,+0.19%,100,0
01/24/2023,10.35,10.35,10.35,10.35,-0.05,-0.48%,500,0
01/19/2023,10.4,10.43,10.39,10.4,0,0.00%,9400,0
01/17/2023,10.5,10.5,10.4,10.4,-0.05,-0.48%,3300,0
01/12/2023,10.39,10.45,10.39,10.45,-0.02,-0.19%,800,0
01/11/2023,10.35,10.49,10.35,10.47,0.12,+1.16%,12100,0
01/10/2023,10.65,10.65,10.3,10.35,0.02,+0.19%,14500,0
01/09/2023,10.3,10.33,10.3,10.33,0.03,+0.29%,3300,0
01/06/2023,10.3,10.3,10.3,10.3,0,0.00%,200,0
01/05/2023,10.29,10.3,10.29,10.3,0.01,+0.10%,2500,0
01/04/2023,10.17,10.29,10.17,10.29,0.04,+0.39%,196000,0
01/03/2023,10.425,10.425,10.25,10.25,-0.01,-0.10%,3200,0
12/30/2022,10.6,10.66,10.26,10.26,-0.01,-0.10%,23500,0
12/29/2022,10.6,10.66,10.25,10.27,0,0.00%,30100,0
12/28/2022,10.5,10.5,10.25,10.27,0.02,+0.20%,1400,0
12/27/2022,10.5,10.5,10.25,10.25,0,0.00%,12000,0
12/23/2022,10.15,10.25,10.15,10.25,0,0.00%,2900,0
12/21/2022,10.38,10.38,10.2,10.25,-0.2,-1.91%,44500,0
12/20/2022,10.45,10.45,10.43,10.45,-0.36,-3.33%,1100,0
12/19/2022,10.27,10.81,10.27,10.81,0.59,+5.77%,2100,0
12/14/2022,10.22,10.22,10.22,10.22,0,0.00%,20000,0
12/13/2022,10.21,10.22,10.21,10.22,0.01,+0.10%,16800,0
12/12/2022,10.25,10.25,10.205,10.21,-0.04,-0.39%,50700,0
12/08/2022,10.25,10.25,10.245,10.25,0.02,+0.20%,74200,0
12/06/2022,10.23,10.24,10.23,10.23,0.01,+0.10%,37800,0
12/02/2022,10.22,10.23,10.22,10.22,0.01,+0.10%,351500,0
12/01/2022,10.21,10.21,10.21,10.21,0,0.00%,8200,0
11/30/2022,10.22,10.22,10.21,10.21,-0.01,-0.10%,5600,0
11/29/2022,10.22,10.22,10.22,10.22,0.01,+0.10%,6100,0
11/28/2022,10.21,10.21,10.21,10.21,0,0.00%,8900,0
11/25/2022,10.2,10.21,10.2,10.21,0.0065,+0.06%,18000,0
11/23/2022,10.2035,10.2035,10.2035,10.2035,0.0035,+0.03%,100,0
11/22/2022,10.2,10.21,10.19,10.2,0,0.00%,697200,0
11/21/2022,10.2,10.215,10.17,10.2,0.055,+0.54%,1868700,0
11/18/2022,10.135,10.15,10.135,10.145,0.015,+0.15%,5600,0
11/14/2022,10.16,10.16,10.13,10.13,-0.01,-0.10%,500,0
11/10/2022,10.14,10.14,10.14,10.14,0.005,+0.05%,3100,0
11/09/2022,10.135,10.135,10.135,10.135,0.005,+0.05%,400,0
11/08/2022,10.14,10.14,10.13,10.13,-0.015,-0.15%,8600,0
11/07/2022,10.145,10.145,10.145,10.145,-0.015,-0.15%,12700,0
11/04/2022,10.14,10.16,10.14,10.16,0.0088,+0.09%,200,0
11/02/2022,10.09,10.1512,10.09,10.1512,0.0412,+0.41%,400,0
10/27/2022,10.135,10.135,10.11,10.11,-0.01,-0.10%,1400,0
10/26/2022,10.12,10.145,10.12,10.12,0.01,+0.10%,33000,0
10/25/2022,10.11,10.11,10.11,10.11,0,0.00%,1000,0
10/24/2022,10.11,10.11,10.11,10.11,0.01,+0.10%,2300,0
10/19/2022,10.1,10.11,10.1,10.1,0,0.00%,79000,0
10/17/2022,10.08,10.1,10.08,10.1,0.0175,+0.17%,2900,0
10/14/2022,10.0825,10.0825,10.0825,10.0825,0.0025,+0.02%,100,0
10/13/2022,10.08,10.08,10.08,10.08,-0.01,-0.10%,100,0
10/12/2022,10.08,10.095,10.08,10.09,0.03,+0.30%,44300,0
10/07/2022,10.01,10.06,10.01,10.06,-0.015,-0.15%,200,0
10/06/2022,10.03,10.08,10.03,10.075,0.015,+0.15%,700,0
10/05/2022,10.06,10.06,10.06,10.06,0.04,+0.40%,100,0
09/28/2022,10.06,10.08,10.02,10.02,-0.04,-0.40%,37200,0
09/27/2022,10.05,10.07,10.05,10.06,0,0.00%,8400,0
09/26/2022,10.06,10.065,10.05,10.06,0,0.00%,13500,0
09/23/2022,10.06,10.06,10.06,10.06,0.01,+0.10%,100,0
09/22/2022,10.05,10.05,10.05,10.05,-0.01,-0.10%,1200,0
09/21/2022,10.06,10.06,10.06,10.06,-0.01,-0.10%,100,0
09/19/2022,10.06,10.07,10.06,10.07,0.01,+0.10%,22800,0
09/16/2022,10.06,10.07,10.06,10.06,0,0.00%,8900,0
09/15/2022,10.06,10.06,10.06,10.06,0,0.00%,100,0
09/14/2022,10.06,10.065,10.06,10.06,-0.01,-0.10%,5600,0
09/13/2022,10.05,10.07,10.05,10.07,0.02,+0.20%,90800,0
09/12/2022,10.05,10.06,10.05,10.05,0,0.00%,339800,0
09/09/2022,10.06,10.06,10.05,10.05,-0.01,-0.10%,800,0
09/08/2022,10.06,10.06,10.06,10.06,0,0.00%,100,0
09/07/2022,10.04,10.06,10.04,10.06,0.01,+0.10%,86700,0
09/01/2022,10.05,10.05,10.05,10.05,0,0.00%,255200,0
08/31/2022,10.05,10.06,10.05,10.05,0.02,+0.20%,173500,0
08/25/2022,10.03,10.03,10.02,10.03,-0.01,-0.10%,88300,0
08/24/2022,10.04,10.04,10.04,10.04,-0.01,-0.10%,900,0
08/23/2022,10.05,10.05,10.05,10.05,0,0.00%,100,0
08/19/2022,10.05,10.05,10.0498,10.05,0,0.00%,11400,0
08/18/2022,10.05,10.05,10.05,10.05,0,0.00%,25400,0
08/17/2022,10.04,10.06,10.04,10.05,-0.02,-0.20%,559500,0
08/16/2022,10.06,10.07,10.05,10.07,-0.01,-0.10%,34500,0
08/12/2022,10.06,10.08,10.06,10.08,0.05,+0.50%,330500,0
08/09/2022,10.03,10.03,10.03,10.03,0,0.00%,28600,0
08/05/2022,10.04,10.04,10.03,10.03,0,0.00%,5100,0
08/03/2022,10.03,10.03,10.03,10.03,0,0.00%,6300,0
07/26/2022,10.03,10.03,10.0298,10.03,0,0.00%,101400,0
07/25/2022,10.01,10.04,10.01,10.03,0.02,+0.20%,1800,0
07/22/2022,10.01,10.02,10.01,10.01,-0.02,-0.20%,6500,0
07/21/2022,10.03,10.03,10.03,10.03,0.02,+0.20%,700,0
07/20/2022,10.03,10.03,10.01,10.01,0.0297,+0.30%,4400,0
06/30/2022,10.02,10.03,9.9803,9.9803,0.0103,+0.10%,4100,0
06/24/2022,9.97,9.97,9.97,9.97,0,0.00%,97500,0
06/23/2022,9.97,9.97,9.97,9.97,0,0.00%,5000,0
06/22/2022,9.97,9.97,9.97,9.97,0.01,+0.10%,300,0
06/17/2022,9.96,9.97,9.96,9.96,0,0.00%,10000,0
06/14/2022,9.96,9.96,9.96,9.96,-0.04,-0.40%,12400,0
06/13/2022,10,10,10,10,0,0.00%,2000,0
06/09/2022,10,10,10,10,0,0.00%,123000,0
06/08/2022,9.98,10,9.98,10,0,0.00%,11500,0
06/06/2022,10.23,10.23,10,10,-0.37,-3.57%,1800,0
06/02/2022,10.36,10.37,10.36,10.37,0.37,+3.70%,300,0
05/26/2022,10,10,10,10,0,0.00%,1500,0
05/24/2022,9.96,10,9.96,10,-0.03,-0.30%,5800,0
05/20/2022,10,10.03,10,10.03,0.03,+0.30%,65500,0
05/19/2022,10,10,10,10,0.01,+0.10%,110500,0
05/05/2022,9.99,9.99,9.99,9.99,-0.01,-0.10%,100,0
05/04/2022,10,10,10,10,-0.03,-0.30%,900,0
05/03/2022,10.03,10.05,10.03,10.03,0.01,+0.10%,4400,0
05/02/2022,10.02,10.02,10.02,10.02,-0.01,-0.10%,8700,0
04/29/2022,10.03,10.03,10.03,10.03,0.03,+0.30%,100,0
04/28/2022,10.03,10.03,10,10,-0.025,-0.25%,1000,0
04/26/2022,10.04,10.04,10.025,10.025,0.015,+0.15%,5700,0
04/25/2022,10.01,10.01,10.01,10.01,0.01,+0.10%,400,0
04/22/2022,10,10,10,10,0.01,+0.10%,1099900,0
04/21/2022,10,10.01,9.99,9.99,-0.02,-0.20%,8200,0
04/14/2022,10.01,10.01,10.01,10.01,-0.01,-0.10%,700,0
04/13/2022,10.02,10.02,10.02,10.02,0.04,+0.40%,100,0
04/06/2022,9.98,9.98,9.98,9.98,-0.005,-0.05%,200,0
04/05/2022,9.97,9.985,9.97,9.985,0.035,+0.35%,2800,0
04/04/2022,9.95,9.95,9.95,9.95,-0.03,-0.30%,100,0
03/31/2022,9.98,9.98,9.98,9.98,0,0.00%,87800,0
03/30/2022,9.98,9.98,9.98,9.98,0.02,+0.20%,300,0
03/29/2022,9.965,9.965,9.96,9.96,-0.005,-0.05%,5400,0
03/28/2022,10.09,10.09,9.965,9.965,-0.035,-0.35%,300,0
03/24/2022,10,10,10,10,0,0.00%,100,0
03/23/2022,10.08,10.08,10,10,0.06,+0.60%,500,0
03/21/2022,10.01,10.01,9.94,9.94,-0.04,-0.40%,200,0
03/17/2022,9.96,9.98,9.96,9.98,-0.38,-3.67%,500,0
03/16/2022,9.97,10.36,9.97,10.36,0.38,+3.81%,700,0
03/15/2022,9.97,9.98,9.96,9.98,0.015,+0.15%,491400,0
03/14/2022,9.965,9.965,9.96,9.965,-0.005,-0.05%,5000,0
03/11/2022,9.96,9.97,9.96,9.97,0.04,+0.40%,24000,0
02/25/2022,9.93,9.93,9.93,9.93,0.02,+0.20%,400,0
02/24/2022,10.19,10.19,9.9,9.91,-0.03,-0.30%,28700,0
02/23/2022,9.95,9.95,9.94,9.94,0.02,+0.20%,2200,0
02/22/2022,9.92,9.92,9.92,9.92,0.02,+0.20%,34000,0
02/15/2022,9.94,9.94,9.9,9.9,-0.02,-0.20%,200,0
02/09/2022,9.92,9.92,9.92,9.92,-0.06,-0.60%,2000,0
02/07/2022,9.95,9.99,9.95,9.98,0.0201,+0.20%,1000,0
02/01/2022,9.92,10.055,9.92,9.9599,0.0532,+0.54%,6800,0
01/31/2022,9.9067,9.9067,9.9,9.9067,0.0167,+0.17%,1400,0
01/27/2022,9.88,9.905,9.88,9.89,0,0.00%,40300,0
01/26/2022,9.89,9.915,9.88,9.89,0.04,+0.41%,152300,0
01/25/2022,10.44,10.44,9.85,9.85,-0.06,-0.61%,67300,0
01/24/2022,9.96,9.96,9.91,9.91,0.01,+0.10%,9400,0
01/21/2022,9.9,9.9,9.9,9.9,0,0.00%,5600,0
01/20/2022,9.97,9.97,9.9,9.9,0.01,+0.10%,1300,0
01/19/2022,9.95,9.96,9.89,9.89,-0.04,-0.40%,54900,0
01/18/2022,9.93,9.93,9.93,9.93,0.05,+0.51%,100,0
01/13/2022,9.96,9.96,9.88,9.88,-0.03,-0.30%,21000,0
01/12/2022,9.91,9.91,9.91,9.91,-0.04,-0.40%,22600,0
01/10/2022,9.95,9.95,9.95,9.95,0.05,+0.51%,200,0
01/07/2022,9.9,9.9,9.9,9.9,-0.05,-0.50%,225000,0
01/05/2022,9.95,9.95,9.95,9.95,0.05,+0.51%,500,0
"Downloaded from Barchart.com as of 04-12-2023 06:37am CDT"
