Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/21/2023,25,25.15,24.085,24.18,-1.05,-4.16%,8672700,0
02/17/2023,26.83,26.83,25.122,25.23,-2.31,-8.39%,8650800,0
02/16/2023,27.87,28.65,27.36,27.54,-0.37,-1.33%,5560500,0
02/15/2023,27.86,28.3,27.2317,27.91,-0.51,-1.79%,5945300,0
02/14/2023,28.07,28.89,27.835,28.42,0.4,+1.43%,5115500,0
02/13/2023,27.85,28.235,27.51,28.02,-0.31,-1.09%,4952700,0
02/10/2023,27.42,28.36,27.28,28.33,1.5,+5.59%,6009200,0
02/09/2023,26.78,27.65,26.65,26.83,0.2,+0.75%,7135600,0
02/08/2023,27.16,27.28,26.13,26.63,-0.56,-2.06%,5306600,0
02/07/2023,26.8,27.365,26.3799,27.19,0.8,+3.03%,6903000,0
02/06/2023,27.4,27.615,25.865,26.39,-1.09,-3.97%,9993200,0
02/03/2023,28.1,28.59,27.445,27.48,-0.67,-2.38%,6235600,0
02/02/2023,28.08,29.015,27.58,28.15,0.23,+0.82%,6623700,0
02/01/2023,28.35,28.65,27.31,27.92,-0.92,-3.19%,7017400,0
01/31/2023,28.33,28.86,28.03,28.84,0.66,+2.34%,4303100,0
01/30/2023,28.5,28.9918,28.155,28.18,-1.1,-3.76%,5308100,0
01/27/2023,29.41,30.25,29.067,29.28,0.1,+0.34%,3849600,0
01/26/2023,29,29.3,27.92,29.18,-0.08,-0.27%,6393800,0
01/25/2023,29.53,29.73,28.7099,29.26,-0.78,-2.60%,3565100,0
01/24/2023,30.55,30.55,29.44,30.04,-0.48,-1.57%,4777700,0
01/23/2023,29.84,30.6,29.4,30.52,1.12,+3.81%,4499400,0
01/20/2023,29.3,29.81,28.945,29.4,0.3,+1.03%,5632700,0
01/19/2023,28.73,29.38,28.34,29.1,0.36,+1.25%,5172300,0
01/18/2023,29.7,30.35,28.73,28.74,-1.37,-4.55%,6042700,0
01/17/2023,30.65,30.83,29.98,30.11,0.37,+1.24%,5548300,0
01/13/2023,29.56,29.75,28.955,29.74,-0.21,-0.70%,5829300,0
01/12/2023,29.38,30.35,29.2,29.95,1.19,+4.14%,5656400,0
01/11/2023,29.23,29.28,28.12,28.76,-0.24,-0.83%,7070700,0
01/10/2023,28.95,29.31,28.42,29,-0.41,-1.39%,3798500,0
01/09/2023,29.32,30.21,28.96,29.41,1.21,+4.29%,5611800,0
01/06/2023,27.9,28.71,27.81,28.2,0.37,+1.33%,6045200,0
01/05/2023,28.82,29.24,27.63,27.83,-1.52,-5.18%,8779300,0
01/04/2023,28.07,29.8899,28,29.35,0.93,+3.27%,5970500,0
01/03/2023,29.95,30.47,28.23,28.42,-2.57,-8.29%,10349500,0
12/30/2022,30.57,31.02,30.21,30.99,0.09,+0.29%,5277500,0
12/29/2022,30.5,31.28,30.34,30.9,0.12,+0.39%,5784300,0
12/28/2022,33.38,33.38,30.77,30.78,-3.34,-9.79%,8156000,0
12/27/2022,34.1,34.42,33.69,34.12,0.19,+0.56%,2765600,0
12/23/2022,32.65,33.96,32.23,33.93,1.38,+4.24%,3440700,0
12/22/2022,34.26,34.65,31.805,32.55,-2.1,-6.06%,5879900,0
12/21/2022,34.19,34.66,33.4,34.65,1.41,+4.24%,4308100,0
12/20/2022,32.37,33.3,32.29,33.24,0.2,+0.61%,4541000,0
12/19/2022,33.39,33.87,32.805,33.04,-0.91,-2.68%,5206200,0
12/16/2022,33.5,34.14,32.99,33.95,-0.49,-1.42%,11145100,0
12/15/2022,33.4,34.66,33.3,34.44,0.82,+2.44%,4846400,0
12/14/2022,33.9,34.26,33.38,33.62,-0.35,-1.03%,5861200,0
12/13/2022,34.2,34.53,33.67,33.97,0.87,+2.63%,6204400,0
12/12/2022,32.93,33.99,32.78,33.1,1.29,+4.06%,5830900,0
12/09/2022,31.54,32.595,31.44,31.81,0.7,+2.25%,5632100,0
12/08/2022,32,32.29,30.94,31.11,-0.31,-0.99%,10171500,0
12/07/2022,31.09,31.67,30.88,31.42,0.44,+1.42%,6177800,0
12/06/2022,31.7,32.23,30.72,30.98,-0.86,-2.70%,5967400,0
12/05/2022,33.92,34.305,31.31,31.84,-2.58,-7.50%,8595700,0
12/02/2022,34.88,35.2,34.2,34.42,-0.93,-2.63%,5184400,0
12/01/2022,37.25,37.33,35.175,35.35,-1.2,-3.28%,4164500,0
11/30/2022,37.01,37.35,35.66,36.55,-0.38,-1.03%,4459500,0
11/29/2022,36.37,37.065,36.1,36.93,1.04,+2.90%,4068800,0
11/28/2022,36.07,36.78,35.815,35.89,-1.38,-3.70%,4722600,0
11/25/2022,37.5,37.99,37.05,37.27,-0.27,-0.72%,1723600,0
11/23/2022,37.68,38.7,37.07,37.54,0.93,+2.54%,7628200,0
11/22/2022,34.79,36.61,34.79,36.61,2.26,+6.58%,5713600,0
11/21/2022,33.8,34.435,33.27,34.35,0.18,+0.53%,6600400,0
11/18/2022,34.25,34.67,33.52,34.17,-1.13,-3.20%,6515500,0
11/17/2022,35.13,35.34,34.63,35.3,-0.14,-0.40%,5135200,0
11/16/2022,36.42,36.62,35.07,35.44,-1.9,-5.09%,5702400,0
11/15/2022,36.21,37.37,35.67,37.34,1.22,+3.38%,4503500,0
11/14/2022,38,38.3835,36.1,36.12,-1.12,-3.01%,6968200,0
11/11/2022,38.12,38.49,36.7,37.24,-0.39,-1.04%,7846500,0
11/10/2022,36.75,37.8,35.92,37.63,1.9,+5.32%,4557200,0
11/09/2022,37.65,38.17,35.64,35.73,-2.9,-7.51%,6285000,0
11/08/2022,38.27,38.8,37.23,38.63,-0.7,-1.78%,6357600,0
11/07/2022,38.56,40.19,38.45,39.33,2.11,+5.67%,6608800,0
11/04/2022,36.33,37.51,35.91,37.22,1.82,+5.14%,5740500,0
11/03/2022,35.1,36.15,34.5401,35.4,-0.04,-0.11%,5236600,0
11/02/2022,36.47,37.07,35.265,35.44,-0.6,-1.66%,6583300,0
11/01/2022,37,37.57,35.6807,36.04,-0.62,-1.69%,5970200,0
10/31/2022,36.13,38.12,35.845,36.66,1.46,+4.15%,9058600,0
10/28/2022,35.85,36.995,34.2,35.2,-0.58,-1.62%,7292700,0
10/27/2022,35.32,37.29,34.61,35.78,0.31,+0.87%,14320100,0
10/26/2022,35.31,36.21,35.13,35.47,0.1,+0.28%,7730100,0
10/25/2022,33.21,35.7,32.74,35.37,2.28,+6.89%,6828900,0
10/24/2022,33.54,33.903,32.65,33.09,-0.38,-1.14%,6893700,0
10/21/2022,34.27,34.31,32.02,33.47,-1.5,-4.29%,12941400,0
10/20/2022,36.86,37.09,34.815,34.97,-1.83,-4.97%,10000300,0
10/19/2022,35.46,36.83,35.43,36.8,1,+2.79%,50900100,0
10/18/2022,35.55,36.87,35.21,35.8,1.87,+5.51%,19956100,0
10/17/2022,33.79,34.485,32.76,33.93,-0.08,-0.24%,7865900,0
10/14/2022,35.17,36.0947,33.7064,34.01,-1.75,-4.89%,6760300,0
10/13/2022,33.66,35.97,33.565,35.76,1.44,+4.20%,5240800,0
10/12/2022,33.65,34.93,33.4,34.32,0.67,+1.99%,5059000,0
10/11/2022,32.64,34.8409,32.36,33.65,0.51,+1.54%,7106900,0
10/10/2022,32.75,34.11,32.5101,33.14,0.82,+2.54%,8413700,0
10/07/2022,32.29,33.41,31.85,32.32,-0.02,-0.06%,4246800,0
10/06/2022,33.41,34.21,32.325,32.34,-1.3,-3.86%,4609300,0
10/05/2022,32.86,34.18,31.75,33.64,0.47,+1.42%,4756200,0
