Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/17/2023,11.98,11.98,11.825,11.97,0.01,+0.08%,569200,0
02/16/2023,11.79,12.05,11.74,11.96,0,0.00%,714200,0
02/15/2023,11.65,11.97,11.56,11.96,0.23,+1.96%,644200,0
02/14/2023,11.79,11.915,11.68,11.73,-0.14,-1.18%,721900,0
02/13/2023,11.71,11.885,11.65,11.87,0.14,+1.19%,1010700,0
02/10/2023,11.32,11.92,11.26,11.73,0.49,+4.36%,1550200,0
02/09/2023,11.98,12.28,11.2,11.24,-0.83,-6.88%,1723400,0
02/08/2023,12.2,12.28,12,12.07,-0.24,-1.95%,952700,0
02/07/2023,12.23,12.41,12.15,12.31,0.04,+0.33%,968600,0
02/06/2023,12.52,12.57,12.19,12.27,-0.4,-3.16%,824900,0
02/03/2023,12.44,12.745,12.4,12.67,0.03,+0.24%,1221600,0
02/02/2023,12.35,12.715,12.3,12.64,0.35,+2.85%,1214300,0
02/01/2023,12.1,12.425,12.055,12.29,0.12,+0.99%,956800,0
01/31/2023,11.94,12.21,11.85,12.17,0.31,+2.61%,1135600,0
01/30/2023,11.89,11.93,11.78,11.86,-0.14,-1.17%,633800,0
01/27/2023,11.77,12.0581,11.7652,12,0.24,+2.04%,776500,0
01/26/2023,11.79,11.87,11.62,11.76,-0.01,-0.08%,466400,0
01/25/2023,11.73,11.8,11.63,11.77,-0.03,-0.25%,363000,0
01/24/2023,11.79,11.945,11.79,11.8,-0.08,-0.67%,438600,0
01/23/2023,11.72,11.97,11.71,11.88,0.18,+1.54%,740900,0
01/20/2023,11.56,11.72,11.4,11.7,0.21,+1.83%,679400,0
01/19/2023,11.36,11.5,11.2756,11.49,-0.04,-0.35%,724200,0
01/18/2023,11.75,11.79,11.495,11.53,-0.14,-1.20%,636800,0
01/17/2023,11.71,11.87,11.61,11.67,-0.07,-0.60%,884700,0
01/13/2023,11.79,11.8,11.56,11.74,-0.12,-1.01%,912100,0
01/12/2023,11.81,11.925,11.67,11.86,0.2,+1.72%,745100,0
01/11/2023,11.42,11.745,11.42,11.66,0.35,+3.09%,830100,0
01/10/2023,11.06,11.315,10.99,11.31,0.22,+1.98%,702400,0
