Time,Open,High,Low,Last,Change,%Chg,Volume
01/13/2023,8.5,8.63,8.48,8.5,-0.02,-0.23%,180800
01/12/2023,8.18,8.56,8.14,8.52,0.34,+4.16%,219400
01/11/2023,8.16,8.24,8.04,8.18,0.03,+0.37%,225900
01/10/2023,8.34,8.4107,7.82,8.15,-0.29,-3.44%,349700
01/09/2023,8.67,8.82,8.13,8.44,-0.31,-3.54%,276700
01/06/2023,8.49,9.1,8.44,8.75,0.31,+3.67%,562900
01/05/2023,8.48,8.54,8.34,8.44,-0.1,-1.17%,175800
01/04/2023,8.75,8.8,8.52,8.54,-0.12,-1.39%,189500
01/03/2023,8.66,8.74,8.47,8.66,0,0.00%,284800
12/30/2022,8.53,8.705,8.26,8.66,0.12,+1.41%,229700
12/29/2022,8.53,8.65,8.44,8.54,0.02,+0.23%,339400
12/28/2022,8.6,8.67,8.5,8.52,-0.09,-1.05%,190800
12/27/2022,8.66,8.66,8.505,8.61,-0.01,-0.12%,169100
12/23/2022,8.64,8.7,8.57,8.62,0,0.00%,89500
12/22/2022,8.85,8.85,8.505,8.62,-0.27,-3.04%,239500
12/21/2022,8.82,9,8.77,8.89,0.17,+1.95%,202901
12/20/2022,8.7,8.8012,8.59,8.72,0,0.00%,178600
12/19/2022,8.79,8.93,8.67,8.72,-0.09,-1.02%,214600
12/16/2022,8.95,8.95,8.65,8.81,-0.12,-1.34%,602900
12/15/2022,8.92,9,8.74,8.93,-0.1,-1.11%,255900
12/14/2022,9.13,9.22,9.005,9.03,-0.14,-1.53%,235208
12/13/2022,9.27,9.43,9.07,9.17,-0.03,-0.33%,875700
12/12/2022,9.33,9.37,9.1,9.2,-0.05,-0.54%,216200
12/09/2022,9.17,9.31,9.08,9.25,0.05,+0.54%,209100
12/08/2022,9.23,9.54,9.0815,9.2,-0.28,-2.95%,333100
12/07/2022,9.22,9.535,9.21,9.48,0.36,+3.95%,297100
12/06/2022,9.11,9.24,9.07,9.12,0.01,+0.11%,195300
12/05/2022,9.14,9.37,9.07,9.11,-0.01,-0.11%,302500
12/02/2022,9.12,9.23,9.03,9.12,-0.06,-0.65%,153700
12/01/2022,9.47,9.47,9.085,9.18,-0.25,-2.65%,264401
11/30/2022,9.26,9.47,9.18,9.43,0.16,+1.73%,362400
11/29/2022,9.25,9.36,9.09,9.27,-0.03,-0.32%,355600
11/28/2022,9.1,9.39,9.08,9.3,0.1,+1.09%,308900
11/25/2022,9.13,9.35,9.13,9.2,0.08,+0.88%,71100
11/23/2022,9.13,9.185,9.06,9.12,0.01,+0.11%,210104
11/22/2022,8.97,9.14,8.8,9.11,0.19,+2.13%,220000
11/21/2022,8.99,9.05,8.86,8.92,-0.13,-1.44%,293002
11/18/2022,8.99,9.12,8.81,9.05,0.24,+2.72%,311700
11/17/2022,8.95,9.02,8.7377,8.81,-0.15,-1.67%,321800
11/16/2022,9.11,9.16,8.93,8.96,-0.24,-2.61%,260000
11/15/2022,9.28,9.44,9.17,9.2,0.06,+0.66%,327200
11/14/2022,9.25,9.42,9.13,9.14,-0.15,-1.61%,381900
11/11/2022,9.46,9.46,9.01,9.29,-0.18,-1.90%,669400
11/10/2022,9.66,9.75,9.27,9.47,0.09,+0.96%,896600
11/09/2022,9.28,9.58,9.11,9.38,0.03,+0.32%,661800
11/08/2022,10.3,10.81,9.21,9.35,-0.89,-8.69%,2399700
11/07/2022,9.71,10.44,9.68,10.24,0.57,+5.89%,1545300
11/04/2022,9.43,9.7299,9.34,9.67,0.29,+3.09%,368006
11/03/2022,10.04,10.25,9.32,9.38,-0.77,-7.59%,969600
11/02/2022,10.31,10.79,10.06,10.15,-0.18,-1.74%,1218600
11/01/2022,10.36,10.48,10.09,10.33,0.08,+0.78%,1239900
10/31/2022,9.686,10.38,9.686,10.25,0.49,+5.02%,1627400
10/28/2022,9.28,9.76,9.24,9.76,0.45,+4.83%,1696603
10/27/2022,9.28,9.42,9.19,9.31,0.12,+1.31%,423601
10/26/2022,9.51,9.93,9.18,9.19,-0.3,-3.16%,215400
10/25/2022,9.9,9.95,9.47,9.49,-0.37,-3.75%,326202
10/24/2022,9.55,9.98,9.46,9.86,0.56,+6.02%,851702
10/21/2022,9.17,9.34,9.0746,9.3,0.19,+2.09%,629200
10/20/2022,9.31,9.49,9.09,9.11,-0.14,-1.51%,303300
10/19/2022,9.26,9.375,9.22,9.25,-0.05,-0.54%,325500
10/18/2022,9.76,9.82,9.29,9.3,-0.33,-3.43%,355500
10/17/2022,9.38,9.66,9.38,9.63,0.19,+2.01%,209700
10/14/2022,9.77,9.77,9.385,9.44,-0.21,-2.18%,154400
10/13/2022,9.17,9.71,9.16,9.65,0.32,+3.43%,383100
10/12/2022,9.4,9.44,9.25,9.33,-0.03,-0.32%,198700
10/11/2022,9.35,9.45,9.31,9.36,-0.02,-0.21%,126700
10/10/2022,9.31,9.44,9.27,9.38,-0.01,-0.11%,136700
10/07/2022,9.5,9.55,9.37,9.39,-0.15,-1.57%,203200
10/06/2022,9.47,9.57,9.47,9.54,-0.01,-0.10%,172600
10/05/2022,9.65,9.76,9.5,9.55,-0.23,-2.35%,312700
10/04/2022,9.53,9.83,9.52,9.78,0.38,+4.04%,287100
10/03/2022,9.42,9.53,9.29,9.4,0.01,+0.11%,255100
09/30/2022,9.2,9.46,9.09,9.39,0.14,+1.51%,339200
09/29/2022,9.31,9.31,9,9.25,-0.12,-1.28%,389300
09/28/2022,9.14,9.44,9.14,9.37,0.19,+2.07%,294400
09/27/2022,9.4,9.51,9.16,9.18,-0.16,-1.71%,206700
09/26/2022,9.55,9.66,9.24,9.34,-0.19,-1.99%,428200
09/23/2022,9.54,9.56,9.37,9.53,-0.14,-1.45%,372400
09/22/2022,9.8,9.87,9.6202,9.67,-0.21,-2.13%,256500
09/21/2022,10,10.15,9.88,9.88,-0.12,-1.20%,255200
09/20/2022,10.2,10.29,9.91,10,-0.2,-1.96%,265702
09/19/2022,10.04,10.245,9.955,10.2,0.04,+0.39%,411300
09/16/2022,10.17,10.2205,9.98,10.16,-0.05,-0.49%,1307900
09/15/2022,10.17,10.35,9.96,10.21,0,0.00%,219400
09/14/2022,10.2,10.27,10.05,10.21,0.01,+0.10%,308000
09/13/2022,10.37,10.43,10.18,10.2,-0.18,-1.73%,494900
09/12/2022,10.35,10.48,10.22,10.38,0.01,+0.10%,512966
09/09/2022,10.14,10.38,10.12,10.37,0.23,+2.27%,295600
