Time,Open,High,Low,Last,Change,%Chg,Volume
01/13/2023,9.38,10.82,9.38,10.62,1.13,+11.91%,248600
01/12/2023,9.78,9.82,9.335,9.49,-0.39,-3.95%,168600
01/11/2023,10.53,10.53,9.54,9.88,-0.66,-6.26%,261200
01/10/2023,10.64,11.015,10.47,10.54,-0.21,-1.95%,177500
01/09/2023,10.8,11.32,10.645,10.75,-0.02,-0.19%,351800
01/06/2023,10.45,10.88,10.22,10.77,0.46,+4.46%,183300
01/05/2023,9.64,10.3684,9.64,10.31,0.54,+5.53%,151000
01/04/2023,9.88,10.01,9.71,9.77,-0.11,-1.11%,65600
01/03/2023,10.07,10.34,9.805,9.88,-0.1,-1.00%,99900
12/30/2022,10.16,10.2,9.7969,9.98,-0.24,-2.35%,84700
12/29/2022,9.9,10.51,9.665,10.22,0.42,+4.29%,93500
12/28/2022,9.36,9.885,9.32,9.8,0.36,+3.81%,258900
12/27/2022,9.97,9.97,9.26,9.44,-0.5,-5.03%,136500
12/23/2022,10.17,10.31,9.91,9.94,-0.24,-2.36%,123500
12/22/2022,10.3,10.3,10.01,10.18,-0.15,-1.45%,175200
12/21/2022,10.27,10.55,10.27,10.33,0.12,+1.18%,111000
12/20/2022,10.03,10.26,9.86,10.21,0.06,+0.59%,112900
12/19/2022,10.55,10.5999,10.07,10.15,-0.39,-3.70%,193500
12/16/2022,10.57,10.82,10.47,10.54,-0.17,-1.59%,279500
12/15/2022,10.83,11.2,10.6505,10.71,-0.22,-2.01%,210900
12/14/2022,10.95,11.1,10.81,10.93,-0.02,-0.18%,82600
12/13/2022,10.99,11.13,10.73,10.95,0.32,+3.01%,235200
12/12/2022,10.6,10.78,10.57,10.63,-0.03,-0.28%,90500
12/09/2022,10.85,10.98,10.63,10.66,-0.08,-0.74%,81700
12/08/2022,10.69,10.89,10.58,10.74,0.13,+1.23%,101800
12/07/2022,10.46,10.8299,10.445,10.61,0.04,+0.38%,92100
12/06/2022,10.83,10.83,10.42,10.57,-0.36,-3.29%,80300
12/05/2022,10.99,11.08,10.74,10.93,-0.16,-1.44%,110800
12/02/2022,10.89,11.13,10.89,11.09,0.06,+0.54%,106500
12/01/2022,11.01,11.35,10.845,11.03,0.08,+0.73%,418100
11/30/2022,10.49,11.07,10.36,10.95,0.47,+4.48%,956200
11/29/2022,10.41,11.02,10.04,10.48,0.08,+0.77%,223600
11/28/2022,11.03,11.0835,10.39,10.4,-0.78,-6.98%,185900
11/25/2022,11.03,11.24,10.97,11.18,0.25,+2.29%,51200
11/23/2022,11.06,11.24,10.8,10.93,-0.04,-0.36%,190700
11/22/2022,10.95,11.085,10.61,10.97,0.13,+1.20%,133300
11/21/2022,11.58,11.67,10.76,10.84,-0.89,-7.59%,160400
11/18/2022,11.84,12.08,11.66,11.73,0.21,+1.82%,164600
11/17/2022,11.54,11.86,11.32,11.52,-0.21,-1.79%,154000
11/16/2022,12.13,12.257,11.65,11.73,-0.4,-3.30%,179800
11/15/2022,12.41,12.6,12.03,12.13,-0.08,-0.66%,176700
11/14/2022,13.07,13.07,12.17,12.21,-0.76,-5.86%,257500
11/11/2022,13.05,13.4925,12.65,12.97,-0.12,-0.92%,457400
11/10/2022,12.74,13.66,12.62,13.09,0.38,+2.99%,833300
11/09/2022,12.53,12.8,11.32,12.71,0.65,+5.39%,730200
11/08/2022,11.4,12.725,11.1,12.06,1.38,+12.92%,294300
11/07/2022,11.14,11.175,10.53,10.68,-0.35,-3.17%,462400
11/04/2022,10.9,11.05,10.62,11.03,0.34,+3.18%,228800
11/03/2022,10.53,10.77,10.3896,10.69,0.04,+0.38%,141400
