Time,Open,High,Low,Last,Change,%Chg,Volume
03/28/2023,2.22,2.28,2.22,2.2517,-0.0183,-0.81%,10137
03/27/2023,2.26,2.28,2.2212,2.27,-0.01,-0.44%,11300
03/24/2023,2.27,2.2936,2.2,2.28,0.08,+3.64%,19700
03/23/2023,2.34,2.35,2.1801,2.2,-0.09,-3.93%,51900
03/22/2023,2.31,2.37,2.28,2.29,-0.09,-3.78%,31500
03/21/2023,2.29,2.39,2.25,2.38,0.08,+3.48%,59300
03/20/2023,2.28,2.3832,2.25,2.3,0.05,+2.22%,42800
03/17/2023,2.47,2.47,2.24,2.25,-0.22,-8.91%,58500
03/16/2023,2.3,2.47,2.25,2.47,0.19,+8.33%,50700
03/15/2023,2.34,2.4499,2.25,2.28,-0.075,-3.18%,70800
03/14/2023,2.56,2.56,2.28,2.355,-0.205,-8.01%,92000
03/13/2023,2.57,2.61,2.3001,2.56,-0.12,-4.48%,171400
03/10/2023,3.58,3.66,2.51,2.68,-1.45,-35.11%,645369
03/09/2023,4.39,4.54,3.7201,4.13,0.49,+13.46%,2621300
03/08/2023,3.31,4.02,3.31,3.64,0.31,+9.31%,702600
03/07/2023,3.5,3.5,3.1,3.33,0.37,+12.50%,167800
03/06/2023,2.78,3.2,2.58,2.96,0.55,+22.82%,199600
03/03/2023,2.465,2.519,2.41,2.41,0.025,+1.05%,10700
03/02/2023,2.28,2.49,2.23,2.385,0.125,+5.53%,6000
03/01/2023,2.6,2.6899,2.25,2.26,-0.22,-8.87%,28900
02/28/2023,3.4,3.5,2.4,2.48,-0.93,-27.27%,103500
02/27/2023,3.59,3.7499,3.34,3.41,-0.15,-4.21%,13800
02/24/2023,3.66,3.7,3.01,3.56,0.01,+0.28%,18700
02/23/2023,3.75,3.75,3.52,3.55,-0.17,-4.57%,3400
02/22/2023,3.69,3.75,3.3405,3.72,0.04,+1.09%,6700
02/21/2023,3.69,3.69,3.62,3.68,-0.01,-0.27%,1700
02/17/2023,3.55,3.69,3.55,3.69,0.0799,+2.21%,2500
02/16/2023,3.61,3.67,3.61,3.6101,0.0001,0.00%,13900
02/15/2023,2.82,3.74,2.82,3.61,0.45,+14.24%,86900
02/14/2023,3.03,3.16,2.915,3.16,0.1209,+3.98%,9700
02/13/2023,2.96,3.15,2.82,3.0391,0.2991,+10.92%,10500
02/10/2023,2.61,3.08,2.5801,2.74,-0.0899,-3.18%,5100
02/09/2023,2.83,2.8615,2.59,2.8299,-0.1367,-4.61%,6200
02/08/2023,2.89,3.0299,2.8101,2.9666,-0.0334,-1.11%,2900
02/07/2023,2.96,3.0899,2.8101,3,0.05,+1.69%,6600
02/06/2023,2.85,3.1899,2.85,2.95,0.15,+5.36%,4700
02/03/2023,2.95,3.2499,2.8,2.8,-0.24,-7.89%,6100
02/02/2023,3.25,3.25,2.88,3.04,-0.17,-5.30%,26500
02/01/2023,3.22,3.4,3.2,3.21,-0.1099,-3.31%,4600
01/31/2023,3.32,3.59,3.22,3.3199,-0.0401,-1.19%,9500
01/30/2023,3.5,3.5,3.33,3.36,0,0.00%,5500
01/27/2023,3.34,3.54,3.33,3.36,0,0.00%,6000
01/26/2023,3.3,3.5224,3.3,3.36,0.01,+0.30%,5300
01/25/2023,3.54,3.54,3.32,3.35,0.05,+1.52%,5800
01/24/2023,3.66,3.6699,3.3,3.3,-0.03,-0.90%,6200
01/23/2023,3.355,3.45,3.2301,3.33,-0.12,-3.48%,3800
01/20/2023,3.29,3.495,3.23,3.45,-0.05,-1.43%,5000
01/19/2023,3.23,3.5,3.2,3.5,0.1201,+3.55%,14900
01/18/2023,3.31,3.45,3.2001,3.3799,-0.0401,-1.17%,3800
01/17/2023,3.44,3.4411,3.17,3.42,0.23,+7.21%,3000
01/13/2023,3.24,3.4842,3.19,3.19,-0.18,-5.34%,3800
01/12/2023,3.36,3.3701,3.3,3.37,-0.1,-2.88%,3100
01/11/2023,3.52,3.8099,3.32,3.47,-0.04,-1.14%,4600
01/10/2023,3.67,3.69,3.51,3.51,-0.3099,-8.11%,2600
01/09/2023,3.99,4,3.6,3.8199,0.0099,+0.26%,49800
01/06/2023,3.64,3.9,3.64,3.81,0.03,+0.79%,32500
01/05/2023,3.77,3.8699,3.73,3.78,-0.05,-1.31%,7400
01/04/2023,3.87,3.89,3.66,3.83,-0.06,-1.54%,4000
01/03/2023,3.79,3.91,3.6,3.89,0.0119,+0.31%,9600
12/30/2022,3.7,3.9,3.62,3.8781,0.2781,+7.73%,5100
12/29/2022,3.7,3.87,3.6,3.6,-0.2818,-7.26%,4500
12/28/2022,3.73,3.9,3.6144,3.8818,-0.0082,-0.21%,7600
12/27/2022,4.1,4.1,3.6001,3.89,0.09,+2.37%,20700
12/23/2022,3.72,3.8,3.7,3.8,0.13,+3.54%,5900
12/22/2022,3.7569,3.7999,3.51,3.67,-0.1299,-3.42%,4800
12/21/2022,3.5,3.7999,3.5,3.7999,0.1899,+5.26%,2400
12/20/2022,3.59,3.6517,3.5403,3.61,-0.2499,-6.47%,13800
12/19/2022,3.67,3.8599,3.55,3.8599,0.2099,+5.75%,5100
12/16/2022,3.62,3.73,3.6,3.65,-0.22,-5.68%,2200
12/15/2022,4.06,4.06,3.65,3.87,-0.3099,-7.41%,15900
12/14/2022,3.72,4.1799,3.5,4.1799,0.3899,+10.29%,25800
12/13/2022,3.96,4.35,3.6672,3.79,-0.16,-4.05%,50400
12/12/2022,3.87,4.28,3.8501,3.95,0.02,+0.51%,21800
12/09/2022,4.1599,4.1599,3.84,3.93,-0.25,-5.98%,8600
12/08/2022,4.28,4.42,4.05,4.18,-0.12,-2.79%,11600
12/07/2022,4.1,4.606,4.07,4.3,0.05,+1.18%,24900
12/06/2022,4.27,4.38,3.91,4.25,-0.08,-1.85%,19800
12/05/2022,4.56,4.56,4.3196,4.33,-0.265,-5.77%,11800
12/02/2022,4.3,4.69,4.3,4.595,0.175,+3.96%,27700
12/01/2022,4.36,4.59,3.9519,4.42,-0.61,-12.13%,33600
11/30/2022,3.5,5.03,3.37,5.03,1.36,+37.06%,135600
11/29/2022,3.34,3.75,3.22,3.67,0.15,+4.26%,49900
11/28/2022,3.25,3.52,3.2001,3.52,0.2,+6.02%,29000
11/25/2022,3.48,3.6999,3.1801,3.32,-0.1,-2.92%,29600
11/23/2022,3.32,3.48,3.22,3.42,0.07,+2.09%,16000
11/22/2022,3.41,3.44,3.2,3.35,0.07,+2.13%,21300
11/21/2022,3.68,3.69,3.16,3.28,-0.42,-11.35%,57200
11/18/2022,3.49,3.8726,3.49,3.7,0.21,+6.02%,49700
11/17/2022,3.49,3.58,3.15,3.49,-0.1,-2.79%,34400
11/16/2022,3.01,3.88,2.6201,3.59,0.59,+19.67%,239200
11/15/2022,2.45,3.05,2.2754,3,0.53,+21.46%,129900
11/14/2022,2.37,2.5,2.27,2.47,0.22,+9.78%,33500
11/11/2022,2.23,2.48,2.2201,2.25,-0.06,-2.60%,11400
11/10/2022,2.22,2.62,2.22,2.31,0.17,+7.94%,25600
11/09/2022,2.45,2.45,2.12,2.14,-0.22,-9.32%,47700
11/08/2022,2.34,2.56,2.295,2.36,-0.15,-5.98%,26600
11/07/2022,2.52,2.67,2.41,2.51,-0.09,-3.46%,24900
11/04/2022,2.9,2.9,2.4,2.6,-0.21,-7.47%,60600
11/03/2022,2.83,2.99,2.75,2.81,-0.04,-1.40%,92200
11/02/2022,2.99,2.99,2.8072,2.85,-0.1,-3.39%,18200
11/01/2022,3.04,3.09,2.76,2.95,0.05,+1.72%,87800
10/31/2022,2.99,2.99,2.7501,2.9,-0.03,-1.02%,30500
10/28/2022,2.88,3.12,2.795,2.93,-0.0699,-2.33%,68500
10/27/2022,3.14,3.4,2.7452,2.9999,-0.08,-2.60%,307800
10/26/2022,2.75,3.1499,2.7231,3.0799,0.1899,+6.57%,95600
10/25/2022,2.83,2.9737,2.55,2.89,-0.0045,-0.16%,89200
10/24/2022,2.55,3.2899,2.41,2.8945,0.4945,+20.60%,709400
10/21/2022,2.32,2.43,2.3,2.4,-0.002,-0.08%,14400
10/20/2022,2.4,2.49,2.35,2.402,0.002,+0.08%,17900
10/19/2022,2.4,2.46,2.35,2.4,0.03,+1.27%,22600
10/18/2022,2.42,2.46,2.3367,2.37,-0.04,-1.66%,64200
10/17/2022,2.4,2.53,2.33,2.41,-0.1241,-4.90%,93300
10/14/2022,2.53,2.58,2.35,2.5341,0.0641,+2.60%,93800
10/13/2022,2.6,2.6012,2.39,2.47,-0.17,-6.44%,197700
10/12/2022,2.5535,2.68,2.3471,2.64,-0.03,-1.12%,53000
10/11/2022,2.87,2.89,2.31,2.67,-0.05,-1.84%,24000
10/10/2022,2.67,2.72,2.311,2.72,0.06,+2.26%,26600
10/07/2022,2.82,2.82,2.3,2.66,-0.06,-2.21%,72000
10/06/2022,2.28,2.87,2.2,2.72,0.52,+23.64%,251800
10/05/2022,2.42,2.42,2.1601,2.2,-0.23,-9.47%,53500
10/04/2022,2.7,2.7499,2.4,2.43,-0.24,-8.99%,102700
10/03/2022,2.98,2.98,2.66,2.67,-0.2,-6.97%,72700
09/30/2022,2.89,2.9699,2.78,2.87,-0.07,-2.38%,59700
09/29/2022,2.94,2.9599,2.72,2.94,-0.06,-2.00%,94500
09/28/2022,3.01,3.258,2.85,3,-0.27,-8.26%,143400
09/27/2022,3.5,3.65,3,3.27,-0.25,-7.10%,263600
09/26/2022,3.5,3.78,3.27,3.52,-0.27,-7.12%,237300
09/23/2022,3.94,4.0056,3.4,3.79,-0.15,-3.81%,295600
09/22/2022,4.08,5,3.16,3.94,-0.47,-10.66%,2641700
09/21/2022,5.31,5.46,4.26,4.41,-1.55,-26.01%,1177100
09/20/2022,6.45,8.61,5.56,5.96,0.46,+8.36%,15426000
09/19/2022,14.99,16.38,5.4,5.5,1.33,+31.89%,12726200
09/16/2022,4.1,4.452,4.1,4.17,-0.39,-8.55%,1000
09/12/2022,4.42,4.56,4.42,4.56,-0.04,-0.87%,500
09/09/2022,4.6,4.6,4.6,4.6,0.1,+2.22%,600
09/07/2022,4.45,4.5,4.16,4.5,0.07,+1.58%,2100
09/06/2022,4.43,4.43,4.17,4.43,0,0.00%,700
09/02/2022,4.48,4.5,4.43,4.43,0.0371,+0.84%,900
09/01/2022,4.3929,4.3929,4.3929,4.3929,-0.1371,-3.03%,500
08/31/2022,4.17,4.53,4.04,4.53,0.1,+2.26%,2000
08/30/2022,4.17,4.43,4.17,4.43,-0.0082,-0.18%,1200
08/29/2022,4.4235,4.47,4.3387,4.4382,-0.0318,-0.71%,1200
08/26/2022,4.42,4.6,4.13,4.47,-0.15,-3.25%,3100
08/25/2022,4.65,4.65,4.35,4.62,0.0485,+1.06%,7121
08/24/2022,4.52,4.64,4.2301,4.5715,0.0015,+0.03%,2600
08/23/2022,4.63,4.65,4.52,4.57,-0.06,-1.30%,2200
08/22/2022,4.59,4.7,4.5,4.63,-0.07,-1.49%,3100
08/19/2022,4.7,4.7,4.67,4.7,0.14,+3.07%,600
08/18/2022,4.73,4.73,4.5,4.56,-0.2128,-4.46%,1900
08/17/2022,4.75,4.7728,4.69,4.7728,0.0064,+0.13%,700
08/16/2022,4.64,4.7664,4.64,4.7664,0.0864,+1.85%,300
08/15/2022,4.68,4.68,4.68,4.68,-0.02,-0.43%,200
08/12/2022,4.7,4.7,4.7,4.7,0.0005,+0.01%,200
08/11/2022,4.51,4.6998,4.5015,4.6995,-0.0505,-1.06%,1210
08/10/2022,4.6937,4.75,4.6937,4.75,-0.0035,-0.07%,300
08/08/2022,4.77,4.77,4.5,4.7535,-0.0465,-0.97%,400
08/05/2022,4.8,4.8,4.8,4.8,0,0.00%,100
08/04/2022,4.65,4.8,4.65,4.8,0,0.00%,300
08/03/2022,4.8,4.8,4.65,4.8,0,0.00%,300
08/02/2022,4.77,4.8,4.65,4.8,0.03,+0.63%,300
08/01/2022,4.75,4.8,4.66,4.77,0.16,+3.47%,600
07/29/2022,4.5101,4.8,4.5101,4.61,-0.19,-3.96%,1900
07/28/2022,4.73,4.8,4.56,4.8,0.01,+0.21%,3200
