Time,Open,High,Low,Last,Change,%Chg,Volume
01/13/2023,2223.35,2302.013,2222.16,2301.34,44.57,+1.97%,290600
01/12/2023,2225.53,2267.659,2214.65,2256.77,31.96,+1.44%,292000
01/11/2023,2223.35,2246.27,2215.5,2224.81,3.86,+0.17%,289900
01/10/2023,2200.56,2220.96,2179.325,2220.95,12.54,+0.57%,216600
01/09/2023,2195,2222.52,2184.915,2208.41,29.16,+1.34%,271600
01/06/2023,2165.12,2191.2,2151.16,2179.25,34.31,+1.60%,350400
01/05/2023,2085.49,2153.465,2085.49,2144.94,34.5,+1.63%,376000
01/04/2023,2068.83,2113.595,2056.775,2110.44,78.23,+3.85%,368100
01/03/2023,2038.83,2049,2005.57,2032.21,16.93,+0.84%,266900
12/30/2022,1979.29,2017.6,1978,2015.28,11.77,+0.59%,196600
12/29/2022,1984.8,2013.07,1974.58,2003.51,44.67,+2.28%,206600
12/28/2022,2007.49,2030,1955.35,1958.84,-39.43,-1.97%,240800
12/27/2022,1977.88,2012.39,1962.185,1998.27,26.75,+1.36%,231400
12/23/2022,1926.42,1973.34,1918.72,1971.52,38.53,+1.99%,157900
12/22/2022,1947.7,1947.7,1907.38,1932.99,-37.91,-1.92%,252700
12/21/2022,1975.58,1997.49,1967.84,1970.9,12.39,+0.63%,251000
12/20/2022,1924.72,1963.105,1924.72,1958.51,27.07,+1.40%,245300
12/19/2022,1952.06,1959.45,1919.6,1931.44,-7.11,-0.37%,278500
12/16/2022,1949.38,1972.275,1928.01,1938.55,-27.14,-1.38%,807900
12/15/2022,1966.84,1976.22,1952.31,1965.69,-41.11,-2.05%,342200
12/14/2022,2057.04,2069.66,1988.01,2006.8,-41.03,-2.00%,401500
12/13/2022,2152.37,2152.37,2038.32,2047.83,-32.17,-1.55%,418900
12/12/2022,2020.04,2081.9,2015,2080,60.02,+2.97%,334900
12/09/2022,2001.65,2031.21,1991.29,2019.98,9.22,+0.46%,242000
12/08/2022,1962.39,2020.785,1948.64,2010.76,55.2,+2.82%,314100
12/07/2022,1976.3,1987.64,1940.26,1955.56,-86.63,-4.24%,415400
12/06/2022,2058.04,2074.95,2023.51,2042.19,-14.33,-0.70%,262800
12/05/2022,2056.07,2086.88,2046.77,2056.52,-28.92,-1.39%,278900
12/02/2022,2031.64,2094.49,2024.73,2085.44,25.15,+1.22%,270400
12/01/2022,2083.7,2100.635,2048,2060.29,-19.16,-0.92%,291900
11/30/2022,2032,2084.7,2012.2,2079.45,62.29,+3.09%,444100
11/29/2022,1985.21,2027.565,1985.21,2017.16,32.26,+1.63%,284700
11/28/2022,1986.02,2004.9,1978.06,1984.9,0.27,+0.01%,331300
11/25/2022,1968.48,1996.28,1963.22,1984.63,15.18,+0.77%,168800
11/23/2022,1954.88,2002,1951.735,1969.45,22.48,+1.15%,254400
11/22/2022,1930,1950.05,1899.31,1946.97,27.48,+1.43%,327100
11/21/2022,1922.94,1948.42,1900.01,1919.49,-20.79,-1.07%,280000
11/18/2022,1959.77,1972.2,1925.5,1940.28,-0.48,-0.02%,306100
11/17/2022,1960.92,1972.45,1902.46,1940.76,-73.02,-3.63%,495100
11/16/2022,2008.95,2028.83,1990,2013.78,11.88,+0.59%,302500
11/15/2022,2029.62,2061.96,1975.22,2001.9,22.65,+1.14%,411300
11/14/2022,1996.51,2019.52,1974.01,1979.25,-36.52,-1.81%,411700
11/11/2022,1936.31,2033.38,1936.31,2015.77,69.26,+3.56%,442800
11/10/2022,1946.86,1955.3,1916.4,1946.51,80.69,+4.32%,516200
11/09/2022,1840,1882.34,1830.07,1865.82,6.63,+0.36%,359500
11/08/2022,1835.79,1892.95,1830.575,1859.19,25.37,+1.38%,317900
11/07/2022,1876.01,1886.83,1797.92,1833.82,-40.58,-2.16%,433800
11/04/2022,1884.83,1916.15,1852.1,1874.4,48.67,+2.67%,438700
11/03/2022,1849,1902.7,1822.76,1825.73,47.55,+2.67%,742600
11/02/2022,1862.79,1884.725,1771.32,1778.18,-111.34,-5.89%,608758
11/01/2022,1891.25,1927,1886.036,1889.52,20.04,+1.07%,348902
10/31/2022,1870.91,1885.34,1837.84,1869.48,-2.24,-0.12%,358127
10/28/2022,1839.01,1874.72,1813.54,1871.72,37.98,+2.07%,460700
10/27/2022,1869.37,1875.85,1823.115,1833.74,-17.78,-0.96%,375600
10/26/2022,1874.61,1918.05,1847.52,1851.52,-23.09,-1.23%,375600
10/25/2022,1802.28,1880.229,1802.28,1874.61,66.05,+3.65%,324700
10/24/2022,1813.02,1828.644,1764,1808.56,-14.23,-0.78%,314000
10/21/2022,1772.03,1829.3,1760.02,1822.79,49.17,+2.77%,307000
10/20/2022,1769.61,1827,1763.57,1773.62,1.8,+0.10%,345100
10/19/2022,1750.87,1799.98,1750.87,1771.82,-2.14,-0.12%,313600
10/18/2022,1800.11,1815.59,1750.48,1773.96,26.47,+1.51%,367600
10/17/2022,1703.26,1751.99,1701.335,1747.49,77,+4.61%,318800
10/14/2022,1715.27,1735.86,1667.25,1670.49,-21.64,-1.28%,389000
10/13/2022,1626.23,1710.91,1616.85,1692.13,16.51,+0.99%,477700
10/12/2022,1643.98,1682.56,1629.01,1675.62,41.01,+2.51%,290800
10/11/2022,1671.33,1671.33,1620.84,1634.61,-36.72,-2.20%,304700
10/10/2022,1699.25,1701.65,1657.613,1671.33,-13.83,-0.82%,278400
10/07/2022,1680.77,1699.025,1668.12,1685.16,-24.57,-1.44%,443500
10/06/2022,1723.67,1732.91,1692.605,1709.73,-16.98,-0.98%,371400
