Time,Open,High,Low,Last,Change,%Chg,Volume
01/13/2023,61.47,62.1,61.35,61.43,-0.37,-0.60%,133800
01/12/2023,61.63,61.9599,61.07,61.8,0.41,+0.67%,204200
01/11/2023,61.76,61.945,61.11,61.39,-0.18,-0.29%,103000
01/10/2023,60.86,61.85,60.73,61.57,0.46,+0.75%,195100
01/09/2023,61.8,63.08,61.06,61.11,-0.5,-0.81%,354200
01/06/2023,60.02,61.63,59.31,61.61,2.13,+3.58%,178100
01/05/2023,59.95,60,59.05,59.48,-0.97,-1.60%,127401
01/04/2023,60,61.03,59.9,60.45,0.58,+0.97%,177800
01/03/2023,59.37,60.535,59.1,59.87,1.01,+1.72%,173900
12/30/2022,59.03,59.635,58.7,58.86,-0.74,-1.24%,103800
12/29/2022,58.42,59.685,58.0194,59.6,1.35,+2.32%,168700
12/28/2022,58.31,58.91,58.25,58.25,-0.11,-0.19%,153300
12/27/2022,58.2,58.5,57.465,58.36,0.08,+0.14%,115801
12/23/2022,58.17,58.28,57.34,58.28,0.08,+0.14%,113800
12/22/2022,58.12,58.6,57.31,58.2,-0.2,-0.34%,154800
12/21/2022,57.68,58.88,57.14,58.4,0.98,+1.71%,212100
12/20/2022,56.63,58,56.63,57.42,0.87,+1.54%,186000
12/19/2022,57.81,58.26,56.415,56.55,-1.31,-2.26%,232800
12/16/2022,57.24,58.05,57.08,57.86,0.03,+0.05%,615600
12/15/2022,58,58.28,56.8,57.83,-0.77,-1.31%,280900
12/14/2022,57.7,59.19,57.7,58.6,0.7,+1.21%,365800
12/13/2022,59.54,59.95,57.81,57.9,0.22,+0.38%,260600
12/12/2022,56.48,57.74,56.48,57.68,1.12,+1.98%,194300
12/09/2022,57.18,57.78,56.56,56.56,-0.71,-1.24%,133100
12/08/2022,56.77,58.42,56.75,57.27,0.84,+1.49%,149800
12/07/2022,57.88,57.98,55.93,56.43,-1.26,-2.18%,203908
12/06/2022,58.74,59.26,57.53,57.69,-1.17,-1.99%,140500
12/05/2022,59.59,60.2,58.04,58.86,-1.29,-2.14%,186900
12/02/2022,59.49,60.84,58.91,60.15,-0.1,-0.17%,156400
12/01/2022,59.6,61.18,57.7225,60.25,0.98,+1.65%,157400
11/30/2022,58.02,59.29,57.33,59.27,0.88,+1.51%,282200
11/29/2022,58.12,58.519,57.72,58.39,0.24,+0.41%,119800
11/28/2022,58.2,58.95,57.975,58.15,-0.48,-0.82%,154000
11/25/2022,57.94,58.985,55.1557,58.63,0.69,+1.19%,82501
11/23/2022,57.18,58.35,56.74,57.94,0.58,+1.01%,126300
11/22/2022,56.96,58.25,55.07,57.36,0.65,+1.15%,226500
11/21/2022,57.32,57.3925,56.57,56.71,-0.67,-1.17%,160700
11/18/2022,58.55,58.55,56.92,57.38,-0.12,-0.21%,164500
11/17/2022,57.03,58.305,56.34,57.5,-0.11,-0.19%,150600
11/16/2022,58.86,58.93,57.61,57.61,-1.6,-2.70%,182000
11/15/2022,59.38,60.65,56.48,59.21,0.73,+1.25%,261700
11/14/2022,58.68,59.38,57.89,58.48,-0.95,-1.60%,200100
11/11/2022,59.5,60.41,58.23,59.43,-0.03,-0.05%,255400
11/10/2022,58.18,59.97,58.18,59.46,2.97,+5.26%,372400
11/09/2022,56.18,57.37,55.33,56.49,-0.16,-0.28%,221701
11/08/2022,58.91,58.91,53.02,56.65,-2.14,-3.64%,296900
11/07/2022,57.33,58.915,56.815,58.79,1.44,+2.51%,284000
11/04/2022,57.15,57.475,55.59,57.35,0.34,+0.60%,310400
11/03/2022,55.12,58.43,55.12,57.01,1.56,+2.81%,433700
11/02/2022,56.9,57.965,54.98,55.45,1.04,+1.91%,554600
11/01/2022,55.23,55.23,53.885,54.41,-0.29,-0.53%,255800
10/31/2022,53.74,55.24,53.49,54.7,0.73,+1.35%,293100
10/28/2022,52.79,54.1,52.28,53.97,1.51,+2.88%,220400
10/27/2022,52.9,53.96,51.895,52.46,-0.03,-0.06%,209207
10/26/2022,52.69,53.77,51.52,52.49,-0.21,-0.40%,194100
10/25/2022,51.72,52.905,51.68,52.7,1,+1.93%,226505
10/24/2022,52.12,52.285,51.44,51.7,-0.22,-0.42%,265700
10/21/2022,52.27,52.685,51.18,51.92,-0.3,-0.57%,321500
10/20/2022,52.7,53.77,51.97,52.22,-0.34,-0.65%,205200
10/19/2022,53.57,54,52.39,52.56,-1.38,-2.56%,267900
10/18/2022,53.65,54.315,53.35,53.94,1.38,+2.63%,262200
10/17/2022,53.51,54.27,52.37,52.56,-0.16,-0.30%,366900
10/14/2022,53.2,53.62,52.64,52.72,-0.38,-0.72%,337700
10/13/2022,50.11,53.7878,49.84,53.1,1.86,+3.63%,383700
10/12/2022,51.85,52.32,50.93,51.24,-0.62,-1.20%,262500
10/11/2022,51.81,52.41,50.55,51.86,0.05,+0.10%,531200
10/10/2022,51.94,52.3,51.045,51.81,-0.04,-0.08%,504300
10/07/2022,51.75,51.949,51.38,51.85,-0.39,-0.75%,495600
10/06/2022,51.85,52.83,51.85,52.24,0.15,+0.29%,477600
10/05/2022,52.36,53.17,51.95,52.09,-1.04,-1.96%,526700
10/04/2022,49.25,53.17,49.17,53.13,8.12,+18.04%,1694300
10/03/2022,44.47,45.32,44.08,45.01,0.95,+2.16%,244500
09/30/2022,45.11,45.505,44.01,44.06,-1.01,-2.24%,356700
09/29/2022,44.13,45.12,43.54,45.07,0.24,+0.54%,390100
09/28/2022,44.5,45.19,44.16,44.83,0.36,+0.81%,438700
09/27/2022,45.06,45.47,44.24,44.47,-0.32,-0.71%,357800
