Time,Open,High,Low,Last,Change,%Chg,Volume
03/24/2023,10.57,10.57,10.5502,10.5502,-0.0001,0.00%,300
03/23/2023,10.5503,10.5503,10.5503,10.5503,-0.0397,-0.37%,300
03/22/2023,10.59,10.59,10.59,10.59,-0.13,-1.21%,200
03/20/2023,10.72,10.72,10.72,10.72,0.16,+1.52%,100
03/17/2023,10.49,10.56,10.49,10.56,0.095,+0.91%,15000
03/16/2023,10.48,10.48,10.465,10.465,-0.115,-1.09%,10500
03/15/2023,10.59,10.5901,10.58,10.58,0.08,+0.76%,14200
03/10/2023,10.5,10.5,10.5,10.5,-0.02,-0.19%,1000
03/09/2023,10.52,10.52,10.52,10.52,0.02,+0.19%,2000
03/06/2023,10.52,10.52,10.5,10.5,0.0001,0.00%,8700
03/02/2023,10.5,10.5,10.4997,10.4999,0.0099,+0.09%,4900
02/28/2023,10.49,10.49,10.4875,10.49,0.0198,+0.19%,1400
02/21/2023,10.4702,10.4702,10.4702,10.4702,0.0102,+0.10%,100
02/17/2023,10.46,10.46,10.46,10.46,0.005,+0.05%,800
02/16/2023,10.46,10.46,10.455,10.455,-0.005,-0.05%,800
02/14/2023,10.46,10.46,10.46,10.46,-0.01,-0.10%,900
02/08/2023,10.47,10.47,10.47,10.47,0.03,+0.29%,100
02/06/2023,10.43,10.44,10.43,10.44,0.01,+0.10%,4200
02/02/2023,10.42,10.43,10.42,10.43,0.0199,+0.19%,2700
02/01/2023,10.45,10.45,10.41,10.4101,0.0101,+0.10%,1400
01/27/2023,10.39,10.41,10.39,10.4,0.01,+0.10%,1400
01/26/2023,10.39,10.402,10.39,10.39,-0.02,-0.19%,4300
01/24/2023,10.31,10.41,10.31,10.41,0.05,+0.48%,800
01/23/2023,10.35,10.36,10.3,10.36,0.08,+0.78%,1300
01/18/2023,10.28,10.28,10.28,10.28,0,0.00%,100
01/12/2023,10.27,10.29,10.27,10.28,0.05,+0.49%,6100
01/06/2023,10.23,10.23,10.23,10.23,-0.01,-0.10%,226
01/04/2023,10.2101,10.24,10.2101,10.24,-0.03,-0.29%,1800
12/27/2022,10.1575,10.27,10.1575,10.27,0.12,+1.18%,4500
12/23/2022,10.15,10.15,10.15,10.15,0.04,+0.40%,500
12/21/2022,10.11,10.11,10.11,10.11,0,0.00%,200
12/19/2022,10.11,10.11,10.11,10.11,0,0.00%,100
12/16/2022,10.1238,10.1279,10.11,10.11,-0.04,-0.39%,400
12/08/2022,10.15,10.15,10.15,10.15,-0.0079,-0.08%,8400
12/06/2022,10.15,10.1579,10.15,10.1579,0.008,+0.08%,900
11/16/2022,10.15,10.15,10.1499,10.1499,0.0099,+0.10%,800
11/15/2022,10.14,10.14,10.14,10.14,0.01,+0.10%,600
11/14/2022,10.13,10.13,10.13,10.13,-0.015,-0.15%,200
11/11/2022,10.14,10.145,10.14,10.145,-0.0049,-0.05%,300
11/10/2022,10.1401,10.1499,10.1401,10.1499,0.0199,+0.20%,600
11/07/2022,10.22,10.22,10.13,10.13,-0.05,-0.49%,400
11/03/2022,10.18,10.18,10.17,10.18,0,0.00%,800
11/02/2022,10.18,10.18,10.18,10.18,0.03,+0.30%,100
10/31/2022,10.15,10.15,10.15,10.15,-0.04,-0.39%,300
10/28/2022,10.14,10.19,10.11,10.19,0.07,+0.69%,6900
10/26/2022,10.12,10.12,10.11,10.12,0,0.00%,1300
10/25/2022,10.12,10.12,10.12,10.12,0,0.00%,31000
10/24/2022,10.26,10.26,10.08,10.12,-0.02,-0.20%,24900
10/21/2022,10.2,10.2,10.1,10.14,0.06,+0.60%,6700
10/18/2022,10.07,10.09,10.0698,10.08,0.02,+0.20%,27000
10/17/2022,10.07,10.07,10.05,10.06,-0.015,-0.15%,18700
10/14/2022,10.0586,10.075,10.04,10.075,0.035,+0.35%,22700
10/13/2022,10.0387,10.04,10.0387,10.04,0,0.00%,1100
10/12/2022,10.02,10.06,10.02,10.04,0.01,+0.10%,2800
10/10/2022,10.03,10.04,10.02,10.03,0.02,+0.20%,14300
10/07/2022,10.02,10.02,10.01,10.01,-0.01,-0.10%,8200
10/06/2022,10.02,10.02,10.02,10.02,0.02,+0.20%,2200
10/05/2022,10.01,10.01,10,10,-0.01,-0.10%,400
10/04/2022,10.01,10.01,10.01,10.01,0.02,+0.20%,3500
10/03/2022,9.99,9.99,9.99,9.99,0,0.00%,3002
09/30/2022,10,10,9.99,9.99,-0.05,-0.50%,48400
09/29/2022,10,10.04,10,10.04,0.05,+0.50%,5000
09/27/2022,10,10,9.99,9.99,0,0.00%,3200
09/26/2022,9.99,10,9.99,9.99,0.01,+0.10%,43600
09/23/2022,9.98,9.98,9.98,9.98,0,0.00%,1200
09/22/2022,9.98,9.98,9.98,9.98,0,0.00%,500
09/21/2022,9.98,9.99,9.98,9.98,0,0.00%,84800
09/20/2022,9.95,9.98,9.95,9.98,0.01,+0.10%,135600
09/19/2022,9.97,9.97,9.97,9.97,0.02,+0.20%,1700
09/14/2022,9.93,9.96,9.93,9.95,0.03,+0.30%,1000
09/12/2022,9.92,9.92,9.92,9.92,-0.02,-0.20%,200
09/07/2022,9.96,9.96,9.94,9.94,-0.02,-0.20%,190800
09/06/2022,9.96,9.96,9.96,9.96,0.01,+0.10%,400000
09/01/2022,9.95,9.95,9.95,9.95,0.02,+0.20%,100
08/30/2022,9.97,9.97,9.93,9.93,-0.02,-0.20%,200
08/26/2022,9.95,9.95,9.95,9.95,0.0099,+0.10%,5000
08/25/2022,9.94,9.9436,9.935,9.9401,0.0001,0.00%,12200
08/24/2022,9.95,9.95,9.94,9.94,-0.01,-0.10%,6200
08/15/2022,9.965,9.965,9.95,9.95,0,0.00%,11100
08/12/2022,9.95,9.95,9.95,9.95,0.02,+0.20%,1200
08/10/2022,9.96,9.96,9.93,9.93,-0.05,-0.50%,14900
08/08/2022,9.95,9.98,9.95,9.98,0.01,+0.10%,163400
08/05/2022,9.97,9.98,9.96,9.97,0.01,+0.10%,240900
08/04/2022,9.9393,9.98,9.9393,9.96,0.03,+0.30%,341700
08/02/2022,9.93,9.93,9.93,9.93,0,0.00%,600
08/01/2022,9.93,9.935,9.93,9.93,0,0.00%,6900
07/27/2022,9.93,9.935,9.93,9.93,0,0.00%,79500
07/25/2022,9.93,9.93,9.925,9.93,0.01,+0.10%,83800
07/22/2022,9.92,9.92,9.92,9.92,0,0.00%,3000
07/21/2022,9.93,9.93,9.92,9.92,-0.005,-0.05%,30100
07/20/2022,9.91,9.925,9.91,9.925,0.005,+0.05%,224700
07/19/2022,9.92,9.92,9.92,9.92,0.0097,+0.10%,25000
07/18/2022,9.915,9.915,9.9103,9.9103,-0.0047,-0.05%,400
07/15/2022,9.91,9.915,9.91,9.915,0.005,+0.05%,194700
07/13/2022,9.92,9.92,9.9,9.91,-0.01,-0.10%,46000
07/12/2022,9.92,9.92,9.91,9.92,0.005,+0.05%,3300
07/11/2022,9.91,9.915,9.91,9.915,0.015,+0.15%,3200
07/07/2022,9.91,9.91,9.9,9.9,0,0.00%,1105
07/06/2022,9.88,9.9,9.88,9.9,0.0199,+0.20%,90200
07/05/2022,9.8801,9.8801,9.8801,9.8801,-0.0199,-0.20%,300
07/01/2022,9.9,9.9,9.9,9.9,0.01,+0.10%,1300
06/30/2022,9.87,9.89,9.87,9.89,0.01,+0.10%,10900
06/29/2022,9.86,9.88,9.86,9.88,-0.01,-0.10%,400
06/28/2022,9.89,9.89,9.89,9.89,-0.01,-0.10%,300
06/27/2022,9.9,9.9,9.9,9.9,0,0.00%,300
06/23/2022,9.9,9.9,9.9,9.9,0.0101,+0.10%,1900
06/22/2022,9.88,9.89,9.88,9.8899,-0.0101,-0.10%,26102
06/21/2022,9.88,9.9,9.88,9.9,0.01,+0.10%,1600
06/17/2022,9.89,9.89,9.89,9.89,0.01,+0.10%,400
06/16/2022,9.89,9.9,9.88,9.88,-0.01,-0.10%,269400
06/15/2022,9.91,9.91,9.89,9.89,0,0.00%,509400
06/14/2022,9.89,9.89,9.89,9.89,0,0.00%,227
06/13/2022,9.89,9.89,9.89,9.89,-0.0099,-0.10%,201
06/09/2022,9.914,9.914,9.8999,9.8999,0.0199,+0.20%,300
06/08/2022,9.92,9.92,9.88,9.88,-0.01,-0.10%,1200
06/07/2022,9.89,9.89,9.89,9.89,-0.0079,-0.08%,1101
06/06/2022,9.92,9.92,9.88,9.8979,0.0115,+0.12%,10424
06/03/2022,9.8864,9.8864,9.8864,9.8864,-0.0116,-0.12%,1200
06/01/2022,9.9,9.9,9.898,9.898,0.008,+0.08%,8100
05/26/2022,9.86,9.9,9.86,9.89,0.02,+0.20%,4300
05/25/2022,9.87,9.88,9.86,9.87,0,0.00%,5300
05/24/2022,9.86,9.87,9.86,9.87,0.005,+0.05%,1400
05/23/2022,9.86,9.87,9.86,9.865,0,0.00%,37200
05/20/2022,9.87,9.87,9.865,9.865,0.005,+0.05%,10100
05/19/2022,9.8602,9.865,9.86,9.86,0,0.00%,2500
05/18/2022,9.86,9.86,9.86,9.86,-0.0178,-0.18%,25400
05/16/2022,9.8778,9.8778,9.8778,9.8778,0.0178,+0.18%,100
05/13/2022,9.86,9.87,9.8503,9.86,0,0.00%,156100
05/10/2022,9.87,9.87,9.86,9.86,0,0.00%,240500
05/09/2022,9.87,9.8742,9.86,9.86,-0.02,-0.20%,53300
05/06/2022,9.88,9.8806,9.88,9.88,-0.0001,0.00%,1900
05/05/2022,9.8815,9.8815,9.88,9.8801,-0.0199,-0.20%,2200
05/03/2022,9.87,9.9,9.87,9.9,0.03,+0.30%,51000
04/29/2022,9.87,9.87,9.87,9.87,-0.01,-0.10%,9200
04/28/2022,9.88,9.88,9.88,9.88,0.01,+0.10%,300
04/27/2022,9.87,9.8701,9.87,9.87,0,0.00%,55200
04/26/2022,9.87,9.87,9.87,9.87,0,0.00%,100
04/25/2022,9.89,9.89,9.87,9.87,-0.02,-0.20%,311400
04/21/2022,9.87,9.891,9.87,9.89,-0.0002,0.00%,3100
04/20/2022,9.88,9.8902,9.87,9.8902,0.0097,+0.10%,6500
04/19/2022,9.895,9.895,9.88,9.8805,0.0005,+0.01%,800
04/18/2022,9.89,9.89,9.87,9.88,-0.01,-0.10%,1300
04/14/2022,10.3,10.3,9.86,9.89,-0.115,-1.15%,819100
04/13/2022,9.96,10.145,9.88,10.005,0.135,+1.37%,7300
04/12/2022,9.87,10.2,9.86,9.87,-0.01,-0.10%,130100
04/11/2022,9.88,9.88,9.88,9.88,0.02,+0.20%,250400
04/08/2022,9.9,9.9,9.86,9.86,-0.0182,-0.18%,4600
04/07/2022,9.8782,9.8782,9.86,9.8782,0.0182,+0.18%,2700
04/06/2022,9.87,9.8797,9.86,9.86,0,0.00%,552600
04/05/2022,9.86,9.86,9.8501,9.86,0,0.00%,2300
04/04/2022,9.86,10.4,9.84,9.86,0.01,+0.10%,9100
04/01/2022,9.87,9.88,9.85,9.85,-0.02,-0.20%,2800
03/31/2022,9.85,9.87,9.84,9.87,0.02,+0.20%,5500
03/30/2022,9.87,9.87,9.85,9.85,0,0.00%,1100
03/29/2022,9.87,9.87,9.83,9.85,0.01,+0.10%,2500
03/28/2022,9.83,9.85,9.83,9.84,0.01,+0.10%,7200
03/24/2022,9.85,9.85,9.83,9.83,-0.01,-0.10%,2800
03/23/2022,9.84,9.846,9.84,9.84,0,0.00%,6300
03/22/2022,9.84,9.84,9.836,9.84,0,0.00%,7800
03/21/2022,9.84,9.8426,9.835,9.84,-0.01,-0.10%,12900
03/18/2022,9.82,9.85,9.82,9.85,0.01,+0.10%,11200
03/17/2022,9.84,9.84,9.82,9.84,0,0.00%,6800
03/16/2022,9.82,9.85,9.82,9.84,0,0.00%,8900
03/15/2022,9.85,9.85,9.84,9.84,0.01,+0.10%,700
03/11/2022,9.85,9.85,9.83,9.83,0,0.00%,26900
03/10/2022,9.82,9.83,9.82,9.83,0,0.00%,6800
03/09/2022,9.82,9.83,9.8,9.83,-0.0064,-0.07%,36100
03/08/2022,9.83,9.8373,9.83,9.8364,0.0114,+0.12%,2700
03/07/2022,9.825,9.825,9.825,9.825,-0.005,-0.05%,100
03/04/2022,9.83,9.8305,9.82,9.83,0,0.00%,15500
03/03/2022,9.81,9.84,9.81,9.83,0.005,+0.05%,12500
03/02/2022,9.8496,9.8496,9.81,9.825,-0.015,-0.15%,15500
