Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/28/2023,3.1376,3.14,3.1376,3.14,0.0599,+1.94%,582,0
03/27/2023,3.03,3.1055,3.03,3.0801,0.0501,+1.65%,1200,0
03/24/2023,3.09,3.12,3.03,3.03,-0.04,-1.30%,1800,0
03/23/2023,3.02,3.1302,3.02,3.07,-0.0602,-1.92%,4900,0
03/22/2023,3.085,3.1302,3.085,3.1302,0.0368,+1.19%,600,0
03/21/2023,3.11,3.11,3.05,3.0934,0.0734,+2.43%,1900,0
03/20/2023,3.0801,3.1287,3.01,3.02,-0.025,-0.82%,2800,0
03/17/2023,3.11,3.11,3,3.045,-0.045,-1.46%,6200,0
03/16/2023,3.09,3.09,3.09,3.09,0,0.00%,600,0
03/15/2023,3.13,3.13,3.09,3.09,0.04,+1.31%,400,0
03/14/2023,3.13,3.16,3.0303,3.05,0.0399,+1.33%,5000,0
03/13/2023,3.01,3.1584,3,3.0101,-0.0399,-1.31%,8500,0
03/10/2023,3.1494,3.1494,3.01,3.05,-0.075,-2.40%,6500,0
03/09/2023,3.11,3.189,3.07,3.125,-0.065,-2.04%,3600,0
03/08/2023,3.15,3.19,3.0997,3.19,0.04,+1.27%,6900,0
03/07/2023,3.12,3.2011,3.12,3.15,0.03,+0.96%,1600,0
03/06/2023,3.1396,3.1396,3.06,3.12,0.04,+1.30%,4800,0
03/03/2023,3.09,3.11,3.01,3.08,0.035,+1.15%,7000,0
03/02/2023,3.11,3.15,3.01,3.045,-0.005,-0.16%,5300,0
03/01/2023,3.05,3.1502,3.05,3.05,-0.08,-2.56%,5600,0
02/28/2023,3.06,3.179,3.06,3.13,-0.04,-1.26%,10400,0
02/27/2023,3.15,3.24,3.1101,3.17,-0.0699,-2.16%,12800,0
02/24/2023,3.19,3.2899,3,3.2399,0.0199,+0.62%,57000,0
02/23/2023,4.6,4.6129,3.02,3.22,-1.63,-33.61%,221500,0
02/22/2023,3.86,5.24,3.8569,4.85,1,+25.97%,318900,0
02/21/2023,3.63,3.95,3.41,3.85,-0.0166,-0.43%,19900,0
02/17/2023,3.78,3.91,3.7,3.8666,-0.0135,-0.35%,40700,0
02/16/2023,3.67,4.04,3.67,3.8801,0.2501,+6.89%,31400,0
02/15/2023,3.28,3.835,3.18,3.63,0.3,+9.01%,34500,0
02/14/2023,3.4,3.405,3.33,3.33,0.08,+2.46%,2900,0
02/13/2023,3.3099,3.4881,3.176,3.25,-0.15,-4.41%,13200,0
02/10/2023,3.35,3.59,3.33,3.4,0.07,+2.10%,7100,0
02/09/2023,3.33,3.33,3.33,3.33,-0.02,-0.60%,600,0
02/08/2023,3.33,3.505,3.33,3.35,-0.09,-2.62%,12300,0
02/07/2023,3.48,3.54,3.32,3.44,0.04,+1.18%,13500,0
02/06/2023,3.6395,3.6395,3.4,3.4,0.0899,+2.72%,4900,0
02/03/2023,3.6,3.6,3.31,3.3101,-0.4149,-11.14%,7700,0
02/02/2023,3.7,3.93,3.57,3.725,-0.06,-1.59%,18600,0
02/01/2023,3.785,3.785,3.785,3.785,-0.005,-0.13%,300,0
01/31/2023,3.79,3.79,3.78,3.79,-0.04,-1.04%,500,0
01/30/2023,3.58,3.83,3.5571,3.83,0.12,+3.23%,1200,0
01/27/2023,3.6,3.7601,3.52,3.71,0,0.00%,2600,0
01/26/2023,3.51,3.76,3.51,3.71,0.03,+0.82%,1300,0
01/25/2023,3.51,3.85,3.51,3.68,-0.02,-0.54%,1200,0
01/24/2023,3.65,3.7,3.65,3.7,0.09,+2.49%,900,0
01/23/2023,3.46,3.6381,3.46,3.61,-0.1121,-3.01%,1200,0
01/20/2023,3.7682,3.8155,3.7221,3.7221,-0.0579,-1.53%,700,0
01/19/2023,3.82,3.8584,3.71,3.78,-0.06,-1.56%,1500,0
01/18/2023,3.72,3.9252,3.72,3.84,-0.16,-4.00%,6300,0
01/17/2023,4.02,4.02,3.59,4,0.1551,+4.03%,2300,0
01/13/2023,3.96,4.13,3.69,3.8449,-0.0951,-2.41%,40200,0
01/12/2023,3.3718,4.16,3.3718,3.94,0.37,+10.36%,47100,0
01/11/2023,3.38,3.6,3.23,3.57,0.43,+13.69%,16400,0
01/10/2023,3.3722,3.3739,3.14,3.14,0.045,+1.45%,2600,0
01/09/2023,3.02,3.17,3,3.095,0.0453,+1.49%,5800,0
01/06/2023,3.25,3.2601,2.7727,3.0497,-0.188,-5.81%,22400,0
01/05/2023,3.08,3.29,3.08,3.2377,0.2877,+9.75%,6500,0
01/04/2023,3.0805,3.0872,2.9427,2.95,-0.1297,-4.21%,2000,0
01/03/2023,2.92,3.09,2.91,3.0797,0.0593,+1.96%,2400,0
12/30/2022,3.068,3.068,2.88,3.0204,0.0704,+2.39%,12300,0
12/29/2022,2.93,3.038,2.87,2.95,0.02,+0.68%,15900,0
12/28/2022,3.02,3.1601,2.76,2.93,-0.2456,-7.73%,26100,0
12/27/2022,3.18,3.19,3.07,3.1756,0.0409,+1.30%,13500,0
12/23/2022,3.06,3.1347,3.06,3.1347,-0.0071,-0.23%,500,0
12/22/2022,3.06,3.2096,3.06,3.1418,-0.0971,-3.00%,4800,0
12/21/2022,3.21,3.2812,3.06,3.2389,0.0389,+1.22%,14900,0
12/20/2022,3.2287,3.2287,3.2,3.2,-0.0856,-2.61%,3000,0
12/19/2022,3.22,3.29,3.22,3.2856,-0.0044,-0.13%,2600,0
12/16/2022,3.21,3.29,3.21,3.29,-0.01,-0.30%,1300,0
12/15/2022,3.28,3.3,3.2744,3.3,-0.05,-1.49%,1400,0
12/14/2022,3.415,3.415,3.32,3.35,-0.08,-2.33%,3300,0
12/13/2022,3.5,3.55,3.35,3.43,-0.15,-4.19%,14300,0
12/12/2022,3.63,3.6747,3.3684,3.58,-0.02,-0.56%,5400,0
12/09/2022,3.6713,3.6713,3.485,3.6,0.2,+5.88%,2600,0
12/08/2022,3.33,3.43,3.33,3.4,-0.0301,-0.88%,4300,0
12/07/2022,3.26,3.45,3.24,3.4301,0.0201,+0.59%,3600,0
12/06/2022,3.4,3.42,3.36,3.41,-0.03,-0.87%,3600,0
12/05/2022,3.6484,3.6484,3.37,3.44,0.02,+0.58%,1300,0
12/02/2022,3.4101,3.53,3.4101,3.42,0.0599,+1.78%,6000,0
12/01/2022,3.35,3.4,3.31,3.3601,0.1101,+3.39%,2600,0
11/30/2022,3.17,3.43,3.15,3.25,-0.2,-5.80%,9400,0
11/29/2022,3.46,3.478,3.33,3.45,0.075,+2.22%,3200,0
11/28/2022,3.41,3.4199,3.15,3.375,-0.0515,-1.50%,19800,0
11/25/2022,3.42,3.46,3.33,3.4265,0.0415,+1.23%,8500,0
11/23/2022,3.52,3.585,3.3,3.385,-0.295,-8.02%,40300,0
11/22/2022,3.42,4.29,3.41,3.68,0.575,+18.52%,913300,0
11/21/2022,3.02,3.105,3.01,3.105,0.035,+1.14%,8700,0
11/18/2022,3.285,3.285,3.06,3.07,0.0032,+0.10%,4300,0
11/17/2022,3.0924,3.17,3.0668,3.0668,-0.0779,-2.48%,9200,0
11/16/2022,3.2616,3.2616,3.06,3.1447,-0.0572,-1.79%,1800,0
11/15/2022,3.07,3.2215,3.01,3.2019,0.1519,+4.98%,5500,0
11/14/2022,3.09,3.2,3,3.05,0.05,+1.67%,29800,0
11/11/2022,3.3,3.3058,2.98,3,-0.32,-9.64%,17300,0
11/10/2022,3.507,3.507,2.86,3.32,-0.024,-0.72%,15300,0
11/09/2022,3.55,3.55,3.3225,3.344,-0.256,-7.11%,7700,0
11/08/2022,3.45,3.6,3.4,3.6,0.0999,+2.85%,4700,0
11/07/2022,3.3501,3.65,3.3501,3.5001,0.2301,+7.04%,29200,0
11/04/2022,3.3,3.3613,3.24,3.27,0.02,+0.62%,7900,0
11/03/2022,3.2,3.25,3.19,3.25,0.05,+1.56%,6100,0
11/02/2022,3.34,3.385,3.12,3.2,-0.08,-2.44%,7400,0
11/01/2022,3.3,3.38,3.2,3.28,0,0.00%,6900,0
10/31/2022,3.21,3.43,3.21,3.28,0.06,+1.86%,13600,0
10/28/2022,3.41,3.5217,3.21,3.22,-0.22,-6.40%,15000,0
10/27/2022,3.54,3.66,3.43,3.44,-0.09,-2.55%,5900,0
10/26/2022,3.52,3.6,3.49,3.53,-0.01,-0.28%,9800,0
10/25/2022,3.59,3.6837,3.421,3.54,-0.0267,-0.75%,11200,0
10/24/2022,3.48,3.57,3.3887,3.5667,0.0867,+2.49%,6300,0
10/21/2022,3.55,3.6699,3.3401,3.48,0,0.00%,9800,0
10/20/2022,3.68,3.7298,3.3811,3.48,-0.2,-5.43%,36700,0
10/19/2022,3.22,3.68,3.15,3.68,0.32,+9.52%,65500,0
10/18/2022,3.3,3.37,3.22,3.36,0.1,+3.07%,2400,0
10/17/2022,3.2369,3.27,3.2369,3.26,0.0455,+1.42%,1600,0
10/14/2022,3.2,3.45,3.04,3.2145,0.1745,+5.74%,33000,0
10/13/2022,3.03,3.2,3.03,3.04,-0.07,-2.25%,3300,0
10/12/2022,3.07,3.2072,3.02,3.11,-0.09,-2.81%,4200,0
10/11/2022,3.08,3.24,3.08,3.2,0.06,+1.91%,2900,0
10/10/2022,3.1,3.17,3.0101,3.14,0.05,+1.62%,13200,0
10/07/2022,3.23,3.23,3.0409,3.09,-0.07,-2.22%,9700,0
10/06/2022,3.32,3.32,3.08,3.16,-0.02,-0.63%,8800,0
10/05/2022,3.09,3.22,3.05,3.18,0.09,+2.91%,7600,0
10/04/2022,3,3.1502,3,3.09,0.0562,+1.85%,6800,0
10/03/2022,2.9401,3.0445,2.94,3.0338,0.0838,+2.84%,7800,0
09/30/2022,2.92,3.0602,2.92,2.95,-0.01,-0.34%,8200,0
09/29/2022,2.95,3.04,2.95,2.96,-0.11,-3.58%,8100,0
09/28/2022,2.93,3.07,2.93,3.07,0.12,+4.07%,15400,0
09/27/2022,3.1264,3.1415,2.95,2.95,-0.06,-1.99%,18000,0
09/26/2022,2.98,3.13,2.96,3.01,0.04,+1.35%,34800,0
09/23/2022,2.9501,3.06,2.9501,2.97,0,0.00%,51700,0
09/22/2022,3.05,3.14,2.97,2.97,-0.04,-1.33%,56600,0
09/21/2022,3.07,3.16,3,3.01,-0.06,-1.95%,39500,0
09/20/2022,3.22,3.28,3.07,3.07,-0.14,-4.36%,62800,0
09/19/2022,3.2,3.35,3.2,3.21,-0.03,-0.93%,9000,0
09/16/2022,3.34,3.53,3.24,3.24,-0.1,-2.99%,71500,0
09/15/2022,3.51,3.7,3.31,3.34,-0.28,-7.73%,122300,0
09/14/2022,3.51,4.5,3.26,3.62,0.3,+9.04%,575400,0
09/13/2022,3.5,3.5,3.32,3.32,-0.12,-3.49%,9600,0
09/12/2022,3.4717,3.4899,3.34,3.44,0.06,+1.78%,14400,0
09/09/2022,3.4,3.53,3.3,3.38,0.05,+1.50%,55300,0
09/08/2022,3.35,3.4,3.2,3.33,0.01,+0.30%,49600,0
09/07/2022,3.21,3.35,3.15,3.32,0.11,+3.43%,87200,0
09/06/2022,3.26,3.3,3.1523,3.21,0,0.00%,34600,0
09/02/2022,3.26,3.44,3.18,3.21,-0.08,-2.43%,67100,0
09/01/2022,3.27,3.33,3.16,3.29,0.05,+1.54%,11900,0
08/31/2022,3.19,3.3028,3.19,3.24,0.06,+1.89%,17300,0
08/30/2022,3.4,3.5,3.1677,3.18,-0.22,-6.47%,100900,0
08/29/2022,3.48,3.76,3.3183,3.4,-0.1638,-4.60%,155400,0
08/26/2022,3.61,3.77,3.51,3.5638,-0.1062,-2.89%,36700,0
08/25/2022,3.93,3.93,3.66,3.67,-0.32,-8.02%,56300,0
08/24/2022,4.18,4.18,3.89,3.99,-0.2,-4.77%,34600,0
08/23/2022,4.01,4.3,4.01,4.19,0.17,+4.23%,57100,0
08/22/2022,4.11,4.415,3.95,4.02,-0.51,-11.26%,86100,0
08/19/2022,4.39,5.99,4.31,4.53,-0.05,-1.09%,1425800,0
08/18/2022,4.33,4.88,3.98,4.58,0.33,+7.76%,262800,0
08/17/2022,4.03,4.63,4.0268,4.25,0.16,+3.91%,157600,0
08/16/2022,4.2,4.4,3.9201,4.09,-0.31,-7.05%,112300,0
08/15/2022,4.2,5.12,3.87,4.4,0.1,+2.33%,438600,0
08/12/2022,4.55,4.98,4.25,4.3,-0.9,-17.31%,373600,0
08/11/2022,4.15,7.2,4,5.2,0.975,+23.08%,3873700,0
08/10/2022,5.15,5.4199,4.08,4.225,-1.565,-27.03%,487400,0
08/09/2022,6.1,6.7,5.1,5.79,-2.09,-26.52%,1206900,0
08/08/2022,11.12,12.09,7.51,7.88,3.1,+64.85%,11415400,0
08/05/2022,3.32,5.99,3.15,4.78,1.6091,+50.75%,985900,0
08/04/2022,3.12,3.1709,3.12,3.1709,0.0609,+1.96%,1200,0
08/03/2022,3.24,3.44,3.06,3.11,-0.34,-9.86%,11400,0
08/02/2022,3.38,3.83,3.31,3.45,0.1953,+6.00%,35100,0
08/01/2022,3.16,3.2683,3.16,3.2547,-0.1853,-5.39%,2300,0
07/28/2022,3.15,3.44,3.15,3.44,0.0884,+2.64%,600,0
07/27/2022,3.36,3.36,3.33,3.3516,0.2016,+6.40%,600,0
07/26/2022,3.43,3.43,3.03,3.15,-0.2844,-8.28%,2100,0
07/25/2022,3.15,3.4344,3.15,3.4344,0.3444,+11.15%,900,0
07/22/2022,3.36,3.37,3.03,3.09,-0.46,-12.96%,5300,0
07/21/2022,3.55,3.55,3.55,3.55,0.12,+3.50%,300,0
07/20/2022,3.29,3.43,3.29,3.43,0.125,+3.78%,4200,0
07/19/2022,3.0754,3.39,3.0754,3.305,-0.135,-3.92%,1600,0
07/18/2022,3.16,3.47,2.93,3.44,0.05,+1.47%,2500,0
07/15/2022,3.46,3.46,3.1,3.39,0.2774,+8.91%,1600,0
07/14/2022,3.45,3.45,3.05,3.1126,-0.0884,-2.76%,1600,0
07/12/2022,3,3.201,3,3.201,0.041,+1.30%,500,0
07/11/2022,2.92,3.39,2.92,3.16,0.07,+2.27%,1600,0
07/08/2022,3.09,3.09,3.09,3.09,-0.07,-2.22%,700,0
07/07/2022,3.2,3.2,3,3.16,0.03,+0.96%,800,0
07/06/2022,2.94,3.205,2.94,3.13,-0.1295,-3.97%,5800,0
