Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/03/2023,128.45,131.8,128.445,130.77,2.79,+2.18%,507600,0
03/02/2023,126.52,128.39,125.44,127.98,0.5,+0.39%,536300,0
03/01/2023,128.29,130.55,126.52,127.48,-2.57,-1.98%,804000,0
02/28/2023,130.15,130.835,129.05,130.05,-0.81,-0.62%,557300,0
02/27/2023,134,134.13,130,130.86,-2.45,-1.84%,663600,0
02/24/2023,132.39,133.895,129.02,133.31,-1.08,-0.80%,673700,0
02/23/2023,134.02,135.6,130.88,134.39,-0.24,-0.18%,1027100,0
02/22/2023,137.72,138.51,134.18,134.63,-2.9,-2.11%,865800,0
02/21/2023,138.96,141.925,137.42,137.53,-1.09,-0.79%,618300,0
02/17/2023,140.05,140.28,137.33,138.62,-2.77,-1.96%,814900,0
02/16/2023,145.92,146.675,141.35,141.39,-6.23,-4.22%,676400,0
02/15/2023,142.5,147.66,142.12,147.62,3.7,+2.57%,633900,0
02/14/2023,143.16,144.4,142.4,143.92,0.92,+0.64%,462800,0
02/13/2023,141.49,143.7,141.2,143,1.49,+1.05%,466700,0
02/10/2023,140.5,142.32,140,141.51,0.97,+0.69%,485700,0
02/09/2023,141.15,144.19,140.46,140.54,-0.61,-0.43%,633900,0
02/08/2023,140.2,142.35,140.2,141.15,-0.965,-0.68%,629800,0
02/07/2023,140,142.14,138.87,142.115,1.155,+0.82%,375800,0
02/06/2023,140,142.56,139.26,140.96,-1.1,-0.77%,333800,0
02/03/2023,142.91,145.22,141.86,142.06,-2.34,-1.62%,379100,0
02/02/2023,142.64,144.97,141.83,144.4,1.35,+0.94%,606800,0
02/01/2023,142.02,144.475,139.28,143.05,-0.36,-0.25%,746500,0
01/31/2023,138.05,144.73,138.05,143.41,2.92,+2.08%,1248600,0
01/30/2023,142.48,143.02,139.5,140.49,-3.17,-2.21%,680700,0
01/27/2023,141.48,143.94,140.9573,143.66,1.12,+0.79%,436700,0
01/26/2023,143,143.89,140.33,142.54,-0.19,-0.13%,531300,0
01/25/2023,143.05,144.69,141.625,142.73,-1.12,-0.78%,580600,0
01/24/2023,143.28,144.37,140.7,143.85,0.12,+0.08%,504100,0
01/23/2023,142.33,144.93,141.7914,143.73,0.94,+0.66%,725000,0
01/20/2023,141,143.41,139.05,142.79,2.85,+2.04%,1125400,0
01/19/2023,143,144.1082,139.66,139.94,-3.15,-2.20%,1040400,0
01/18/2023,145.83,147.68,142.82,143.09,-0.11,-0.08%,725000,0
01/17/2023,145,145.5,140.91,143.2,-1.85,-1.28%,1160200,0
01/13/2023,149.5,150.635,142.09,145.05,-4.36,-2.92%,1287100,0
01/12/2023,149.35,149.92,146.25,149.41,-0.2,-0.13%,416300,0
01/11/2023,153.62,153.99,146.775,149.61,-4.06,-2.64%,750100,0
01/10/2023,150.03,154.24,149.31,153.67,4.91,+3.30%,678300,0
01/09/2023,152.22,153.2,148.5671,148.76,-1.33,-0.89%,567900,0
01/06/2023,148.5,156.275,145.23,150.09,4.42,+3.03%,1068000,0
01/05/2023,145.1,146.4,143.6,145.67,-0.46,-0.31%,856600,0
01/04/2023,149.97,150.575,145.755,146.13,-2.52,-1.70%,938800,0
01/03/2023,152.94,155.295,148.5,148.65,-1.57,-1.05%,739000,0
12/30/2022,150.45,151,146,150.22,-2.89,-1.89%,934800,0
12/29/2022,152.97,156.244,152.7,153.11,1.41,+0.93%,573600,0
12/28/2022,157.85,159.2609,151.7,151.7,-8.16,-5.10%,959900,0
12/27/2022,175.76,176.67,159.47,159.86,-16.11,-9.15%,1286300,0
12/23/2022,179.68,179.98,173.1059,175.97,-3.91,-2.17%,760300,0
12/22/2022,177.23,180.4,174.11,179.88,1.73,+0.97%,777500,0
12/21/2022,172.6,178.62,170.99,178.15,5.45,+3.16%,819300,0
12/20/2022,166.25,174.99,165.5,172.7,4.14,+2.46%,679900,0
12/19/2022,175.96,177.75,167.7,168.56,-6.69,-3.82%,927900,0
12/16/2022,178.7,183.64,174.84,175.25,-6.79,-3.73%,883200,0
12/15/2022,186.29,188.985,179.2271,182.04,-4.01,-2.16%,1579500,0
12/14/2022,176.89,188.815,174.33,186.05,7.81,+4.38%,2011100,0
12/13/2022,174.25,183.44,172.61,178.24,11.62,+6.97%,2030500,0
12/12/2022,171.19,171.28,164.81,166.62,-3.68,-2.16%,1111900,0
12/09/2022,171.72,173,169.29,170.3,-1.51,-0.88%,819800,0
12/08/2022,163.23,171.9,162.385,171.81,9.18,+5.64%,1158800,0
12/07/2022,159.56,165.97,159.51,162.63,1.01,+0.62%,600200,0
12/06/2022,166,166,158.36,161.62,-5.09,-3.05%,1167100,0
