Time,Open,High,Low,Last,Change,%Chg,Volume
04/11/2023,10.39,10.3946,10.38,10.38,0.01,+0.10%,14100
04/04/2023,10.37,10.37,10.37,10.37,-0.01,-0.10%,5900
04/03/2023,10.38,10.3801,10.37,10.38,0.015,+0.14%,23500
03/31/2023,10.36,10.365,10.36,10.365,0.005,+0.05%,250500
03/29/2023,10.36,10.36,10.355,10.36,0.01,+0.10%,110000
03/28/2023,10.35,10.3501,10.35,10.35,0,0.00%,16600
03/27/2023,10.35,10.36,10.35,10.35,0,0.00%,82300
03/24/2023,10.35,10.36,10.35,10.35,0,0.00%,65300
03/23/2023,10.35,10.35,10.35,10.35,0,0.00%,10100
03/22/2023,10.34,10.35,10.34,10.35,0.01,+0.10%,95800
03/21/2023,10.33,10.35,10.33,10.34,0.01,+0.10%,42900
03/17/2023,10.35,10.35,10.33,10.33,0,0.00%,50600
03/14/2023,10.33,10.33,10.33,10.33,-0.02,-0.19%,200
03/09/2023,10.35,10.35,10.35,10.35,0.03,+0.29%,300
03/07/2023,10.32,10.32,10.32,10.32,0,0.00%,300
03/06/2023,10.32,10.34,10.32,10.32,-0.0101,-0.10%,4400
03/03/2023,10.32,10.3301,10.32,10.3301,0.0101,+0.10%,10800
03/02/2023,10.31,10.32,10.3,10.32,0.01,+0.10%,102000
03/01/2023,10.31,10.31,10.295,10.31,0,0.00%,28100
02/28/2023,10.31,10.315,10.28,10.31,0.03,+0.29%,91000
02/27/2023,10.28,10.28,10.28,10.28,0,0.00%,3200
02/23/2023,10.28,10.28,10.28,10.28,0,0.00%,7800
02/22/2023,10.31,10.31,10.28,10.28,-0.01,-0.10%,62300
02/21/2023,10.29,10.29,10.29,10.29,0.01,+0.10%,100
02/13/2023,10.28,10.28,10.28,10.28,0.01,+0.10%,100
02/10/2023,10.27,10.3899,10.27,10.27,0,0.00%,25500
02/08/2023,10.27,10.27,10.27,10.27,0,0.00%,200
02/07/2023,10.27,10.27,10.27,10.27,0,0.00%,2000
02/06/2023,10.27,10.27,10.27,10.27,0.01,+0.10%,6500
02/02/2023,10.26,10.265,10.26,10.26,-0.005,-0.05%,36500
02/01/2023,10.26,10.27,10.26,10.265,-0.005,-0.05%,71700
