Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/17/2023,53.22,53.235,51.7407,52.39,-0.72,-1.36%,574100,0
02/16/2023,52.43,53.94,52.11,53.11,0.02,+0.04%,418300,0
02/15/2023,52.95,54.07,52.67,53.09,-0.15,-0.28%,572000,0
02/14/2023,52.5,54.08,52.03,53.24,0.56,+1.06%,594000,0
02/13/2023,52.1,52.72,51.46,52.68,0.69,+1.33%,588000,0
02/10/2023,51.4,52.58,51.1,51.99,0.44,+0.85%,730400,0
02/09/2023,51.11,51.745,50.47,51.55,0.95,+1.88%,1072900,0
02/08/2023,51.65,51.99,49.85,50.6,-0.64,-1.25%,1105700,0
02/07/2023,52.08,52.36,49.63,51.24,-1.15,-2.20%,1806800,0
02/06/2023,51.78,52.945,51.44,52.39,-0.09,-0.17%,1160100,0
02/03/2023,53.75,54.91,52.4,52.48,-2.33,-4.25%,1194200,0
02/02/2023,54.59,55.9,53.74,54.81,1.03,+1.92%,995700,0
02/01/2023,52.43,54.17,51.56,53.78,1.14,+2.17%,680900,0
01/31/2023,51.6,53.32,51.6,52.64,0.92,+1.78%,846800,0
01/30/2023,51.35,53.44,51.2,51.72,0.62,+1.21%,1426000,0
01/27/2023,56.35,56.43,50.73,51.1,-5.4,-9.56%,3048500,0
01/26/2023,61.27,63.9,55.56,56.5,-1.45,-2.50%,1763500,0
01/25/2023,57.2,58.55,55.8,57.95,-0.31,-0.53%,903200,0
01/24/2023,58.03,59.2,55.7,58.26,-0.07,-0.12%,596200,0
01/23/2023,57.79,59.07,57.07,58.33,1.34,+2.35%,726000,0
01/20/2023,57.9,57.9,55.1,56.99,-0.37,-0.65%,1339600,0
01/19/2023,59.2,59.55,57.31,57.36,-2.19,-3.68%,752700,0
01/18/2023,63.23,63.36,59.52,59.55,-2.66,-4.28%,922900,0
01/17/2023,64.01,64.8504,61.9,62.21,-2.07,-3.22%,601700,0
01/13/2023,63.16,65.025,63.16,64.28,0.15,+0.23%,602800,0
01/12/2023,61.47,65.36,60.8776,64.13,4.28,+7.15%,2044400,0
01/11/2023,69.75,69.75,56.4,59.85,-9.43,-13.61%,3601900,0
01/10/2023,68.94,70,68.41,69.28,-0.05,-0.07%,226900,0
01/09/2023,69.81,71.59,69.22,69.33,-0.12,-0.17%,354500,0
01/06/2023,65.67,69.78,64.73,69.45,4.61,+7.11%,410000,0
01/05/2023,66,66.36,64.628,64.84,-1.86,-2.79%,334000,0
01/04/2023,69.34,69.9603,66.41,66.7,-1.55,-2.27%,312300,0
01/03/2023,69.48,69.88,67.125,68.25,-0.18,-0.26%,384100,0
12/30/2022,67.83,68.61,67.295,68.43,-0.23,-0.33%,264500,0
12/29/2022,67.26,69.18,67.075,68.66,2.48,+3.75%,252700,0
12/28/2022,66.99,68.21,65.83,66.18,-0.89,-1.33%,314100,0
12/27/2022,67.79,68.01,66.69,67.07,-0.4,-0.59%,234600,0
12/23/2022,67.1,67.96,66.05,67.47,-0.14,-0.21%,196100,0
