Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/15/2023,47.15,48.12,46.95,47.83,0.42,+0.89%,178600,0
02/14/2023,48.47,48.55,47.4,47.41,-1.23,-2.53%,179900,0
02/13/2023,48.17,48.92,48.1,48.64,0.39,+0.81%,160500,0
02/10/2023,47.91,48.55,47.72,48.25,0.05,+0.10%,180800,0
02/09/2023,48.65,48.89,48.19,48.2,-0.2,-0.41%,229800,0
02/08/2023,48.7,48.84,48.05,48.4,-0.71,-1.45%,195400,0
02/07/2023,48.23,49.19,47.94,49.11,0.51,+1.05%,129600,0
02/06/2023,49.1,49.21,48.49,48.6,-0.75,-1.52%,141200,0
02/03/2023,48.44,49.76,48.3239,49.35,0.64,+1.31%,205700,0
02/02/2023,48.08,48.715,47.86,48.71,0.79,+1.65%,165400,0
02/01/2023,47.43,48.32,47.28,47.92,0.33,+0.69%,137400,0
01/31/2023,46.37,47.74,46.366,47.59,1.2,+2.59%,175700,0
01/30/2023,46.85,47.43,46.36,46.39,-0.58,-1.23%,97300,0
01/27/2023,47,47.61,46.89,46.97,-0.07,-0.15%,153200,0
01/26/2023,46.97,47.11,46.45,47.04,0.28,+0.60%,145700,0
01/25/2023,46.95,47.11,46.47,46.76,-0.59,-1.25%,133800,0
01/24/2023,46.94,47.67,46.77,47.35,0.08,+0.17%,207300,0
01/23/2023,47.05,47.405,46.79,47.27,0.24,+0.51%,166400,0
01/20/2023,46.46,47.41,46.13,47.03,0.63,+1.36%,261000,0
01/19/2023,46.43,46.86,46.16,46.4,-0.16,-0.34%,200400,0
01/18/2023,48.15,48.63,46.49,46.56,-1.56,-3.24%,212300,0
01/17/2023,48.4,48.8,48.09,48.12,-0.1,-0.21%,135000,0
01/13/2023,47.61,48.45,47.42,48.22,0.13,+0.27%,151100,0
01/12/2023,47.45,48.09,47.18,48.09,0.69,+1.46%,124100,0
01/11/2023,46.51,47.41,46.4366,47.4,1.09,+2.35%,141100,0
01/10/2023,45.6,46.42,45.2201,46.31,0.54,+1.18%,144000,0
01/09/2023,46.75,46.82,45.72,45.77,-0.75,-1.61%,136300,0
01/06/2023,46.14,46.91,46.09,46.52,0.92,+2.02%,141400,0
01/05/2023,46.25,46.25,45.42,45.6,-0.67,-1.45%,156900,0
01/04/2023,46.99,47.33,46.12,46.27,-0.37,-0.79%,137800,0
01/03/2023,47.02,47.385,46.43,46.64,-0.21,-0.45%,206300,0
12/30/2022,47.09,47.14,46.53,46.85,-0.44,-0.93%,146100,0
12/29/2022,46.83,47.49,46.71,47.29,0.7,+1.50%,109300,0
12/28/2022,47.45,47.62,46.59,46.59,-0.56,-1.19%,163900,0
12/27/2022,47.3,47.539,46.88,47.15,-0.11,-0.23%,324800,0
12/23/2022,47.08,47.565,46.9,47.26,0.05,+0.11%,176300,0
12/22/2022,47.39,47.75,46.79,47.21,-0.61,-1.28%,138200,0
12/21/2022,47.52,48.09,47.32,47.82,0.61,+1.29%,114200,0
12/20/2022,46.93,47.46,46.71,47.21,0.24,+0.51%,127200,0
12/19/2022,48.01,48.07,46.91,46.97,-1.1,-2.29%,222600,0
12/16/2022,48.22,48.52,47.4476,48.07,-0.64,-1.31%,480100,0
12/15/2022,49.71,49.71,48.55,48.71,-1.26,-2.52%,251600,0
12/14/2022,50.68,51.02,49.75,49.97,-0.54,-1.07%,232600,0
12/13/2022,50.67,51.67,50.51,50.51,0.54,+1.08%,428800,0
12/12/2022,49.72,50.32,49.6,49.97,0.37,+0.75%,324801,0
12/09/2022,49.22,49.88,49.15,49.6,0.24,+0.49%,208600,0
12/08/2022,48.86,49.6,48.775,49.36,0.69,+1.42%,345100,0
12/07/2022,48.61,49.38,48.46,48.67,-0.05,-0.10%,187200,0
12/06/2022,48.98,49.2,48.505,48.72,-0.39,-0.79%,169600,0
12/05/2022,49.5,49.63,48.3006,49.11,-1.05,-2.09%,196500,0
12/02/2022,49.32,50.39,49.3,50.16,0.45,+0.91%,162800,0
12/01/2022,50,50,49.33,49.71,0.06,+0.12%,154100,0
11/30/2022,48.68,49.69,48.193,49.65,0.81,+1.66%,229800,0
11/29/2022,49.04,49.34,48.58,48.84,-0.29,-0.59%,132400,0
11/28/2022,49.53,49.795,49.06,49.13,-0.69,-1.38%,121000,0
11/25/2022,49.61,50.32,49.49,49.82,0.51,+1.03%,111302,0
11/23/2022,49.25,49.88,49.24,49.31,-0.31,-0.62%,103800,0
11/22/2022,49,49.67,48.91,49.62,0.75,+1.53%,217500,0
11/21/2022,48.65,49.01,48.58,48.87,0.12,+0.25%,215200,0
11/18/2022,48.51,49.26,48.51,48.75,0.77,+1.60%,285300,0
11/17/2022,47.37,48,47.08,47.98,0.16,+0.33%,156700,0
11/16/2022,47.53,48.27,47.5,47.82,-0.05,-0.10%,168800,0
11/15/2022,48.14,48.53,47.77,47.87,0.18,+0.38%,192000,0
11/14/2022,47.51,48.56,47.51,47.69,-0.15,-0.31%,236464,0
11/11/2022,49.4,49.44,47.74,47.84,-1.54,-3.12%,226000,0
