Time,Open,High,Low,Last,Change,%Chg,Volume
01/17/2023,56.44,57.47,56.4,57.42,1.13,+2.01%,175567
01/13/2023,55.98,56.33,55.84,56.29,0.2,+0.36%,1110500
01/12/2023,56.34,56.7,55.78,56.09,0.06,+0.11%,1701200
01/11/2023,56.03,56.21,55.605,56.03,0.03,+0.05%,964500
01/10/2023,56.17,56.29,55.78,56,-0.38,-0.67%,1103800
01/09/2023,56.81,57.31,56.25,56.38,-0.45,-0.79%,970500
01/06/2023,56.2,56.96,56.02,56.83,0.91,+1.63%,749600
01/05/2023,55.44,56.43,55.414,55.92,0.26,+0.47%,1530400
01/04/2023,55.13,55.905,54.66,55.66,1.3,+2.39%,1483400
01/03/2023,55.43,55.67,53.97,54.36,-0.96,-1.74%,1201800
12/30/2022,55.24,55.46,54.93,55.32,-0.09,-0.16%,818000
12/29/2022,55.2,55.89,54.93,55.41,0.03,+0.05%,814100
12/28/2022,55.06,55.61,54.97,55.38,0.26,+0.47%,918000
12/27/2022,55.17,55.26,54.8,55.12,0.15,+0.27%,467900
12/23/2022,54.91,55.11,54.62,54.97,0.04,+0.07%,485100
12/22/2022,55,55.03,54.22,54.93,-0.21,-0.38%,651700
12/21/2022,54.54,55.48,54.44,55.14,1.01,+1.87%,1178600
12/20/2022,54.05,54.47,53.59,54.13,0.15,+0.28%,1170900
12/19/2022,54.03,54.69,53.7,53.98,-0.1,-0.18%,1073300
12/16/2022,53.47,54.22,53.22,54.08,0.3,+0.56%,1211000
12/15/2022,54.27,54.52,53.3901,53.78,-1.17,-2.13%,1068300
12/14/2022,54.75,55.45,54.53,54.95,0.45,+0.83%,988500
12/13/2022,55.07,55.56,54.48,54.5,0.26,+0.48%,1812600
12/12/2022,53.59,54.36,53.35,54.24,0.34,+0.63%,907700
12/09/2022,53.18,54.05,53.04,53.9,0.77,+1.45%,1032700
12/08/2022,52.46,53.61,52.32,53.13,0.81,+1.55%,1635000
12/07/2022,52.5,53,52.26,52.32,-0.17,-0.32%,1174900
12/06/2022,53.13,53.29,51.86,52.49,-0.75,-1.41%,795800
12/05/2022,53.48,53.48,52.8,53.24,-0.68,-1.26%,780100
12/02/2022,53.44,54.199,53.335,53.92,0.23,+0.43%,674400
12/01/2022,53.3,54.04,53.08,53.69,0.6,+1.13%,1176500
11/30/2022,51.62,53.27,51.21,53.09,1.52,+2.95%,3768600
11/29/2022,52.25,52.43,51.51,51.57,-0.83,-1.58%,632300
11/28/2022,52.4,53.28,52.34,52.4,-0.35,-0.66%,770000
11/25/2022,52.63,52.89,52.41,52.75,0.05,+0.09%,330000
11/23/2022,52.23,52.9,52.23,52.7,0.63,+1.21%,587400
11/22/2022,51.43,52.1,51.25,52.07,0.88,+1.72%,974400
11/21/2022,50.4,51.33,50.22,51.19,0.4,+0.79%,753500
11/18/2022,50.87,51.19,50.33,50.79,0.11,+0.22%,1322800
11/17/2022,49.84,50.72,49.8,50.68,-0.71,-1.38%,1254400
11/16/2022,51.6,51.8,50.78,51.39,-0.05,-0.10%,1134000
11/15/2022,51.55,53.25,51.13,51.44,-0.06,-0.12%,1962100
11/14/2022,51.65,51.98,51.37,51.5,-0.15,-0.29%,958900
11/11/2022,51,51.82,50.795,51.65,0.75,+1.47%,1087400
11/10/2022,50.57,51.07,50.345,50.9,1.88,+3.84%,981100
11/09/2022,49.8,49.94,48.97,49.02,-0.63,-1.27%,1016600
11/08/2022,49.92,50.07,49,49.65,0.26,+0.53%,1555600
11/07/2022,48.71,49.61,48.46,49.39,1.19,+2.47%,1759900
11/04/2022,48.53,49.035,47.655,48.2,0.65,+1.37%,1421900
11/03/2022,46.28,47.6,45.75,47.55,0.91,+1.95%,1452500
11/02/2022,47.39,48.055,46.61,46.64,-0.73,-1.54%,1314400
11/01/2022,47.7,47.99,46.8616,47.37,0.32,+0.68%,898200
10/31/2022,47.18,47.66,46.85,47.05,-0.17,-0.36%,978400
10/28/2022,46.88,47.56,46.68,47.22,0.82,+1.77%,1292200
10/27/2022,47.23,47.31,46.35,46.4,-0.73,-1.55%,1082200
10/26/2022,46.65,47.59,46.58,47.13,0.31,+0.66%,1092000
10/25/2022,46.94,47.28,46.34,46.82,0.05,+0.11%,1969600
10/24/2022,45.97,46.79,45.71,46.77,1.09,+2.39%,1168200
10/21/2022,44.44,45.68,44.09,45.68,1.27,+2.86%,896800
10/20/2022,44.95,45.23,44.16,44.41,-0.56,-1.25%,937600
10/19/2022,46.05,46.13,44.67,44.97,-1.37,-2.96%,1235000
10/18/2022,47.23,47.53,46.14,46.34,-0.26,-0.56%,1384100
10/17/2022,46.02,46.88,46.02,46.6,1.4,+3.10%,1036000
10/14/2022,46.34,46.87,45.19,45.2,-0.88,-1.91%,1049900
10/13/2022,44.05,46.2,43.66,46.08,0.81,+1.79%,1189700
10/12/2022,44.94,45.63,44.63,45.27,0.59,+1.32%,824400
10/11/2022,44.44,45.255,44.07,44.68,-0.02,-0.04%,1022000
10/10/2022,44.88,45.24,44.38,44.7,0.02,+0.04%,635200
10/07/2022,45.03,45.05,44.41,44.68,-0.37,-0.82%,2012300
10/06/2022,45.65,45.76,44.85,45.05,-1.11,-2.40%,861000
10/05/2022,45.96,46.4525,45.32,46.16,0.2,+0.44%,1377700
10/04/2022,45.03,46.26,45.03,45.96,2,+4.55%,1592900
10/03/2022,43.08,44.12,42.66,43.96,1.34,+3.14%,1049200
09/30/2022,43.29,43.61,42.545,42.62,-0.39,-0.91%,2060800
09/29/2022,43.31,43.4,41.8,43.01,-0.73,-1.67%,2040000
09/28/2022,43.47,43.89,42.775,43.74,0.29,+0.67%,1829500
09/27/2022,44.36,44.5275,42.625,43.45,-0.47,-1.07%,1930800
09/26/2022,44.66,44.96,43.68,43.92,-0.65,-1.46%,1530900
09/23/2022,45.39,45.48,44.1,44.57,-1.71,-3.69%,1798200
09/22/2022,46.89,47.08,46.01,46.28,-0.44,-0.94%,879100
09/21/2022,46.95,47.81,46.71,46.72,-0.18,-0.38%,1228600
09/20/2022,47.06,47.23,46.42,46.9,-0.65,-1.37%,973500
09/19/2022,46.82,47.62,46.7,47.55,0.4,+0.85%,977000
09/16/2022,46.91,47.39,46.57,47.15,-0.24,-0.51%,1519300
