Time,Open,High,Low,Last,Change,%Chg,Volume
01/17/2023,171.79,173.69,169.41,173.09,3.83,+2.26%,295395
01/13/2023,166,169.37,166,169.26,1.2,+0.71%,1021000
01/12/2023,168.17,168.66,164.85,168.06,-0.41,-0.24%,1039200
01/11/2023,164.58,168.7,163.76,168.47,4.15,+2.53%,1523600
01/10/2023,164.59,166.61,162.48,164.32,-1.6,-0.96%,1302000
01/09/2023,161.34,168.52,161.34,165.92,6.26,+3.92%,1924800
01/06/2023,158.75,160.325,155.2,159.66,2.86,+1.82%,1194100
01/05/2023,157.56,158.74,154.88,156.8,-2.43,-1.53%,1728300
01/04/2023,161,162.1,157.46,159.23,-0.41,-0.26%,1328900
01/03/2023,162.83,163.9999,157.495,159.64,-1,-0.62%,992700
12/30/2022,159.92,160.75,158.41,160.64,-1.29,-0.80%,739400
12/29/2022,159.59,163.18,159.4,161.93,3.59,+2.27%,771600
12/28/2022,159.95,161.73,158.1825,158.34,-1.71,-1.07%,769500
12/27/2022,161.1,161.1,158.97,160.05,-1.4,-0.87%,615100
12/23/2022,160.92,161.95,159.25,161.45,-0.31,-0.19%,709700
12/22/2022,162.99,163.34,158.94,161.76,-3.65,-2.21%,1154000
12/21/2022,162.79,165.765,161.61,165.41,3.05,+1.88%,1178700
12/20/2022,159.9,162.9199,159.12,162.36,1.41,+0.88%,1353400
12/19/2022,163.15,163.15,160.02,160.95,-2.25,-1.38%,944600
12/16/2022,163.01,166.61,161.45,163.2,0.97,+0.60%,2992800
12/15/2022,163.04,163.96,160.38,162.23,-3.24,-1.96%,1584600
12/14/2022,168.23,171.225,164.25,165.47,-2.76,-1.64%,1459300
12/13/2022,174.31,174.48,166.07,168.23,2.14,+1.29%,1657400
12/12/2022,163.96,166.84,163.755,166.09,2.42,+1.48%,1414000
12/09/2022,163.32,164.66,162.17,163.67,-0.39,-0.24%,1299700
12/08/2022,162.12,165.44,161.36,164.06,3.47,+2.16%,1397100
12/07/2022,162.32,163.1,159.72,160.59,-3.07,-1.88%,1674000
12/06/2022,166.92,166.92,162.16,163.66,-2.8,-1.68%,1152400
12/05/2022,170.45,170.92,165.505,166.46,-5.97,-3.46%,1441300
12/02/2022,172.93,173.45,170.285,172.43,-4.35,-2.46%,1255300
12/01/2022,174.74,177.27,173.33,176.78,4.74,+2.76%,1931900
11/30/2022,164.2,172.25,164.02,172.04,8.52,+5.21%,2565500
11/29/2022,165.36,165.36,161.9,163.52,-1.43,-0.87%,1142100
11/28/2022,167.54,169.475,164.17,164.95,-2.36,-1.41%,1401000
11/25/2022,167.51,168.35,166.94,167.31,-0.2,-0.12%,441000
11/23/2022,163,168.65,163,167.51,2.31,+1.40%,721500
11/22/2022,162.6,165.63,160.87,165.2,3.34,+2.06%,1118500
11/21/2022,164.45,164.45,161.645,161.86,-3.16,-1.91%,1184800
11/18/2022,167.67,168.16,163.6107,165.02,-0.08,-0.05%,1198500
11/17/2022,165.2,166.975,162.87,165.1,-3.76,-2.23%,1556900
11/16/2022,168.68,170.49,167.16,168.86,0.12,+0.07%,1137500
11/15/2022,171.78,172.4,167.18,168.74,0.81,+0.48%,2008800
11/14/2022,166.03,169.38,165.4475,167.93,1.03,+0.62%,1773000
11/11/2022,162.46,167.99,161.49,166.9,4.88,+3.01%,2273700
11/10/2022,156.66,162.61,155.685,162.02,14.26,+9.65%,2656200
11/09/2022,147.65,148.55,145.94,147.76,-1.335,-0.90%,1070000
11/08/2022,147.11,151.09,146.44,149.095,3.095,+2.12%,1236400
11/07/2022,143.75,146.61,141.62,146,3.59,+2.52%,2085300
11/04/2022,144.34,144.72,138.76,142.41,-0.45,-0.31%,2998600
11/03/2022,144,145.745,142.38,142.86,-2.23,-1.54%,1870100
11/02/2022,151.54,152.4,145.02,145.09,-5.84,-3.87%,2667900
11/01/2022,153.25,153.7591,149.81,150.93,-0.46,-0.30%,1299600
10/31/2022,150.19,152.56,149.42,151.39,-0.09,-0.06%,1544200
10/28/2022,149.66,151.82,148.83,151.48,2.9,+1.95%,1944800
10/27/2022,149.7,150.96,146.36,148.58,-0.47,-0.32%,2169000
10/26/2022,148.23,152.26,147.44,149.05,-2.27,-1.50%,2486500
10/25/2022,158.21,160.74,150.86,151.32,-8.9,-5.55%,5082500
10/24/2022,160.04,161.3988,157.07,160.22,1.88,+1.19%,1832100
10/21/2022,152.1,158.86,150.69,158.34,5.29,+3.46%,2034500
10/20/2022,154.12,156.61,152,153.05,-0.67,-0.44%,1599900
10/19/2022,152.66,154.28,151.73,153.72,-1.84,-1.18%,1164700
10/18/2022,158,159.82,154.15,155.56,1.49,+0.97%,1683497
10/17/2022,152.23,155.165,151.835,154.07,6.62,+4.49%,2287900
10/14/2022,152.32,152.92,147.23,147.45,-3.1,-2.06%,2373600
10/13/2022,142.37,151.62,142.338,150.55,2.58,+1.74%,4676600
10/12/2022,149.24,151.33,147.83,147.97,-0.07,-0.05%,2662000
10/11/2022,154.57,154.9,147.06,148.04,-6.67,-4.31%,4034100
10/10/2022,159.48,159.86,152.73,154.71,-4.19,-2.64%,2242300
10/07/2022,165.26,165.62,158,158.9,-9.51,-5.65%,2415600
10/06/2022,169.95,171.64,168.17,168.41,-1.29,-0.76%,1849808
10/05/2022,170.01,170.785,167.72,169.7,-1.63,-0.95%,2585700
10/04/2022,173.28,174.33,170.34,171.33,1.05,+0.62%,2126900
10/03/2022,164.39,171.26,164.39,170.28,6.85,+4.19%,1797400
09/30/2022,164.75,167.58,163.27,163.43,-1.26,-0.77%,2156800
09/29/2022,165.59,166.85,163.15,164.69,-2.28,-1.37%,1584900
09/28/2022,164,167.66,162.09,166.97,3.84,+2.35%,1477100
09/27/2022,164.26,164.91,160.61,163.13,0.75,+0.46%,1539200
09/26/2022,161.49,164.985,161.49,162.38,1.41,+0.88%,1776503
09/23/2022,160.96,162.5,159.12,160.97,-1.35,-0.83%,1669300
09/22/2022,164.31,165.785,161.87,162.32,-3.72,-2.24%,1811300
09/21/2022,168.54,172.06,166,166.04,-0.95,-0.57%,2099900
09/20/2022,165.97,168.3,165.79,166.99,-0.2,-0.12%,1734800
09/19/2022,162.63,167.29,162.57,167.19,2.92,+1.78%,1555800
09/16/2022,161.92,164.8,160.825,164.27,1.22,+0.75%,3470800
09/15/2022,165.38,165.765,161.16,163.05,-4.18,-2.50%,2164200
09/14/2022,168.38,168.84,165.19,167.23,0.31,+0.19%,1563700
09/13/2022,169.68,170.4889,166.66,166.92,-8.1,-4.63%,1947000
09/12/2022,175.11,175.45,173.58,175.02,0.34,+0.19%,1439200
09/09/2022,173.46,175.97,173.308,174.68,2.84,+1.65%,1292500
09/08/2022,169.46,172.98,168.78,171.84,0.95,+0.56%,1778800
09/07/2022,168.62,171.89,167.62,170.89,3.07,+1.83%,1394000
09/06/2022,168.39,170.395,166.64,167.82,-0.35,-0.21%,1628000
09/02/2022,171.34,172.85,167.16,168.17,-1.87,-1.10%,1416200
09/01/2022,171,171.49,166.89,170.04,-3.73,-2.15%,2353300
08/31/2022,175.33,176.62,172.64,173.77,-0.46,-0.26%,2072300
08/30/2022,175.86,176.14,171.18,174.23,-0.6,-0.34%,1381100
08/29/2022,175.65,177.51,174.72,174.83,-3,-1.69%,1326200
08/26/2022,184.42,184.42,177.48,177.83,-6.97,-3.77%,1750100
08/25/2022,184.69,185.38,182.78,184.8,1.81,+0.99%,1163800
08/24/2022,185.4,185.4,182.64,182.99,-0.26,-0.14%,1315100
08/23/2022,183.82,186.07,183,183.25,-1.65,-0.89%,1012800
08/22/2022,186.34,187.13,184.51,184.9,-3.14,-1.67%,1275800
08/19/2022,188.12,189.25,186.62,188.04,-2.69,-1.41%,1329700
08/18/2022,190.9,192.8,190.41,190.73,-0.27,-0.14%,1221700
08/17/2022,191.98,192.35,190.03,191,-1.63,-0.85%,1341400
08/16/2022,191.48,194.97,191.14,192.63,-0.46,-0.24%,1621900
08/15/2022,188.83,193.21,188.62,193.09,4.26,+2.26%,1659300
08/12/2022,187,189.3,186.45,188.83,2.48,+1.33%,1805900
08/11/2022,187.92,188.48,185.66,186.35,0.01,+0.01%,1676900
08/10/2022,188.58,189.9499,185.68,186.34,1.73,+0.94%,1736900
08/09/2022,183.94,185.65,183.12,184.61,0.28,+0.15%,1458800
08/08/2022,186.82,187.61,183.3,184.33,-2.22,-1.19%,1690900
08/05/2022,182,186.69,181.96,186.55,0.97,+0.52%,1422800
08/04/2022,182.89,185.63,181.28,185.58,3.63,+2.00%,1599100
08/03/2022,182.18,183.05,176.25,181.95,-1.5,-0.82%,3271000
