Time,Open,High,Low,Last,Change,%Chg,Volume
01/17/2023,195.15,197.28,194.03,197,2.15,+1.10%,87882
01/13/2023,192.01,195.295,192,194.85,1.46,+0.75%,713617
01/12/2023,190.89,193.605,189.28,193.39,2.81,+1.47%,686200
01/11/2023,186.96,190.7,186.785,190.58,4.2,+2.25%,506410
01/10/2023,183.45,186.49,182.87,186.38,2.42,+1.32%,349005
01/09/2023,183.8,186.87,183.185,183.96,0.74,+0.40%,567003
01/06/2023,180.33,183.765,179.48,183.22,5.16,+2.90%,443800
01/05/2023,179.6,180.55,177.61,178.06,-3.09,-1.71%,635000
01/04/2023,181.52,182.97,179.8675,181.15,1.64,+0.91%,630700
01/03/2023,179.4,181.02,178.04,179.51,0.93,+0.52%,515305
12/30/2022,178.55,178.7,176.48,178.58,-1.28,-0.71%,337800
12/29/2022,176.73,180.66,176.11,179.86,4.39,+2.50%,387500
12/28/2022,179.16,179.69,175.34,175.47,-3.52,-1.97%,396900
12/27/2022,179.05,180.0956,177.6,178.99,0.85,+0.48%,566900
12/23/2022,177.34,178.61,176.4,178.14,0.32,+0.18%,350700
12/22/2022,179.48,180.83,175.54,177.82,-3.27,-1.81%,576601
12/21/2022,180.66,183.1,179.71,181.09,2.15,+1.20%,572100
12/20/2022,178.4,179.1656,177.45,178.94,0.61,+0.34%,496600
12/19/2022,180.63,181.09,177.84,178.33,-2.95,-1.63%,458900
12/16/2022,182.91,183.77,179.44,181.28,-2.92,-1.59%,1176400
12/15/2022,189.33,191.9895,183.47,184.2,-7.83,-4.08%,550001
12/14/2022,192.61,197,190.86,192.03,-0.95,-0.49%,660902
12/13/2022,195,195,189.68,192.98,3.36,+1.77%,905500
12/12/2022,185.93,189.68,185.44,189.62,4.14,+2.23%,509500
12/09/2022,187.2,188.28,185.35,185.48,-1.47,-0.79%,344900
12/08/2022,185.49,187.18,184.48,186.95,2.1,+1.14%,401000
12/07/2022,184.72,185.78,183.4,184.85,0.11,+0.06%,589900
12/06/2022,187.27,187.27,183.1232,184.74,-2.19,-1.17%,354200
12/05/2022,188.39,188.39,185.205,186.93,-3.09,-1.63%,525300
12/02/2022,188.5,190.7,187.69,190.02,-1.19,-0.62%,684700
12/01/2022,190,192,188.945,191.21,2.57,+1.36%,666000
11/30/2022,183.82,188.93,182.89,188.64,4.56,+2.48%,1488210
11/29/2022,185.1,185.84,182.32,184.08,-1.22,-0.66%,703400
11/28/2022,187.18,188.11,184.6,185.3,-2.9,-1.54%,977700
11/25/2022,188.78,189.43,188,188.2,-1.04,-0.55%,231901
11/23/2022,188.34,190.74,187.7138,189.24,0.74,+0.39%,320600
11/22/2022,186.3,189.34,185.33,188.5,3.38,+1.83%,452000
11/21/2022,185.5,186.76,183.92,185.12,-0.48,-0.26%,479500
11/18/2022,184.97,186.24,183.46,185.6,2.4,+1.31%,369200
11/17/2022,180.79,183.23,179.495,183.2,0.32,+0.17%,293600
11/16/2022,184.65,184.65,182.6,182.88,-1.95,-1.06%,581400
11/15/2022,185.27,186.08,182.86,184.83,2.34,+1.28%,297600
11/14/2022,183.74,186.0644,182.42,182.49,-1.86,-1.01%,416800
11/11/2022,186.71,188.87,184.1,184.35,-1.15,-0.62%,531801
11/10/2022,178.94,185.78,178.18,185.5,13.41,+7.79%,772800
11/09/2022,174.56,175.65,171.75,172.09,-3.63,-2.07%,430200
11/08/2022,173.39,177.055,172.2,175.72,3.41,+1.98%,598900
11/07/2022,172.67,173.36,170.175,172.31,-0.1,-0.06%,529900
11/04/2022,175.41,175.65,168.96,172.41,-0.42,-0.24%,646500
11/03/2022,169.53,173.4,166,172.83,0.43,+0.25%,934700
11/02/2022,169.32,179.2575,167.6,172.4,-0.18,-0.10%,1351100
11/01/2022,174.06,174.7,170.5,172.58,-0.23,-0.13%,1006900
10/31/2022,171.77,174.15,171.185,172.81,-0.07,-0.04%,839700
10/28/2022,168.44,173.69,168.42,172.88,4.45,+2.64%,513300
10/27/2022,168.96,169.67,166.975,168.43,0.85,+0.51%,649100
10/26/2022,167.72,169.4491,166.19,167.58,-0.98,-0.58%,516100
10/25/2022,164.96,168.67,164.96,168.56,3.86,+2.34%,548844
10/24/2022,163.47,165.38,162.515,164.7,2.27,+1.40%,484000
10/21/2022,158.66,163.22,157.5,162.43,4.01,+2.53%,555800
10/20/2022,160.57,161.72,157.35,158.42,-1.05,-0.66%,648400
10/19/2022,160.18,161.71,158.54,159.47,-1.71,-1.06%,358300
10/18/2022,162.72,163.8799,160.12,161.18,1.92,+1.21%,815700
10/17/2022,157.28,159.67,157.28,159.26,5.18,+3.36%,777000
10/14/2022,159.57,160,153.8,154.08,-3.81,-2.41%,687900
10/13/2022,149.02,158.9836,147.91,157.89,5.3,+3.47%,867600
10/12/2022,153.53,154.09,152.44,152.59,-0.01,-0.01%,871800
10/11/2022,158.68,158.68,151.815,152.6,-5.83,-3.68%,1046000
10/10/2022,160.26,160.26,156.74,158.43,-1.19,-0.75%,576500
10/07/2022,162.79,162.79,158.95,159.62,-5.38,-3.26%,750900
10/06/2022,166.61,167.73,164.46,165,-1.55,-0.93%,539300
10/05/2022,164.82,167.79,163.9,166.55,0.21,+0.13%,351700
10/04/2022,162.91,166.41,162.86,166.34,6.43,+4.02%,600000
10/03/2022,157.06,161.1971,156.865,159.91,3.83,+2.45%,734900
09/30/2022,159.13,160.35,155.89,156.08,-2.89,-1.82%,717400
09/29/2022,159.95,161.504,158.19,158.97,-2.49,-1.54%,712800
09/28/2022,158.12,162.39,157.285,161.46,3.73,+2.36%,901400
09/27/2022,159.53,160.79,156.07,157.73,-0.57,-0.36%,423904
09/26/2022,159.53,161.45,158.02,158.3,-1.61,-1.01%,409500
09/23/2022,161.84,161.84,157.7,159.91,-2.73,-1.68%,543000
09/22/2022,165,165.09,161.245,162.64,-2.76,-1.67%,606000
09/21/2022,168.96,170.6,165.4,165.4,-2.85,-1.69%,523900
09/20/2022,169.93,170.12,166.865,168.25,-2.43,-1.42%,474800
09/19/2022,169.27,170.94,168.0786,170.68,-0.15,-0.09%,465000
09/16/2022,168.69,171.51,166.81,170.83,1.15,+0.68%,1267500
09/15/2022,171.88,172.73,169.13,169.68,-2.36,-1.37%,468900
09/14/2022,172.77,173.92,170.3008,172.04,-0.41,-0.24%,616900
09/13/2022,173.88,175.33,171.64,172.45,-5.33,-3.00%,852634
09/12/2022,177.15,177.84,175.586,177.78,2.21,+1.26%,610100
09/09/2022,175.7,176.75,174.75,175.57,1.21,+0.69%,624500
09/08/2022,171.77,175.2,171.53,174.36,1.29,+0.75%,480200
09/07/2022,169.6,173.395,168.72,173.07,3.7,+2.18%,600400
09/06/2022,169.75,170.235,167.15,169.37,0.87,+0.52%,630200
09/02/2022,172.48,173.04,167.78,168.5,-2.01,-1.18%,549002
09/01/2022,169.5,170.89,167.945,170.51,-0.19,-0.11%,788500
08/31/2022,175.68,175.88,170.33,170.7,-4.37,-2.50%,1180600
08/30/2022,178,178.135,174.537,175.07,-2.93,-1.65%,817300
08/29/2022,177.88,179.285,176.87,178,-1.69,-0.94%,858101
08/26/2022,187.9,187.9,179.38,179.69,-8.21,-4.37%,987100
08/25/2022,184.68,187.95,184.68,187.9,3.5,+1.90%,522300
08/24/2022,184.35,185.47,183.37,184.4,-0.47,-0.25%,683000
08/23/2022,185.24,186.2499,184.53,184.87,-0.24,-0.13%,863900
08/22/2022,186.07,187.2,184.66,185.11,-3.26,-1.73%,1243700
08/19/2022,186.35,188.895,185.76,188.37,1.26,+0.67%,1334900
08/18/2022,183.18,187.26,183.02,187.11,4.49,+2.46%,1026500
08/17/2022,183.55,183.94,181.13,182.62,-0.93,-0.51%,943000
08/16/2022,181.04,183.94,180.5,183.55,1.88,+1.03%,582300
08/15/2022,178.88,181.9,177.82,181.67,1.4,+0.78%,1449000
08/12/2022,176.87,180.67,175.31,180.27,4.56,+2.60%,571400
08/11/2022,178.16,178.61,175.335,175.71,-0.3,-0.17%,613900
08/10/2022,175.83,176.57,174.36,176.01,3.49,+2.02%,733200
08/09/2022,177.7,178.69,172.12,172.52,-6.06,-3.39%,1401400
08/08/2022,180.23,181.3,177.5,178.58,-1.11,-0.62%,875900
08/05/2022,178.18,180.27,177.44,179.69,-0.33,-0.18%,823700
08/04/2022,181.04,182.24,178.82,180.02,-1.94,-1.07%,832500
08/03/2022,180.33,182.73,177.725,181.96,1.63,+0.90%,1019100
08/02/2022,181.19,182.39,179.43,180.33,-1.18,-0.65%,939500
08/01/2022,180.01,182.78,179.44,181.51,-0.02,-0.01%,766300
07/29/2022,178.54,182.05,177.84,181.53,3.38,+1.90%,963300
07/28/2022,175.34,178.44,174.37,178.15,3.35,+1.92%,707600
07/27/2022,170.93,175.7,170.41,174.8,4.7,+2.76%,538607
07/26/2022,170.77,171.2,169.42,170.1,-0.34,-0.20%,623401
07/25/2022,171.08,171.24,169.2,170.44,0.34,+0.20%,272500
07/22/2022,171.27,171.76,168.58,170.1,-1.15,-0.67%,710000
07/21/2022,169,171.42,168.56,171.25,2.04,+1.21%,456600
07/20/2022,167.19,169.65,166.27,169.21,1.68,+1.00%,454115
07/19/2022,162.05,167.75,162.05,167.53,7.86,+4.92%,639200
07/18/2022,161.69,163.53,159.11,159.67,-1.84,-1.14%,461600
07/15/2022,160.08,161.69,159.59,161.51,2.74,+1.73%,511300
07/14/2022,157.72,159.56,155.56,158.77,0.47,+0.30%,512200
07/13/2022,155.8,158.84,154.614,158.3,0.1,+0.06%,485700
