Time,Open,High,Low,Last,Change,%Chg,Volume
01/17/2023,17.34,17.47,17.11,17.44,0.05,+0.29%,32862
01/13/2023,17.32,17.64,17.3,17.39,0.02,+0.12%,484800
01/12/2023,17.15,17.42,15.95,17.37,0.3,+1.76%,1126500
01/11/2023,17.11,17.47,16.97,17.07,0.02,+0.12%,517900
01/10/2023,16.2,17.19,16.2,17.05,0.82,+5.05%,430500
01/09/2023,16.09,16.45,15.97,16.23,0.33,+2.08%,619600
01/06/2023,15.89,16.285,15.34,15.9,-0.16,-1.00%,573700
01/05/2023,16.23,16.42,15.725,16.06,-0.39,-2.37%,1159900
01/04/2023,16.67,16.87,16.31,16.45,0.21,+1.29%,507300
01/03/2023,16.56,16.9,16.215,16.24,0.17,+1.06%,505300
12/30/2022,15.99,16.29,15.9,16.07,-0.09,-0.56%,526400
12/29/2022,15.86,16.27,15.75,16.16,0.49,+3.13%,341700
12/28/2022,15.71,16.21,15.58,15.67,-0.18,-1.14%,544400
12/27/2022,16.16,16.16,15.75,15.85,-0.17,-1.06%,528400
12/23/2022,16.13,16.24,15.84,16.02,-0.2,-1.23%,357200
12/22/2022,16.19,16.495,15.8268,16.22,-0.12,-0.73%,372900
12/21/2022,16.44,16.55,16.09,16.34,0.03,+0.18%,558200
12/20/2022,16.05,16.51,15.69,16.31,0.15,+0.93%,359400
12/19/2022,16.23,16.81,15.875,16.16,-0.01,-0.06%,724400
12/16/2022,16.27,16.5,16.09,16.17,-0.23,-1.40%,866800
12/15/2022,15.99,16.82,15.99,16.4,0.12,+0.74%,1007100
12/14/2022,17.05,17.07,16.07,16.28,-1.12,-6.44%,736700
12/13/2022,17.6,18.47,17.14,17.4,0.4,+2.35%,653000
12/12/2022,17.88,17.88,16.97,17,-0.72,-4.06%,622200
12/09/2022,17.7,18.08,17.7,17.72,-0.12,-0.67%,648300
12/08/2022,17.49,18.08,17.31,17.84,0.37,+2.12%,801101
12/07/2022,17.47,17.64,17.17,17.47,-0.02,-0.11%,810300
12/06/2022,17.72,17.72,17.26,17.49,-0.23,-1.30%,983700
12/05/2022,17.35,17.82,17.31,17.72,0.25,+1.43%,781600
12/02/2022,16.94,17.62,16.9,17.47,0.24,+1.39%,575800
12/01/2022,17.07,17.45,16.91,17.23,0.25,+1.47%,1034400
11/30/2022,16.23,17.11,15.835,16.98,1,+6.26%,960400
11/29/2022,15.95,16.16,15.7741,15.98,0.21,+1.33%,671100
11/28/2022,15.81,16.25,15.7,15.77,-0.11,-0.69%,1436100
11/25/2022,16.52,16.52,15.685,15.88,-0.61,-3.70%,418800
11/23/2022,15.84,16.65,15.54,16.49,0.84,+5.37%,909700
11/22/2022,15.37,15.7,15.27,15.65,0.28,+1.82%,1180600
11/21/2022,14.94,15.39,14.725,15.37,0.3,+1.99%,1120200
11/18/2022,14.48,15.11,14.26,15.07,0.91,+6.43%,858600
11/17/2022,14.52,14.79,14.03,14.16,-0.85,-5.66%,588000
11/16/2022,15.57,15.97,15,15.01,-0.57,-3.66%,674600
11/15/2022,15,15.82,14.8,15.58,0.94,+6.42%,1401700
11/14/2022,14.54,15.48,14.49,14.64,-0.01,-0.07%,573400
11/11/2022,14.98,15.38,14.41,14.65,-0.27,-1.81%,644600
11/10/2022,14.59,14.98,13.93,14.92,1.01,+7.26%,905300
11/09/2022,13.29,14.25,13.1977,13.91,0.27,+1.98%,979800
11/08/2022,13.3,14.215,13.01,13.64,0.905,+7.11%,1992000
11/07/2022,12.02,13.33,11.98,12.735,2.085,+19.58%,2204100
11/04/2022,12.05,12.05,10.6,10.65,-1.27,-10.65%,1377500
11/03/2022,11.63,12.235,11.51,11.92,0.1,+0.85%,467500
11/02/2022,12.43,12.565,11.81,11.82,-0.67,-5.36%,711000
11/01/2022,12.49,12.66,12.34,12.49,0.26,+2.13%,672200
10/31/2022,11.95,12.28,11.84,12.23,0.19,+1.58%,833500
10/28/2022,12.07,12.12,11.72,12.04,-0.06,-0.50%,516600
10/27/2022,12.52,12.52,12.05,12.1,-0.36,-2.89%,599700
10/26/2022,12.09,12.63,12.05,12.46,0.37,+3.06%,571300
10/25/2022,11.22,12.12,11.22,12.09,1,+9.02%,745100
10/24/2022,11.28,11.365,10.88,11.09,-0.24,-2.12%,613100
10/21/2022,11.27,11.34,10.92,11.33,-0.02,-0.18%,383800
10/20/2022,11.49,11.87,11.28,11.35,-0.16,-1.39%,415500
10/19/2022,12.36,12.375,11.37,11.51,-0.92,-7.40%,531400
10/18/2022,12.38,12.69,12.28,12.43,0.34,+2.81%,816500
10/17/2022,11.63,12.22,11.63,12.09,0.45,+3.87%,585101
10/14/2022,11.93,12.08,11.37,11.64,-0.12,-1.02%,473510
10/13/2022,11.79,11.98,11.48,11.76,-0.23,-1.92%,836100
10/12/2022,12.45,12.47,11.96,11.99,-0.46,-3.69%,634300
10/11/2022,12.55,12.65,12.19,12.45,-0.11,-0.88%,780100
10/10/2022,13.13,13.13,12.48,12.56,-0.55,-4.20%,551900
10/07/2022,13.48,13.53,13.07,13.11,-0.52,-3.82%,482600
10/06/2022,13.91,14.03,13.55,13.63,-0.32,-2.29%,958700
10/05/2022,13.6,13.99,13.5731,13.95,-0.09,-0.64%,620500
10/04/2022,13.68,14.32,13.68,14.04,0.64,+4.78%,683500
10/03/2022,13.41,13.65,13.08,13.4,0.12,+0.90%,616500
09/30/2022,13.26,13.89,13.19,13.28,-0.03,-0.23%,618600
09/29/2022,13.05,13.4,12.71,13.31,0.02,+0.15%,632500
09/28/2022,12.9,13.35,12.9,13.29,0.37,+2.86%,517200
09/27/2022,13.04,13.1399,12.84,12.92,0.08,+0.62%,657400
09/26/2022,13.04,13.37,12.72,12.84,-0.08,-0.62%,665300
09/23/2022,12.89,13.11,12.58,12.92,-0.14,-1.07%,875500
09/22/2022,13.17,13.24,12.92,13.06,-0.16,-1.21%,815300
09/21/2022,13.52,13.71,13.15,13.22,-0.2,-1.49%,718500
09/20/2022,13.9,14.02,13.22,13.42,-0.65,-4.62%,792200
09/19/2022,14.16,14.28,13.815,14.07,-0.14,-0.99%,766900
09/16/2022,14.75,14.75,13.835,14.21,-0.75,-5.01%,1562000
09/15/2022,15,15.505,14.89,14.96,-0.21,-1.38%,586100
09/14/2022,15.54,15.63,15.13,15.17,-0.34,-2.19%,781700
09/13/2022,15.96,16.07,15.45,15.51,-1.02,-6.17%,838900
09/12/2022,16.25,16.67,16.05,16.53,0.25,+1.54%,715900
09/09/2022,16.4,16.48,16.03,16.28,0.01,+0.06%,540200
09/08/2022,15.82,16.56,15.67,16.27,0.61,+3.90%,794200
09/07/2022,15.44,15.72,15.36,15.66,0.22,+1.42%,1135200
09/06/2022,15.16,15.5497,14.94,15.44,0.34,+2.25%,909800
09/02/2022,15.7,15.75,15.04,15.1,-0.42,-2.71%,575900
09/01/2022,15.42,15.59,15.24,15.52,-0.15,-0.96%,809900
08/31/2022,15.8,15.98,15.49,15.67,0,0.00%,832800
08/30/2022,16.29,16.32,15.605,15.67,-0.52,-3.21%,567900
08/29/2022,16.34,16.55,16.101,16.19,-0.31,-1.88%,603200
08/26/2022,16.98,17.09,16.39,16.5,-0.57,-3.34%,624200
08/25/2022,16.65,17.27,16.42,17.07,0.8,+4.92%,700000
08/24/2022,16.32,16.44,16.055,16.27,-0.13,-0.79%,923800
08/23/2022,16,16.56,15.8345,16.4,0.48,+3.02%,1279900
08/22/2022,16.28,16.55,15.9,15.92,-0.64,-3.86%,1037600
08/19/2022,16.9,17.2,16.11,16.56,0.25,+1.53%,1331800
08/18/2022,16.51,16.735,16.02,16.31,-0.35,-2.10%,980500
08/17/2022,17.05,17.14,16.42,16.66,-0.66,-3.81%,805100
08/16/2022,17.71,17.71,16.61,17.32,-0.57,-3.19%,1763427
08/15/2022,17.48,18.25,17.465,17.89,0.33,+1.88%,1475900
08/12/2022,16.99,17.7,16.7289,17.56,-2.63,-13.03%,6876800
08/11/2022,20.48,21.21,19.94,20.19,-0.17,-0.83%,769718
08/10/2022,22.59,22.59,19.64,20.36,-2.48,-10.86%,1944215
08/09/2022,23.86,23.99,22.79,22.84,-1.29,-5.35%,570800
08/08/2022,24,24.66,23.64,24.13,0.39,+1.64%,588100
08/05/2022,23.32,23.99,22.96,23.74,-0.11,-0.46%,236800
08/04/2022,23.11,23.95,22.7649,23.85,0.76,+3.29%,322600
08/03/2022,23.14,23.195,22.845,23.09,0.37,+1.63%,284600
08/02/2022,22.87,23.33,22.59,22.72,-0.3,-1.30%,253300
08/01/2022,22.86,23.98,22.56,23.02,0.03,+0.13%,395600
07/29/2022,22.71,23.04,22.5001,22.99,0.22,+0.97%,367400
07/28/2022,22.48,22.78,21.675,22.77,0.38,+1.70%,271100
07/27/2022,22.5,22.55,22.02,22.39,0.14,+0.63%,226500
07/26/2022,21.96,22.5973,21.73,22.25,0.16,+0.72%,357900
07/25/2022,21.79,22.36,21.44,22.09,0.32,+1.47%,476900
07/22/2022,22.71,22.77,21.6,21.77,-0.84,-3.72%,175000
07/21/2022,22.29,22.79,22.23,22.61,0.32,+1.44%,331200
07/20/2022,22,22.565,21.94,22.29,0.38,+1.73%,286005
07/19/2022,21.6,22.09,21.56,21.91,0.61,+2.86%,222500
07/18/2022,22.5,22.75,21.22,21.3,-0.99,-4.44%,247200
07/15/2022,21.65,22.34,21.35,22.29,1.27,+6.04%,310000
07/14/2022,21.96,22.02,20.7,21.02,-1.25,-5.61%,406100
07/13/2022,22.28,22.9799,22.03,22.27,-0.42,-1.85%,484300
07/12/2022,22.3,22.76,21.91,22.69,0.44,+1.98%,513505
07/11/2022,21.39,22.43,21.23,22.25,0.14,+0.63%,693900
07/08/2022,22.13,22.55,21.79,22.11,-0.37,-1.65%,749100
07/07/2022,21.37,22.74,21.21,22.48,1.03,+4.80%,754100
07/06/2022,22.63,22.81,21.14,21.45,-1.07,-4.75%,1201400
07/05/2022,22.08,22.59,21.6,22.52,0.43,+1.95%,757800
07/01/2022,21.69,22.53,21.485,22.09,0.63,+2.94%,427900
06/30/2022,21.09,21.59,20.51,21.46,-0.03,-0.14%,299400
06/29/2022,21.84,21.84,21.18,21.49,-0.42,-1.92%,304300
06/28/2022,22.16,22.4052,21.42,21.91,-0.25,-1.13%,340300
06/27/2022,22.85,22.85,21.91,22.16,-0.38,-1.69%,410604
06/24/2022,22.52,23.105,22.3,22.54,0.37,+1.67%,1127000
06/23/2022,19.49,22.28,19.49,22.17,2.83,+14.63%,684831
06/22/2022,18.6,19.62,18.18,19.34,0.47,+2.49%,364100
06/21/2022,18.34,19.3,18.16,18.87,0.6,+3.28%,341900
06/17/2022,17.97,18.86,17.85,18.27,0.49,+2.76%,919200
06/16/2022,18.29,18.31,17.19,17.78,-1.1,-5.83%,469200
06/15/2022,18.29,19.125,18.29,18.88,0.86,+4.77%,742000
06/14/2022,17.98,18.62,17.5308,18.02,0.14,+0.78%,465600
06/13/2022,17.08,17.965,16.825,17.88,0.25,+1.42%,555000
06/10/2022,17.84,18.25,17.55,17.63,-0.76,-4.13%,431802
06/09/2022,18.88,19.13,18.37,18.39,-0.72,-3.77%,290900
06/08/2022,19.16,19.475,19.04,19.11,-0.23,-1.19%,581900
06/07/2022,18.97,19.58,18.6804,19.34,0.13,+0.68%,528200
06/06/2022,19.62,19.987,19.095,19.21,-0.16,-0.83%,678800
