Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/22/2023,41.83,42.22,41.61,41.84,-0.11,-0.26%,3600400,0
02/21/2023,42.71,42.83,41.815,41.95,-1.23,-2.85%,3974100,0
02/17/2023,42.98,43.4667,42.81,43.18,0.37,+0.86%,4095100,0
02/16/2023,42.95,43.26,42.71,42.81,-0.62,-1.43%,2269600,0
02/15/2023,42.86,43.53,42.83,43.43,0.07,+0.16%,1894400,0
02/14/2023,43.33,43.55,42.69,43.36,-0.11,-0.25%,2694400,0
02/13/2023,42.99,43.575,42.82,43.47,0.35,+0.81%,2650000,0
02/10/2023,42.91,43.14,42.6,43.12,-0.05,-0.12%,2711900,0
02/09/2023,44.02,44.215,43.11,43.17,-0.64,-1.46%,2869600,0
02/08/2023,43.82,44.19,43.71,43.81,-0.47,-1.06%,3137900,0
02/07/2023,43.6,44.54,43.55,44.28,0.5,+1.14%,2825100,0
02/06/2023,43.87,44.14,43.66,43.78,-0.66,-1.49%,2719600,0
02/03/2023,44.1,44.82,44.09,44.44,-0.02,-0.04%,2969400,0
02/02/2023,43.88,44.785,43.72,44.46,0.8,+1.83%,3647200,0
02/01/2023,43,44.03,42.9,43.66,0.34,+0.78%,3604300,0
01/31/2023,42.41,43.34,42.18,43.32,1.03,+2.44%,2989700,0
01/30/2023,42.63,43.02,42.19,42.29,-1,-2.31%,3410500,0
01/27/2023,43.04,43.47,43.04,43.29,0.17,+0.39%,2856800,0
01/26/2023,43.05,43.36,42.48,43.12,0.37,+0.87%,3857900,0
01/25/2023,41.58,42.77,41.49,42.75,0.93,+2.22%,5269700,0
01/24/2023,42.42,42.57,41.63,41.82,-0.6,-1.41%,4273400,0
01/23/2023,41.49,42.72,41.26,42.42,1.16,+2.81%,4281400,0
01/20/2023,40.52,41.265,40.11,41.26,0.99,+2.46%,7980600,0
01/19/2023,40.49,40.68,39.86,40.27,-0.63,-1.54%,4851500,0
01/18/2023,40.6,41.485,40.24,40.9,0.08,+0.20%,7269200,0
01/17/2023,41.49,41.61,40.47,40.82,-0.9,-2.16%,6119200,0
01/13/2023,41.28,41.78,40.69,41.72,-0.11,-0.26%,3893000,0
01/12/2023,41.78,42.245,41.59,41.83,0.36,+0.87%,3019900,0
01/11/2023,41.32,41.735,41.17,41.47,0.21,+0.51%,3414300,0
01/10/2023,41.07,41.3191,40.84,41.26,0.16,+0.39%,2514000,0
01/09/2023,41.66,41.85,41.01,41.1,-0.54,-1.30%,2411400,0
01/06/2023,40.59,41.815,40.51,41.64,1.17,+2.89%,3238200,0
01/05/2023,40.4,40.66,39.92,40.47,-0.18,-0.44%,3819700,0
01/04/2023,40.01,40.93,39.9,40.65,1.12,+2.83%,3356200,0
01/03/2023,39.5,40.02,39.195,39.53,0.16,+0.41%,3784000,0
12/30/2022,39.24,39.51,39.115,39.37,-0.1,-0.25%,2199900,0
12/29/2022,39.06,39.68,38.91,39.47,0.5,+1.28%,2303300,0
12/28/2022,39.26,39.4,38.865,38.97,-0.24,-0.61%,1881502,0
12/27/2022,38.95,39.28,38.78,39.21,0.31,+0.80%,1663200,0
12/23/2022,38.82,39.11,38.61,38.9,0.01,+0.03%,1809100,0
12/22/2022,38.37,38.94,37.965,38.89,0.19,+0.49%,3047700,0
12/21/2022,38.59,39.09,38.56,38.7,0.65,+1.71%,3831800,0
12/20/2022,38.34,38.66,38,38.05,-0.15,-0.39%,4141700,0
12/19/2022,38.29,38.77,37.88,38.2,-0.13,-0.34%,2836500,0
12/16/2022,37.92,38.41,37.75,38.33,0.01,+0.03%,6154300,0
12/15/2022,38.38,38.75,38.135,38.32,-0.74,-1.89%,5140200,0
12/14/2022,39.89,40,38.88,39.06,-0.84,-2.11%,4484200,0
12/13/2022,41.35,41.59,39.61,39.9,-0.53,-1.31%,4687700,0
12/12/2022,39.9,40.55,39.33,40.43,0.61,+1.53%,3753300,0
12/09/2022,39.38,39.955,39.18,39.82,0.24,+0.61%,3372100,0
12/08/2022,39.68,39.95,39.29,39.58,0.08,+0.20%,4389700,0
12/07/2022,39.11,39.96,38.86,39.5,0.18,+0.46%,4712700,0
12/06/2022,39.31,39.9,38.82,39.32,-0.16,-0.41%,4907400,0
12/05/2022,41.43,41.43,39.25,39.48,-2.22,-5.32%,4661800,0
