Time,Open,High,Low,Last,Change,%Chg,Volume
01/17/2023,0.101,0.101,0.098,0.099,-0.002,-1.98%,1230557
01/13/2023,0.1,0.105,0.0954,0.101,0.0017,+1.71%,6117300
01/12/2023,0.1089,0.109,0.095,0.0993,-0.0063,-5.97%,5946100
01/11/2023,0.102,0.1085,0.0968,0.1056,0.0006,+0.57%,10651100
01/10/2023,0.1005,0.115,0.0996,0.105,0.0014,+1.35%,12194700
01/09/2023,0.1047,0.1047,0.0992,0.1036,0.0018,+1.77%,1338000
01/06/2023,0.1075,0.1075,0.097,0.1018,-0.0022,-2.12%,1972700
01/05/2023,0.1045,0.1045,0.0985,0.104,0.0015,+1.46%,2689100
01/04/2023,0.1046,0.1149,0.0977,0.1025,0.0035,+3.54%,12419100
01/03/2023,0.0983,0.1042,0.0906,0.099,0.003,+3.13%,2992400
12/30/2022,0.0944,0.0973,0.0911,0.096,0.0038,+4.12%,1061000
12/29/2022,0.0942,0.0982,0.0892,0.0922,0.0022,+2.44%,1804800
12/28/2022,0.0905,0.0945,0.0868,0.09,0.0006,+0.67%,1408100
12/27/2022,0.0985,0.1024,0.0892,0.0894,-0.0082,-8.40%,2542200
12/23/2022,0.1016,0.1016,0.095,0.0976,-0.0022,-2.20%,1222400
12/22/2022,0.1,0.103,0.0947,0.0998,-0.0033,-3.20%,1699500
12/21/2022,0.1038,0.115,0.09,0.1031,-0.0014,-1.34%,5471800
12/20/2022,0.1055,0.114,0.0959,0.1045,0,0.00%,2847900
12/19/2022,0.1037,0.108,0.0992,0.1045,-0.0021,-1.97%,4351400
12/16/2022,0.1051,0.11,0.0981,0.1066,-0.0017,-1.57%,2199700
12/15/2022,0.1068,0.1119,0.0977,0.1083,0.0011,+1.03%,2256400
12/14/2022,0.1,0.1079,0.095,0.1072,0.0044,+4.28%,3400800
12/13/2022,0.1294,0.1299,0.0884,0.1028,-0.0262,-20.31%,6318200
12/12/2022,0.12,0.1336,0.1175,0.129,0.006,+4.88%,2149700
12/09/2022,0.13,0.13,0.1216,0.123,-0.0068,-5.24%,926900
12/08/2022,0.13,0.1387,0.1251,0.1298,0.0007,+0.54%,1246400
12/07/2022,0.136,0.142,0.1251,0.1291,-0.0111,-7.92%,1397900
12/06/2022,0.1627,0.1627,0.135,0.1402,-0.0028,-1.96%,2544600
12/05/2022,0.1486,0.157,0.1407,0.143,-0.007,-4.67%,955300
12/02/2022,0.16,0.1648,0.1476,0.15,-0.0076,-4.82%,1129800
12/01/2022,0.1699,0.174,0.1516,0.1576,-0.019,-10.76%,2452600
11/30/2022,0.151,0.197,0.1475,0.1766,0.0256,+16.95%,10353500
11/29/2022,0.153,0.1645,0.1422,0.151,0.006,+4.14%,4501500
11/28/2022,0.16,0.16,0.1351,0.145,0.0019,+1.33%,546200
11/25/2022,0.1453,0.1569,0.1375,0.1431,-0.0047,-3.18%,351200
11/23/2022,0.16,0.16,0.141,0.1478,-0.0023,-1.53%,664900
11/22/2022,0.1326,0.1667,0.1326,0.1501,0.0151,+11.19%,4862700
11/21/2022,0.13,0.1495,0.13,0.135,-0.0093,-6.44%,322000
11/18/2022,0.15,0.16,0.1432,0.1443,-0.0106,-6.84%,306100
11/17/2022,0.1496,0.159,0.141,0.1549,0.0072,+4.87%,581200
11/16/2022,0.15,0.1546,0.141,0.1477,-0.0044,-2.89%,195500
11/15/2022,0.1425,0.1536,0.1425,0.1521,0.0115,+8.18%,490100
11/14/2022,0.14,0.1537,0.14,0.1406,-0.0034,-2.36%,338300
11/11/2022,0.1436,0.1486,0.1306,0.144,0.0064,+4.65%,444500
11/10/2022,0.1299,0.154,0.1275,0.1376,-0.0003,-0.22%,565600
11/09/2022,0.146,0.15,0.1347,0.1379,-0.0043,-3.02%,380300
11/08/2022,0.169,0.169,0.1403,0.1422,-0.0138,-8.85%,783800
11/07/2022,0.153,0.167,0.153,0.156,-0.009,-5.45%,226100
11/04/2022,0.176,0.1775,0.1618,0.165,-0.0126,-7.09%,256600
11/03/2022,0.1751,0.186,0.17,0.1776,-0.003,-1.66%,278800
11/02/2022,0.174,0.1889,0.174,0.1806,-0.0044,-2.38%,270900
11/01/2022,0.181,0.1885,0.18,0.185,-0.001,-0.54%,309600
10/31/2022,0.1771,0.191,0.1761,0.186,0.0099,+5.62%,473600
10/28/2022,0.177,0.182,0.1701,0.1761,0.0041,+2.38%,595900
10/27/2022,0.17,0.177,0.16,0.172,0.0047,+2.81%,955000
10/26/2022,0.1677,0.175,0.1634,0.1673,-0.0003,-0.18%,615800
10/25/2022,0.1697,0.173,0.1581,0.1676,0.0088,+5.54%,289700
10/24/2022,0.16,0.1705,0.1584,0.1588,-0.0012,-0.75%,346200
10/21/2022,0.1645,0.165,0.1562,0.16,0.001,+0.63%,315600
10/20/2022,0.1771,0.1771,0.159,0.159,-0.0088,-5.24%,471200
10/19/2022,0.1581,0.18,0.1562,0.1678,0.012,+7.70%,1299200
10/18/2022,0.166,0.167,0.1507,0.1558,-0.0042,-2.63%,485100
10/17/2022,0.1501,0.169,0.1501,0.16,0,0.00%,242500
10/14/2022,0.163,0.1699,0.1521,0.16,-0.0051,-3.09%,263000
10/13/2022,0.16,0.169,0.153,0.1651,-0.0008,-0.48%,242700
10/12/2022,0.1609,0.173,0.1505,0.1659,0.0089,+5.67%,300200
10/11/2022,0.1563,0.168,0.1504,0.157,0.0007,+0.45%,319100
10/10/2022,0.1604,0.1647,0.1503,0.1563,-0.0003,-0.19%,522500
10/07/2022,0.1751,0.1751,0.155,0.1566,-0.01,-6.00%,722400
10/06/2022,0.18,0.193,0.1666,0.1666,-0.0134,-7.44%,1116400
10/05/2022,0.18,0.1836,0.17,0.18,0.0001,+0.06%,514900
10/04/2022,0.18,0.1836,0.1727,0.1799,0.0084,+4.90%,650400
10/03/2022,0.169,0.1744,0.16,0.1715,0.0035,+2.08%,916800
09/30/2022,0.18,0.1838,0.157,0.168,-0.0117,-6.51%,597700
09/29/2022,0.186,0.186,0.175,0.1797,-0.001,-0.55%,301100
09/28/2022,0.17,0.1855,0.17,0.1807,0.0052,+2.96%,474300
09/27/2022,0.1771,0.181,0.1749,0.1755,-0.0015,-0.85%,451900
09/26/2022,0.1779,0.1829,0.1711,0.177,0.0006,+0.34%,457200
09/23/2022,0.1855,0.1879,0.1752,0.1764,-0.0163,-8.46%,848800
09/22/2022,0.1975,0.1993,0.1863,0.1927,-0.0109,-5.35%,603900
09/21/2022,0.2027,0.2139,0.19,0.2036,-0.0064,-3.05%,614900
09/20/2022,0.2027,0.2125,0.2001,0.21,0.002,+0.96%,523600
09/19/2022,0.2186,0.22,0.2028,0.208,-0.012,-5.45%,780200
09/16/2022,0.2211,0.227,0.217,0.22,-0.007,-3.08%,834716
09/15/2022,0.2252,0.2367,0.2247,0.227,0.0019,+0.84%,661300
09/14/2022,0.2347,0.24,0.2251,0.2251,-0.0053,-2.30%,609400
09/13/2022,0.2394,0.24,0.2265,0.2304,-0.0097,-4.04%,771700
09/12/2022,0.245,0.25,0.236,0.2401,0.0003,+0.13%,1189300
09/09/2022,0.24,0.2448,0.2333,0.2398,0.0065,+2.79%,602600
09/08/2022,0.24,0.25,0.2333,0.2333,-0.0102,-4.19%,601700
09/07/2022,0.24,0.252,0.2342,0.2435,0.0065,+2.74%,690400
09/06/2022,0.25,0.2551,0.2355,0.237,-0.0034,-1.41%,1265200
09/02/2022,0.259,0.2598,0.234,0.2404,-0.005,-2.04%,1898400
09/01/2022,0.258,0.3102,0.2315,0.2454,-0.0206,-7.74%,15252300
08/31/2022,0.25,0.266,0.25,0.266,0.0051,+1.95%,764700
08/30/2022,0.2689,0.2689,0.2569,0.2609,-0.01,-3.69%,722700
08/29/2022,0.26,0.2745,0.254,0.2709,0.0035,+1.31%,864400
08/26/2022,0.2798,0.2799,0.26,0.2674,-0.0124,-4.43%,945000
08/25/2022,0.27,0.293,0.2665,0.2798,0.0098,+3.63%,1439100
08/24/2022,0.2662,0.28,0.2604,0.27,0.004,+1.50%,1035500
08/23/2022,0.261,0.2692,0.2508,0.266,0.002,+0.76%,1288300
08/22/2022,0.2925,0.295,0.2513,0.264,-0.0311,-10.54%,3358800
08/19/2022,0.31,0.31,0.2915,0.2951,-0.0125,-4.06%,1594200
08/18/2022,0.3176,0.323,0.3,0.3076,-0.0082,-2.60%,2240700
08/17/2022,0.32,0.3369,0.308,0.3158,-0.0172,-5.17%,2706500
08/16/2022,0.32,0.343,0.3,0.333,0.0266,+8.68%,5745200
08/15/2022,0.2935,0.3074,0.2831,0.3064,0.0029,+0.96%,5782400
08/12/2022,0.3021,0.319,0.2925,0.3035,0.0026,+0.86%,2694800
08/11/2022,0.29,0.3205,0.288,0.3009,0.0199,+7.08%,7147200
08/10/2022,0.2863,0.294,0.2785,0.281,0.0011,+0.39%,3788500
08/09/2022,0.29,0.296,0.2771,0.2799,-0.0082,-2.85%,2477600
08/08/2022,0.295,0.3,0.28,0.2881,-0.0013,-0.45%,3105700
08/05/2022,0.3,0.3022,0.2881,0.2894,-0.0106,-3.53%,2705700
08/04/2022,0.307,0.3189,0.2963,0.3,-0.008,-2.60%,4006200
08/03/2022,0.3,0.3195,0.2933,0.308,0.0128,+4.34%,5416300
08/02/2022,0.3,0.309,0.293,0.2952,-0.0091,-2.99%,2959200
08/01/2022,0.31,0.3199,0.3011,0.3043,-0.0143,-4.49%,1493600
07/29/2022,0.32,0.3366,0.3151,0.3186,-0.0114,-3.45%,1599100
07/28/2022,0.35,0.3555,0.33,0.33,-0.0156,-4.51%,1376700
07/27/2022,0.33,0.355,0.3189,0.3456,0.0156,+4.73%,2770700
07/26/2022,0.3697,0.3697,0.33,0.33,-0.0179,-5.15%,1672900
07/25/2022,0.3454,0.37,0.3451,0.3479,-0.0021,-0.60%,1581800
07/22/2022,0.3721,0.3747,0.3431,0.35,-0.032,-8.38%,2595700
07/21/2022,0.3898,0.3931,0.3751,0.382,-0.013,-3.29%,1864400
07/20/2022,0.395,0.414,0.387,0.395,-0.002,-0.50%,2955000
07/19/2022,0.4,0.41,0.391,0.397,-0.003,-0.75%,3519200
07/18/2022,0.43,0.4374,0.3891,0.4,-0.035,-8.05%,4640900
07/15/2022,0.45,0.46,0.4288,0.435,-0.0454,-9.45%,6152200
07/14/2022,0.5635,0.575,0.45,0.4804,-2.3646,-83.11%,20583200
07/13/2022,2.69,2.97,2.68,2.845,0.055,+1.97%,4461600
07/12/2022,2.87,2.9116,2.76,2.79,-0.09,-3.13%,121300
07/11/2022,2.42,3.37,2.4175,2.88,-0.07,-2.37%,1138800
07/08/2022,3.5,3.56,2.86,2.95,-0.56,-15.95%,452800
07/07/2022,3.45,3.5875,3.42,3.51,0.13,+3.85%,101300
07/06/2022,3.4,3.66,3.34,3.38,0.06,+1.81%,155500
