Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/10/2023,492.65,496.57,492.65,495.41,2.23,+0.45%,4361,0
02/09/2023,495.82,498.37,492.625,493.18,-3.75,-0.75%,69600,0
02/08/2023,499.33,503.71,496.64,496.93,-5.13,-1.02%,56100,0
02/07/2023,498.59,503.76,494.64,502.06,2.68,+0.54%,68600,0
02/06/2023,507,509.88,493.66,499.38,-10.58,-2.07%,80600,0
02/03/2023,514.63,518.5,507.35,509.96,-5.69,-1.10%,83400,0
02/02/2023,509.62,519.3288,509.235,515.65,4.15,+0.81%,102300,0
02/01/2023,501.54,511.51,501.54,511.5,6.36,+1.26%,63900,0
01/31/2023,498.18,505.4,494.94,505.14,6.96,+1.40%,95200,0
01/30/2023,497.9,505.185,496.86,498.18,-0.76,-0.15%,59100,0
01/27/2023,498.32,501.19,492.705,498.94,-2.62,-0.52%,48900,0
01/26/2023,494.88,501.92,494.845,501.56,7.49,+1.52%,55300,0
01/25/2023,489.54,500.07,489.54,494.07,0.84,+0.17%,59900,0
01/24/2023,504.99,504.99,492.1,493.23,-10.41,-2.07%,51400,0
01/23/2023,500.7,506.39,500.7,503.64,5.78,+1.16%,66000,0
01/20/2023,500.09,500.23,490.76,497.86,-2.21,-0.44%,68500,0
01/19/2023,496.78,503.67,496.78,500.07,2.63,+0.53%,63300,0
01/18/2023,494.93,500.64,491.05,497.44,1.44,+0.29%,45500,0
01/17/2023,495.79,503.0736,495.79,496,-1.45,-0.29%,53800,0
01/13/2023,491.72,498.76,488.32,497.45,7.45,+1.52%,39000,0
01/12/2023,491.35,496.89,488.79,490,-3.56,-0.72%,81700,0
01/11/2023,495.38,496.44,490.6,493.56,0.88,+0.18%,66500,0
01/10/2023,493.54,495.48,481.99,492.68,-0.86,-0.17%,106002,0
01/09/2023,501.49,504.09,493.37,493.54,-7.47,-1.49%,92700,0
01/06/2023,503.96,507.96,500.515,501.01,-2.35,-0.47%,88600,0
01/05/2023,507.2,507.2,498.98,503.36,-6.07,-1.19%,63500,0
01/04/2023,506.01,509.545,502.52,509.43,2.52,+0.50%,64400,0
01/03/2023,513.15,515.55,501.56,506.91,-3.52,-0.69%,62800,0
12/30/2022,514.2,514.2,504.48,510.43,-6.72,-1.30%,91004,0
12/29/2022,513.86,518.05,513.6,517.15,6.15,+1.20%,45601,0
12/28/2022,515.02,515.7,509.84,511,-2.19,-0.43%,47400,0
12/27/2022,515,516.505,510,513.19,-2.98,-0.58%,41100,0
12/23/2022,514.4,517.9899,511.0125,516.17,2.72,+0.53%,42900,0
12/22/2022,513.76,514.56,508.56,513.45,-1.03,-0.20%,52700,0
12/21/2022,506.63,514.69,502.46,514.48,9.31,+1.84%,82100,0
12/20/2022,501.32,506.07,497.11,505.17,4.15,+0.83%,70900,0
12/19/2022,506.01,506.01,499.5575,501.02,-1.87,-0.37%,100000,0
12/16/2022,500.05,504.87,498.63,502.89,-0.9,-0.18%,135000,0
12/15/2022,516.29,516.29,499.7,503.79,-14.56,-2.81%,60000,0
12/14/2022,517.47,522.5,516.375,518.35,2.85,+0.55%,83700,0
12/13/2022,521.52,521.52,512.76,515.5,0.48,+0.09%,88300,0
12/12/2022,516.82,520.2,511.8824,515.02,-1.8,-0.35%,58400,0
12/09/2022,522.05,524.14,516.82,516.82,-5.23,-1.00%,63800,0
12/08/2022,519.42,522.29,513.7,522.05,3.41,+0.66%,80402,0
12/07/2022,519.95,523.45,514.16,518.64,-1.11,-0.21%,117600,0
12/06/2022,523.09,523.47,514.69,519.75,-2.49,-0.48%,92600,0
12/05/2022,521.3,522.61,513.405,522.24,-1.86,-0.35%,56800,0
12/02/2022,518,525.8875,516.88,524.1,5.08,+0.98%,60300,0
12/01/2022,523.94,523.94,517.62,519.02,-0.98,-0.19%,88600,0
11/30/2022,509.35,523.9577,507.06,520,8.29,+1.62%,123200,0
11/29/2022,509.02,517.68,508.81,511.71,0.99,+0.19%,83100,0
11/28/2022,518.26,521.56,508.93,510.72,-6.2,-1.20%,68900,0
11/25/2022,513.54,521.22,510.23,516.92,3.82,+0.74%,43500,0
11/23/2022,509.17,515.55,507.73,513.1,4.97,+0.98%,55200,0
11/22/2022,505.31,510,502.48,508.13,2.93,+0.58%,68200,0
11/21/2022,506.08,510.29,503.64,505.2,1.55,+0.31%,89000,0
11/18/2022,500.3,505.82,496.34,503.65,8.32,+1.68%,121300,0
11/17/2022,497.8,500.04,492.92,495.33,-2.63,-0.53%,80200,0
11/16/2022,499.72,504.86,493.91,497.96,1.28,+0.26%,80600,0
11/15/2022,493.62,497.83,489.8425,496.68,6.32,+1.29%,74000,0
11/14/2022,491,494.96,488.85,490.36,0.33,+0.07%,100200,0
11/11/2022,500.64,500.64,488.46,490.03,-10.27,-2.05%,130300,0
11/10/2022,496.78,500.66,489.0325,500.3,11.68,+2.39%,104600,0
11/09/2022,488.08,492.45,483.92,488.62,-1,-0.20%,84900,0
11/08/2022,487.53,495.1,485.5,489.62,5.38,+1.11%,99100,0
11/07/2022,480.8,487.34,478.58,484.24,3.14,+0.65%,85900,0
11/04/2022,486.32,489.1,475.74,481.1,0.12,+0.02%,77800,0
11/03/2022,482.96,486.14,472.4,480.98,-6.83,-1.40%,117000,0
11/02/2022,480.04,499.005,475.695,487.81,10.88,+2.28%,159800,0
11/01/2022,458.74,483.12,458.74,476.93,10.06,+2.15%,174100,0
10/31/2022,457.44,467.74,456.34,466.87,4.94,+1.07%,173800,0
10/28/2022,459.24,466.13,459.24,461.93,1.42,+0.31%,101600,0
10/27/2022,467.19,468.82,458.03,460.51,-7.45,-1.59%,91600,0
10/26/2022,462.81,474.57,461.3,467.96,10.06,+2.20%,72100,0
10/25/2022,451.31,458.95,450.04,457.9,7.19,+1.60%,94000,0
10/24/2022,446.57,452.3825,442.5,450.71,7.8,+1.76%,78300,0
10/21/2022,447.7,449.7,438.44,442.91,-7.49,-1.66%,83700,0
10/20/2022,454.03,457.49,448.2225,450.4,-1.25,-0.28%,58400,0
10/19/2022,455.51,458.1,445.79,451.65,-3.3,-0.73%,73700,0
10/18/2022,453.08,459.3913,453.08,454.95,9.16,+2.05%,81100,0
10/17/2022,437.19,450.58,435,445.79,13.29,+3.07%,76300,0
10/14/2022,441.76,443.775,431.71,432.5,-6.37,-1.45%,89800,0
10/13/2022,433.39,443.81,430.16,438.87,2.76,+0.63%,78500,0
10/12/2022,438.75,441.36,432.6,436.11,-2.52,-0.57%,86900,0
10/11/2022,435.36,440.62,434.64,438.63,1.22,+0.28%,90800,0
10/10/2022,438.57,439.51,432.04,437.41,1.3,+0.30%,49800,0
10/07/2022,440.32,440.32,432.78,436.11,-4.36,-0.99%,77300,0
10/06/2022,446.27,446.73,437.42,440.47,-6.37,-1.43%,76300,0
10/05/2022,447.54,450.86,443.03,446.84,-4.83,-1.07%,73300,0
10/04/2022,451.3,453,446.748,451.67,4.99,+1.12%,70400,0
10/03/2022,439.19,451.52,433.1322,446.68,10.12,+2.32%,80800,0
09/30/2022,443.01,447.72,435.57,436.56,-9.54,-2.14%,86000,0
09/29/2022,444.59,447.93,441.515,446.1,0.55,+0.12%,65300,0
09/28/2022,446.53,447.86,438.75,445.55,1.01,+0.23%,83400,0
09/27/2022,449.68,452.94,442.45,444.54,-4.87,-1.08%,58300,0
09/26/2022,452.08,452.08,440.98,449.41,-2.54,-0.56%,96300,0
09/23/2022,451.44,456.6939,439.07,451.95,-4.8,-1.05%,104500,0
09/22/2022,461.32,461.32,452.6,456.75,-4.51,-0.98%,55300,0
09/21/2022,470.77,478.66,460.46,461.26,-8.8,-1.87%,76100,0
09/20/2022,482.41,482.41,467.08,470.06,-13.46,-2.78%,78500,0
09/19/2022,475.85,485.875,471.13,483.52,3.23,+0.67%,70700,0
09/16/2022,479.87,486.72,473.68,480.29,-1.15,-0.24%,161600,0
09/15/2022,476.39,487.9299,476.39,481.44,5.06,+1.06%,83400,0
09/14/2022,473.49,476.74,471,476.38,2.37,+0.50%,124600,0
09/13/2022,476.41,478.28,471.59,474.01,-6.76,-1.41%,92000,0
09/12/2022,477.91,483.38,475.7,480.77,4.93,+1.04%,66500,0
09/09/2022,475.81,480,471.9,475.84,2.16,+0.46%,63600,0
09/08/2022,470.64,475.11,469.65,473.68,-1.39,-0.29%,95500,0
09/07/2022,468.45,476.02,467.95,475.07,4.9,+1.04%,32800,0
09/06/2022,473.29,474.3086,464.09,470.17,-0.83,-0.18%,53000,0
09/02/2022,477.91,485.5529,469.16,471,-5.75,-1.21%,65400,0
09/01/2022,473.28,479.42,473.28,476.75,0.56,+0.12%,53100,0
08/31/2022,472,477.86,470.76,476.19,5.3,+1.13%,82700,0
08/30/2022,473.67,476.04,468.25,470.89,-1.75,-0.37%,55900,0
08/29/2022,474.57,475.8,469.82,472.64,-1.94,-0.41%,59000,0
