Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
04/10/2023,0.8506,0.8827,0.6506,0.662,-0.2183,-24.80%,87700,0
04/06/2023,0.9381,0.9381,0.8803,0.8803,-0.0647,-6.85%,21400,0
04/05/2023,0.938,0.945,0.9365,0.945,0,0.00%,4400,0
04/04/2023,0.945,0.945,0.945,0.945,0.0011,+0.12%,200,0
04/03/2023,0.9362,0.9445,0.9361,0.9439,0.001,+0.11%,34200,0
03/31/2023,0.9412,0.9439,0.9361,0.9429,0.0068,+0.73%,9800,0
03/30/2023,0.9448,0.9448,0.9361,0.9361,-0.0087,-0.92%,1400,0
03/29/2023,0.9448,0.9448,0.9448,0.9448,-0.0001,-0.01%,200,0
03/28/2023,0.945,0.945,0.9426,0.9449,-0.0001,-0.01%,900,0
03/27/2023,0.944,0.945,0.944,0.945,0,0.00%,2700,0
03/24/2023,0.9361,0.945,0.9361,0.945,0.0004,+0.04%,19500,0
03/23/2023,0.944,0.9446,0.944,0.9446,0,0.00%,7900,0
03/22/2023,0.9447,0.9447,0.9444,0.9446,0.0001,+0.01%,8900,0
03/21/2023,0.9425,0.9448,0.9425,0.9445,-0.0003,-0.03%,11500,0
03/20/2023,0.944,0.9449,0.944,0.9448,0.0003,+0.03%,37400,0
03/17/2023,0.943,0.945,0.94,0.9445,0.0002,+0.02%,61800,0
03/16/2023,0.944,0.9449,0.944,0.9443,-0.0006,-0.06%,27400,0
03/15/2023,0.944,0.9449,0.944,0.9449,0,0.00%,16500,0
03/14/2023,0.944,0.9449,0.944,0.9449,0.0029,+0.31%,18300,0
03/13/2023,0.944,0.944,0.942,0.942,-0.002,-0.21%,7400,0
03/10/2023,0.9361,0.945,0.9361,0.944,-0.001,-0.11%,1900,0
03/09/2023,0.945,0.945,0.936,0.945,0.005,+0.53%,10500,0
03/08/2023,0.941,0.941,0.9375,0.94,-0.0074,-0.78%,7100,0
03/07/2023,0.949,0.949,0.9437,0.9474,0.0124,+1.33%,1000,0
03/06/2023,0.94,0.94,0.9343,0.935,-0.003,-0.32%,17400,0
03/03/2023,0.93,0.938,0.9281,0.938,0.0154,+1.67%,61400,0
03/02/2023,0.9262,0.9299,0.9226,0.9226,-0.0074,-0.80%,2800,0
03/01/2023,0.93,0.93,0.91,0.93,0.01,+1.09%,22200,0
02/28/2023,0.93,0.93,0.92,0.92,-0.01,-1.08%,3700,0
02/27/2023,0.9295,0.93,0.9275,0.93,0.0025,+0.27%,800,0
02/24/2023,0.9301,0.939,0.9275,0.9275,-0.0065,-0.70%,51000,0
02/23/2023,0.94,0.94,0.934,0.934,0.0039,+0.42%,5400,0
02/22/2023,0.94,0.94,0.9301,0.9301,-0.0061,-0.65%,800,0
02/21/2023,0.925,0.94,0.925,0.9362,-0.0038,-0.40%,5000,0
02/17/2023,0.93,0.94,0.93,0.94,0.01,+1.08%,7400,0
02/16/2023,0.9361,0.94,0.9214,0.93,-0.006,-0.64%,12400,0
02/15/2023,0.94,0.94,0.936,0.936,0.001,+0.11%,3000,0
02/14/2023,0.935,0.94,0.935,0.935,-0.0002,-0.02%,2200,0
02/13/2023,0.94,0.94,0.935,0.9352,-0.0017,-0.18%,15300,0
02/10/2023,0.9434,0.9434,0.9369,0.9369,-0.0065,-0.69%,12700,0
02/09/2023,0.94,0.9434,0.94,0.9434,-0.0001,-0.01%,1900,0
02/08/2023,0.937,0.9435,0.937,0.9435,0.0036,+0.38%,12600,0
