Time,Open,High,Low,Last,Change,%Chg,Volume
01/30/2023,20.23,20.43,20.0912,20.43,0.3,+1.49%,8970
01/27/2023,19.38,20.14,19.21,20.13,0.72,+3.71%,152300
01/26/2023,21.36,21.36,19.35,19.41,-1.86,-8.74%,273500
01/25/2023,21.12,21.481,20.81,21.27,-0.02,-0.09%,97000
01/24/2023,21.66,21.66,21.26,21.29,-0.5,-2.29%,111600
01/23/2023,21.86,21.9,21.67,21.79,-0.1,-0.46%,71800
01/20/2023,21.87,22.08,21.53,21.89,0.23,+1.06%,126600
01/19/2023,21.65,21.78,20.92,21.66,-0.03,-0.14%,86600
01/18/2023,22.05,22.2,21.52,21.69,-0.41,-1.86%,98200
01/17/2023,21.83,22.13,21.83,22.1,0.09,+0.41%,84600
01/13/2023,21.87,22.07,21.525,22.01,0.07,+0.32%,66800
01/12/2023,21.84,22.12,21.75,21.94,0.17,+0.78%,78700
01/11/2023,21.86,21.9,21.645,21.77,-0.09,-0.41%,80600
01/10/2023,21.81,22.225,21.73,21.86,0.12,+0.55%,103200
01/09/2023,21.92,22.07,21.65,21.74,-0.16,-0.73%,104800
01/06/2023,21.33,21.92,21.33,21.9,0.57,+2.67%,104800
01/05/2023,21.46,21.535,21.215,21.33,-0.29,-1.34%,107600
01/04/2023,21.67,22.09,21.4,21.62,-0.07,-0.32%,126000
01/03/2023,21.76,21.9,21.52,21.69,0.07,+0.32%,174700
12/30/2022,21.75,21.8,21.35,21.62,-0.14,-0.64%,91900
12/29/2022,21.54,21.82,21.54,21.76,0.29,+1.35%,109400
12/28/2022,21.49,21.86,21.4,21.47,-0.02,-0.09%,93800
12/27/2022,21.58,21.69,21.405,21.49,0.01,+0.05%,109000
12/23/2022,21.32,21.5,21.28,21.48,0.22,+1.03%,77500
12/22/2022,21.4,21.45,20.51,21.26,-0.12,-0.56%,112700
12/21/2022,21.29,21.5425,21.29,21.38,0.15,+0.71%,98200
12/20/2022,21.08,21.33,21.08,21.23,0.16,+0.76%,113200
12/19/2022,20.83,21.35,20.665,21.07,0.22,+1.06%,130300
12/16/2022,20.91,21.23,20.68,20.85,-0.2,-0.95%,337800
12/15/2022,21.05,21.16,20.88,21.05,-0.19,-0.89%,109500
12/14/2022,22.23,22.23,21.14,21.24,-0.1,-0.47%,157400
12/13/2022,21.42,21.71,21.17,21.34,0.21,+0.99%,138500
12/12/2022,21.17,21.4,21.05,21.13,0.02,+0.09%,108500
12/09/2022,21.25,21.25,21.01,21.11,-0.09,-0.42%,93200
12/08/2022,21.12,21.515,21.09,21.2,0.1,+0.47%,98000
12/07/2022,21.36,21.53,21.061,21.1,-0.43,-2.00%,125700
12/06/2022,21.51,21.63,21.0875,21.53,-0.09,-0.42%,112500
12/05/2022,21.43,21.69,21.1247,21.62,0.02,+0.09%,89700
12/02/2022,21.66,21.93,21.565,21.6,-0.25,-1.14%,74100
12/01/2022,22.02,22.08,21.7,21.85,-0.23,-1.04%,64300
11/30/2022,21.63,22.14,21.47,22.08,0.45,+2.08%,134100
11/29/2022,21.38,21.68,21.35,21.63,0.14,+0.65%,108200
11/28/2022,21.77,21.8138,21.31,21.49,-0.39,-1.78%,101700
11/25/2022,21.86,21.99,21.67,21.88,0.09,+0.41%,45800
11/23/2022,21.69,21.85,21.56,21.79,-0.05,-0.23%,99400
11/22/2022,21.77,22,21.57,21.84,-0.02,-0.09%,77800
11/21/2022,21.77,22,21.77,21.86,0.09,+0.41%,81600
11/18/2022,21.8,22.03,21.61,21.77,0.16,+0.74%,109800
11/17/2022,21.62,21.84,21.385,21.61,-0.2,-0.92%,89800
11/16/2022,22.05,22.13,21.62,21.81,-0.27,-1.22%,75900
11/15/2022,21.92,22.305,21.92,22.08,0.21,+0.96%,182700
11/14/2022,21.54,22.13,21.54,21.87,0.24,+1.11%,175900
11/11/2022,21.69,21.79,21.5,21.63,-0.05,-0.23%,109400
11/10/2022,21.65,21.9,21.56,21.68,0.41,+1.93%,141000
11/09/2022,21.37,21.56,21.24,21.27,-0.09,-0.42%,111400
11/08/2022,21.64,21.74,21.32,21.36,-0.26,-1.20%,105000
11/07/2022,21.67,21.81,21.54,21.62,0.05,+0.23%,124500
11/04/2022,21.4,21.765,21.36,21.57,0.24,+1.13%,142000
11/03/2022,21.1,21.56,21.01,21.33,0.05,+0.23%,183500
11/02/2022,20.86,21.47,20.86,21.28,0.42,+2.01%,198200
11/01/2022,20.54,21.115,20.43,20.86,0.32,+1.56%,221500
10/31/2022,19.45,20.79,19.4,20.54,1.16,+5.99%,272700
10/28/2022,19.01,19.665,18.765,19.38,0.53,+2.81%,256301
10/27/2022,21.55,21.85,18.82,18.85,-3.03,-13.85%,523201
10/26/2022,22.01,22.15,21.87,21.88,-0.03,-0.14%,125700
10/25/2022,22.03,22.2,21.9,21.91,-0.2,-0.90%,116300
10/24/2022,22.17,22.19,21.99,22.11,0.04,+0.18%,117300
10/21/2022,21.85,22.14,21.71,22.07,0.35,+1.61%,120800
10/20/2022,22.11,22.11,21.6062,21.72,-0.36,-1.63%,100500
10/19/2022,21.87,22.2,21.82,22.08,0.05,+0.23%,140500
10/18/2022,22.1,22.37,21.99,22.03,-0.13,-0.59%,125800
10/17/2022,21.99,22.27,21.84,22.16,0.31,+1.42%,237300
10/14/2022,22.22,22.28,21.81,21.85,-0.32,-1.44%,76400
10/13/2022,21.32,22.19,21.32,22.17,0.57,+2.64%,130400
10/12/2022,21.73,21.73,21.5,21.6,-0.09,-0.41%,79300
10/11/2022,21.54,21.78,21.53,21.69,0.11,+0.51%,100800
10/10/2022,21.23,21.59,21.23,21.58,0.46,+2.18%,102800
10/07/2022,21.36,21.39,21.09,21.12,-0.24,-1.12%,167100
10/06/2022,21.48,21.48,21.22,21.36,-0.06,-0.28%,100900
10/05/2022,21.4,21.59,21.26,21.42,-0.17,-0.79%,91300
10/04/2022,21.46,21.79,21.46,21.59,0.26,+1.22%,110900
10/03/2022,21.36,21.36,21.17,21.33,0.2,+0.95%,167500
09/30/2022,21.4,21.555,21.11,21.13,-0.2,-0.94%,103000
09/29/2022,21.18,21.41,21.09,21.33,0,0.00%,107200
09/28/2022,21.12,21.49,20.92,21.33,0.16,+0.76%,109300
09/27/2022,21.68,21.71,21.16,21.17,-0.49,-2.26%,103300
