Time,Open,High,Low,Last,Change,%Chg,Volume
04/13/2023,10.13,10.135,10.13,10.13,-0.01,-0.10%,210974
04/12/2023,10.12,10.14,10.12,10.14,0.0177,+0.17%,72100
04/11/2023,10.12,10.14,10.12,10.1223,-0.0027,-0.03%,810200
04/10/2023,10.14,10.15,10.1101,10.125,-0.02,-0.20%,122000
04/06/2023,10.14,10.149,10.135,10.145,0.005,+0.05%,62200
04/05/2023,10.14,10.145,10.13,10.14,0,0.00%,297200
04/04/2023,10.15,10.15,10.13,10.14,0,0.00%,245100
04/03/2023,10.15,10.15,10.13,10.14,0.01,+0.10%,12900
03/31/2023,10.1,10.14,10.1,10.13,-0.01,-0.10%,49500
03/30/2023,10.13,10.14,10.125,10.14,0.015,+0.15%,263500
03/29/2023,10.16,10.16,10.1215,10.125,-0.005,-0.05%,167900
03/28/2023,10.13,10.14,10.12,10.13,-0.01,-0.10%,163300
03/27/2023,10.16,10.16,10.13,10.14,-0.0047,-0.05%,364000
03/24/2023,10.13,10.1447,10.13,10.1447,0.0147,+0.15%,8300
03/23/2023,10.15,10.15,10.12,10.13,-0.01,-0.10%,1692900
03/22/2023,10.13,10.14,10.11,10.14,0.015,+0.15%,3199800
03/21/2023,10.15,10.15,10.12,10.125,-0.0036,-0.04%,13900
03/20/2023,10.12,10.13,10.12,10.1286,0.0086,+0.08%,24000
03/17/2023,10.1,10.12,10.1,10.12,0.005,+0.05%,8000
03/16/2023,10.12,10.12,10.1,10.115,0.005,+0.05%,51900
03/15/2023,10.11,10.14,10.1,10.11,0,0.00%,82400
03/14/2023,10.09,10.12,10.09,10.11,-0.01,-0.10%,26500
03/13/2023,10.1,10.13,10.0604,10.12,0,0.00%,83800
03/10/2023,10.1,10.13,10.1,10.12,-0.01,-0.10%,345200
03/09/2023,10.1,10.13,10.1,10.13,0.01,+0.10%,33200
03/08/2023,10.13,10.14,10.12,10.12,-0.005,-0.05%,42100
03/07/2023,10.14,10.14,10.12,10.125,-0.025,-0.25%,149100
03/06/2023,10.13,10.15,10.1,10.15,0.026,+0.26%,150000
03/03/2023,10.12,10.14,10.1,10.124,0.009,+0.09%,1269500
