Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/17/2023,72.75,73.78,72.63,73.36,0.35,+0.48%,2700400,0
02/16/2023,72.8,73.69,72.425,73.01,-0.09,-0.12%,3716600,0
02/15/2023,72.81,73.3,72.24,73.1,-0.28,-0.38%,3882800,0
02/14/2023,73.01,74.445,72.79,73.38,0.3,+0.41%,3929500,0
02/13/2023,72.99,73.395,72.12,73.08,0.34,+0.47%,4695300,0
02/10/2023,72.91,73.22,71.42,72.74,1.18,+1.65%,4949500,0
02/09/2023,73.09,73.57,71.35,71.56,-1.36,-1.87%,4784200,0
02/08/2023,70.61,73.92,70.55,72.92,1.94,+2.73%,6636200,0
02/07/2023,70,71.41,68.73,70.98,-0.03,-0.04%,6669000,0
02/06/2023,71.19,71.695,70.6,71.01,0,0.00%,4760000,0
02/03/2023,73.22,73.66,70.8,71.01,-1.56,-2.15%,5098500,0
02/02/2023,74.6,74.6,71.94,72.57,-2.57,-3.42%,9685900,0
02/01/2023,76.04,76.3,74.96,75.14,-1.1,-1.44%,3926600,0
01/31/2023,75.16,77.39,75.16,76.24,1.54,+2.06%,5579600,0
01/30/2023,75.37,76.015,74.59,74.7,-0.55,-0.73%,3782200,0
01/27/2023,76.63,76.83,74.895,75.25,-1.36,-1.78%,2892300,0
01/26/2023,76.26,77.214,76.04,76.61,0.56,+0.74%,2726300,0
01/25/2023,75.18,77.39,75.18,76.05,0.29,+0.38%,4034000,0
01/24/2023,75,76.25,74.77,75.76,-0.03,-0.04%,3198200,0
01/23/2023,76.39,76.97,75.55,75.79,-0.36,-0.47%,2896800,0
01/20/2023,75.86,76.21,74.97,76.15,0.29,+0.38%,2981800,0
01/19/2023,75.37,76.38,75.1,75.86,0.77,+1.03%,2486000,0
01/18/2023,76.74,76.9,74.97,75.09,-1.65,-2.15%,3091200,0
01/17/2023,77.44,78.35,76.67,76.74,-0.3,-0.39%,3302900,0
01/13/2023,77.73,79.065,76.87,77.04,-1.14,-1.46%,3195700,0
01/12/2023,78.48,78.965,76.92,78.18,-0.26,-0.33%,3503500,0
01/11/2023,76.11,78.45,75.86,78.44,2.32,+3.05%,2892400,0
01/10/2023,77.73,77.84,75.54,76.12,-1.47,-1.89%,3030800,0
01/09/2023,78.89,79.98,77.475,77.59,-1.07,-1.36%,4301900,0
01/06/2023,77.75,79.0462,77.05,78.66,1.4,+1.81%,3882900,0
01/05/2023,78.71,79.11,76.71,77.26,-2.2,-2.77%,5882200,0
01/04/2023,80.19,80.76,78.91,79.46,-0.28,-0.35%,5149000,0
01/03/2023,82,83.61,78.86,79.74,-2.27,-2.77%,6674100,0
12/30/2022,81.72,82.12,81.13,82.01,0.29,+0.35%,1946600,0
12/29/2022,81.99,82.35,81.35,81.72,0.14,+0.17%,1683100,0
12/28/2022,81.85,82.81,81.42,81.58,0,0.00%,2222800,0
12/27/2022,81.95,82.25,81.5,81.58,-0.05,-0.06%,1857000,0
12/23/2022,81.86,82.6499,81.31,81.63,-0.61,-0.74%,2451500,0
