Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/10/2023,99.92,100.51,97.56,97.91,-2.62,-2.61%,377400,0
02/09/2023,104.63,104.78,99.67,100.53,-3.59,-3.45%,312100,0
02/08/2023,104.82,105.79,102.975,104.12,-1.52,-1.44%,290500,0
02/07/2023,99.01,105.68,98.07,105.64,5.77,+5.78%,484500,0
02/06/2023,101.12,101.97,98.86,99.87,-2.74,-2.67%,480600,0
02/03/2023,106.94,111.16,101.5,102.61,-4.66,-4.34%,1208600,0
02/02/2023,100.51,108.375,100.275,107.27,7.98,+8.04%,1264300,0
02/01/2023,95.91,100.31,95.735,99.29,3.53,+3.69%,515600,0
01/31/2023,94.47,95.99,93.5057,95.76,1.85,+1.97%,470000,0
01/30/2023,94.99,96.31,93.84,93.91,-2.02,-2.11%,273800,0
01/27/2023,95.6,96.66,94.805,95.93,-0.21,-0.22%,248800,0
01/26/2023,96.19,96.58,94.76,96.14,0.41,+0.43%,216500,0
01/25/2023,96.16,96.5,94.47,95.73,-1.93,-1.98%,294400,0
01/24/2023,99.15,99.15,97.095,97.66,-1.31,-1.32%,232500,0
01/23/2023,96.96,99.48,95.92,98.97,2.34,+2.42%,542700,0
01/20/2023,96.3,96.64,94.14,96.63,0.8,+0.83%,328900,0
01/19/2023,95.11,97.22,94.48,95.83,0.1,+0.10%,509900,0
01/18/2023,96.65,99.33,95.01,95.73,-0.28,-0.29%,435700,0
01/17/2023,95.8,96.119,94.135,96.01,0.02,+0.02%,289600,0
01/13/2023,95.31,96.9,94.39,95.99,0.31,+0.32%,301300,0
01/12/2023,95.25,95.72,91.575,95.68,0.69,+0.73%,651900,0
01/11/2023,96.32,96.69,94.67,94.99,-0.66,-0.69%,368500,0
01/10/2023,94.5,97.36,93.98,95.65,0.47,+0.49%,334800,0
01/09/2023,94.42,95.93,92.84,95.18,1.76,+1.88%,330500,0
01/06/2023,93.9,95.15,92.12,93.42,0.27,+0.29%,408900,0
01/05/2023,94.17,94.17,91.36,93.15,-1.24,-1.31%,729700,0
01/04/2023,90.48,94.67,90.45,94.39,4.64,+5.17%,456100,0
01/03/2023,90.66,92.03,88.11,89.75,1.11,+1.25%,645700,0
12/30/2022,88.2,89.24,87.665,88.64,-0.51,-0.57%,235400,0
12/29/2022,86.79,89.85,86.06,89.15,3.63,+4.24%,222100,0
12/28/2022,87.77,88.4,85.22,85.52,-1.62,-1.86%,294900,0
12/27/2022,86.37,87.63,85.41,87.14,0.33,+0.38%,189700,0
12/23/2022,86.4,87.6,85.7739,86.81,0.32,+0.37%,195500,0
12/22/2022,86.78,87.16,84.705,86.49,-1.29,-1.47%,207800,0
12/21/2022,85.87,88.105,85.5,87.78,2.82,+3.32%,261900,0
12/20/2022,84.53,85.8,83.38,84.96,0.23,+0.27%,253000,0
12/19/2022,84.41,85.405,83.0547,84.73,-0.23,-0.27%,381300,0
12/16/2022,85.13,86,82.97,84.96,-1.33,-1.54%,799500,0
12/15/2022,91.25,91.835,85.55,86.29,-6.81,-7.31%,592500,0
12/14/2022,93.47,95.4,91.83,93.1,-0.94,-1.00%,501900,0
12/13/2022,95.83,97.49,94.01,94.04,1.53,+1.65%,638000,0
12/12/2022,91.34,92.67,91.07,92.51,1.4,+1.54%,271100,0
12/09/2022,89.31,91.73,89.31,91.11,1.23,+1.37%,473498,0
12/08/2022,87.49,89.88,86.32,89.88,2.88,+3.31%,325500,0
12/07/2022,86.21,87.19,85.675,87,1.18,+1.37%,300000,0
12/06/2022,88.67,88.67,84.51,85.82,-3.21,-3.61%,470300,0
12/05/2022,89.1,91.1,88.56,89.03,-1.25,-1.38%,598800,0
12/02/2022,86.02,90.41,85.995,90.28,2.82,+3.22%,578000,0
12/01/2022,83.37,88.02,83.37,87.46,4.61,+5.56%,537300,0
11/30/2022,79.65,82.96,78.2,82.85,3.1,+3.89%,483800,0
11/29/2022,80.98,81.48,79.72,79.75,-1.23,-1.52%,365200,0
11/28/2022,82.21,83.73,79.79,80.98,-2.13,-2.56%,385900,0
11/25/2022,83.18,83.705,82.1,83.11,-0.04,-0.05%,108200,0
11/23/2022,82.66,84.81,82.28,83.15,1.1,+1.34%,307701,0
11/22/2022,82.15,83.04,81.24,82.05,-0.12,-0.15%,446500,0
11/21/2022,82.99,84.07,81.97,82.17,-1.87,-2.23%,321100,0
