Time,Open,High,Low,Last,Change,%Chg,Volume
01/25/2023,44.23,44.79,44.14,44.64,0.19,+0.43%,167000
01/24/2023,45.18,45.555,44.44,44.45,-0.73,-1.62%,254500
01/23/2023,44.8,45.33,44.64,45.18,0.32,+0.71%,564100
01/20/2023,44.1,44.91,43.6475,44.86,1.13,+2.58%,508400
01/19/2023,43.15,43.76,42.46,43.73,0.47,+1.09%,648300
01/18/2023,44.73,45.1,43.23,43.26,-1.25,-2.81%,723300
01/17/2023,44.61,44.67,43.9146,44.51,-0.05,-0.11%,290500
01/13/2023,44.25,44.63,44.05,44.56,0.26,+0.59%,301700
01/12/2023,45,45.08,44.19,44.3,-0.39,-0.87%,290800
01/11/2023,43.26,44.82,42.99,44.69,1.69,+3.93%,663300
01/10/2023,41.89,43,41.77,43,1.06,+2.53%,371500
01/09/2023,42.13,42.48,41.42,41.94,-0.08,-0.19%,356100
01/06/2023,42.28,42.52,41.62,42.02,0.11,+0.26%,1119404
01/05/2023,41.19,42.1,40.62,41.91,0.72,+1.75%,331100
01/04/2023,40.72,41.2,40.6,41.19,0.83,+2.06%,360800
01/03/2023,40.52,41.285,39.88,40.36,0.23,+0.57%,600300
12/30/2022,39.9,40.25,39.63,40.13,-0.18,-0.45%,324500
12/29/2022,39.84,40.86,39.56,40.31,0.77,+1.95%,227100
12/28/2022,40.58,40.635,39.35,39.54,-1.06,-2.61%,346100
12/27/2022,40.7,40.99,40.16,40.6,-0.14,-0.34%,278400
12/23/2022,40.09,40.76,39.8,40.74,0.43,+1.07%,218700
12/22/2022,40.51,40.58,39.54,40.31,-0.63,-1.54%,450100
12/21/2022,41.04,41.44,40.73,40.94,0.52,+1.29%,1220700
12/20/2022,41.13,41.19,40.37,40.42,-0.71,-1.73%,1079500
12/19/2022,40.99,41.63,40.78,41.13,0.38,+0.93%,415100
12/16/2022,40.43,41.1273,40.02,40.75,-0.32,-0.78%,3205200
12/15/2022,41.5,41.63,40.69,41.07,-1.08,-2.56%,639900
12/14/2022,41.92,42.56,41.63,42.15,0.41,+0.98%,503600
12/13/2022,43.31,43.94,41.61,41.74,-0.27,-0.64%,733400
12/12/2022,42.28,42.44,41.69,42.01,-0.38,-0.90%,316500
12/09/2022,42.86,43.28,42.22,42.39,-0.88,-2.03%,387100
12/08/2022,43.15,43.88,42.7,43.27,0.24,+0.56%,217200
12/07/2022,43.36,43.73,42.69,43.03,-0.22,-0.51%,294800
12/06/2022,42.31,43.29,41.93,43.25,0.88,+2.08%,325100
12/05/2022,44.19,44.19,42.36,42.37,-2.21,-4.96%,500400
12/02/2022,44.21,44.84,44.08,44.58,-0.1,-0.22%,222800
12/01/2022,45.52,45.76,44.385,44.68,-0.48,-1.06%,222300
11/30/2022,44.06,45.19,43.28,45.16,0.79,+1.78%,485300
11/29/2022,44.23,44.68,44,44.37,0.19,+0.43%,169800
11/28/2022,44.73,44.98,43.77,44.18,-0.84,-1.87%,421101
11/25/2022,44.13,45.33,44.13,45.02,0.77,+1.74%,274000
11/23/2022,43.51,44.26,43.42,44.25,0.74,+1.70%,233700
11/22/2022,43.11,43.56,43.01,43.51,0.4,+0.93%,334900
11/21/2022,43.16,43.395,42.92,43.11,-0.14,-0.32%,357900
11/18/2022,43.78,44.11,42.76,43.25,0.41,+0.96%,376121
11/17/2022,42.41,42.99,42.1,42.84,-0.23,-0.53%,338900
11/16/2022,43.22,43.38,42.29,43.07,-0.46,-1.06%,341200
11/15/2022,42.53,44.37,42.53,43.53,1.09,+2.57%,587600
11/14/2022,42.68,43.48,41.97,42.44,-0.55,-1.28%,683900
11/11/2022,43.52,44.15,42.91,42.99,-0.16,-0.37%,589300
11/10/2022,44.32,45.37,42.59,43.15,0.89,+2.11%,1269200
11/09/2022,43.02,43.44,42.1,42.26,-1.05,-2.42%,442700
11/08/2022,42.61,44,42.54,43.31,0.75,+1.76%,657500
11/07/2022,40.46,42.69,40.25,42.56,2.55,+6.37%,942600
11/04/2022,38.59,40.01,38.59,40.01,1.58,+4.11%,542900
11/03/2022,38.51,38.85,37.71,38.43,-0.5,-1.28%,639500
11/02/2022,39.47,40.35,38.9,38.93,-0.41,-1.04%,500400
11/01/2022,39.9,40.29,39.235,39.34,-0.15,-0.38%,626900
10/31/2022,40.17,40.5,39.35,39.49,-0.67,-1.67%,603000
10/28/2022,39.01,41.02,38.88,40.16,1.28,+3.29%,1571500
10/27/2022,40.27,40.98,38.715,38.88,-0.67,-1.69%,1155101
10/26/2022,44.99,45.86,39.19,39.55,-5.1,-11.42%,2545800
10/25/2022,43.77,44.89,43.72,44.65,1.04,+2.38%,940700
10/24/2022,42.93,43.65,42.23,43.61,1.02,+2.39%,402800
10/21/2022,42.13,42.65,41.3,42.59,0.78,+1.87%,430000
10/20/2022,42.35,43.16,41.49,41.81,-0.71,-1.67%,391100
10/19/2022,42.89,43.39,42.174,42.52,-0.81,-1.87%,511600
10/18/2022,43.63,44.39,42.96,43.33,0.38,+0.88%,401000
10/17/2022,42.8,43.345,42.48,42.95,0.59,+1.39%,492200
10/14/2022,44.26,44.61,42.22,42.36,-1.29,-2.96%,407200
10/13/2022,42.84,44.14,42.25,43.65,0.47,+1.09%,511400
10/12/2022,42.93,43.685,42.07,43.18,0.33,+0.77%,697900
10/11/2022,42.34,43.23,41.791,42.85,0.1,+0.23%,611100
10/10/2022,42.61,43.01,42.13,42.75,0.2,+0.47%,403700
