Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/10/2023,40.37,41.89,40.17,41.82,2.25,+5.69%,1524000,0
02/09/2023,41.51,41.51,39.5,39.57,-1.75,-4.24%,1272900,0
02/08/2023,41.71,42.2694,40.77,41.32,-0.47,-1.12%,749500,0
02/07/2023,39.45,41.795,39.0901,41.79,2.55,+6.50%,1195200,0
02/06/2023,40.29,40.57,38.37,39.24,-0.97,-2.41%,1213000,0
02/03/2023,40.55,42.29,40.115,40.21,-0.34,-0.84%,1183600,0
02/02/2023,41.74,42.1,39.901,40.55,-1.09,-2.62%,1236600,0
02/01/2023,42.5,42.5,39.5,41.64,-0.91,-2.14%,1356700,0
01/31/2023,41.2,42.685,40.88,42.55,1.1,+2.65%,643900,0
01/30/2023,42.51,42.64,41.4,41.45,-1.82,-4.21%,721800,0
01/27/2023,44.01,44.4892,43.12,43.27,-0.62,-1.41%,725800,0
01/26/2023,43.5,44.085,42.67,43.89,1.11,+2.59%,925200,0
01/25/2023,42.36,42.88,41.64,42.78,0.05,+0.12%,709100,0
01/24/2023,43.17,43.61,42.3875,42.73,-0.9,-2.06%,829600,0
01/23/2023,43.33,43.78,42.9432,43.63,0.98,+2.30%,1042100,0
01/20/2023,41.91,42.66,41.25,42.65,1.13,+2.72%,944600,0
01/19/2023,39.36,41.83,39.31,41.52,1.86,+4.69%,1311700,0
01/18/2023,40.91,41.77,39.62,39.66,-0.83,-2.05%,978400,0
01/17/2023,40.75,41.13,40.15,40.49,0.34,+0.85%,712400,0
01/13/2023,39.42,40.42,39.01,40.15,0.71,+1.80%,1042500,0
01/12/2023,37.72,39.52,37.52,39.44,2.18,+5.85%,1439300,0
01/11/2023,37.27,37.35,36.25,37.26,0.63,+1.72%,745900,0
01/10/2023,36.77,36.88,35.425,36.63,0.69,+1.92%,669200,0
01/09/2023,37.24,37.51,35.82,35.94,-0.36,-0.99%,1064400,0
01/06/2023,36.16,36.71,35.36,36.3,0.91,+2.57%,858800,0
01/05/2023,34.58,36.03,33.99,35.39,0.66,+1.90%,1095300,0
01/04/2023,33.7,35.07,33.58,34.73,0.07,+0.20%,972400,0
01/03/2023,36.51,37.01,34.31,34.66,-2.43,-6.55%,1290400,0
12/30/2022,35.57,37.129,35.33,37.09,1.22,+3.40%,1137800,0
12/29/2022,34.3,35.89,34.235,35.87,1.32,+3.82%,1080800,0
12/28/2022,36.54,36.7698,34.415,34.55,-2.16,-5.88%,1348300,0
12/27/2022,36.54,36.78,35.85,36.71,0.45,+1.24%,884800,0
12/23/2022,35.33,36.3,35.29,36.26,1.49,+4.29%,1200300,0
12/22/2022,35.51,35.625,33.69,34.77,-0.91,-2.55%,1066900,0
12/21/2022,35.37,35.855,34.555,35.68,1.18,+3.42%,961200,0
12/20/2022,34.41,35.18,33.93,34.5,0.07,+0.20%,665900,0
