Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/24/2023,20.2,20.24,19.96,20.04,-0.28,-1.38%,265270,0
02/23/2023,20.39,20.61,20.185,20.32,0.08,+0.40%,1528500,0
02/22/2023,20.23,20.48,20.1,20.24,-0.06,-0.30%,1805800,0
02/21/2023,20.2,20.585,19.86,20.3,-0.52,-2.50%,3152800,0
02/17/2023,20.52,21.01,19.89,20.82,0.12,+0.58%,2284900,0
02/16/2023,21.32,21.72,20.54,20.7,-0.86,-3.99%,3476100,0
02/15/2023,21.37,21.59,21.22,21.56,-0.03,-0.14%,1040700,0
02/14/2023,21.46,21.88,21.41,21.59,-0.06,-0.28%,1326600,0
02/13/2023,21.36,21.65,21.18,21.65,0.29,+1.36%,1175500,0
02/10/2023,21.24,21.5,21.16,21.36,-0.05,-0.23%,1103200,0
02/09/2023,21.98,22.09,21.235,21.41,-0.44,-2.01%,1298700,0
02/08/2023,21.93,22.115,21.715,21.85,-0.15,-0.68%,1649900,0
02/07/2023,21.64,22.05,21.54,22,0.3,+1.38%,1694500,0
02/06/2023,21.21,21.71,21.105,21.7,0.38,+1.78%,1576100,0
02/03/2023,21.35,21.675,21.25,21.32,-0.17,-0.79%,1084600,0
02/02/2023,21.62,21.83,21.15,21.49,-0.11,-0.51%,1821800,0
02/01/2023,21.51,22,21.22,21.6,-0.16,-0.74%,1702500,0
01/31/2023,21.32,21.81,21.14,21.76,0.37,+1.73%,1318200,0
01/30/2023,21.43,21.83,21.39,21.39,-0.19,-0.88%,730900,0
01/27/2023,21.76,21.86,21.52,21.58,-0.16,-0.74%,756300,0
01/26/2023,21.69,21.79,21.48,21.74,0.24,+1.12%,921500,0
01/25/2023,21.23,21.64,21.185,21.5,0.1,+0.47%,938500,0
01/24/2023,21.03,21.51,20.92,21.4,0.21,+0.99%,1115700,0
01/23/2023,20.81,21.23,20.585,21.19,0.45,+2.17%,1870500,0
01/20/2023,20.24,20.84,20.23,20.74,0.52,+2.57%,874100,0
01/19/2023,20.12,20.53,19.96,20.22,-0.13,-0.64%,1196700,0
01/18/2023,21.25,21.29,20.35,20.35,-0.89,-4.19%,923805,0
01/17/2023,20.78,21.33,20.66,21.24,0.35,+1.68%,1600100,0
01/13/2023,20.61,21.15,20.49,20.89,-0.21,-1.00%,1359200,0
01/12/2023,20.95,21.25,20.72,21.1,0.21,+1.01%,1928400,0
01/11/2023,20.32,20.96,20.25,20.89,0.54,+2.65%,1164800,0
01/10/2023,20.49,20.675,20.285,20.35,-0.09,-0.44%,1028400,0
01/09/2023,20.23,20.76,20.15,20.44,0.35,+1.74%,2639200,0
01/06/2023,20.2,20.2,19.845,20.09,0.12,+0.60%,1852300,0
01/05/2023,20.72,20.72,19.88,19.97,-0.71,-3.43%,1570100,0
01/04/2023,20.22,20.77,20.145,20.68,0.54,+2.68%,2679400,0
01/03/2023,20.07,20.205,19.87,20.14,0.08,+0.40%,1340600,0
12/30/2022,20.09,20.2,19.85,20.06,-0.15,-0.74%,966900,0
12/29/2022,19.86,20.27,19.86,20.21,0.38,+1.92%,490700,0
12/28/2022,19.89,20,19.72,19.83,-0.13,-0.65%,1014600,0
12/27/2022,20.37,20.48,19.89,19.96,-0.31,-1.53%,679100,0
12/23/2022,20.14,20.36,19.82,20.27,0.18,+0.90%,1077900,0
12/22/2022,20.32,20.47,19.67,20.09,-0.45,-2.19%,1288601,0
12/21/2022,19.86,20.64,19.78,20.54,0.84,+4.26%,2127300,0
12/20/2022,19.43,20.03,19.43,19.7,0.29,+1.49%,2170300,0
12/19/2022,18.94,19.53,18.94,19.41,0.54,+2.86%,1502900,0
12/16/2022,19.64,20.05,18.81,18.87,-0.81,-4.12%,8299600,0
12/15/2022,19.78,20.1,19.66,19.68,-0.66,-3.24%,1785200,0
12/14/2022,20.32,20.85,20.06,20.34,-0.07,-0.34%,1172600,0
12/13/2022,20.78,20.95,20.23,20.41,0.03,+0.15%,1368300,0
12/12/2022,19.95,20.46,19.59,20.38,0.54,+2.72%,1149500,0
12/09/2022,19.92,20.37,19.78,19.84,-0.17,-0.85%,1072600,0
12/08/2022,20.28,20.52,19.83,20.01,-0.09,-0.45%,2436900,0
12/07/2022,20.51,20.87,20.045,20.1,-0.56,-2.71%,1425900,0
12/06/2022,21.16,21.43,20.51,20.66,-0.56,-2.64%,1198200,0
12/05/2022,21.9,22.09,21.19,21.22,-0.84,-3.81%,818000,0
