Time,Open,High,Low,Last,Change,%Chg,Volume
01/25/2023,4.27,4.3,4.05,4.12,-0.22,-5.07%,415600
01/24/2023,4.51,4.56,4.22,4.34,-0.19,-4.19%,493100
01/23/2023,4.55,4.59,4.41,4.53,0,0.00%,274100
01/20/2023,4.42,4.55,4.3801,4.53,0.13,+2.95%,281700
01/19/2023,4.41,4.5,4.29,4.4,-0.01,-0.23%,195300
01/18/2023,4.4,4.525,4.32,4.41,0.01,+0.23%,233500
01/17/2023,4.48,4.48,4.27,4.4,-0.03,-0.68%,332500
01/13/2023,4.43,4.55,4.365,4.43,0,0.00%,156000
01/12/2023,4.34,4.496,4.2,4.43,0.1,+2.31%,203100
01/11/2023,4.45,4.45,4.23,4.33,-0.1,-2.26%,288400
01/10/2023,4.4,4.52,4.4,4.43,-0.01,-0.23%,112000
01/09/2023,4.6,4.73,4.42,4.44,-0.17,-3.69%,288800
01/06/2023,4.46,4.74,4.35,4.61,0.17,+3.83%,378400
01/05/2023,4.28,4.5,4.25,4.44,0.09,+2.07%,257300
01/04/2023,4.18,4.48,4.14,4.35,0.17,+4.07%,430300
01/03/2023,4.27,4.3499,4.12,4.18,-0.04,-0.95%,233200
12/30/2022,3.92,4.24,3.9,4.22,0.25,+6.30%,278700
12/29/2022,3.83,4.09,3.59,3.97,0.18,+4.75%,525200
12/28/2022,3.85,3.96,3.75,3.79,-0.055,-1.43%,211700
12/27/2022,4.05,4.0937,3.84,3.845,-0.265,-6.45%,147300
12/23/2022,4.01,4.11,3.91,4.11,0.15,+3.79%,125100
12/22/2022,3.91,3.98,3.832,3.96,0.01,+0.25%,93800
12/21/2022,3.97,4.06,3.9,3.95,0.03,+0.77%,102500
12/20/2022,3.78,3.99,3.72,3.92,0.13,+3.43%,119800
12/19/2022,4.02,4.08,3.77,3.79,-0.28,-6.88%,275300
12/16/2022,4.13,4.155,3.98,4.07,-0.07,-1.69%,211400
12/15/2022,4.06,4.17,4.05,4.14,0.04,+0.98%,93000
12/14/2022,4.07,4.17,4.03,4.1,0.04,+0.99%,145300
12/13/2022,4.14,4.16,4.01,4.06,0.07,+1.75%,195000
12/12/2022,3.78,4.04,3.765,3.99,0.21,+5.56%,198100
12/09/2022,3.77,3.86,3.7,3.78,0,0.00%,89700
12/08/2022,4,4,3.69,3.78,-0.19,-4.79%,257500
12/07/2022,3.97,4.046,3.875,3.97,0.01,+0.25%,157200
12/06/2022,4.42,4.42,3.96,3.96,-0.42,-9.59%,431400
12/05/2022,4.46,4.55,4.3,4.38,-0.07,-1.57%,245000
12/02/2022,4.28,4.58,4.16,4.45,0.16,+3.73%,299500
12/01/2022,4.19,4.42,4.12,4.29,0.13,+3.13%,228500
11/30/2022,4.2,4.24,4.06,4.16,-0.05,-1.19%,193200
11/29/2022,4.24,4.32,4.07,4.21,0.07,+1.69%,204200
11/28/2022,4.11,4.27,4.06,4.14,-0.09,-2.13%,202700
11/25/2022,3.94,4.35,3.94,4.23,0.24,+6.02%,161100
11/23/2022,3.95,4.04,3.84,3.99,0.09,+2.31%,206300
11/22/2022,3.9,4,3.77,3.9,0.02,+0.52%,145300
11/21/2022,3.94,4.015,3.76,3.88,-0.12,-3.00%,231200
11/18/2022,4.01,4.11,3.92,4,0.02,+0.50%,270200
11/17/2022,3.89,4.22,3.72,3.98,0.28,+7.57%,453500
11/16/2022,3.65,3.84,3.65,3.7,0.01,+0.27%,211700
11/15/2022,3.9,3.9,3.62,3.69,-0.13,-3.40%,342700
11/14/2022,3.63,3.88,3.47,3.82,0.11,+2.96%,455600
11/11/2022,3.23,3.87,3.17,3.71,0.62,+20.06%,1061800
11/10/2022,3.04,3.24,2.98,3.09,0.26,+9.19%,357000
11/09/2022,3.01,3.05,2.77,2.83,-0.17,-5.67%,231400
11/08/2022,2.93,3.12,2.93,3,0.06,+2.04%,123600
11/07/2022,2.92,2.98,2.86,2.94,0.08,+2.80%,69600
11/04/2022,3.05,3.14,2.71,2.86,-0.14,-4.67%,333400
11/03/2022,2.99,3.03,2.9,3,0.05,+1.69%,115900
11/02/2022,3.12,3.1201,2.91,2.95,-0.15,-4.84%,208800
11/01/2022,3.08,3.185,3.08,3.1,0.03,+0.98%,113500
10/31/2022,3.16,3.245,3.0301,3.07,-0.1,-3.15%,103000
10/28/2022,3.17,3.23,3.1,3.17,-0.01,-0.31%,76100
10/27/2022,3.21,3.3,3.13,3.18,0,0.00%,91100
10/26/2022,3.12,3.2986,3.1101,3.18,0.06,+1.92%,108500
10/25/2022,2.97,3.14,2.91,3.12,0.16,+5.41%,109900
10/24/2022,3.05,3.05,2.87,2.96,-0.07,-2.31%,218600
10/21/2022,3.05,3.08,2.925,3.03,-0.02,-0.66%,118900
10/20/2022,3.13,3.18,2.99,3.05,-0.05,-1.61%,75400
10/19/2022,3.14,3.14,3.0068,3.1,-0.03,-0.96%,89100
10/18/2022,3.15,3.24,3.095,3.13,0.04,+1.29%,156700
10/17/2022,2.96,3.15,2.96,3.09,0.14,+4.75%,121400
10/14/2022,3.03,3.2,2.94,2.95,-0.07,-2.32%,118800
10/13/2022,2.8,3.09,2.78,3.02,0.12,+4.14%,229800
10/12/2022,2.81,2.91,2.81,2.9,0.09,+3.20%,78700
10/11/2022,2.84,2.9,2.76,2.81,-0.01,-0.35%,91800
10/10/2022,2.88,3,2.78,2.82,-0.02,-0.70%,141300
10/07/2022,2.98,3.01,2.84,2.84,-0.18,-5.96%,205100
10/06/2022,3.03,3.12,2.95,3.02,-0.05,-1.63%,133100
10/05/2022,2.86,3.177,2.82,3.07,0.21,+7.34%,239400
10/04/2022,2.85,2.98,2.79,2.86,0.05,+1.78%,92200
10/03/2022,2.85,2.9,2.77,2.81,-0.02,-0.71%,73100
09/30/2022,2.81,2.9,2.77,2.83,0.01,+0.35%,106700
09/29/2022,2.99,3.09,2.79,2.82,-0.19,-6.31%,122200
09/28/2022,2.95,3.07,2.95,3.01,0.1,+3.44%,150400
09/27/2022,2.91,3,2.8501,2.91,0.06,+2.11%,100300
09/26/2022,2.85,3.03,2.845,2.85,-0.03,-1.04%,150200
09/23/2022,2.92,2.98,2.85,2.88,-0.07,-2.37%,208500
09/22/2022,3.03,3.06,2.93,2.95,-0.09,-2.96%,211800
09/21/2022,3.19,3.2157,3.02,3.04,-0.14,-4.40%,286700
09/20/2022,3.22,3.31,3.15,3.18,-0.04,-1.24%,224200
09/19/2022,3.33,3.3758,3.18,3.22,-0.16,-4.73%,274600
09/16/2022,3.46,3.53,3.35,3.38,-0.11,-3.15%,200300
