Time,Open,High,Low,Last,Change,%Chg,Volume
01/23/2023,2.11,2.1864,2.11,2.14,0.04,+1.90%,93300
01/20/2023,2.15,2.2116,2.09,2.1,-0.03,-1.41%,27100
01/19/2023,2.11,2.21,2.11,2.13,0,0.00%,50700
01/18/2023,2.22,2.32,2.1113,2.13,-0.11,-4.91%,37400
01/17/2023,2.24,2.32,2.15,2.24,-0.03,-1.32%,79800
01/13/2023,2.12,2.35,2.12,2.27,0.1,+4.61%,80100
01/12/2023,2.03,2.21,1.9715,2.17,0.13,+6.37%,84400
01/11/2023,1.97,2.04,1.94,2.04,0.06,+3.03%,135100
01/10/2023,1.95,1.99,1.92,1.98,0.05,+2.59%,72700
01/09/2023,2.02,2.02,1.83,1.93,-0.05,-2.53%,133100
01/06/2023,1.8,1.98,1.76,1.98,0.18,+10.00%,166300
01/05/2023,1.75,1.82,1.75,1.8,0.01,+0.56%,52100
01/04/2023,1.85,1.9101,1.76,1.79,-0.03,-1.65%,166500
01/03/2023,1.55,1.82,1.53,1.82,0.27,+17.42%,131300
12/30/2022,1.47,1.67,1.41,1.55,0.15,+10.71%,451408
12/29/2022,1.26,1.48,1.26,1.4,0.21,+17.65%,416600
12/28/2022,1.46,1.53,1.16,1.19,-0.27,-18.49%,385300
12/27/2022,1.41,1.58,1.3518,1.46,0.06,+4.29%,162600
12/23/2022,1.39,1.41,1.34,1.4,0.03,+2.19%,94331
12/22/2022,1.18,1.39,1.17,1.37,0.22,+19.13%,213597
12/21/2022,1.12,1.2,1.1006,1.15,0.12,+11.65%,119000
12/20/2022,1.07,1.1199,1.03,1.03,-0.08,-7.21%,187227
12/19/2022,1.13,1.19,1.08,1.11,-0.08,-6.72%,126100
12/16/2022,1.19,1.19,1.14,1.19,0.03,+2.59%,97100
12/15/2022,1.13,1.191,1.1294,1.16,-0.01,-0.85%,107200
12/14/2022,1.22,1.2299,1.15,1.17,-0.02,-1.68%,119300
12/13/2022,1.22,1.24,1.1801,1.19,-0.01,-0.83%,229130
12/12/2022,1.29,1.2924,1.18,1.2,-0.07,-5.51%,174100
12/09/2022,1.3,1.4,1.25,1.27,0.02,+1.60%,62667
12/08/2022,1.27,1.29,1.25,1.25,-0.04,-3.10%,121200
12/07/2022,1.26,1.29,1.25,1.29,0.01,+0.78%,44100
12/06/2022,1.31,1.33,1.245,1.28,-0.02,-1.54%,100801
12/05/2022,1.42,1.42,1.3,1.3,-0.12,-8.45%,140300
12/02/2022,1.39,1.42,1.3653,1.42,0.01,+0.71%,23701
12/01/2022,1.36,1.45,1.36,1.41,0.01,+0.71%,33500
11/30/2022,1.37,1.4,1.35,1.4,0.03,+2.19%,44401
11/29/2022,1.36,1.38,1.32,1.37,0,0.00%,84700
11/28/2022,1.5,1.5,1.36,1.37,-0.14,-9.27%,79100
11/25/2022,1.48,1.52,1.45,1.51,0.04,+2.72%,40900
11/23/2022,1.37,1.4831,1.35,1.47,0.1,+7.30%,49000
11/22/2022,1.43,1.43,1.29,1.37,-0.05,-3.52%,120601
11/21/2022,1.44,1.49,1.4,1.42,-0.04,-2.74%,119000
11/18/2022,1.46,1.49,1.41,1.46,0.09,+6.57%,77200
11/17/2022,1.43,1.44,1.3651,1.37,-0.07,-4.86%,57100
11/16/2022,1.54,1.54,1.41,1.44,-0.09,-5.88%,76500
11/15/2022,1.56,1.6,1.51,1.53,-0.01,-0.65%,59300
11/14/2022,1.62,1.62,1.49,1.54,0.02,+1.32%,148600
11/11/2022,1.55,1.6,1.49,1.52,0.03,+2.01%,67100
11/10/2022,1.49,1.538,1.49,1.49,0.03,+2.05%,92700
11/09/2022,1.66,1.66,1.44,1.46,-0.12,-7.59%,142500
11/08/2022,1.59,1.63,1.53,1.58,0.03,+1.94%,179200
11/07/2022,1.66,1.66,1.47,1.55,-0.09,-5.49%,256700
11/04/2022,1.6,1.69,1.55,1.64,-0.31,-15.90%,432800
11/03/2022,1.9,2.05,1.85,1.95,-0.08,-3.94%,317200
11/02/2022,1.95,2.04,1.83,2.03,0.14,+7.41%,3645000
11/01/2022,1.86,1.96,1.83,1.89,0.02,+1.07%,108800
10/31/2022,1.75,1.96,1.7,1.87,0.13,+7.47%,172200
10/28/2022,1.67,1.74,1.66,1.74,0.05,+2.96%,26700
10/27/2022,1.85,1.85,1.6584,1.69,-0.14,-7.65%,54000
10/26/2022,1.65,1.88,1.65,1.83,0.13,+7.65%,68300
10/25/2022,1.56,1.7,1.56,1.7,0.13,+8.28%,32500
10/24/2022,1.58,1.64,1.51,1.57,0,0.00%,52100
10/21/2022,1.55,1.63,1.54,1.57,0.03,+1.95%,79800
10/20/2022,1.61,1.66,1.52,1.54,-0.07,-4.35%,56400
10/19/2022,1.72,1.73,1.6,1.61,-0.11,-6.40%,65500
10/18/2022,1.72,1.79,1.65,1.72,0.04,+2.38%,127400
10/17/2022,1.58,1.695,1.58,1.68,0.09,+5.66%,35900
10/14/2022,1.6,1.6486,1.5515,1.59,-0.01,-0.63%,20000
10/13/2022,1.53,1.61,1.5,1.6,0.04,+2.56%,38800
10/12/2022,1.6,1.64,1.41,1.56,0.04,+2.63%,89200
10/11/2022,1.54,1.73,1.5153,1.52,-0.02,-1.30%,53100
10/10/2022,1.58,1.5827,1.525,1.54,-0.08,-4.94%,30100
10/07/2022,1.81,1.81,1.59,1.62,-0.21,-11.48%,57100
10/06/2022,1.65,1.88,1.63,1.83,0.2,+12.27%,247759
10/05/2022,1.52,1.67,1.48,1.63,0.12,+7.95%,80500
10/04/2022,1.44,1.58,1.411,1.51,0.11,+7.86%,120302
10/03/2022,1.38,1.4,1.35,1.4,0.04,+2.94%,49701
09/30/2022,1.34,1.52,1.3254,1.36,0.04,+3.03%,44900
09/29/2022,1.4,1.425,1.31,1.32,-0.1,-7.04%,63800
09/28/2022,1.43,1.52,1.42,1.42,0.03,+2.16%,126600
09/27/2022,1.19,1.4225,1.19,1.39,0.19,+15.83%,339600
09/26/2022,1.42,1.4296,1.18,1.2,-0.19,-13.67%,308400
09/23/2022,1.64,1.64,1.39,1.39,-0.22,-13.66%,251700
09/22/2022,1.69,1.7,1.6,1.61,-0.07,-4.17%,92800
09/21/2022,1.83,1.85,1.66,1.68,-0.17,-9.19%,166800
09/20/2022,1.84,1.88,1.79,1.85,0.01,+0.54%,133400
09/19/2022,1.91,1.91,1.82,1.84,-0.05,-2.65%,88500
09/16/2022,1.89,1.91,1.82,1.89,-0.03,-1.56%,98000
09/15/2022,1.82,1.94,1.82,1.92,0.06,+3.23%,70900
09/14/2022,1.85,1.89,1.79,1.86,0.02,+1.09%,59400
09/13/2022,1.84,1.94,1.81,1.84,-0.02,-1.08%,169400
09/12/2022,1.78,1.91,1.73,1.86,0.13,+7.51%,135500
09/09/2022,1.77,1.8199,1.68,1.73,0.04,+2.37%,214300
09/08/2022,1.73,1.76,1.65,1.69,-0.04,-2.31%,129200
09/07/2022,1.8,1.865,1.7,1.73,-0.09,-4.95%,116100
09/06/2022,1.87,1.87,1.8,1.82,-0.03,-1.62%,125900
09/02/2022,1.89,1.89,1.82,1.85,0.03,+1.65%,92600
09/01/2022,1.89,1.91,1.78,1.82,-0.08,-4.21%,111700
08/31/2022,2.03,2.0669,1.83,1.9,-0.1,-5.00%,122300
08/30/2022,2,2.03,1.91,2,-0.04,-1.96%,65600
08/29/2022,2.01,2.1,1.96,2.04,0.06,+3.03%,88000
08/26/2022,2.0566,2.1072,1.95,1.98,-0.09,-4.35%,39900
08/25/2022,1.91,2.09,1.8812,2.07,0.2,+10.70%,102900
08/24/2022,2.05,2.05,1.83,1.87,-0.11,-5.56%,106300
08/23/2022,1.92,2.06,1.875,1.98,0.09,+4.76%,110000
08/22/2022,1.95,2.03,1.88,1.89,-0.11,-5.50%,84500
08/19/2022,1.95,2.18,1.95,2,-0.03,-1.48%,176000
08/18/2022,1.83,2.4772,1.82,2.03,0.23,+12.78%,1725500
