Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/31/2023,18.95,18.98,18.89,18.93,-0.03,-0.16%,1353900,0
01/30/2023,18.92,18.98,18.92,18.96,-0.01,-0.05%,1387000,0
01/27/2023,18.97,18.99,18.83,18.97,0,0.00%,1168900,0
01/26/2023,19.02,19.05,18.94,18.97,-0.03,-0.16%,1597400,0
01/25/2023,19.03,19.04,18.98,19,-0.03,-0.16%,2229000,0
01/24/2023,19.03,19.07,19.01,19.03,0,0.00%,1329300,0
01/23/2023,19.03,19.07,19.02,19.03,0,0.00%,2119400,0
01/20/2023,19.06,19.09,19.029,19.03,0,0.00%,696500,0
01/19/2023,19.04,19.07,19.02,19.03,-0.02,-0.10%,883400,0
01/18/2023,19.07,19.135,19,19.05,0,0.00%,2269600,0
01/17/2023,19.06,19.09,19.04,19.05,-0.01,-0.05%,1392500,0
01/13/2023,19.03,19.09,19.03,19.06,0,0.00%,1912500,0
01/12/2023,19.05,19.095,19.02,19.06,0.02,+0.11%,1782300,0
01/11/2023,19,19.05,18.99,19.04,0.04,+0.21%,2553600,0
01/10/2023,18.99,19.04,18.88,19,-0.03,-0.16%,4744200,0
01/09/2023,19.07,19.29,19,19.03,6.04,+46.50%,20525400,0
01/06/2023,12.15,13.29,11.9,12.99,1.71,+15.16%,1258200,0
01/05/2023,11.46,11.99,11.125,11.28,-0.27,-2.34%,964700,0
01/04/2023,11.51,11.92,10.24,11.55,-0.87,-7.00%,1424300,0
01/03/2023,12.22,12.5199,12.08,12.42,0.37,+3.07%,567200,0
12/30/2022,11.57,12.14,11.49,12.05,0.35,+2.99%,701900,0
12/29/2022,11.2,11.82,11.05,11.7,0.55,+4.93%,673600,0
12/28/2022,11.31,11.415,11.075,11.15,-0.21,-1.85%,341400,0
12/27/2022,11.48,11.58,11.1,11.36,-0.14,-1.22%,444300,0
12/23/2022,11.6,11.6821,11.39,11.5,-0.16,-1.37%,447200,0
12/22/2022,11.59,11.75,11.255,11.66,-0.01,-0.09%,542500,0
12/21/2022,11.6,11.86,11.51,11.67,0.1,+0.86%,350300,0
12/20/2022,11.56,11.685,11.41,11.57,-0.13,-1.11%,390500,0
12/19/2022,11.85,11.97,11.6224,11.7,-0.06,-0.51%,468200,0
12/16/2022,11.67,11.87,11.5,11.76,0.01,+0.09%,776900,0
12/15/2022,11.97,12.09,11.68,11.75,-0.48,-3.92%,522000,0
12/14/2022,12.01,12.39,11.767,12.23,0.19,+1.58%,469900,0
12/13/2022,12.23,12.58,11.86,12.04,0.32,+2.73%,496800,0
12/12/2022,11.74,11.86,11.49,11.72,-0.04,-0.34%,586900,0
12/09/2022,11.75,11.92,11.465,11.76,-0.04,-0.34%,497300,0
12/08/2022,11.02,11.9,11.02,11.8,0.82,+7.47%,617600,0
12/07/2022,10.92,11.22,10.89,10.98,0.09,+0.83%,325700,0
12/06/2022,10.97,10.985,10.68,10.89,-0.07,-0.64%,464100,0
12/05/2022,11.28,11.33,10.79,10.96,-0.39,-3.44%,412900,0
12/02/2022,11.2,11.4195,10.96,11.35,-0.14,-1.22%,736400,0
12/01/2022,11.17,11.52,10.89,11.49,0.3,+2.68%,522500,0
11/30/2022,10.8,11.24,10.6,11.19,0.38,+3.52%,469900,0
11/29/2022,10.74,11.02,10.52,10.81,0.02,+0.19%,458800,0
11/28/2022,11.01,11.155,10.79,10.79,-0.3,-2.71%,404400,0
11/25/2022,11.03,11.12,10.8925,11.09,-0.01,-0.09%,177100,0
11/23/2022,10.97,11.19,10.81,11.1,0.12,+1.09%,496000,0
11/22/2022,11.01,11.055,10.39,10.98,-0.02,-0.18%,398100,0
