Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/17/2023,11.14,11.14,10.905,10.96,-0.12,-1.08%,1748500,0
02/16/2023,10.84,11.12,10.761,11.08,-0.3,-2.64%,3338800,0
02/15/2023,11.24,11.405,10.93,11.38,0.07,+0.62%,3555400,0
02/14/2023,11.03,11.485,10.88,11.31,0.13,+1.16%,4869800,0
02/13/2023,10.46,11.25,10.46,11.18,0.8,+7.71%,5619400,0
02/10/2023,10.39,10.62,10.09,10.38,-0.01,-0.10%,3094500,0
02/09/2023,9.5,10.59,9.5,10.39,1.27,+13.93%,7483200,0
02/08/2023,9.01,9.205,8.98,9.12,0.1,+1.11%,4042000,0
02/07/2023,8.7,9.095,8.69,9.02,0.38,+4.40%,3927700,0
02/06/2023,8.49,8.9,8.485,8.64,0.17,+2.01%,3501600,0
02/03/2023,8.52,8.835,8.43,8.47,-0.12,-1.40%,2374000,0
02/02/2023,8.66,8.77,8.44,8.59,-0.01,-0.12%,2454600,0
02/01/2023,8.61,8.8,8.53,8.6,0.03,+0.35%,1994200,0
01/31/2023,8.44,8.69,8.35,8.57,0.15,+1.78%,1719600,0
01/30/2023,8.42,8.64,8.41,8.42,-0.03,-0.36%,1330800,0
01/27/2023,8.2,8.51,8.2,8.45,0.24,+2.92%,1379000,0
01/26/2023,8.27,8.34,8.07,8.21,-0.01,-0.12%,1159200,0
01/25/2023,8.21,8.24,8.04,8.22,0.01,+0.12%,1210400,0
01/24/2023,8.28,8.36,8.16,8.21,-0.05,-0.61%,1252700,0
01/23/2023,8.56,8.58,8.22,8.26,-0.29,-3.39%,2558400,0
01/20/2023,8.64,8.73,8.52,8.55,0,0.00%,1286500,0
01/19/2023,8.62,8.67,8.48,8.55,-0.09,-1.04%,1420200,0
01/18/2023,8.92,9,8.63,8.64,-0.23,-2.59%,2074100,0
01/17/2023,8.8,8.97,8.75,8.87,0.15,+1.72%,3794800,0
01/13/2023,8.69,8.8204,8.415,8.72,0.04,+0.46%,2191600,0
01/12/2023,8.6,8.73,8.48,8.68,0.12,+1.40%,3417300,0
01/11/2023,8.8,9.005,8.5,8.56,-0.24,-2.73%,4276700,0
01/10/2023,8.36,8.97,8.34,8.8,0.5,+6.02%,5261200,0
01/09/2023,8.52,8.57,8.24,8.3,-0.19,-2.24%,1699700,0
01/06/2023,8.39,8.55,8.27,8.49,0.19,+2.29%,1527500,0
01/05/2023,8.26,8.435,8.2,8.3,0.05,+0.61%,1655600,0
01/04/2023,8.29,8.41,8.07,8.25,-0.2,-2.37%,3204800,0
01/03/2023,8.83,8.88,8.395,8.45,-0.43,-4.84%,3719600,0
12/30/2022,8.81,8.91,8.77,8.88,0.04,+0.45%,994600,0
12/29/2022,8.8,8.88,8.705,8.84,0.03,+0.34%,1517600,0
12/28/2022,8.99,8.99,8.67,8.81,-0.22,-2.44%,1036800,0
12/27/2022,9.05,9.0977,8.955,9.03,0.02,+0.22%,953600,0
12/23/2022,9,9.035,8.81,9.01,0.06,+0.67%,1107800,0
12/22/2022,9.07,9.13,8.88,8.95,-0.12,-1.32%,1091800,0
12/21/2022,9.26,9.27,9.04,9.07,-0.14,-1.52%,1230500,0
12/20/2022,9.07,9.32,8.98,9.21,0.16,+1.77%,4798800,0
12/19/2022,9.42,9.43,9.035,9.05,-0.38,-4.03%,1895900,0
12/16/2022,9.39,9.49,9.315,9.43,-0.12,-1.26%,1767500,0
12/15/2022,9.49,9.63,9.3809,9.55,0.11,+1.17%,1737500,0
12/14/2022,9.63,9.6854,9.365,9.44,-0.14,-1.46%,1090800,0
12/13/2022,9.73,9.74,9.5,9.58,-0.15,-1.54%,1571500,0
12/12/2022,9.37,9.815,9.3049,9.73,0.55,+5.99%,3142000,0
12/09/2022,9.29,9.405,9.18,9.18,-0.12,-1.29%,1783200,0
12/08/2022,9,9.345,8.97,9.3,0.45,+5.08%,3589100,0
12/07/2022,9.52,9.52,8.835,8.85,-0.67,-7.04%,4088600,0
12/06/2022,9.87,9.87,9.44,9.52,-0.31,-3.15%,2373800,0
12/05/2022,10.33,10.415,9.75,9.83,-0.39,-3.82%,2693200,0
12/02/2022,9.69,10.23,9.61,10.22,0.45,+4.61%,2695900,0
12/01/2022,10.08,10.15,9.75,9.77,-0.36,-3.55%,2072300,0
11/30/2022,10,10.14,9.87,10.13,0.26,+2.63%,2667600,0
11/29/2022,9.87,10.25,9.8,9.87,0.15,+1.54%,2170400,0
11/28/2022,10.1,10.1,9.68,9.72,-0.52,-5.08%,2620300,0
11/25/2022,9.97,10.28,9.65,10.24,0.1,+0.99%,1114700,0
11/23/2022,10.27,10.54,10.02,10.14,-0.11,-1.07%,2854000,0
11/22/2022,10.6,10.64,10.18,10.25,-0.33,-3.12%,2458200,0
11/21/2022,10.45,10.58,10.21,10.58,0.12,+1.15%,2534400,0
11/18/2022,10.28,10.51,10.17,10.46,0.11,+1.06%,2832000,0
11/17/2022,9.82,10.355,9.74,10.35,0.41,+4.12%,2836600,0
11/16/2022,10.17,10.21,9.9,9.94,-0.17,-1.68%,1635600,0
11/15/2022,9.81,10.15,9.66,10.11,0.44,+4.55%,2509200,0
11/14/2022,9.6,9.82,9.56,9.67,0.08,+0.83%,1955600,0
11/11/2022,9.79,9.91,9.465,9.59,-0.09,-0.93%,2035200,0
11/10/2022,9.69,9.72,9.41,9.68,0.16,+1.68%,2379300,0
11/09/2022,9.8,10.01,9.415,9.52,-0.36,-3.64%,3959700,0
11/08/2022,9.285,10.14,9.285,9.88,0.57,+6.12%,6166000,0
11/07/2022,9.46,9.49,9.24,9.31,-0.14,-1.48%,2289200,0
11/04/2022,9.3,9.46,9.2,9.45,0.23,+2.49%,2077600,0
11/03/2022,9.09,9.33,9.06,9.22,0.16,+1.77%,1513400,0
11/02/2022,9.12,9.28,9.05,9.06,-0.05,-0.55%,1570100,0
11/01/2022,9.09,9.25,9.015,9.11,0.2,+2.24%,1982900,0
10/31/2022,8.85,8.93,8.72,8.91,0.05,+0.56%,1332700,0
10/28/2022,8.88,8.925,8.72,8.86,0.05,+0.57%,1827200,0
10/27/2022,9.06,9.095,8.8,8.81,-0.15,-1.67%,1735200,0
10/26/2022,8.97,9.155,8.945,8.96,0.07,+0.79%,1896200,0
10/25/2022,8.84,8.96,8.735,8.89,0.02,+0.23%,1980600,0
10/24/2022,8.8,8.91,8.58,8.87,0.11,+1.26%,3059500,0
10/21/2022,8.69,8.76,8.5,8.76,0.07,+0.81%,1892500,0
10/20/2022,8.67,8.8,8.55,8.69,0.01,+0.12%,2447800,0
10/19/2022,8.44,8.749,8.36,8.68,0.18,+2.12%,3815400,0
10/18/2022,8.31,8.5,8.21,8.5,0.23,+2.78%,2504400,0
10/17/2022,8.25,8.355,8.075,8.27,0.25,+3.12%,3276700,0
10/14/2022,7.84,8.03,7.67,8.02,0.28,+3.62%,2391100,0
10/13/2022,7.53,7.775,7.48,7.74,0.15,+1.98%,2029200,0
10/12/2022,7.34,7.61,7.23,7.59,0.21,+2.85%,1872000,0
10/11/2022,7.36,7.48,7.11,7.38,-0.06,-0.81%,1852000,0
10/10/2022,7.57,7.75,7.43,7.44,-0.09,-1.20%,1798300,0
10/07/2022,7.39,7.6475,7.36,7.53,0.14,+1.89%,2719000,0
10/06/2022,7.4,7.705,7.31,7.39,0.08,+1.09%,2540700,0
10/05/2022,7.23,7.42,6.96,7.31,-0.1,-1.35%,4535600,0
10/04/2022,7.59,7.65,7.29,7.41,-0.13,-1.72%,5722600,0
10/03/2022,7.6,7.7,7.465,7.54,-0.02,-0.26%,2535100,0
09/30/2022,7.63,7.8027,7.54,7.56,0.02,+0.27%,2266300,0
09/29/2022,8.1,8.125,7.515,7.54,-0.59,-7.26%,3424600,0
09/28/2022,8.27,8.27,7.89,8.13,-0.08,-0.97%,4166600,0
09/27/2022,8.33,8.395,8.02,8.21,-0.08,-0.97%,2791900,0
09/26/2022,8.3,8.545,8.215,8.29,-0.07,-0.84%,3104100,0
09/23/2022,8.55,8.575,8.29,8.36,-0.42,-4.78%,2989400,0
09/22/2022,8.97,9.13,8.755,8.78,-0.08,-0.90%,2431500,0
09/21/2022,9.25,9.29,8.82,8.86,-0.33,-3.59%,2438600,0
09/20/2022,9.26,9.3,9.04,9.19,-0.07,-0.76%,3163200,0
09/19/2022,8.59,9.31,8.53,9.26,0.55,+6.31%,5580500,0
09/16/2022,8.69,8.7699,8.43,8.71,-0.08,-0.91%,3270600,0
09/15/2022,8.71,8.8499,8.612,8.79,-0.05,-0.57%,2874800,0
09/14/2022,8.6,8.92,8.6,8.84,0.34,+4.00%,2917000,0
09/13/2022,8.55,8.675,8.405,8.5,-0.09,-1.05%,2645800,0
09/12/2022,8.44,8.63,8.38,8.59,0.1,+1.18%,2932800,0
09/09/2022,8.27,8.675,8.23,8.49,0.59,+7.47%,4206600,0
09/08/2022,7.75,7.935,7.7325,7.9,0.09,+1.15%,2156100,0
09/07/2022,7.86,7.93,7.67,7.81,-0.28,-3.46%,1868000,0
09/06/2022,7.92,8.27,7.89,8.09,0.39,+5.06%,4461900,0
09/02/2022,7.68,7.76,7.53,7.7,0.12,+1.58%,1166200,0
09/01/2022,7.71,7.78,7.5125,7.58,-0.23,-2.94%,1634900,0
08/31/2022,7.56,7.82,7.48,7.81,0.15,+1.96%,1776400,0
08/30/2022,7.83,7.915,7.58,7.66,-0.27,-3.40%,2690300,0
08/29/2022,7.69,7.995,7.66,7.93,0.19,+2.45%,1254000,0
08/26/2022,7.82,7.83,7.635,7.74,-0.1,-1.28%,1389500,0
