Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/10/2023,53.07,55.51,52.92,55.43,3.1,+5.92%,2074100,0
02/09/2023,53.08,53.25,52.13,52.33,-0.78,-1.47%,1845800,0
02/08/2023,54.33,54.6,52.02,53.11,-1.51,-2.76%,1746800,0
02/07/2023,52.76,54.64,52.62,54.62,2.22,+4.24%,1778000,0
02/06/2023,53.06,53.73,51.07,52.4,-0.75,-1.41%,2285300,0
02/03/2023,53.97,54.9,53,53.15,-0.9,-1.67%,1595200,0
02/02/2023,54.53,54.81,52.98,54.05,-0.6,-1.10%,1899200,0
02/01/2023,56.69,57.209,53.82,54.65,-2.25,-3.95%,2336600,0
01/31/2023,56.21,57.23,55.84,56.9,0.98,+1.75%,2041300,0
01/30/2023,56.67,57.29,55.72,55.92,-1.04,-1.83%,1878500,0
01/27/2023,59.25,59.3161,56.625,56.96,-2.22,-3.75%,1828800,0
01/26/2023,57.96,59.4,57.47,59.18,1.69,+2.94%,1845600,0
01/25/2023,58.11,58.48,56.85,57.49,-0.91,-1.56%,1355800,0
01/24/2023,57.9,58.48,56.6112,58.4,0.57,+0.99%,1583100,0
01/23/2023,57.55,58.8499,57.22,57.83,0.9,+1.58%,1872600,0
01/20/2023,54.99,56.97,54.86,56.93,2.02,+3.68%,2552400,0
01/19/2023,53.33,55.18,53.03,54.91,1.56,+2.92%,1970400,0
01/18/2023,52.69,54.66,52.23,53.35,0.95,+1.81%,2946800,0
01/17/2023,52.41,53.18,51.83,52.4,0.39,+0.75%,1914900,0
01/13/2023,52.16,52.53,51.37,52.01,-0.11,-0.21%,1545600,0
01/12/2023,51.91,52.82,51.6,52.12,0.54,+1.05%,1693900,0
01/11/2023,51.97,52.3,51.23,51.58,-0.12,-0.23%,1589300,0
01/10/2023,51.24,51.92,49.94,51.7,1.54,+3.07%,2541600,0
01/09/2023,52.03,52.43,49.6201,50.16,-0.74,-1.45%,2284600,0
01/06/2023,51.17,53.5,50.77,50.9,0.32,+0.63%,1801000,0
01/05/2023,49.86,51.435,49.04,50.58,0.38,+0.76%,2971000,0
01/04/2023,48.66,50.29,48.44,50.2,0.55,+1.11%,2296400,0
01/03/2023,51.41,52.13,49.22,49.65,-2.24,-4.32%,1922800,0
12/30/2022,51.15,52.19,51.1001,51.89,0.39,+0.76%,1388100,0
12/29/2022,48.95,51.805,48.92,51.5,2.57,+5.25%,2508800,0
12/28/2022,50.51,50.805,48.83,48.93,-2,-3.93%,1990400,0
12/27/2022,50.8,51.2,50.44,50.93,0.05,+0.10%,1916900,0
12/23/2022,49.66,50.96,49.2,50.88,1.78,+3.63%,1198900,0
12/22/2022,50.14,50.35,48.44,49.1,-1.25,-2.48%,1473600,0
12/21/2022,51.04,51.49,49.49,50.35,0.09,+0.18%,1842800,0
12/20/2022,50.12,50.59,49.9496,50.26,0.53,+1.07%,2070400,0
12/19/2022,51.07,51.64,49.27,49.73,-1.03,-2.03%,1841700,0
12/16/2022,50.2,50.89,49.42,50.76,-0.37,-0.72%,6157700,0
12/15/2022,50.49,51.13,50.03,51.13,0.5,+0.99%,2238000,0
12/14/2022,51.4,51.93,50.43,50.63,-0.37,-0.73%,1773500,0
12/13/2022,51.56,51.8692,50.01,51,0.16,+0.31%,2441800,0
12/12/2022,49,51.13,48.47,50.84,2.12,+4.35%,2819100,0
12/09/2022,49.3,50,48.64,48.72,-1.02,-2.05%,2031900,0
12/08/2022,51.9,52.26,49.54,49.74,-1.44,-2.81%,2584300,0
12/07/2022,50.93,51.89,50.47,51.18,-0.11,-0.21%,2000200,0
12/06/2022,51.88,53.23,50.65,51.29,-1.2,-2.29%,2695400,0
12/05/2022,57.07,57.48,52.47,52.49,-3.93,-6.97%,3616800,0
12/02/2022,60.65,61.18,56.33,56.42,-4.42,-7.26%,4431000,0
12/01/2022,63.04,63.58,60.74,60.84,-1.5,-2.41%,2440800,0
11/30/2022,63.17,63.79,60.15,62.34,-0.26,-0.42%,14901200,0
11/29/2022,63.67,64.85,62.55,62.6,-0.74,-1.17%,2269200,0
11/28/2022,63.55,64.82,62.9,63.34,-1.45,-2.24%,3145800,0
11/25/2022,64.66,66.19,64.615,64.79,0.19,+0.29%,977400,0
11/23/2022,64.58,65.595,64.31,64.6,-1.01,-1.54%,1708100,0
11/22/2022,64.3,65.75,64.14,65.61,2.29,+3.62%,1665000,0
11/21/2022,63.86,63.895,61.11,63.32,-0.4,-0.63%,1541100,0
11/18/2022,63.52,63.95,62.11,63.72,-1.46,-2.24%,1120000,0
11/17/2022,63.61,65.21,63.07,65.18,0.67,+1.04%,1386900,0
11/16/2022,65.01,65.64,64.2275,64.51,-1.03,-1.57%,1562900,0
11/15/2022,63.35,65.99,63.2,65.54,2.72,+4.33%,2218100,0
11/14/2022,62.3,63.83,61.877,62.82,0.77,+1.24%,2236500,0
11/11/2022,63.38,64.21,61.73,62.05,0.21,+0.34%,1827000,0
11/10/2022,61.57,61.99,60.38,61.84,1.28,+2.11%,2094900,0
11/09/2022,62.29,63.93,60.53,60.56,-2.08,-3.32%,1748700,0
11/08/2022,64.1,64.1,62.16,62.64,-0.83,-1.31%,1579100,0
11/07/2022,63.26,64.3,62.74,63.47,0.38,+0.60%,3147600,0
11/04/2022,64.31,64.74,62.595,63.09,-0.09,-0.14%,1820200,0
11/03/2022,60.42,63.5,59.77,63.18,2.23,+3.66%,1552000,0
11/02/2022,61.83,62.81,60.4,60.95,-1.09,-1.76%,1489600,0
