Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/01/2023,7.85,8.11,7.62,7.97,0.12,+1.53%,343400,0
01/31/2023,7.9,8.23,7.76,7.85,-0.08,-1.01%,261900,0
01/30/2023,8.25,8.25,7.74,7.93,-0.34,-4.11%,710100,0
01/27/2023,8.47,8.63,8.25,8.27,-0.22,-2.59%,274700,0
01/26/2023,8.93,9.04,8.29,8.49,-0.39,-4.39%,440200,0
01/25/2023,8.53,8.92,8.42,8.88,0.16,+1.83%,568800,0
01/24/2023,8.69,8.95,8.22,8.72,0.15,+1.75%,490900,0
01/23/2023,8.85,8.85,8.4,8.57,-0.35,-3.92%,412700,0
01/20/2023,8.53,9.01,8.35,8.92,0.54,+6.44%,368400,0
01/19/2023,8.36,8.61,8.115,8.38,0,0.00%,306800,0
01/18/2023,8.69,8.79,8.15,8.38,-0.2,-2.33%,620500,0
01/17/2023,8.98,9.06,8.38,8.58,-0.42,-4.67%,491900,0
01/13/2023,8.97,9.16,8.61,9,-0.08,-0.88%,460800,0
01/12/2023,9.15,9.245,8.79,9.08,-0.06,-0.66%,487800,0
01/11/2023,8.92,9.24,8.61,9.14,0.19,+2.12%,400600,0
01/10/2023,9.03,9.4,8.57,8.95,-0.09,-1.00%,529000,0
01/09/2023,9.44,9.8067,8.7828,9.04,-0.34,-3.62%,350600,0
01/06/2023,8.95,9.72,8.59,9.38,0.5,+5.63%,290900,0
01/05/2023,9.36,9.525,8.62,8.88,-0.62,-6.53%,501800,0
01/04/2023,9.76,10.2099,9.4,9.5,-0.27,-2.76%,313100,0
01/03/2023,10.34,10.72,9.69,9.77,-0.49,-4.78%,585500,0
12/30/2022,10.18,10.355,9.8,10.26,-0.04,-0.39%,299700,0
12/29/2022,9.58,10.66,9.58,10.3,0.75,+7.85%,489800,0
12/28/2022,9.22,9.61,9.17,9.55,0.36,+3.92%,278000,0
12/27/2022,9.51,9.6214,8.92,9.19,-0.34,-3.57%,402500,0
12/23/2022,9.25,10.05,8.9307,9.53,0.25,+2.69%,523300,0
12/22/2022,8.88,9.35,8.5317,9.28,0.79,+9.31%,453600,0
12/21/2022,9,9.215,8.43,8.49,0.43,+5.33%,716700,0
12/20/2022,8.32,8.49,7.84,8.06,-0.27,-3.24%,649100,0
12/19/2022,8.64,8.935,8.21,8.33,-0.43,-4.91%,1012600,0
12/16/2022,8.09,8.88,7.81,8.76,0.65,+8.01%,4472400,0
