Time,Open,High,Low,Last,Change,%Chg,Volume
01/27/2023,0.9499,0.9499,0.881,0.895,-0.0161,-1.77%,31000
01/26/2023,0.99,1,0.9111,0.9111,-0.0738,-7.49%,49800
01/25/2023,0.965,0.985,0.95,0.9849,0.0244,+2.54%,7100
01/24/2023,0.95,0.99,0.9499,0.9605,0.0093,+0.98%,11900
01/23/2023,0.95,1,0.95,0.9512,-0.0221,-2.27%,12100
01/20/2023,0.97,0.9889,0.9445,0.9733,0.0136,+1.42%,16200
01/19/2023,0.9398,0.96,0.9131,0.9597,0.0121,+1.28%,5600
01/18/2023,0.9424,0.9551,0.9212,0.9476,-0.0024,-0.25%,21700
01/17/2023,0.99,1,0.9301,0.95,-0.0402,-4.06%,43400
01/13/2023,0.97,1,0.96,0.9902,0.0502,+5.34%,50700
01/12/2023,0.93,0.97,0.93,0.94,0.01,+1.08%,21400
01/11/2023,0.95,0.97,0.8931,0.93,0.0002,+0.02%,89000
01/10/2023,0.8402,0.9394,0.8321,0.9298,0.0898,+10.69%,43300
01/09/2023,0.83,0.84,0.8011,0.84,0.02,+2.44%,24000
01/06/2023,0.7389,0.8499,0.7389,0.82,0.1,+13.89%,46700
01/05/2023,0.7903,0.816,0.72,0.72,-0.0618,-7.90%,44100
01/04/2023,0.7999,0.8,0.77,0.7818,-0.0282,-3.48%,26100
01/03/2023,0.7705,0.81,0.7705,0.81,0.02,+2.53%,11300
12/30/2022,0.79,0.79,0.7701,0.79,-0.0099,-1.24%,20900
12/29/2022,0.8009,0.8198,0.7699,0.7999,0,0.00%,45600
12/28/2022,0.7899,0.82,0.7699,0.7999,0.0094,+1.19%,75400
12/27/2022,0.705,0.8,0.7,0.7905,0.0855,+12.13%,58800
12/23/2022,0.72,0.72,0.7,0.705,-0.0073,-1.02%,33800
12/22/2022,0.7197,0.7197,0.7117,0.7123,0.0006,+0.08%,22700
12/21/2022,0.72,0.72,0.7117,0.7117,0.0017,+0.24%,32500
12/20/2022,0.7,0.7699,0.7,0.71,0.01,+1.43%,18600
12/19/2022,0.72,0.7499,0.6801,0.7,-0.0387,-5.24%,50400
12/16/2022,0.735,0.77,0.7206,0.7387,-0.0156,-2.07%,17100
12/15/2022,0.76,0.7699,0.735,0.7543,0.0089,+1.19%,45000
12/14/2022,0.73,0.77,0.73,0.7454,-0.0246,-3.19%,32100
12/13/2022,0.74,0.77,0.73,0.77,0.0287,+3.87%,22800
12/12/2022,0.76,0.7629,0.7086,0.7413,-0.0216,-2.83%,29600
12/09/2022,0.771,0.7715,0.71,0.7629,-0.0085,-1.10%,23200
12/08/2022,0.7701,0.7927,0.7601,0.7714,0.001,+0.13%,14200
12/07/2022,0.78,0.794,0.74,0.7704,-0.0136,-1.73%,10200
12/06/2022,0.8324,0.833,0.7502,0.784,-0.0309,-3.79%,53400
12/05/2022,0.78,0.8325,0.7781,0.8149,0.0249,+3.15%,21000
12/02/2022,0.77,0.8323,0.77,0.79,0.0267,+3.50%,20600
12/01/2022,0.7625,0.7999,0.7501,0.7633,-0.0046,-0.60%,37100
11/30/2022,0.7262,0.7681,0.7262,0.7679,0.0452,+6.25%,25800
11/29/2022,0.75,0.77,0.71,0.7227,0.0017,+0.24%,36000
11/28/2022,0.75,0.75,0.721,0.721,-0.0289,-3.85%,11500
11/25/2022,0.72,0.7499,0.72,0.7499,0.025,+3.45%,11200
11/23/2022,0.75,0.7501,0.721,0.7249,-0.0051,-0.70%,11800
11/22/2022,0.75,0.77,0.73,0.73,-0.02,-2.67%,44300
11/21/2022,0.76,0.7783,0.7025,0.75,0.005,+0.67%,43800
11/18/2022,0.75,0.75,0.7023,0.745,0.025,+3.47%,14300
11/17/2022,0.7399,0.7599,0.7023,0.72,0.0177,+2.52%,33100
11/16/2022,0.6841,0.725,0.65,0.7023,0.0073,+1.05%,75300
11/15/2022,0.7392,0.7776,0.6703,0.695,-0.0188,-2.63%,168400
11/14/2022,0.732,0.7793,0.7102,0.7138,-0.0408,-5.41%,44600
11/11/2022,0.741,0.8381,0.7303,0.7546,-0.0031,-0.41%,94900
11/10/2022,0.79,0.79,0.7419,0.7577,-0.0225,-2.88%,18600
11/09/2022,0.7862,0.84,0.78,0.7802,-0.0298,-3.68%,5900
11/08/2022,0.8,0.8475,0.7801,0.81,-0.0048,-0.59%,3400
11/07/2022,0.84,0.9,0.7901,0.8148,0.0248,+3.14%,45100
11/04/2022,0.7899,0.8031,0.7801,0.79,0.0097,+1.24%,26600
11/03/2022,0.7716,0.79,0.7716,0.7803,-0.0049,-0.62%,14100
11/02/2022,0.8112,0.8706,0.7544,0.7852,-0.0601,-7.11%,91300
11/01/2022,0.8604,0.9031,0.8427,0.8453,-0.0283,-3.24%,28700
10/31/2022,0.8998,0.8998,0.8505,0.8736,-0.0262,-2.91%,29000
10/28/2022,0.8742,0.9388,0.87,0.8998,0.0155,+1.75%,14200
10/27/2022,0.8988,0.8988,0.8711,0.8843,-0.0193,-2.14%,10400
10/26/2022,0.9,0.931,0.8661,0.9036,0.0037,+0.41%,18200
10/25/2022,0.9,0.9486,0.85,0.8999,0.037,+4.29%,6400
10/24/2022,0.955,0.955,0.8629,0.8629,-0.0274,-3.08%,8800
10/21/2022,0.8595,0.9171,0.8409,0.8903,0.0308,+3.58%,7800
10/20/2022,0.9577,0.9592,0.852,0.8595,-0.0407,-4.52%,19600
10/19/2022,0.9131,0.9417,0.9,0.9002,-0.0399,-4.24%,20100
10/18/2022,0.9258,1,0.9134,0.9401,-0.0243,-2.52%,22000
10/17/2022,1.01,1.0499,0.9,0.9644,-0.0756,-7.27%,34200
10/14/2022,0.9895,1.08,0.9633,1.04,0.0421,+4.22%,49100
10/13/2022,0.8714,1.01,0.8112,0.9979,0.1265,+14.52%,83900
10/12/2022,0.82,0.9,0.82,0.8714,0.0513,+6.26%,41500
10/11/2022,0.85,0.8678,0.7864,0.8201,-0.0298,-3.51%,63700
10/10/2022,0.85,0.8649,0.8112,0.8499,-0.0191,-2.20%,17200
10/07/2022,0.85,0.9,0.85,0.869,-0.0258,-2.88%,71000
10/06/2022,0.75,0.9383,0.7394,0.8948,0.1847,+26.01%,284900
10/05/2022,0.7742,0.7742,0.701,0.7101,-0.0536,-7.02%,26500
10/04/2022,0.78,0.78,0.73,0.7637,-0.0094,-1.22%,26000
10/03/2022,0.7532,0.7971,0.7295,0.7731,0.0431,+5.90%,29800
09/30/2022,0.75,0.8099,0.68,0.73,0.05,+7.35%,116100
09/29/2022,0.7217,0.7477,0.67,0.68,-0.0322,-4.52%,51400
