Time,Open,High,Low,Last,Change,%Chg,Volume
03/02/2023,11.09,11.6899,10.55,11.19,-0.52,-4.44%,83800
03/01/2023,9.86,14.1,9.86,11.71,1.9,+19.37%,699900
02/28/2023,10.51,10.51,9.81,9.81,-0.6,-5.76%,13400
02/27/2023,11.07,11.08,10,10.41,-0.34,-3.16%,36000
02/24/2023,9.5,11.375,9.5,10.75,0.9,+9.14%,82800
02/23/2023,10.21,10.21,9.282,9.85,-0.34,-3.34%,189700
02/22/2023,10.17,10.64,10.16,10.19,0.02,+0.20%,766600
02/21/2023,10.17,10.18,10.16,10.17,0,0.00%,284700
02/17/2023,10.16,10.17,10.16,10.17,0,0.00%,453200
02/16/2023,10.17,10.18,10.17,10.17,-0.01,-0.10%,135800
02/14/2023,10.16,10.18,10.16,10.18,0.01,+0.10%,397600
02/13/2023,10.165,10.17,10.165,10.17,0.005,+0.05%,115800
02/09/2023,10.17,10.17,10.165,10.165,-0.005,-0.05%,800
02/07/2023,10.17,10.175,10.17,10.17,0.01,+0.10%,500
02/06/2023,10.18,10.28,10.16,10.16,0,0.00%,22400
02/03/2023,10.17,10.17,10.16,10.16,0,0.00%,200
02/02/2023,10.15,10.17,10.15,10.16,0.005,+0.05%,1007500
02/01/2023,10.65,10.65,10.15,10.155,0.005,+0.05%,511600
01/31/2023,10.65,10.65,10.15,10.15,0,0.00%,518500
01/30/2023,10.14,10.15,10.14,10.15,0.01,+0.10%,75400
01/27/2023,10.14,10.14,10.13,10.14,0,0.00%,10200
01/26/2023,10.14,10.14,10.14,10.14,0.02,+0.20%,10300
01/25/2023,10.13,10.13,10.11,10.12,-0.03,-0.30%,28900
01/24/2023,10.12,10.15,10.12,10.15,0.02,+0.20%,375100
01/20/2023,10.12,10.14,10.12,10.13,0.01,+0.10%,219600
01/19/2023,10.12,10.18,10.12,10.12,0,0.00%,48000
01/18/2023,10.12,10.12,10.12,10.12,0,0.00%,100
01/17/2023,10.6,10.6,10.1125,10.12,0.01,+0.10%,14000
01/13/2023,10.11,10.11,10.11,10.11,0,0.00%,500
01/12/2023,10.12,10.12,10.1,10.11,0,0.00%,192900
01/11/2023,10.11,10.12,10.11,10.11,0,0.00%,8900
01/10/2023,10.11,10.12,10.11,10.11,0.01,+0.10%,38900
01/09/2023,10.08,10.105,10.08,10.1,0.02,+0.20%,21300
01/06/2023,10.08,10.08,10.08,10.08,-0.03,-0.30%,1500
01/05/2023,10.11,10.11,10.11,10.11,0.01,+0.10%,4000
12/30/2022,10.08,10.1,10.08,10.1,0.02,+0.20%,9700
12/28/2022,10.08,10.08,10.08,10.08,0.01,+0.10%,800
12/27/2022,10.07,10.0725,10.0575,10.07,-0.02,-0.20%,32300
12/22/2022,10.09,10.09,10.09,10.09,0.02,+0.20%,4300
12/21/2022,10.06,10.07,10.06,10.07,0.03,+0.30%,77800
