Time,Open,High,Low,Last,Change,%Chg,Volume
01/26/2023,1.88,1.88,1.71,1.74,-0.1,-5.43%,28800
01/25/2023,1.84,1.8457,1.8,1.84,-0.0398,-2.12%,13700
01/24/2023,1.75,1.8798,1.75,1.8798,0.0998,+5.61%,58900
01/23/2023,1.7,1.79,1.7,1.78,0.07,+4.09%,41900
01/20/2023,1.7,1.72,1.7,1.71,0.01,+0.59%,17300
01/19/2023,1.66,1.7,1.65,1.7,0.06,+3.66%,9600
01/18/2023,1.7387,1.7387,1.63,1.64,-0.1,-5.75%,30200
01/17/2023,1.78,1.79,1.715,1.74,-0.03,-1.69%,27100
01/13/2023,1.79,1.79,1.7,1.77,-0.01,-0.56%,89300
01/12/2023,1.71,1.87,1.69,1.78,0.05,+2.89%,87500
01/11/2023,1.66,1.75,1.602,1.73,0.1251,+7.79%,101000
01/10/2023,1.34,1.65,1.34,1.6049,0.2548,+18.87%,389800
01/09/2023,1.37,1.4158,1.3501,1.3501,0.0001,+0.01%,26200
01/06/2023,1.3761,1.3891,1.3,1.35,-0.01,-0.74%,12800
01/05/2023,1.36,1.39,1.3401,1.36,-0.005,-0.37%,4000
01/04/2023,1.36,1.39,1.3081,1.365,0.045,+3.41%,21800
01/03/2023,1.24,1.33,1.22,1.32,0.13,+10.92%,14300
12/30/2022,1.2,1.2473,1.17,1.19,-0.0256,-2.11%,49300
12/29/2022,1.19,1.23,1.1514,1.2156,0.0554,+4.78%,15100
12/28/2022,1.15,1.19,1.15,1.1602,-0.0098,-0.84%,17600
12/27/2022,1.22,1.27,1.17,1.17,-0.07,-5.65%,23300
12/23/2022,1.16,1.27,1.1562,1.24,0.06,+5.08%,44900
12/22/2022,1.2,1.47,1.18,1.18,-0.03,-2.48%,53900
12/21/2022,1.25,1.2559,1.21,1.21,-0.06,-4.72%,22900
12/20/2022,1.37,1.3702,1.25,1.27,-0.06,-4.51%,35900
12/19/2022,1.45,1.45,1.32,1.33,-0.11,-7.64%,53600
12/16/2022,1.45,1.45,1.35,1.44,0.05,+3.60%,41300
12/15/2022,1.38,1.44,1.38,1.39,-0.03,-2.11%,19700
12/14/2022,1.47,1.47,1.4,1.42,-0.03,-2.07%,35600
12/13/2022,1.47,1.53,1.42,1.45,0.01,+0.69%,47800
12/12/2022,1.45,1.5001,1.4221,1.44,-0.04,-2.70%,56800
12/09/2022,1.49,1.6399,1.44,1.48,0.01,+0.68%,247100
12/08/2022,1.32,1.49,1.3,1.47,0.1974,+15.51%,211700
12/07/2022,1.37,1.37,1.27,1.2726,-0.0574,-4.32%,43600
12/06/2022,1.32,1.37,1.26,1.33,0.04,+3.10%,56500
12/05/2022,1.2,1.32,1.16,1.29,0.07,+5.74%,149700
12/02/2022,1.24,1.24,1.16,1.22,0,0.00%,39300
12/01/2022,1.06,1.22,1.05,1.22,0.18,+17.31%,118100
11/30/2022,1.07,1.1,1.03,1.04,-0.04,-3.70%,69900
11/29/2022,1.15,1.15,1.08,1.08,-0.03,-2.70%,69800
11/28/2022,1.13,1.2,1.1,1.11,-0.05,-4.31%,59100
11/25/2022,1.17,1.25,1.14,1.16,-0.02,-1.69%,41500
11/23/2022,1.23,1.25,1.18,1.18,-0.05,-4.07%,62100
11/22/2022,1.34,1.34,1.22,1.23,-0.09,-6.82%,73800
11/21/2022,1.35,1.4,1.31,1.32,0.02,+1.54%,42500
11/18/2022,1.35,1.35,1.3,1.3,-0.0035,-0.27%,28700
11/17/2022,1.2824,1.31,1.2824,1.3035,0.0135,+1.05%,11700
11/16/2022,1.33,1.35,1.28,1.29,-0.01,-0.77%,38700
11/15/2022,1.36,1.41,1.3,1.3,-0.09,-6.47%,33200
11/14/2022,1.41,1.4269,1.38,1.39,0,0.00%,45600
11/11/2022,1.45,1.46,1.3801,1.39,-0.04,-2.80%,35400
11/10/2022,1.5,1.5,1.41,1.43,0.03,+2.14%,10100
11/09/2022,1.46,1.4999,1.4,1.4,-0.12,-7.89%,29600
11/08/2022,1.4605,1.52,1.4605,1.52,0.05,+3.40%,12600
11/07/2022,1.46,1.51,1.44,1.47,0,0.00%,41800
11/04/2022,1.46,1.49,1.4301,1.47,-0.15,-9.26%,23200
11/03/2022,1.65,1.66,1.58,1.62,-0.0099,-0.61%,27700
11/02/2022,1.66,1.66,1.58,1.6299,-0.0301,-1.81%,59100
11/01/2022,1.66,1.66,1.629,1.66,0.01,+0.61%,17000
10/31/2022,1.48,1.68,1.48,1.65,0.19,+13.01%,43500
10/28/2022,1.47,1.48,1.45,1.46,0.02,+1.39%,12900
10/27/2022,1.38,1.45,1.3765,1.44,0.07,+5.11%,14600
10/26/2022,1.34,1.38,1.3299,1.37,0.05,+3.79%,42100
10/25/2022,1.26,1.3599,1.26,1.32,0.03,+2.33%,50800
10/24/2022,1.34,1.352,1.27,1.29,-0.09,-6.52%,50600
10/21/2022,1.4,1.4,1.36,1.38,0.01,+0.73%,33900
10/20/2022,1.36,1.4254,1.33,1.37,-0.02,-1.44%,31500
10/19/2022,1.42,1.44,1.39,1.39,-0.04,-2.80%,22400
10/18/2022,1.48,1.48,1.43,1.43,-0.05,-3.38%,42500
10/17/2022,1.41,1.51,1.41,1.48,0.06,+4.23%,10200
10/14/2022,1.45,1.4662,1.41,1.42,0,0.00%,11600
10/13/2022,1.59,1.59,1.4,1.42,-0.04,-2.74%,40000
10/12/2022,1.49,1.53,1.45,1.46,-0.04,-2.67%,22800
10/11/2022,1.56,1.63,1.5,1.5,-0.06,-3.85%,63000
10/10/2022,1.63,1.63,1.56,1.56,-0.03,-1.89%,12100
10/07/2022,1.66,1.66,1.59,1.59,-0.05,-3.05%,14900
10/06/2022,1.66,1.71,1.64,1.64,0.01,+0.61%,4800
10/05/2022,1.69,1.69,1.6,1.63,-0.07,-4.12%,55000
10/04/2022,1.58,1.72,1.58,1.7,0.12,+7.59%,14800
10/03/2022,1.55,1.5907,1.53,1.58,0.02,+1.28%,6300
09/30/2022,1.5,1.5799,1.5,1.56,0,0.00%,9800
09/29/2022,1.48,1.5899,1.48,1.56,0.03,+1.96%,19200
09/28/2022,1.45,1.589,1.41,1.53,0.1,+6.99%,52100
09/27/2022,1.5,1.55,1.42,1.43,-0.06,-4.03%,84400
09/26/2022,1.58,1.7,1.46,1.49,-0.13,-8.02%,53100
09/23/2022,1.7,1.7295,1.6012,1.62,-0.1,-5.81%,21800
09/22/2022,1.905,1.905,1.7,1.72,-0.2,-10.42%,56500
09/21/2022,1.87,1.98,1.87,1.92,-0.01,-0.52%,14500
09/20/2022,2.05,2.05,1.9235,1.93,-0.13,-6.31%,30800
09/19/2022,2.1228,2.1647,2.01,2.06,-0.14,-6.36%,29300
09/16/2022,2.11,2.2,2.09,2.2,0.04,+1.85%,41200
09/15/2022,2.12,2.21,2.12,2.16,0.01,+0.47%,8000
09/14/2022,2.16,2.2015,2.1332,2.15,-0.04,-1.83%,20100
09/13/2022,2.2,2.29,2.1201,2.19,-0.03,-1.35%,29500
09/12/2022,2.22,2.31,2.21,2.22,0.01,+0.45%,21400
09/09/2022,2.24,2.32,2.1793,2.21,-0.0299,-1.33%,10100
09/08/2022,2.18,2.27,2.14,2.2399,0.0549,+2.51%,12700
09/07/2022,2.2,2.2299,2.12,2.185,-0.025,-1.13%,33700
09/06/2022,2.25,2.3,2.2,2.21,-0.12,-5.15%,20400
09/02/2022,2.3,2.33,2.1501,2.33,0.05,+2.19%,19700
09/01/2022,2.35,2.35,2.2419,2.28,-0.07,-2.98%,13400
08/31/2022,2.39,2.4,2.31,2.35,-0.04,-1.67%,45500
08/30/2022,2.38,2.4699,2.38,2.39,0.04,+1.70%,61100
08/29/2022,2.35,2.3776,2.35,2.35,0,0.00%,7400
08/26/2022,2.36,2.38,2.35,2.35,-0.02,-0.84%,13500
08/25/2022,2.37,2.41,2.3601,2.37,-0.03,-1.25%,13700
08/24/2022,2.26,2.4,2.24,2.4,0.11,+4.80%,19500
08/23/2022,2.22,2.31,2.2,2.29,0.04,+1.78%,7800
08/22/2022,2.28,2.28,2.2,2.25,-0.03,-1.32%,22700
08/19/2022,2.36,2.41,2.22,2.28,-0.14,-5.79%,89300
08/18/2022,2.46,2.49,2.3801,2.42,0.02,+0.83%,114600
08/17/2022,2.32,2.505,2.32,2.4,0.005,+0.21%,89000
08/16/2022,2.48,2.48,2.37,2.395,-0.095,-3.82%,44800
08/15/2022,2.48,2.49,2.35,2.49,0.04,+1.63%,112500
08/12/2022,2.2,2.45,2.2,2.45,0.26,+11.87%,193700
08/11/2022,2.07,2.19,2,2.19,0.14,+6.83%,107600
08/10/2022,1.96,2.05,1.94,2.05,0.11,+5.67%,42500
08/09/2022,2.08,2.08,1.93,1.94,-0.095,-4.67%,20800
08/08/2022,2.04,2.08,2.02,2.035,0.025,+1.24%,20200
08/05/2022,1.95,2.08,1.94,2.01,0.11,+5.79%,123700
08/04/2022,1.8,1.9,1.79,1.9,0.08,+4.40%,32300
08/03/2022,1.87,1.87,1.8,1.82,-0.01,-0.55%,65200
08/02/2022,1.72,1.84,1.72,1.83,0.08,+4.57%,21200
