Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/15/2023,145.56,148.98,145.47,148.64,1.63,+1.11%,264000,0
02/14/2023,146.91,148.445,145.85,147.01,-0.25,-0.17%,154700,0
02/13/2023,146.18,148.13,145.79,147.26,1.39,+0.95%,161000,0
02/10/2023,145.16,145.92,143.85,145.87,0.72,+0.50%,207100,0
02/09/2023,148.5,149.32,145.12,145.15,-2.46,-1.67%,428700,0
02/08/2023,147.08,148.49,146.93,147.61,-0.52,-0.35%,212800,0
02/07/2023,146.49,148.29,144.635,148.13,0.72,+0.49%,301100,0
02/06/2023,148,148.98,145.98,147.41,-1.23,-0.83%,284700,0
02/03/2023,149.1,150.67,148.42,148.64,-0.94,-0.63%,263700,0
02/02/2023,149.46,149.9,147.34,149.58,0.5,+0.34%,188900,0
02/01/2023,148.02,150.77,147.15,149.08,0.83,+0.56%,247500,0
01/31/2023,145.93,148.52,145.93,148.25,2.8,+1.93%,331900,0
01/30/2023,146.24,148.56,145.09,145.45,-1.13,-0.77%,176100,0
01/27/2023,145.59,147.19,145.59,146.58,0.23,+0.16%,153500,0
01/26/2023,147.47,147.885,145.27,146.35,0.13,+0.09%,136900,0
01/25/2023,145.48,147.245,144.69,146.22,-0.33,-0.23%,152800,0
01/24/2023,144.1,147.75,143.32,146.55,2.17,+1.50%,213200,0
01/23/2023,145.18,145.685,143.9,144.38,-0.94,-0.65%,202200,0
01/20/2023,144.98,145.33,142.63,145.32,1.29,+0.90%,191600,0
01/19/2023,146.46,146.83,143.28,144.03,-3.2,-2.17%,130100,0
01/18/2023,148.26,150.81,146.85,147.23,-1.17,-0.79%,197600,0
01/17/2023,150.35,152.59,148.33,148.4,-4.29,-2.81%,278600,0
01/13/2023,151.82,152.98,150.74,152.69,0.84,+0.55%,175400,0
01/12/2023,147.95,151.91,147.45,151.85,4.06,+2.75%,229601,0
01/11/2023,147.78,149.69,147.65,147.79,0.74,+0.50%,177001,0
01/10/2023,144.44,147.33,143.71,147.05,2.01,+1.39%,244200,0
01/09/2023,147.81,149.31,144.44,145.04,-2.6,-1.76%,290000,0
01/06/2023,144.42,147.715,143.52,147.64,5.24,+3.68%,221900,0
01/05/2023,144.5,145.58,141.89,142.4,-3.04,-2.09%,261200,0
01/04/2023,149.13,149.75,144.54,145.44,-2.87,-1.94%,375700,0
