Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/03/2023,4.49,4.57,4.25,4.35,0.2,+4.82%,1881800,0
02/02/2023,4.04,4.235,3.97,4.15,0.15,+3.75%,1201200,0
02/01/2023,4.04,4.05,3.84,4,0,0.00%,857700,0
01/31/2023,3.97,4.11,3.93,4,0.03,+0.76%,1312700,0
01/30/2023,3.99,4.07,3.91,3.97,-0.07,-1.73%,1344900,0
01/27/2023,3.9,4.105,3.9,4.04,0.13,+3.32%,1001900,0
01/26/2023,3.96,4.0359,3.8,3.91,0,0.00%,581500,0
01/25/2023,3.87,3.94,3.73,3.91,-0.04,-1.01%,540500,0
01/24/2023,3.87,4.09,3.82,3.95,0.06,+1.54%,565800,0
01/23/2023,3.84,3.92,3.75,3.89,0.05,+1.30%,1522000,0
01/20/2023,3.79,3.93,3.77,3.84,0.03,+0.79%,911900,0
01/19/2023,3.85,3.899,3.73,3.81,-0.06,-1.55%,544000,0
01/18/2023,4.04,4.2,3.845,3.87,-0.15,-3.73%,867000,0
01/17/2023,4.18,4.2104,3.935,4.02,-0.14,-3.37%,1126500,0
01/13/2023,4.19,4.38,4.105,4.16,-0.12,-2.80%,1276600,0
01/12/2023,4.05,4.3,3.86,4.28,0.23,+5.68%,1427200,0
01/11/2023,4.23,4.29,3.935,4.05,0.3,+8.00%,1557000,0
01/10/2023,3.83,3.98,3.6,3.75,-0.08,-2.09%,1199500,0
01/09/2023,4.16,4.16,3.82,3.83,-0.3,-7.26%,906600,0
01/06/2023,4.14,4.26,4.06,4.13,0.02,+0.49%,796800,0
01/05/2023,4.41,4.41,4.01,4.11,-0.33,-7.43%,1241500,0
01/04/2023,4.25,4.445,4.11,4.44,0.18,+4.23%,1137700,0
01/03/2023,4.34,4.6,4.15,4.26,-0.05,-1.16%,1375200,0
12/30/2022,4.05,4.345,4.05,4.31,0.19,+4.61%,864500,0
12/29/2022,3.96,4.185,3.87,4.12,0.16,+4.04%,1192300,0
12/28/2022,3.95,4.06,3.85,3.96,0.07,+1.80%,1013000,0
12/27/2022,4.1,4.19,3.85,3.89,-0.21,-5.12%,1223100,0
12/23/2022,4.34,4.63,4.01,4.1,-0.09,-2.15%,2515600,0
12/22/2022,4.15,4.26,4.02,4.19,-0.01,-0.24%,1792100,0
12/21/2022,4.64,4.645,4.06,4.2,-0.14,-3.23%,1559000,0
12/20/2022,4.38,4.595,4.25,4.34,-0.11,-2.47%,2037100,0
12/19/2022,4.5,4.555,4.345,4.45,-0.1,-2.20%,1374200,0
12/16/2022,4.82,5.02,4.47,4.55,-0.22,-4.61%,4069400,0
12/15/2022,4.75,5.08,4.62,4.77,-0.07,-1.45%,1895700,0
12/14/2022,4.76,5.17,4.73,4.84,-0.09,-1.83%,2018101,0
12/13/2022,5.09,5.09,4.46,4.93,0,0.00%,2157000,0
12/12/2022,5.57,5.76,4.86,4.93,-0.75,-13.20%,2348800,0
12/09/2022,6.65,6.7,4.7,5.68,-1.63,-22.30%,4969000,0
12/08/2022,7.1,7.33,6.77,7.31,0.31,+4.43%,363300,0
12/07/2022,7.21,7.21,6.87,7,-0.14,-1.96%,255400,0
12/06/2022,7.22,7.31,7.03,7.14,-0.14,-1.92%,358500,0
12/05/2022,7.52,7.53,7.205,7.28,-0.33,-4.34%,349700,0
12/02/2022,7.28,7.65,7,7.61,0.27,+3.68%,414100,0
12/01/2022,7.61,7.61,6.95,7.34,-0.21,-2.78%,454101,0
11/30/2022,7.12,7.6,6.92,7.55,0.45,+6.34%,838200,0
11/29/2022,6.78,7.19,6.59,7.1,0.36,+5.34%,544300,0
11/28/2022,7.03,7.03,6.63,6.74,-0.27,-3.85%,325700,0
11/25/2022,7.01,7.46,6.91,7.01,0,0.00%,227600,0
11/23/2022,7.18,7.82,6.92,7.01,-0.14,-1.96%,421800,0
11/22/2022,7.47,7.47,7.01,7.15,-0.21,-2.85%,411200,0
11/21/2022,7.81,7.81,7.22,7.36,-0.52,-6.60%,650800,0
11/18/2022,7.84,8.15,7.6,7.88,0.29,+3.82%,514500,0
11/17/2022,7.37,7.8,7.16,7.59,0.09,+1.20%,531157,0
11/16/2022,8.05,8.26,7.32,7.5,-0.67,-8.20%,672200,0
11/15/2022,8.94,9.25,8.14,8.17,-0.3,-3.54%,1374200,0
11/14/2022,8.33,8.94,8.1178,8.47,0.06,+0.71%,1419400,0
11/11/2022,7.79,8.565,7.79,8.41,0.62,+7.96%,717500,0
11/10/2022,7.12,7.86,7.05,7.79,1.11,+16.62%,789900,0
11/09/2022,7.06,7.48,6.5,6.68,-0.34,-4.84%,419100,0
11/08/2022,6.96,7.1,6.72,7.02,0.06,+0.86%,461600,0
11/07/2022,6.84,7.06,6.705,6.96,0.15,+2.20%,309900,0
11/04/2022,7.41,7.41,6.54,6.81,-0.48,-6.58%,511100,0
11/03/2022,7.2,7.705,7.14,7.29,-0.04,-0.55%,267200,0
11/02/2022,8.03,8.03,7.3,7.33,-0.68,-8.49%,562900,0
11/01/2022,8.26,8.305,7.97,8.01,-0.16,-1.96%,408100,0
10/31/2022,7.76,8.24,7.76,8.17,0.18,+2.25%,797700,0
10/28/2022,7.37,8.1,7.28,7.99,0.74,+10.21%,588600,0
10/27/2022,7.43,7.43,7.08,7.25,-0.13,-1.76%,520800,0
10/26/2022,7.3,7.63,7.17,7.38,0.08,+1.10%,352700,0
10/25/2022,7.42,7.72,7.245,7.3,-0.03,-0.41%,661705,0
10/24/2022,7.47,7.52,6.99,7.33,-0.16,-2.14%,1346200,0
10/21/2022,7.15,7.5,7.02,7.49,0.4,+5.64%,3175300,0
10/20/2022,7.23,7.32,7,7.09,0.01,+0.14%,231800,0
10/19/2022,7.25,7.495,6.85,7.08,-0.22,-3.01%,403700,0
10/18/2022,7.67,7.71,7.11,7.3,-0.23,-3.05%,312200,0
10/17/2022,7.25,7.6,7.05,7.53,0.38,+5.31%,350910,0
10/14/2022,7.52,7.585,7.11,7.15,-0.33,-4.41%,436400,0
10/13/2022,7.36,7.62,7.12,7.48,-0.09,-1.19%,260100,0
10/12/2022,7.56,7.71,7.18,7.57,0.03,+0.40%,440300,0
10/11/2022,7.27,7.56,7.105,7.54,0.3,+4.14%,373000,0
10/10/2022,7.9,8.01,7.2,7.24,-0.65,-8.24%,467300,0
10/07/2022,8.4,8.43,7.82,7.89,-0.56,-6.63%,358700,0
10/06/2022,8.48,8.59,8.27,8.45,-0.12,-1.40%,194600,0
10/05/2022,8.31,8.73,8.155,8.57,0.07,+0.82%,254100,0
10/04/2022,8.17,8.51,8.035,8.5,0.41,+5.07%,405800,0
10/03/2022,7.83,8.49,7.61,8.09,0.29,+3.72%,432600,0
09/30/2022,7.84,8.58,7.69,7.8,-0.1,-1.27%,587100,0
09/29/2022,8.27,8.27,7.44,7.9,-0.45,-5.39%,552600,0
09/28/2022,8.19,8.48,7.87,8.35,0.22,+2.71%,488300,0
09/27/2022,7.72,8.47,7.61,8.13,0.52,+6.83%,1066500,0
09/26/2022,7.57,8.43,7.5,7.61,0.03,+0.40%,1083500,0
09/23/2022,7.47,7.65,7.34,7.58,0.16,+2.16%,651400,0
09/22/2022,7.16,7.46,7,7.42,0.24,+3.34%,454400,0
09/21/2022,7.39,7.54,6.98,7.18,-0.21,-2.84%,518000,0
09/20/2022,7.14,7.41,6.76,7.39,0.09,+1.23%,496600,0
09/19/2022,8,8,7.19,7.3,-0.82,-10.10%,758000,0
09/16/2022,8.56,8.64,7.64,8.12,-0.63,-7.20%,4592900,0
09/15/2022,8.94,9.04,8.19,8.75,-0.24,-2.67%,730300,0
09/14/2022,8.67,9.34,8.53,8.99,0.34,+3.93%,655700,0
09/13/2022,8.79,9.11,8.53,8.65,-0.31,-3.46%,775800,0
09/12/2022,8.35,9.155,8.35,8.96,0.46,+5.41%,814800,0
09/09/2022,8.34,8.84,8.21,8.5,0.16,+1.92%,541000,0
09/08/2022,9.29,9.425,7.16,8.34,-1.06,-11.28%,1263124,0
09/07/2022,8.93,9.91,8.77,9.4,0.55,+6.21%,767200,0
09/06/2022,8.91,9.71,8.7,8.85,0.01,+0.11%,679000,0
09/02/2022,8.5,9.3788,8.2101,8.84,0.17,+1.96%,952800,0
09/01/2022,8.5,8.75,8.19,8.67,-0.35,-3.88%,515200,0
08/31/2022,8.35,9.18,8.29,9.02,0.78,+9.47%,1093300,0
08/30/2022,8.25,8.78,8.06,8.24,0.01,+0.12%,855600,0
08/29/2022,8.17,9.034,8.13,8.23,-0.13,-1.56%,1064200,0
08/26/2022,8.33,8.48,7.95,8.36,0.07,+0.84%,589200,0
08/25/2022,9.28,9.4255,8.27,8.29,-0.9,-9.79%,581400,0
08/24/2022,8.86,9.45,8.83,9.19,0.29,+3.26%,141800,0
08/23/2022,8.54,9.07,8.47,8.9,0.43,+5.08%,189400,0
08/22/2022,8.6,8.64,8.15,8.47,-0.03,-0.35%,225300,0
08/19/2022,8.85,8.97,8.15,8.5,-0.5,-5.56%,354800,0
08/18/2022,9.57,10.03,8.565,9,-0.64,-6.64%,336800,0
08/17/2022,9.73,9.94,9.25,9.64,-0.31,-3.12%,298500,0
08/16/2022,10.71,10.74,9.901,9.95,-0.73,-6.84%,265200,0
08/15/2022,9.69,10.71,9.69,10.68,0.91,+9.31%,320500,0
08/12/2022,8.81,10.0499,8.43,9.77,1.3,+15.35%,498800,0
08/11/2022,9.58,9.59,8.28,8.47,-1.06,-11.12%,297700,0
08/10/2022,9.7,9.75,9.29,9.53,0.03,+0.32%,281100,0
08/09/2022,9.18,9.56,9.02,9.5,0.28,+3.04%,280900,0
08/08/2022,8.96,9.59,8.925,9.22,0.26,+2.90%,499300,0
08/05/2022,8.03,9,7.89,8.96,0.8,+9.80%,397500,0
08/04/2022,7.78,8.2,7.57,8.16,0.42,+5.43%,186300,0
08/03/2022,7.64,7.97,7.52,7.74,0.24,+3.20%,253600,0
08/02/2022,7.08,7.61,7.07,7.5,0.3,+4.17%,185000,0
08/01/2022,7.43,7.74,7.12,7.2,-0.34,-4.51%,190200,0
07/29/2022,7.81,7.93,7.45,7.54,-0.35,-4.44%,326100,0
07/28/2022,8.21,8.75,7.83,7.89,-0.22,-2.71%,296600,0
07/27/2022,8,8.13,7.84,8.11,0.15,+1.88%,245300,0
07/26/2022,7.68,8.1,7.52,7.96,0.11,+1.40%,171900,0
07/25/2022,7.49,7.88,7.27,7.85,0.38,+5.09%,240200,0
07/22/2022,7.68,7.96,7.43,7.47,-0.3,-3.86%,166800,0
07/21/2022,7.83,7.94,7.63,7.77,-0.11,-1.40%,154800,0
07/20/2022,7.43,8.08,7.17,7.88,0.6,+8.24%,537100,0
07/19/2022,6.8,7.53,6.66,7.28,0.56,+8.33%,370100,0
07/18/2022,6.69,7.185,6.51,6.72,0.07,+1.05%,395800,0
07/15/2022,7.03,7.04,6.3,6.65,-0.24,-3.48%,358700,0
07/14/2022,6.35,6.99,6.25,6.89,0.47,+7.32%,344800,0
07/13/2022,6.17,6.5,6.13,6.42,0.15,+2.39%,182900,0
07/12/2022,6.32,6.37,6.06,6.27,-0.02,-0.32%,159400,0
07/11/2022,6.59,6.59,6.2,6.29,-0.41,-6.12%,164400,0
07/08/2022,6.3,6.83,6.3,6.7,0.2,+3.08%,316200,0
07/07/2022,6.21,6.62,6.16,6.5,0.34,+5.52%,368500,0
07/06/2022,5.98,6.26,5.95,6.16,0.1,+1.65%,234500,0
07/05/2022,5.68,6.12,5.4912,6.06,0.24,+4.12%,385700,0
07/01/2022,5.54,5.98,5.54,5.82,0.25,+4.49%,360900,0
06/30/2022,5.35,5.67,5.24,5.57,0.09,+1.64%,218700,0
06/29/2022,5.42,5.51,5.23,5.48,0.07,+1.29%,212000,0
06/28/2022,5.59,5.59,5.33,5.41,-0.2,-3.57%,258000,0
06/27/2022,5.95,6.02,5.57,5.61,-0.32,-5.40%,330100,0
06/24/2022,5.81,5.98,5.485,5.93,0.17,+2.95%,1480700,0
06/23/2022,5.38,5.87,5.2512,5.76,0.41,+7.66%,506400,0
06/22/2022,4.93,5.39,4.93,5.35,0.32,+6.36%,355000,0
06/21/2022,4.95,5.285,4.89,5.03,0.1,+2.03%,228600,0
06/17/2022,4.62,5.08,4.56,4.93,0.35,+7.64%,549600,0
06/16/2022,4.66,4.73,4.51,4.58,-0.24,-4.98%,218000,0
06/15/2022,5.05,5.3,4.65,4.82,-0.04,-0.82%,393200,0
06/14/2022,5.02,5.1,4.73,4.86,-0.13,-2.61%,181500,0
06/13/2022,5.2,5.29,4.9,4.99,-0.39,-7.25%,335200,0
06/10/2022,5.4,5.4,5.13,5.38,-0.17,-3.06%,268600,0
06/09/2022,5.75,5.795,5.51,5.55,-0.21,-3.65%,193800,0
06/08/2022,5.64,6.01,5.64,5.76,0.03,+0.52%,248400,0
06/07/2022,5.42,5.84,5.4,5.73,0.23,+4.18%,430700,0
06/06/2022,5.65,5.77,5.42,5.5,-0.15,-2.65%,358000,0
06/03/2022,4.98,5.72,4.96,5.65,0.66,+13.23%,1280200,0
06/02/2022,5.04,5.08,4.865,4.99,-0.03,-0.60%,694800,0
06/01/2022,5.44,5.56,5.01,5.02,-0.4,-7.38%,432500,0
05/31/2022,5.61,5.695,5.215,5.42,-0.19,-3.39%,669700,0
05/27/2022,5.59,5.75,5.36,5.61,0.07,+1.26%,409500,0
05/26/2022,5.53,5.84,5.42,5.54,0.05,+0.91%,500700,0
05/25/2022,5.37,5.59,5.265,5.49,0.1,+1.86%,287000,0
05/24/2022,5.51,5.56,5.23,5.39,-0.17,-3.06%,644900,0
05/23/2022,5.67,5.82,5.34,5.56,-0.22,-3.81%,693000,0
05/20/2022,5.68,5.83,5.41,5.78,0.24,+4.33%,533900,0
05/19/2022,5.55,5.72,5.36,5.54,-0.03,-0.54%,307300,0
05/18/2022,6,6.09,5.52,5.57,-0.6,-9.72%,419100,0
05/17/2022,6.19,6.43,6.09,6.17,0.18,+3.01%,476800,0
05/16/2022,5.77,6.39,5.59,5.99,0.19,+3.28%,644800,0
05/13/2022,6.04,6.43,5.68,5.8,-0.01,-0.17%,676500,0
05/12/2022,5.58,6.07,5.45,5.81,0.17,+3.01%,481100,0
05/11/2022,6.21,6.21,5.43,5.64,-0.67,-10.62%,536700,0
05/10/2022,6.25,6.68,6.13,6.31,0.13,+2.10%,547100,0
05/09/2022,6.85,6.968,6.1101,6.18,-0.79,-11.33%,408100,0
05/06/2022,7.35,7.67,6.8,6.97,-0.41,-5.56%,391400,0
05/05/2022,7.81,7.89,7.22,7.38,-0.55,-6.94%,346300,0
05/04/2022,7.6,7.99,7.11,7.93,0.33,+4.34%,426000,0
05/03/2022,7.67,8.1499,7.5,7.6,-0.31,-3.92%,313700,0
05/02/2022,7.18,7.945,7.13,7.91,0.63,+8.65%,434800,0
04/29/2022,7.53,8.05,7.25,7.28,-0.16,-2.15%,544000,0
04/28/2022,8.15,8.33,7.44,7.44,-0.6,-7.46%,828000,0
04/27/2022,8.16,8.74,7.83,8.04,-0.12,-1.47%,421100,0
04/26/2022,8.34,8.46,8.14,8.16,-0.33,-3.89%,267800,0
04/25/2022,8.08,8.52,8.07,8.49,0.39,+4.81%,238800,0
04/22/2022,8.13,8.21,7.87,8.1,-0.05,-0.61%,291200,0
04/21/2022,8.88,9.11,8.08,8.15,-0.54,-6.21%,556000,0
04/20/2022,8.9,8.95,8.361,8.69,-0.03,-0.34%,451400,0
04/19/2022,8.37,9.11,8.21,8.72,0.46,+5.57%,1209300,0
04/18/2022,8.54,8.6,7.95,8.26,-0.37,-4.29%,676300,0
04/14/2022,8.58,8.835,8.26,8.63,0.05,+0.58%,682900,0
04/13/2022,7.97,8.77,7.86,8.58,0.67,+8.47%,674800,0
04/12/2022,8.02,8.18,7.8,7.91,-0.06,-0.75%,336700,0
04/11/2022,8.01,8.15,7.79,7.97,-0.11,-1.36%,586900,0
04/08/2022,8.26,8.37,7.82,8.08,-0.09,-1.10%,374900,0
04/07/2022,8.38,8.565,7.92,8.17,-0.11,-1.33%,237300,0
04/06/2022,8.17,8.43,7.9,8.28,0.01,+0.12%,307300,0
04/05/2022,8.62,8.71,8.23,8.27,-0.38,-4.39%,378100,0
04/04/2022,8.56,8.88,8.44,8.65,0.2,+2.37%,550700,0
04/01/2022,8.7,8.88,8.4,8.45,-0.15,-1.74%,547200,0
03/31/2022,9.03,9.2,8.58,8.6,-0.41,-4.55%,537100,0
03/30/2022,9.5,9.77,8.77,9.01,-0.69,-7.11%,547600,0
03/29/2022,9.69,10.13,9.56,9.7,0.07,+0.73%,641300,0
03/28/2022,9.84,9.97,9.51,9.63,-0.16,-1.63%,274300,0
03/25/2022,9.3,10.42,9.22,9.79,0.66,+7.23%,797701,0
03/24/2022,8.94,9.4,8.7,9.13,0.16,+1.78%,559600,0
03/23/2022,9.62,9.62,8.83,8.97,-0.73,-7.53%,704600,0
03/22/2022,9.79,10.35,9.5402,9.7,-0.18,-1.82%,1243500,0
03/21/2022,11.14,11.21,9.74,9.88,-1.38,-12.26%,1497700,0
03/18/2022,11.14,11.8,11.07,11.26,0.12,+1.08%,6477600,0
03/17/2022,10.76,11.54,10.71,11.14,0.27,+2.48%,1427800,0
03/16/2022,11.01,11.3825,10.43,10.87,0.2,+1.87%,1440300,0
03/15/2022,11.02,11.26,10.29,10.67,-0.3,-2.73%,657600,0
03/14/2022,11.45,11.61,10.89,10.97,-0.41,-3.60%,926300,0
03/11/2022,11.72,12.03,11.25,11.38,-0.33,-2.82%,518700,0
03/10/2022,11.76,12.5,11.41,11.71,-0.26,-2.17%,613900,0
03/09/2022,11.61,12.11,11.61,11.97,0.54,+4.72%,475200,0
03/08/2022,11.47,11.95,11.04,11.43,-0.15,-1.30%,735000,0
03/07/2022,11.22,12.14,11.22,11.58,0.29,+2.57%,1121000,0
03/04/2022,11.72,12.03,11.04,11.29,-0.62,-5.21%,819900,0
03/03/2022,12.56,12.57,11.76,11.91,-0.57,-4.57%,406400,0
03/02/2022,12.2,12.6,11.94,12.48,0.36,+2.97%,425400,0
03/01/2022,12.3,12.8,11.98,12.12,-0.28,-2.26%,433000,0
02/28/2022,11.96,12.69,11.96,12.4,0.25,+2.06%,722100,0
02/25/2022,11.93,12.44,11.7,12.15,0.24,+2.02%,459900,0
02/24/2022,10.75,11.95,10.47,11.91,0.9,+8.17%,593300,0
02/23/2022,11.52,11.52,10.81,11.01,-0.48,-4.18%,537200,0
02/22/2022,12,12,11.45,11.49,-0.04,-0.35%,509100,0
02/18/2022,11.63,11.805,11.19,11.53,-0.25,-2.12%,558300,0
02/17/2022,12.23,12.23,11.67,11.78,-0.58,-4.69%,303200,0
02/16/2022,12.45,12.64,11.91,12.36,-0.08,-0.64%,409800,0
02/15/2022,12.08,12.5,11.885,12.44,0.51,+4.27%,625400,0
02/14/2022,12.34,12.55,11.7,11.93,-0.32,-2.61%,261200,0
02/11/2022,11.88,12.5,11.88,12.25,0.24,+2.00%,446000,0
02/10/2022,12.04,12.595,11.5006,12.01,-0.4,-3.22%,598300,0
02/09/2022,11.93,12.6,11.88,12.41,0.53,+4.46%,1060200,0
02/08/2022,11.79,11.98,11.51,11.88,-0.03,-0.25%,565900,0
02/07/2022,11.42,12.1,11.14,11.91,0.46,+4.02%,460800,0
02/04/2022,11.06,11.52,10.75,11.45,0.3,+2.69%,650200,0
02/03/2022,10.76,11.53,10.76,11.15,0.05,+0.45%,644500,0
02/02/2022,11.57,12.03,10.95,11.1,-0.44,-3.81%,561900,0
02/01/2022,11.85,11.96,11.3,11.54,-0.31,-2.62%,647600,0
01/31/2022,11.28,11.9,11.05,11.85,0.6,+5.33%,477700,0
01/28/2022,11,11.52,10.86,11.25,0.21,+1.90%,978500,0
01/27/2022,11.38,11.69,10.895,11.04,-0.24,-2.13%,471700,0
