Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/17/2023,78.95,80.565,78.49,80.27,1.55,+1.97%,1710000,0
02/16/2023,78.96,79.37,78.535,78.72,-1.16,-1.45%,2185000,0
02/15/2023,78.51,80.17,78.4,79.88,0.99,+1.25%,1897100,0
02/14/2023,81.23,81.23,78.74,78.89,-1.4,-1.74%,2182100,0
02/13/2023,80.08,80.709,79.95,80.29,0.22,+0.27%,1556700,0
02/10/2023,78.48,80.12,78.06,80.07,1.88,+2.40%,1442700,0
02/09/2023,79.24,79.77,78.08,78.19,-0.94,-1.19%,1075100,0
02/08/2023,80.27,80.53,78.75,79.13,-1.55,-1.92%,1152200,0
02/07/2023,80.74,81.02,79.48,80.68,-0.63,-0.77%,1458100,0
02/06/2023,80.15,81.36,79.75,81.31,0.96,+1.19%,1180500,0
02/03/2023,82.93,83.18,79.52,80.35,-3.05,-3.66%,1739600,0
02/02/2023,83.06,84,82.23,83.4,0.69,+0.83%,2265800,0
02/01/2023,81.9,83.3,81.49,82.71,0.38,+0.46%,1688900,0
01/31/2023,81.66,82.34,80.52,82.33,0.96,+1.18%,1947600,0
01/30/2023,80.78,81.99,80.62,81.37,0.43,+0.53%,1607400,0
01/27/2023,80.08,81.23,79.56,80.94,0.62,+0.77%,1558300,0
01/26/2023,79.49,80.75,79.305,80.32,0.61,+0.77%,1256900,0
01/25/2023,79.6,79.98,78.89,79.71,-0.54,-0.67%,1934700,0
01/24/2023,80.53,80.63,79.115,80.25,0.36,+0.45%,1159000,0
01/23/2023,79.67,80.66,79.34,79.89,0.15,+0.19%,1602700,0
01/20/2023,79.79,80.1,77.39,79.74,-0.04,-0.05%,2319600,0
01/19/2023,81.18,81.3,79.73,79.78,-1.43,-1.76%,1444000,0
01/18/2023,84.04,84.2,80.77,81.21,-2.52,-3.01%,1766000,0
01/17/2023,84.2,85.08,83.63,83.73,-0.29,-0.35%,1480700,0
01/13/2023,84.69,84.79,83.06,84.02,-1.11,-1.30%,1726000,0
01/12/2023,86.07,86.23,84.87,85.13,-0.68,-0.79%,1326900,0
01/11/2023,86.05,86.4399,84.99,85.81,0.12,+0.14%,1381100,0
01/10/2023,85.38,85.79,84.91,85.69,-0.02,-0.02%,1072700,0
01/09/2023,85.29,86.84,85.18,85.71,-0.09,-0.10%,1183600,0
01/06/2023,84.93,86.26,84.39,85.8,2.05,+2.45%,912400,0
01/05/2023,84.58,85.09,83.02,83.75,-1.58,-1.85%,1210200,0
01/04/2023,84.88,85.84,84.58,85.33,1.11,+1.32%,1502200,0
01/03/2023,84.51,84.72,83.05,84.22,0.38,+0.45%,1266700,0
12/30/2022,85.1,85.32,83.11,83.84,-1.24,-1.46%,1050812,0
12/29/2022,84.71,85.47,84.39,85.08,0.8,+0.95%,605700,0
12/28/2022,85.17,85.58,84.09,84.28,-0.69,-0.81%,962410,0
12/27/2022,84.55,85.265,84,84.97,0.74,+0.88%,715000,0
12/23/2022,82.95,84.34,82.61,84.23,1.09,+1.31%,892600,0
12/22/2022,83.71,84,81.86,83.14,-0.84,-1.00%,1164500,0
12/21/2022,83.06,83.99,82.72,83.98,1.32,+1.60%,1202400,0
12/20/2022,82.81,83.079,81.98,82.66,-0.17,-0.21%,1379800,0
12/19/2022,82.5,83.54,82.1,82.83,0.05,+0.06%,1120600,0
12/16/2022,83.4,83.65,81.7,82.78,-1.35,-1.60%,3361900,0
12/15/2022,84.79,85.07,83.66,84.13,-1.72,-2.00%,1770700,0
12/14/2022,86.27,87.71,85.34,85.85,-0.1,-0.12%,1339800,0
12/13/2022,86.79,87.58,85.09,85.95,0.25,+0.29%,2191600,0
12/12/2022,84.8,85.79,83.93,85.7,1.65,+1.96%,1480500,0
12/09/2022,84.36,84.84,83.79,84.05,-0.54,-0.64%,1160300,0
12/08/2022,83.76,84.67,83.59,84.59,0.83,+0.99%,1342700,0
12/07/2022,84.28,84.54,83.23,83.76,-0.6,-0.71%,1991400,0
12/06/2022,83.73,84.37,82.88,84.36,0.71,+0.85%,1884000,0
12/05/2022,82.87,83.92,82.75,83.65,-0.06,-0.07%,1234000,0
12/02/2022,83.01,84,82.12,83.71,-0.2,-0.24%,1549500,0
12/01/2022,83.8,85.68,83.23,83.91,1.05,+1.27%,2414900,0
11/30/2022,80.48,82.93,80.05,82.86,2.21,+2.74%,3388400,0
11/29/2022,80.91,81.7,80.12,80.65,-1.07,-1.31%,1704500,0
11/28/2022,81.93,82.44,81.25,81.72,-0.72,-0.87%,1263700,0
11/25/2022,82.52,82.89,82.1517,82.44,0.26,+0.32%,763100,0
11/23/2022,80.86,82.38,80.65,82.18,1.17,+1.44%,1666800,0
11/22/2022,80.9,82.03,80.43,81.01,0.61,+0.76%,1269600,0
11/21/2022,79.86,80.68,79.86,80.4,0.75,+0.94%,1126100,0
11/18/2022,79.08,79.7,78.86,79.65,1.55,+1.98%,2031800,0
11/17/2022,78.74,79.07,77.68,78.1,-1.4,-1.76%,2331900,0
11/16/2022,78.83,79.84,78.83,79.5,0.85,+1.08%,1742100,0
11/15/2022,78.62,79.344,77.62,78.65,0.98,+1.26%,1378600,0
11/14/2022,78.35,78.95,77.67,77.67,-0.42,-0.54%,1255700,0
11/11/2022,78.97,79.02,77.32,78.09,-1.03,-1.30%,1569901,0
11/10/2022,77.14,79.26,76.15,79.12,4.21,+5.62%,1819000,0
11/09/2022,75.8,76.339,74.79,74.91,-1.04,-1.37%,1614000,0
11/08/2022,75.37,76.485,75.13,75.95,0.92,+1.23%,1489100,0
11/07/2022,77.27,77.29,73.94,75.03,-2.15,-2.79%,1971200,0
11/04/2022,76.27,77.28,75.58,77.18,0.98,+1.29%,1268200,0
11/03/2022,75.29,76.99,73.68,76.2,-0.04,-0.05%,1677200,0
11/02/2022,77.04,78.25,76.2,76.24,-0.74,-0.96%,1761100,0
11/01/2022,76.76,77.08,76.06,76.98,0.7,+0.92%,1536800,0
10/31/2022,76.46,76.92,75.82,76.28,-0.49,-0.64%,2348001,0
10/28/2022,74.75,77,74.75,76.77,2.1,+2.81%,2071400,0
10/27/2022,74.78,75.95,74.57,74.67,0.64,+0.86%,1622300,0
