Time,Open,High,Low,Last,Change,%Chg,Volume
01/30/2023,1.08,1.08,1.03,1.04,0,0.00%,15025
01/27/2023,1.01,1.07,1.01,1.04,0.02,+1.96%,60900
01/26/2023,1.11,1.115,1.01,1.02,-0.08,-7.27%,85500
01/25/2023,1.02,1.16,1,1.1,0.09,+8.91%,148300
01/24/2023,1.09,1.09,0.94,1.01,-0.03,-2.88%,153600
01/23/2023,1.01,1.09,1,1.04,0.01,+0.97%,78800
01/20/2023,1.08,1.1073,0.97,1.03,-0.07,-6.36%,267700
01/19/2023,1.17,1.2,1.05,1.1,-0.05,-4.35%,178000
01/18/2023,1.27,1.3,1.14,1.15,-0.11,-8.73%,85300
01/17/2023,1.4,1.4,1.25,1.26,-0.12,-8.70%,93900
01/13/2023,1.33,1.4,1.33,1.38,0.02,+1.47%,37300
01/12/2023,1.33,1.42,1.33,1.36,-0.04,-2.86%,91600
01/11/2023,1.41,1.4299,1.37,1.4,0,0.00%,75400
01/10/2023,1.32,1.43,1.32,1.4,0.07,+5.26%,136000
01/09/2023,1.47,1.47,1.1499,1.33,-0.07,-5.00%,486900
01/06/2023,1.3542,1.4337,1.3542,1.4,0.05,+3.70%,19400
01/05/2023,1.47,1.47,1.35,1.35,-0.14,-9.40%,95900
01/04/2023,1.53,1.56,1.44,1.49,-0.08,-5.10%,48100
01/03/2023,1.65,1.65,1.49,1.57,-0.04,-2.48%,71200
12/30/2022,1.51,1.61,1.42,1.61,0.02,+1.26%,130400
12/29/2022,1.48,1.6605,1.48,1.59,0.1,+6.71%,89600
12/28/2022,1.45,1.5,1.45,1.49,0.05,+3.47%,23300
12/27/2022,1.56,1.76,1.43,1.44,-0.15,-9.43%,53000
12/23/2022,1.48,1.6,1.48,1.59,0.08,+5.30%,14700
12/22/2022,1.6,1.6,1.26,1.51,-0.08,-5.03%,106300
12/21/2022,1.5,1.77,1.5,1.59,0.13,+8.90%,85100
12/20/2022,1.65,1.695,1.42,1.46,-0.17,-10.43%,127600
12/19/2022,1.8,1.86,1.562,1.63,-0.18,-9.94%,108500
12/16/2022,1.85,1.88,1.77,1.81,-0.04,-2.16%,82500
12/15/2022,1.93,1.93,1.85,1.85,-0.09,-4.64%,56100
12/14/2022,1.92,2,1.89,1.94,0.01,+0.52%,54900
12/13/2022,1.93,1.96,1.87,1.93,0.05,+2.66%,42100
12/12/2022,1.9,2,1.86,1.88,-0.02,-1.05%,38600
12/09/2022,1.97,1.99,1.86,1.9,-0.08,-4.04%,50700
12/08/2022,1.91,1.99,1.87,1.98,0.07,+3.66%,61400
12/07/2022,1.97,2.0796,1.86,1.91,-0.09,-4.50%,70100
12/06/2022,1.91,2.05,1.89,2,0.06,+3.09%,63000
12/05/2022,2.13,2.21,1.86,1.94,-0.22,-10.19%,116200
12/02/2022,2.15,2.2,2.05,2.16,-0.05,-2.26%,53700
12/01/2022,2.1,2.28,1.99,2.21,0.12,+5.74%,75300
11/30/2022,1.93,2.09,1.89,2.09,0.15,+7.73%,172000
11/29/2022,2.01,2.08,1.89,1.94,-0.05,-2.51%,79200
11/28/2022,1.9,2.05,1.9,1.99,0.04,+2.05%,30000
11/25/2022,2,2,1.9,1.95,-0.07,-3.47%,16700
11/23/2022,2,2.04,1.88,2.02,0.04,+2.02%,95900
11/22/2022,2,2.04,1.87,1.98,0.12,+6.45%,44400
11/21/2022,2.01,2.15,1.86,1.86,-0.19,-9.27%,82300
11/18/2022,2.13,2.13,2,2.05,-0.09,-4.21%,24700
11/17/2022,2.27,2.35,2.11,2.14,-0.15,-6.55%,185800
11/16/2022,2.13,2.4,2.01,2.29,0.1,+4.57%,1161800
11/15/2022,2.11,2.24,2.0276,2.19,0.06,+2.82%,66000
11/14/2022,2.15,2.19,1.85,2.13,0.01,+0.47%,113600
11/11/2022,1.94,2.165,1.9,2.12,0.22,+11.58%,34600
11/10/2022,1.95,2.03,1.86,1.9,0.05,+2.70%,37100
11/09/2022,1.93,1.97,1.84,1.85,-0.15,-7.50%,35100
11/08/2022,1.96,2.09,1.91,2,0.05,+2.56%,34200
11/07/2022,1.94,1.97,1.83,1.95,-0.01,-0.51%,68900
11/04/2022,2.1,2.2,1.93,1.96,-0.17,-7.98%,65700
11/03/2022,2.07,2.21,2.01,2.13,0.11,+5.45%,84500
11/02/2022,2.2,2.27,1.97,2.02,-0.2,-9.01%,66700
11/01/2022,2.06,2.22,1.9925,2.22,0.18,+8.82%,76000
10/31/2022,2.12,2.14,1.98,2.04,-0.07,-3.32%,1137000
10/28/2022,2.06,2.12,1.98,2.11,0.07,+3.43%,31900
10/27/2022,2.07,2.07,1.98,2.04,-0.03,-1.45%,45700
10/26/2022,1.9,2.09,1.9,2.07,0.14,+7.25%,77000
10/25/2022,1.84,1.94,1.84,1.93,0.07,+3.76%,57900
10/24/2022,1.86,1.9,1.73,1.86,-0.04,-2.11%,49900
10/21/2022,1.8,1.9299,1.7254,1.9,0.1,+5.56%,47600
10/20/2022,1.93,2,1.72,1.8,-0.12,-6.25%,122200
10/19/2022,2.22,2.22,1.89,1.92,-0.28,-12.73%,81200
10/18/2022,2.23,2.28,2.11,2.2,-0.01,-0.45%,52800
10/17/2022,2.24,2.24,2,2.21,0.06,+2.79%,30500
10/14/2022,2.16,2.23,2.07,2.15,-0.04,-1.83%,28200
10/13/2022,2.08,2.22,2.04,2.19,-0.03,-1.35%,25400
10/12/2022,2.29,2.3,2.13,2.22,-0.07,-3.06%,37900
10/11/2022,2.11,2.3,1.99,2.29,0.09,+4.09%,81900
10/10/2022,2.26,2.39,2.16,2.2,-0.05,-2.22%,47800
10/07/2022,2.31,2.39,2.24,2.25,-0.1,-4.26%,28700
10/06/2022,2.42,2.42,2.3,2.35,-0.06,-2.49%,84200
10/05/2022,2.22,2.42,2.1501,2.41,0.15,+6.64%,62300
10/04/2022,2.12,2.28,2.08,2.26,0.16,+7.62%,109800
10/03/2022,2.11,2.12,2,2.1,0.01,+0.48%,60400
09/30/2022,2.03,2.18,1.99,2.09,0.06,+2.96%,57500
09/29/2022,1.97,2.03,1.935,2.03,0.06,+3.05%,46600
09/28/2022,1.91,1.995,1.855,1.97,0.07,+3.68%,66700
09/27/2022,1.91,1.95,1.83,1.9,-0.01,-0.52%,97400
09/26/2022,1.81,1.95,1.79,1.91,0.05,+2.69%,68300
09/23/2022,1.99,2.07,1.8,1.86,-0.15,-7.46%,103000
09/22/2022,2,2.03,1.96,2.01,0,0.00%,113400
09/21/2022,2.01,2.1192,1.99,2.01,-0.03,-1.47%,264900
09/20/2022,2.18,2.18,2.01,2.04,-0.06,-2.86%,550300
09/19/2022,2.0933,2.17,2.0301,2.1,-0.01,-0.47%,464500
09/16/2022,2.09,2.16,2.02,2.11,-0.01,-0.47%,1373100
09/15/2022,2.05,2.18,1.99,2.12,0.1,+4.95%,541500
09/14/2022,2.03,2.08,1.95,2.02,-0.03,-1.46%,342700
09/13/2022,2.08,2.11,1.93,2.05,0,0.00%,161100
09/12/2022,2.23,2.23,2.05,2.05,-0.15,-6.82%,106800
09/09/2022,2.34,2.34,2.17,2.2,-0.12,-5.17%,142700
09/08/2022,2.23,2.41,2.13,2.32,0.06,+2.65%,128300
09/07/2022,2.33,2.38,2.15,2.26,-0.06,-2.59%,94900
09/06/2022,2.43,2.46,2.31,2.32,-0.09,-3.73%,106900
09/02/2022,2.32,2.645,2.22,2.41,0.125,+5.47%,95300
09/01/2022,2.14,2.35,2.07,2.285,0.095,+4.34%,96500
08/31/2022,2.14,2.22,2.01,2.19,0.11,+5.29%,59700
08/30/2022,2.08,2.15,2,2.08,-0.01,-0.48%,65000
08/29/2022,2.08,2.13,2.08,2.09,-0.04,-1.88%,56100
08/26/2022,2.22,2.22,2.07,2.13,-0.07,-3.18%,59000
08/25/2022,2.29,2.4,2.18,2.2,-0.12,-5.17%,195900
08/24/2022,2.34,2.515,2.21,2.32,-0.03,-1.28%,89900
08/23/2022,2.21,2.45,2.1983,2.35,0.14,+6.33%,96100
08/22/2022,2.57,2.6,2.07,2.21,-0.38,-14.67%,154500
08/19/2022,2.58,2.675,2.52,2.59,-0.09,-3.36%,93900
08/18/2022,2.58,2.71,2.57,2.68,0.08,+3.08%,84800
08/17/2022,2.6,2.7199,2.57,2.6,-0.04,-1.52%,57600
08/16/2022,2.78,2.78,2.51,2.64,-0.11,-4.00%,79500
08/15/2022,2.73,2.79,2.537,2.75,0.01,+0.36%,118900
08/12/2022,2.97,3,2.72,2.74,-0.15,-5.19%,96800
08/11/2022,2.95,3.29,2.75,2.89,-0.06,-2.03%,215900
08/10/2022,2.77,2.95,2.71,2.95,0.24,+8.86%,125400
08/09/2022,2.95,3.0089,2.7,2.71,-0.3,-9.97%,71000
08/08/2022,2.9,3.04,2.88,3.01,0.2,+7.12%,97800
08/05/2022,2.87,2.96,2.71,2.81,-0.05,-1.75%,64300
08/04/2022,2.44,2.944,2.44,2.86,0.37,+14.86%,110000
08/03/2022,2.25,2.49,2.25,2.49,0.26,+11.66%,96800
08/02/2022,2.08,2.32,2.08,2.23,0.13,+6.19%,50600
08/01/2022,2.35,2.35,2.08,2.1,-0.01,-0.47%,83700
07/29/2022,2.17,2.22,2.06,2.11,0.01,+0.48%,89700
07/28/2022,2.22,2.22,2.085,2.1,-0.11,-4.98%,58300
07/27/2022,2.21,2.23,2.07,2.21,0.03,+1.38%,42600
07/26/2022,2.16,2.22,2.095,2.18,0.01,+0.46%,32200
07/25/2022,2.16,2.21,2.06,2.17,-0.04,-1.81%,28900
07/22/2022,2.36,2.36,2.15,2.21,-0.12,-5.15%,55300
07/21/2022,2.33,2.41,2.28,2.33,0.02,+0.87%,33200
07/20/2022,2.22,2.47,2.2,2.31,0.07,+3.13%,75800
07/19/2022,2.14,2.34,2.0301,2.24,0.14,+6.67%,82300
07/18/2022,2.17,2.28,2.08,2.1,-0.1,-4.55%,59700
07/15/2022,2.06,2.2,1.93,2.2,0.18,+8.91%,267900
07/14/2022,2.1,2.17,2.01,2.02,-0.07,-3.35%,124900
07/13/2022,2.355,2.5203,2.05,2.09,-0.26,-11.06%,330100
07/12/2022,2.34,2.35,2.18,2.35,0.01,+0.43%,88200
07/11/2022,2.29,2.35,2.19,2.34,0,0.00%,73300
07/08/2022,2.33,2.39,2.2958,2.34,-0.05,-2.09%,116900
07/07/2022,2.45,2.51,2.32,2.39,-0.05,-2.05%,138500
07/06/2022,2.36,2.51,2.3096,2.44,0.07,+2.95%,149700
07/05/2022,2.13,2.37,2.07,2.37,0.22,+10.23%,153200
07/01/2022,2.08,2.17,2.07,2.15,0.04,+1.90%,126000
06/30/2022,2.08,2.18,1.96,2.11,0.02,+0.96%,116500
06/29/2022,2.12,2.16,2.03,2.09,-0.03,-1.42%,124900
06/28/2022,2.19,2.3,2.12,2.12,-0.1,-4.50%,184900
06/27/2022,2.06,2.32,2.02,2.22,0.15,+7.25%,576600
06/24/2022,2.05,2.17,2,2.07,0.04,+1.97%,3464400
06/23/2022,1.98,2.15,1.931,2.03,0.03,+1.50%,412400
06/22/2022,1.81,2.31,1.81,2,0.17,+9.29%,1122800
06/21/2022,1.74,1.92,1.74,1.83,0.03,+1.67%,353700
06/17/2022,1.71,1.84,1.6912,1.8,0.09,+5.26%,597200
06/16/2022,1.81,1.9,1.695,1.71,-0.11,-6.04%,619000
06/15/2022,2,2,1.74,1.82,-0.12,-6.19%,297100
06/14/2022,1.95,1.9825,1.88,1.94,-0.05,-2.51%,162800
06/13/2022,1.98,1.99,1.8472,1.99,-0.03,-1.49%,211500
06/10/2022,2.48,2.5,1.9,2.02,-0.58,-22.31%,306600
06/09/2022,2.45,2.7,2.365,2.6,0.13,+5.26%,291000
06/08/2022,2.33,2.54,2.21,2.47,0.17,+7.39%,208000
06/07/2022,2.38,2.38,2.2,2.3,0.02,+0.88%,276000
06/06/2022,2.58,2.58,2.25,2.28,-0.23,-9.16%,279700
06/03/2022,2.73,2.73,2.48,2.51,-0.16,-5.99%,318600
06/02/2022,2.48,2.69,2.4401,2.67,0.17,+6.80%,405600
06/01/2022,2.27,2.81,2.16,2.5,0.4,+19.05%,1226400
05/31/2022,2.09,2.22,2,2.1,-0.02,-0.94%,162000
05/27/2022,1.9,2.18,1.84,2.12,0.26,+13.98%,164200
05/26/2022,1.87,1.95,1.7801,1.86,0.06,+3.33%,300000
05/25/2022,1.44,1.85,1.4188,1.8,0.34,+23.29%,776400
05/24/2022,1.66,1.74,1.45,1.46,-0.25,-14.62%,203400
05/23/2022,1.84,1.97,1.69,1.71,-0.12,-6.56%,241100
05/20/2022,1.83,1.86,1.69,1.83,0.03,+1.67%,219100
05/19/2022,1.82,1.975,1.73,1.8,-0.05,-2.70%,156900
05/18/2022,1.77,1.9299,1.72,1.85,0.08,+4.52%,360900
05/17/2022,1.62,1.88,1.62,1.77,0.16,+9.94%,208200
05/16/2022,1.65,1.72,1.595,1.61,-0.04,-2.42%,178500
05/13/2022,1.9,2.08,1.63,1.65,-0.22,-11.76%,559600
05/12/2022,2.07,2.09,1.7,1.87,-0.2,-9.66%,488300
05/11/2022,2.33,2.45,2.05,2.07,-0.28,-11.91%,144000
05/10/2022,2.33,2.47,2.22,2.35,0.08,+3.52%,203100
05/09/2022,2.45,2.5,2.24,2.27,-0.19,-7.72%,203600
05/06/2022,2.6,2.77,2.39,2.46,-0.185,-6.99%,324900
05/05/2022,2.68,2.72,2.615,2.645,-0.115,-4.17%,127700
05/04/2022,2.86,2.92,2.54,2.76,-0.07,-2.47%,319700
05/03/2022,2.49,2.97,2.38,2.83,0.38,+15.51%,447800
05/02/2022,2.47,2.52,2.31,2.45,-0.02,-0.81%,234100
04/29/2022,2.36,2.48,2.31,2.47,0.1,+4.22%,195600
04/28/2022,2.48,2.61,2.27,2.37,-0.07,-2.87%,254100
04/27/2022,2.55,2.55,2.36,2.44,-0.11,-4.31%,253300
04/26/2022,2.53,2.7,2.4774,2.55,-0.06,-2.30%,365400
04/25/2022,2.41,2.78,2.32,2.61,0.2,+8.30%,548800
04/22/2022,2.07,2.62,2.05,2.41,0.32,+15.31%,854600
04/21/2022,2.2,2.29,2.07,2.09,-0.09,-4.13%,278000
04/20/2022,2.32,2.34,2.165,2.18,-0.12,-5.22%,258500
04/19/2022,2.31,2.34,2.29,2.3,0,0.00%,295600
04/18/2022,2.52,2.52,2.28,2.3,-0.24,-9.45%,498700
04/14/2022,2.42,2.81,2.41,2.54,-0.04,-1.55%,311200
04/13/2022,2.76,2.76,2.46,2.58,-0.15,-5.49%,340100
04/12/2022,2.93,3.05,2.72,2.73,-0.24,-8.08%,267600
04/11/2022,3.33,3.33,2.93,2.97,-0.42,-12.39%,293100
04/08/2022,3.49,3.5,3.32,3.39,-0.11,-3.14%,176600
04/07/2022,3.51,3.57,3.48,3.5,-0.01,-0.28%,101600
04/06/2022,3.47,3.55,3.34,3.51,0.01,+0.29%,140300
04/05/2022,3.55,3.675,3.48,3.5,-0.05,-1.41%,132100
04/04/2022,3.46,3.585,3.33,3.55,0.19,+5.65%,160900
04/01/2022,3.4,3.46,3.31,3.36,-0.03,-0.88%,127000
03/31/2022,3.32,3.46,3.22,3.39,0.04,+1.19%,247300
03/30/2022,3.68,3.83,3.32,3.35,-0.36,-9.70%,189000
03/29/2022,3.67,3.74,3.4501,3.71,0.08,+2.20%,215500
03/28/2022,4.3,4.36,3.5,3.63,-0.6,-14.18%,513700
03/25/2022,4.08,4.26,3.87,4.23,0.11,+2.67%,548800
03/24/2022,3.41,4.17,3.305,4.12,0.85,+25.99%,1154400
03/23/2022,3.19,3.44,3.19,3.27,0.02,+0.62%,368600
03/22/2022,3.24,3.37,3.16,3.25,0.02,+0.62%,155700
03/21/2022,3.61,3.64,3.21,3.23,-0.41,-11.26%,272600
03/18/2022,3.29,3.65,3.29,3.64,0.34,+10.30%,266900
03/17/2022,3.11,3.34,3.11,3.3,0.15,+4.76%,153600
03/16/2022,2.86,3.18,2.85,3.15,0.3,+10.53%,244200
03/15/2022,2.69,2.9,2.6501,2.85,0.16,+5.95%,186200
03/14/2022,2.66,2.76,2.66,2.69,0.03,+1.13%,311500
03/11/2022,2.93,3.0017,2.5519,2.66,-0.26,-8.90%,592000
03/10/2022,3.11,3.15,2.89,2.92,-0.3,-9.32%,162900
03/09/2022,3.04,3.26,3.01,3.22,0.27,+9.15%,165900
03/08/2022,3.14,3.16,2.88,2.95,-0.2,-6.35%,532000
03/07/2022,3.13,3.23,3.06,3.15,0.1,+3.28%,275100
03/04/2022,3.07,3.13,2.93,3.05,0.02,+0.66%,374900
03/03/2022,3.1,3.14,3.03,3.03,-0.04,-1.30%,275200
03/02/2022,3.04,3.1,2.94,3.07,0.07,+2.33%,209300
03/01/2022,3.11,3.1399,2.91,3,-0.125,-4.00%,360500
02/28/2022,3.41,3.5,3.05,3.125,-0.285,-8.36%,203700
02/25/2022,3.48,3.49,3.19,3.41,-0.08,-2.29%,256100
02/24/2022,2.91,3.5,2.78,3.49,0.48,+15.95%,342000
02/23/2022,3.33,3.385,2.89,3.01,-0.27,-8.23%,488000
02/22/2022,3.44,3.62,3.26,3.28,-0.21,-6.02%,284900
02/18/2022,3.66,3.6799,3.3,3.49,-0.14,-3.86%,280800
02/17/2022,4.05,4.05,3.6,3.63,-0.37,-9.25%,192800
02/16/2022,4.08,4.09,3.88,4,-0.03,-0.74%,243600
02/15/2022,3.94,4.27,3.94,4.03,0.12,+3.07%,743100
02/14/2022,3.9,4.025,3.8,3.91,0.01,+0.26%,568100
02/11/2022,4.13,4.24,3.65,3.9,-0.24,-5.80%,1213300
02/10/2022,3.98,4.3,3.93,4.14,0.08,+1.97%,535300
02/09/2022,4.11,4.15,3.92,4.06,0.03,+0.74%,457300
02/08/2022,4.45,4.52,3.99,4.03,-0.37,-8.41%,263200
02/07/2022,4.6,4.6,4.2,4.4,0.05,+1.15%,265600
02/04/2022,4.48,4.58,4.23,4.35,-0.05,-1.14%,110600
02/03/2022,4.44,4.54,4.33,4.4,-0.13,-2.87%,231700
02/02/2022,5.07,5.24,4.52,4.53,-0.73,-13.88%,168900
02/01/2022,4.68,5.285,4.41,5.26,0.55,+11.68%,257900
01/31/2022,4.65,4.73,4.33,4.71,0.16,+3.52%,189500
01/28/2022,4.43,4.6033,4.25,4.55,0.12,+2.71%,340400
01/27/2022,4.94,4.94,4.41,4.43,-0.45,-9.22%,168700
