Time,Open,High,Low,Last,Change,%Chg,Volume
03/30/2023,10.45,10.4547,10.45,10.45,0.0133,+0.13%,1200
03/29/2023,10.43,10.4367,10.43,10.4367,-0.0033,-0.03%,6400
03/24/2023,10.45,10.45,10.44,10.44,-0.02,-0.19%,8600
03/22/2023,10.46,10.47,10.45,10.46,0,0.00%,43400
03/21/2023,10.41,10.4806,10.41,10.46,0.055,+0.53%,37000
03/20/2023,10.405,10.405,10.405,10.405,-0.015,-0.14%,300
03/16/2023,10.41,10.43,10.41,10.42,-0.07,-0.67%,26900
03/15/2023,10.49,10.49,10.49,10.49,0,0.00%,43100
03/14/2023,10.49,10.5,10.48,10.49,0.005,+0.05%,61900
03/13/2023,10.49,10.49,10.485,10.485,-0.015,-0.14%,300
03/10/2023,10.5,10.5,10.5,10.5,0.02,+0.19%,103200
03/09/2023,10.46,10.48,10.46,10.48,0.02,+0.19%,7900
03/08/2023,10.46,10.46,10.46,10.46,0.045,+0.43%,5200
03/06/2023,10.415,10.415,10.415,10.415,-0.045,-0.43%,200
03/02/2023,10.4,10.46,10.395,10.46,0.06,+0.58%,26400
03/01/2023,10.39,10.4,10.38,10.4,0.08,+0.78%,8600
02/24/2023,10.32,10.32,10.32,10.32,0,0.00%,6000
02/22/2023,10.31,10.32,10.3,10.32,-0.01,-0.10%,4400
02/17/2023,10.33,10.33,10.33,10.33,0.01,+0.10%,4000
02/14/2023,10.37,10.37,10.32,10.32,-0.05,-0.48%,5900
02/13/2023,10.37,10.37,10.37,10.37,0,0.00%,900
02/10/2023,10.37,10.41,10.37,10.37,-0.04,-0.38%,5100
02/09/2023,10.37,10.45,10.32,10.41,0.125,+1.22%,34300
02/03/2023,10.26,10.3,10.26,10.285,-0.025,-0.24%,3400
02/01/2023,10.31,10.31,10.31,10.31,-0.05,-0.48%,300
01/30/2023,10.38,10.38,10.36,10.36,-0.12,-1.15%,1900
01/27/2023,10.26,10.48,10.26,10.48,0.13,+1.26%,120400
01/25/2023,10.27,10.35,10.25,10.35,0.07,+0.68%,1800
01/23/2023,10.28,10.28,10.28,10.28,0,0.00%,300
01/18/2023,10.28,10.28,10.28,10.28,0.06,+0.59%,600
01/17/2023,10.22,10.22,10.2101,10.22,0.02,+0.20%,8800
01/13/2023,10.2,10.2,10.2,10.2,0.0002,0.00%,1100
01/12/2023,10.17,10.2,10.17,10.1998,-0.0402,-0.39%,264600
01/10/2023,10.21,10.28,10.2,10.24,0.0394,+0.39%,804200
01/09/2023,10.18,10.2101,10.18,10.2006,0.0206,+0.20%,727700
01/06/2023,10.18,10.18,10.1654,10.18,0.01,+0.10%,54700
01/05/2023,10.15,10.17,10.15,10.17,0.02,+0.20%,12800
01/04/2023,10.15,10.15,10.14,10.15,-0.02,-0.20%,3700
01/03/2023,10.15,10.4,10.15,10.17,0.03,+0.30%,23500
12/30/2022,10.13,10.14,10.13,10.14,0.01,+0.10%,251300
12/27/2022,10.13,10.13,10.13,10.13,0,0.00%,100
12/23/2022,10.13,10.13,10.125,10.13,0.01,+0.10%,6704
12/22/2022,10.125,10.125,10.12,10.12,0.01,+0.10%,400
12/21/2022,10.11,10.12,10.11,10.11,0.01,+0.10%,14200
12/19/2022,10.1,10.1,10.1,10.1,0,0.00%,500
12/15/2022,10.1,10.1,10.1,10.1,0.01,+0.10%,200
12/14/2022,10.09,10.09,10.09,10.09,0.01,+0.10%,1500
12/13/2022,10.08,10.08,10.08,10.08,0,0.00%,100
12/12/2022,10.08,10.08,10.08,10.08,0,0.00%,200
12/09/2022,10.08,10.08,10.08,10.08,0,0.00%,13900
12/07/2022,10.08,10.08,10.08,10.08,0,0.00%,100
12/06/2022,10.08,10.08,10.08,10.08,0,0.00%,100
12/05/2022,10.08,10.08,10.08,10.08,0,0.00%,200
12/02/2022,10.08,10.08,10.08,10.08,0.005,+0.05%,25000
12/01/2022,10.075,10.075,10.075,10.075,-0.005,-0.05%,2300
11/28/2022,10.08,10.08,10.08,10.08,0.01,+0.10%,100
11/25/2022,10.06,10.07,10.06,10.07,0.01,+0.10%,3100
11/23/2022,10.06,10.06,10.06,10.06,-0.01,-0.10%,200
11/21/2022,10.06,10.07,10.06,10.07,0.01,+0.10%,6100
11/17/2022,10.06,10.06,10.06,10.06,-0.01,-0.10%,7800
11/15/2022,10.05,10.07,10.05,10.07,0.03,+0.30%,4900
11/14/2022,10.045,10.045,10.04,10.04,0,0.00%,147500
11/10/2022,10.03,10.04,10.03,10.04,0.005,+0.05%,39200
11/09/2022,10.03,10.035,10.03,10.035,-0.005,-0.05%,700
11/08/2022,10.03,10.04,10.03,10.04,0.02,+0.20%,10600
11/07/2022,10.02,10.02,10.02,10.02,-0.01,-0.10%,800
11/04/2022,10.035,10.035,10.03,10.03,0,0.00%,1000
11/03/2022,10.03,10.03,10.03,10.03,0.01,+0.10%,1300
