Time,Open,High,Low,Last,Change,%Chg,Volume
01/25/2023,0.93,0.937,0.88,0.92,-0.0171,-1.82%,571600
01/24/2023,0.9553,0.99,0.9,0.9371,-0.0519,-5.25%,588800
01/23/2023,1.03,1.0715,0.9702,0.989,-0.041,-3.98%,692800
01/20/2023,1.1,1.12,1.01,1.03,-0.07,-6.36%,738000
01/19/2023,1.04,1.12,1.04,1.1,0.05,+4.76%,455600
01/18/2023,1.08,1.16,0.9167,1.05,0.01,+0.96%,1094100
01/17/2023,0.9,1.1,0.9,1.04,0.1582,+17.94%,1471300
01/13/2023,0.7899,0.8818,0.77,0.8818,0.1098,+14.22%,584300
01/12/2023,0.8,0.82,0.76,0.772,-0.0279,-3.49%,264400
01/11/2023,0.8,0.8,0.77,0.7999,0.0199,+2.55%,227500
01/10/2023,0.82,0.8299,0.773,0.78,-0.0201,-2.51%,274300
01/09/2023,0.825,0.85,0.8,0.8001,0.0101,+1.28%,804900
01/06/2023,0.71,0.8,0.7,0.79,0.09,+12.86%,546700
01/05/2023,0.7,0.715,0.66,0.7,0,0.00%,374900
01/04/2023,0.69,0.71,0.6227,0.7,0.05,+7.69%,472000
01/03/2023,0.6383,0.69,0.6383,0.65,-0.005,-0.76%,211700
12/30/2022,0.62,0.6698,0.58,0.655,0.0474,+7.80%,4886300
12/29/2022,0.4803,0.623,0.4802,0.6076,0.1234,+25.49%,530900
12/28/2022,0.5101,0.53,0.4825,0.4842,-0.0333,-6.43%,803800
12/27/2022,0.55,0.55,0.515,0.5175,-0.0311,-5.67%,341100
12/23/2022,0.54,0.5499,0.5264,0.5486,0.0116,+2.16%,189900
12/22/2022,0.572,0.572,0.5299,0.537,-0.033,-5.79%,676300
12/21/2022,0.5302,0.589,0.53,0.57,0.03,+5.56%,236800
12/20/2022,0.56,0.5837,0.53,0.54,-0.0126,-2.28%,380100
12/19/2022,0.6,0.625,0.552,0.5526,-0.0274,-4.72%,331300
12/16/2022,0.61,0.62,0.56,0.58,-0.0209,-3.48%,319600
12/15/2022,0.62,0.6411,0.6,0.6009,-0.0236,-3.78%,246900
12/14/2022,0.662,0.6621,0.624,0.6245,-0.0322,-4.90%,247500
12/13/2022,0.68,0.69,0.64,0.6567,-0.0202,-2.98%,237100
12/12/2022,0.7,0.7,0.67,0.6769,-0.0103,-1.50%,91700
12/09/2022,0.72,0.73,0.6712,0.6872,-0.0328,-4.56%,100600
