Time,Open,High,Low,Last,Change,%Chg,Volume
01/25/2023,4.5105,4.62,4.5105,4.61,0.05,+1.10%,25700
01/24/2023,4.53,4.6,4.49,4.56,0.05,+1.11%,112200
01/23/2023,4.52,4.52,4.4779,4.51,0.03,+0.67%,53100
01/20/2023,4.47,4.48,4.323,4.48,0.02,+0.45%,116000
01/19/2023,4.46,4.5,4.46,4.46,-0.01,-0.22%,17200
01/18/2023,4.52,4.539,4.46,4.47,-0.07,-1.54%,55200
01/17/2023,4.52,4.5599,4.5,4.54,0.03,+0.67%,51300
01/13/2023,4.47,4.52,4.47,4.51,0.04,+0.89%,35100
01/12/2023,4.45,4.5274,4.45,4.47,0.01,+0.22%,82700
01/11/2023,4.41,4.49,4.41,4.46,0.03,+0.68%,67500
01/10/2023,4.42,4.47,4.4,4.43,0.02,+0.45%,193700
01/09/2023,4.31,4.49,4.31,4.41,0.07,+1.61%,167300
01/06/2023,4.34,4.36,4.31,4.34,0.03,+0.70%,101400
01/05/2023,4.32,4.35,4.3,4.31,-0.04,-0.92%,20200
01/04/2023,4.34,4.41,4.32,4.35,0.01,+0.23%,85400
01/03/2023,4.27,4.34,4.25,4.34,0.08,+1.88%,52000
12/30/2022,4.3,4.3,4.2,4.26,-0.02,-0.47%,78200
12/29/2022,4.15,4.28,4.15,4.28,0.12,+2.88%,110900
12/28/2022,4.17,4.24,4.14,4.16,-0.04,-0.95%,73500
12/27/2022,4.23,4.23,4.2,4.2,-0.07,-1.64%,18900
12/23/2022,4.22,4.27,4.18,4.27,0.07,+1.67%,53800
12/22/2022,4.16,4.25,4.16,4.2,0.02,+0.48%,167100
12/21/2022,4.17,4.25,4.1569,4.18,-0.02,-0.48%,163300
12/20/2022,4.18,4.29,4.15,4.2,0.03,+0.72%,45100
12/19/2022,4.14,4.185,4.14,4.17,0.015,+0.36%,28900
12/16/2022,4.15,4.185,4.09,4.155,-0.025,-0.60%,130300
12/15/2022,4.26,4.29,4.1,4.18,-0.085,-1.99%,267000
12/14/2022,4.26,4.3,4.21,4.265,-0.025,-0.58%,77200
12/13/2022,4.38,4.3835,4.28,4.29,-0.03,-0.69%,236200
12/12/2022,4.34,4.37,4.31,4.32,-0.02,-0.46%,297400
12/09/2022,4.33,4.3974,4.33,4.34,-0.01,-0.23%,62100
12/08/2022,4.36,4.4,4.34,4.35,-0.0005,-0.01%,112900
12/07/2022,4.35,4.3856,4.34,4.3505,0.0105,+0.24%,32300
12/06/2022,4.36,4.39,4.34,4.34,-0.015,-0.34%,28300
12/05/2022,4.44,4.44,4.34,4.355,-0.075,-1.69%,116110
12/02/2022,4.39,4.44,4.39,4.43,0.01,+0.23%,49800
12/01/2022,4.43,4.45,4.39,4.42,0,0.00%,58200
11/30/2022,4.42,4.42,4.34,4.42,0.02,+0.45%,25600
11/29/2022,4.42,4.45,4.34,4.4,0,0.00%,102000
11/28/2022,4.32,4.425,4.32,4.4,0,0.00%,86700
11/25/2022,4.34,4.42,4.34,4.4,0.04,+0.92%,30000
11/23/2022,4.4,4.43,4.32,4.36,-0.04,-0.91%,28800
11/22/2022,4.35,4.43,4.35,4.4,0.05,+1.15%,76700
11/21/2022,4.36,4.39,4.3,4.35,-0.01,-0.23%,214800
11/18/2022,4.36,4.38,4.31,4.36,0.02,+0.46%,230700
