Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
04/06/2023,93.36,93.87,92.99,93.1,-0.52,-0.56%,249600,0
04/05/2023,94.95,95.18,92.48,93.62,-1.37,-1.44%,330600,0
04/04/2023,94.99,95.88,94.6,94.99,0.09,+0.09%,356200,0
04/03/2023,95.19,95.32,94.45,94.9,-0.29,-0.30%,228000,0
03/31/2023,95.55,95.98,94.975,95.19,0.15,+0.16%,354700,0
03/30/2023,95.05,95.83,94.8,95.04,0.17,+0.18%,578000,0
03/29/2023,93.39,95.055,92.865,94.87,1.76,+1.89%,625800,0
03/28/2023,91.28,93.66,91.28,93.11,1.54,+1.68%,690600,0
03/27/2023,90.93,92.1,89.905,91.57,2.01,+2.24%,564100,0
03/24/2023,87.38,89.98,87.38,89.56,1.49,+1.69%,428300,0
03/23/2023,88.82,89.76,88.06,88.07,-0.14,-0.16%,347900,0
03/22/2023,88.18,89.68,87.78,88.21,0.2,+0.23%,258700,0
03/21/2023,88.5,88.91,87.33,88.01,0.01,+0.01%,529300,0
03/20/2023,87.23,88.22,87.17,88,0.77,+0.88%,197000,0
03/17/2023,87.68,87.89,86.87,87.23,-1.43,-1.61%,555800,0
03/16/2023,86.35,88.95,85.66,88.66,2.23,+2.58%,703300,0
03/15/2023,87.5,87.5,86.1,86.43,-2.43,-2.73%,376300,0
03/14/2023,88.39,89.015,88.19,88.86,1.39,+1.59%,468200,0
03/13/2023,87.77,89.06,86.7,87.47,-1.2,-1.35%,453700,0
03/10/2023,89.51,89.7282,88.585,88.67,-0.93,-1.04%,547600,0
03/09/2023,91.2,91.2,89.57,89.6,-1.37,-1.51%,296400,0
03/08/2023,90.33,91.25,90.26,90.97,1.13,+1.26%,329800,0
03/07/2023,91.6,91.86,89.5,89.84,-1.78,-1.94%,692700,0
03/06/2023,93.75,93.92,91.31,91.62,-2.44,-2.59%,727800,0
03/03/2023,92.88,94.21,92.88,94.06,0.75,+0.80%,630000,0
03/02/2023,93.07,93.6,92.81,93.31,-0.24,-0.26%,779023,0
03/01/2023,92.45,93.57,91.75,93.55,1.63,+1.77%,1189800,0
02/28/2023,92.72,93.05,91.34,91.92,-0.87,-0.94%,1580800,0
02/27/2023,92.79,93.76,92.32,92.79,0.2,+0.22%,1045200,0
02/24/2023,93.87,93.87,91.33,92.59,-0.96,-1.03%,1026100,0
02/23/2023,93.49,94.18,92.53,93.55,0.64,+0.69%,714500,0
02/22/2023,92.04,93.855,92.03,92.91,0.67,+0.73%,1036600,0
02/21/2023,94.39,94.44,90.91,92.24,-2.38,-2.52%,983400,0
02/17/2023,94.87,95.42,93.73,94.62,-0.28,-0.30%,1455400,0
02/16/2023,89.03,95.81,89.03,94.9,8.1,+9.33%,3407900,0
02/15/2023,84.66,87.05,84.28,86.8,1.95,+2.30%,817415,0
02/14/2023,84.71,86.08,84.19,84.85,0.34,+0.40%,1138100,0
02/13/2023,82.73,84.78,82.65,84.51,2.07,+2.51%,1108000,0
02/10/2023,81.51,82.665,81.51,82.44,0.78,+0.96%,473700,0
02/09/2023,82.29,83.055,81.14,81.66,-0.13,-0.16%,538200,0
02/08/2023,82.54,83.17,81.43,81.79,-1.24,-1.49%,481500,0
02/07/2023,83.03,83.49,82.59,83.03,-0.18,-0.22%,686500,0
02/06/2023,82.96,83.52,82.54,83.21,-0.22,-0.26%,576400,0
02/03/2023,84.86,85.13,82.86,83.43,-1.79,-2.10%,439500,0
02/02/2023,87.23,87.86,84.84,85.22,-2.35,-2.68%,641900,0
02/01/2023,87.79,88.5,86.25,87.57,-0.23,-0.26%,945000,0
01/31/2023,86.55,87.85,85.99,87.8,1.77,+2.06%,565400,0
01/30/2023,86.36,86.93,85.8,86.03,-0.27,-0.31%,471700,0
01/27/2023,85.74,86.72,85.48,86.3,-0.14,-0.16%,608300,0
01/26/2023,86.17,86.605,85.95,86.44,0.27,+0.31%,403700,0
01/25/2023,85.74,86.4,85.38,86.17,0.16,+0.19%,344100,0
01/24/2023,85.49,86.38,85.29,86.01,0.43,+0.50%,518700,0
01/23/2023,84.61,86.41,84.32,85.58,1.45,+1.72%,498300,0
01/20/2023,83.87,84.52,82.73,84.13,0.45,+0.54%,558300,0
01/19/2023,84.84,85.13,83.42,83.68,-1.1,-1.30%,852100,0
01/18/2023,86.38,87.875,84.69,84.78,-1.39,-1.61%,1236300,0
01/17/2023,85.42,86.34,84.43,86.17,1.16,+1.36%,788500,0
01/13/2023,84.49,86.58,84.49,85.01,0.4,+0.47%,413603,0
01/12/2023,84.05,85.79,83.67,84.61,0.4,+0.48%,679600,0
01/11/2023,80.56,84.41,80.56,84.21,3.82,+4.75%,767600,0
01/10/2023,80.52,80.78,79.77,80.39,-0.13,-0.16%,454300,0
01/09/2023,80.22,80.86,79.82,80.52,0.29,+0.36%,267100,0
01/06/2023,79.19,80.848,78.7075,80.23,1.65,+2.10%,365400,0
01/05/2023,77.69,79.47,77.67,78.58,0.44,+0.56%,551500,0
01/04/2023,78.21,78.8329,77.75,78.14,0.35,+0.45%,382000,0
01/03/2023,78.25,78.67,77.21,77.79,-0.33,-0.42%,363700,0
12/30/2022,78.8,79.47,77.75,78.12,-1.23,-1.55%,530500,0
12/29/2022,79.17,79.8585,78.98,79.35,0.55,+0.70%,459400,0
12/28/2022,79.67,79.95,78.69,78.8,-0.88,-1.10%,396200,0
12/27/2022,79.77,80.2,78.98,79.68,-0.25,-0.31%,351400,0
12/23/2022,78.26,79.94,77.76,79.93,1.77,+2.26%,264200,0
12/22/2022,77.54,78.35,76.86,78.16,0.13,+0.17%,442800,0
12/21/2022,76.83,78.5,76.72,78.03,1.33,+1.73%,459900,0
12/20/2022,76.26,77.38,76.19,76.7,0.89,+1.17%,436600,0
12/19/2022,75.97,76.37,75.695,75.81,-0.31,-0.41%,656200,0
12/16/2022,76.31,76.82,75.655,76.12,-0.48,-0.63%,490300,0
12/15/2022,77.48,77.575,74.9,76.6,-1.36,-1.74%,665400,0
12/14/2022,78.46,78.62,77.37,77.96,-0.63,-0.80%,503600,0
12/13/2022,79.88,80.49,78.35,78.59,-0.9,-1.13%,762300,0
12/12/2022,78.19,79.97,78.19,79.49,1.41,+1.81%,402900,0
12/09/2022,76.94,78.23,76.9,78.08,0.91,+1.18%,465000,0
12/08/2022,77.21,77.97,76.85,77.17,0.16,+0.21%,477200,0
12/07/2022,76.94,77.62,76.685,77.01,0.63,+0.82%,341200,0
12/06/2022,76.44,77.14,75.92,76.38,-0.18,-0.24%,417200,0
12/05/2022,77.47,77.705,75.91,76.56,-1.44,-1.85%,1014200,0
12/02/2022,79,79.53,77.98,78,-1.4,-1.76%,612900,0
12/01/2022,80.51,80.525,79.25,79.4,-0.47,-0.59%,755700,0
11/30/2022,78.55,80.06,78.36,79.87,1.38,+1.76%,648600,0
11/29/2022,79.82,79.95,78.3,78.49,-1.06,-1.33%,777500,0
11/28/2022,79.55,80.5,79.22,79.55,-0.23,-0.29%,590200,0
11/25/2022,79.55,80.43,77.53,79.78,-0.31,-0.39%,394500,0
