Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/27/2023,10.17,10.25,10.17,10.25,0.05,+0.49%,700,0
01/26/2023,10.2,10.21,10.2,10.2,0.01,+0.10%,20400,0
01/25/2023,10.2,10.25,10.18,10.19,-0.41,-3.87%,43200,0
01/24/2023,10.6,10.6,10.6,10.6,-0.12,-1.12%,1200,0
01/20/2023,10.5001,10.745,10.5,10.72,0.21,+2.00%,2400,0
01/19/2023,10.55,10.55,10.51,10.51,-0.04,-0.38%,2000,0
01/18/2023,10.61,10.61,10.41,10.55,0.29,+2.83%,2900,0
01/13/2023,10.26,10.26,10.26,10.26,-0.04,-0.39%,300,0
01/12/2023,10.29,10.3,10.29,10.3,0.1,+0.98%,1000,0
01/11/2023,10.21,10.21,10.2,10.2,-0.11,-1.07%,700,0
01/09/2023,10.31,10.31,10.31,10.31,0.0598,+0.58%,700,0
01/05/2023,10.25,10.2646,10.18,10.2502,0.0702,+0.69%,8400,0
01/03/2023,10.17,10.18,10.16,10.18,0.04,+0.39%,5300,0
12/30/2022,10.14,10.14,10.14,10.14,-0.0102,-0.10%,3200,0
12/28/2022,10.1501,10.1502,10.15,10.1502,0.0102,+0.10%,5100,0
12/27/2022,10.14,10.14,10.14,10.14,-0.01,-0.10%,3400,0
12/23/2022,10.13,10.17,10.115,10.15,0.04,+0.40%,79300,0
12/22/2022,10.13,10.13,10.1,10.11,0,0.00%,17000,0
12/21/2022,10.105,10.11,10.105,10.11,0,0.00%,1600,0
12/20/2022,10.11,10.13,10.075,10.11,0.01,+0.10%,26900,0
12/19/2022,10.09,10.11,10.09,10.1,0.01,+0.10%,3000,0
12/16/2022,10.09,10.12,10.09,10.09,-0.01,-0.10%,3300,0
12/15/2022,10.1,10.1,10.1,10.1,0,0.00%,1000,0
12/14/2022,10.1,10.1,10.1,10.1,0,0.00%,5800,0
12/13/2022,10.14,10.14,10.1,10.1,-0.08,-0.79%,2200,0
12/12/2022,10.22,10.22,10.165,10.18,-0.04,-0.39%,900,0
12/06/2022,10.44,10.44,10.22,10.22,-0.28,-2.67%,1000,0
11/29/2022,10.5,10.5,10.5,10.5,0.26,+2.54%,300,0
11/28/2022,10.25,10.25,10.2,10.24,0,0.00%,500,0
11/25/2022,10.2,10.24,10,10.24,0.0801,+0.79%,400,0
11/22/2022,10.165,10.1916,10.15,10.1599,-0.0101,-0.10%,35900,0
11/21/2022,10.17,10.17,10.165,10.17,0.01,+0.10%,11604,0
11/18/2022,10.15,10.16,10.15,10.16,-0.01,-0.10%,12500,0
11/17/2022,10.16,10.17,10.16,10.17,0,0.00%,600,0
11/15/2022,10.17,10.17,10.17,10.17,0.03,+0.30%,2200,0
11/14/2022,10.13,10.1438,10.13,10.14,-0.01,-0.10%,5100,0
11/11/2022,10.15,10.15,10.15,10.15,-0.0016,-0.02%,1000,0
11/10/2022,10.15,10.1516,10.15,10.1516,0.0016,+0.02%,1400,0
11/03/2022,10.14,10.15,10.14,10.15,0,0.00%,2600,0
11/02/2022,10.15,10.15,10.14,10.15,0,0.00%,33400,0
11/01/2022,10.15,10.15,10.15,10.15,0,0.00%,2300,0
10/26/2022,10.15,10.15,10.15,10.15,0.025,+0.25%,100,0
10/25/2022,10.125,10.15,10.101,10.125,-0.025,-0.25%,400,0
10/24/2022,10.05,10.1502,10.05,10.15,0.105,+1.05%,21700,0
10/20/2022,10.045,10.045,10.045,10.045,0,0.00%,100,0
10/18/2022,10.05,10.05,10.045,10.045,0.005,+0.05%,10400,0
10/13/2022,10.0426,10.0426,10.04,10.04,-0.0054,-0.05%,300,0
10/11/2022,10.0454,10.0454,10.0454,10.0454,-0.0046,-0.05%,1000,0
10/07/2022,10.06,10.06,10.05,10.05,-0.01,-0.10%,2100,0
10/06/2022,10.05,10.06,10.05,10.06,0.02,+0.20%,12600,0
10/05/2022,10.06,10.07,10.04,10.04,-0.02,-0.20%,97700,0
10/04/2022,10.0579,10.06,10.0579,10.06,0.02,+0.20%,1600,0
10/03/2022,10.04,10.04,10.04,10.04,0,0.00%,17200,0
09/30/2022,10.04,10.04,10.04,10.04,-0.01,-0.10%,500,0
09/28/2022,10.05,10.05,10.04,10.05,-0.02,-0.20%,172400,0
09/27/2022,10.07,10.07,10.07,10.07,0.02,+0.20%,100,0
09/23/2022,10.05,10.0501,10.05,10.05,0,0.00%,5000,0
