Time,Open,High,Low,Last,Change,%Chg,Volume
01/23/2023,0.53,0.53,0.5,0.51,0.0099,+1.98%,249400
01/20/2023,0.4805,0.5194,0.4805,0.5001,0.0111,+2.27%,319000
01/19/2023,0.4988,0.5,0.47,0.489,0.007,+1.45%,200200
01/18/2023,0.53,0.53,0.47,0.482,-0.048,-9.06%,343100
01/17/2023,0.59,0.59,0.5,0.53,-0.005,-0.93%,843900
01/13/2023,0.53,0.58,0.5002,0.535,0.0362,+7.26%,1419900
01/12/2023,0.4646,0.51,0.4598,0.4988,0.0349,+7.52%,552100
01/11/2023,0.4714,0.48,0.4299,0.4639,0.009,+1.98%,310000
01/10/2023,0.45,0.47,0.4229,0.4549,0.0362,+8.65%,184500
01/09/2023,0.3933,0.442,0.3933,0.4187,0.0268,+6.84%,699000
01/06/2023,0.3985,0.3988,0.3686,0.3919,-0.0066,-1.66%,377500
01/05/2023,0.4001,0.4198,0.38,0.3985,-0.0015,-0.38%,128100
01/04/2023,0.3808,0.4428,0.3808,0.4,0.0197,+5.18%,472900
01/03/2023,0.3847,0.399,0.374,0.3803,0.0083,+2.23%,268400
12/30/2022,0.3701,0.385,0.3503,0.372,0.0019,+0.51%,706500
12/29/2022,0.36,0.388,0.36,0.3701,0.0097,+2.69%,337700
12/28/2022,0.4,0.41,0.36,0.3604,-0.0676,-15.79%,811700
12/27/2022,0.41,0.43,0.4,0.428,0.003,+0.71%,602200
12/23/2022,0.43,0.43,0.42,0.425,-0.007,-1.62%,125300
12/22/2022,0.498,0.498,0.43,0.432,-0.068,-13.60%,349900
12/21/2022,0.49,0.5,0.48,0.5,-0.0019,-0.38%,238600
12/20/2022,0.52,0.5228,0.4502,0.5019,-0.0379,-7.02%,405200
12/19/2022,0.4725,0.5698,0.46,0.5398,0.0798,+17.35%,1247100
12/16/2022,0.363,0.46,0.3599,0.46,0.097,+26.72%,1341600
12/15/2022,0.346,0.3775,0.339,0.363,0.0101,+2.86%,151100
12/14/2022,0.3335,0.36,0.3331,0.3529,0.003,+0.86%,101000
12/13/2022,0.3399,0.38,0.3399,0.3499,0.01,+2.94%,388100
12/12/2022,0.3494,0.35,0.331,0.3399,-0.01,-2.86%,108300
12/09/2022,0.35,0.36,0.333,0.3499,-0.01,-2.78%,187000
12/08/2022,0.35,0.36,0.3464,0.3599,0.0091,+2.59%,39100
12/07/2022,0.364,0.376,0.3462,0.3508,-0.0135,-3.71%,71800
12/06/2022,0.37,0.378,0.35,0.3643,0.0043,+1.19%,109900
12/05/2022,0.36,0.3738,0.36,0.36,-0.0033,-0.91%,52800
12/02/2022,0.35,0.367,0.345,0.3633,0.0092,+2.60%,84000
12/01/2022,0.35,0.358,0.349,0.3541,-0.0049,-1.36%,54700
11/30/2022,0.3591,0.3591,0.341,0.359,-0.0001,-0.03%,103600
11/29/2022,0.35,0.3796,0.35,0.3591,0.0041,+1.15%,97400
11/28/2022,0.36,0.36,0.3447,0.355,-0.0003,-0.08%,147400
11/25/2022,0.349,0.37,0.3363,0.3553,0.0193,+5.74%,48300
11/23/2022,0.35,0.375,0.33,0.336,-0.024,-6.67%,292900
11/22/2022,0.3798,0.3798,0.36,0.36,-0.0195,-5.14%,206100
11/21/2022,0.3819,0.3932,0.36,0.3795,-0.0252,-6.23%,202200
11/18/2022,0.4,0.419,0.3904,0.4047,-0.0053,-1.29%,50300
11/17/2022,0.41,0.4113,0.404,0.41,0,0.00%,60500
11/16/2022,0.4137,0.4195,0.4,0.41,-0.0096,-2.29%,74900
11/15/2022,0.41,0.42,0.41,0.4196,0.0092,+2.24%,80600
11/14/2022,0.41,0.4136,0.4051,0.4104,0.0004,+0.10%,49200
11/11/2022,0.4036,0.4199,0.37,0.41,-0.0061,-1.47%,166400
11/10/2022,0.41,0.42,0.4001,0.4161,0.0171,+4.29%,145800
11/09/2022,0.43,0.43,0.3974,0.399,-0.0307,-7.14%,188600
11/08/2022,0.42,0.43,0.413,0.4297,0.0047,+1.11%,144500
11/07/2022,0.44,0.442,0.4201,0.425,-0.0115,-2.63%,90800
11/04/2022,0.4396,0.459,0.4302,0.4365,0.0064,+1.49%,122500
11/03/2022,0.44,0.45,0.4301,0.4301,-0.0101,-2.29%,93800
11/02/2022,0.445,0.4492,0.433,0.4402,-0.0096,-2.13%,60600
11/01/2022,0.4731,0.4888,0.42,0.4498,-0.0352,-7.26%,264800
10/31/2022,0.478,0.485,0.4446,0.485,0.0163,+3.48%,61400
