Time,Open,High,Low,Last,Change,%Chg,Volume
03/29/2023,10.46,10.47,10.46,10.47,0.01,+0.10%,60200
03/28/2023,10.46,10.46,10.46,10.46,0.01,+0.10%,11800
03/23/2023,10.45,10.45,10.45,10.45,0,0.00%,2400
03/22/2023,10.45,10.465,10.45,10.45,0,0.00%,10700
03/20/2023,10.45,10.45,10.45,10.45,0.01,+0.10%,61300
03/17/2023,10.44,10.44,10.42,10.44,0,0.00%,23700
03/16/2023,10.43,10.44,10.43,10.44,0.01,+0.10%,316500
03/13/2023,10.43,10.43,10.43,10.43,0,0.00%,1100
03/10/2023,10.43,10.43,10.42,10.43,0,0.00%,14900
03/09/2023,10.9,10.9,10.43,10.43,0.03,+0.29%,400
03/08/2023,10.415,10.415,10.4,10.4,-0.0296,-0.28%,1000
02/27/2023,10.39,10.4296,10.39,10.4296,0.0396,+0.38%,3900
02/22/2023,10.39,10.39,10.39,10.39,0.025,+0.24%,20100
02/21/2023,10.36,10.38,10.355,10.365,0.025,+0.24%,37400
02/16/2023,10.33,10.365,10.33,10.34,0.02,+0.19%,140000
02/13/2023,10.33,10.33,10.32,10.32,-0.03,-0.29%,2300
02/09/2023,10.35,10.35,10.35,10.35,0,0.00%,100
02/08/2023,10.35,10.35,10.35,10.35,0.02,+0.19%,300
01/31/2023,10.33,10.34,10.32,10.33,0,0.00%,79600
01/30/2023,10.33,10.34,10.33,10.33,0,0.00%,1200
01/27/2023,10.35,10.355,10.33,10.33,-0.015,-0.14%,177900
01/26/2023,10.33,10.345,10.32,10.345,0.015,+0.15%,23100
01/25/2023,10.33,10.3301,10.33,10.33,0,0.00%,7900
01/24/2023,10.33,10.33,10.32,10.33,0,0.00%,41300
01/23/2023,10.315,10.33,10.315,10.33,0.02,+0.19%,40100
01/20/2023,10.31,10.315,10.3,10.31,0.01,+0.10%,243900
01/19/2023,10.3,10.3,10.29,10.3,0,0.00%,2900
01/18/2023,10.3,10.3,10.3,10.3,-0.01,-0.10%,108900
01/13/2023,10.31,10.31,10.31,10.31,0,0.00%,2300
01/11/2023,10.3,10.31,10.3,10.31,0.025,+0.24%,9200
01/10/2023,10.2604,10.29,10.26,10.285,0.005,+0.05%,11100
01/09/2023,10.28,10.29,10.2701,10.28,0.01,+0.10%,2400
01/06/2023,10.28,10.28,10.26,10.27,0.01,+0.10%,2600
01/05/2023,10.26,10.275,10.25,10.26,0,0.00%,84200
01/03/2023,10.3,10.3,10.25,10.26,0.01,+0.10%,527700
12/30/2022,10.25,10.25,10.25,10.25,0.04,+0.39%,100
12/28/2022,10.21,10.21,10.21,10.21,0.05,+0.49%,4000
12/23/2022,10.16,10.16,10.16,10.16,-0.09,-0.88%,100
12/22/2022,10.15,10.25,10.15,10.25,0.1,+0.99%,400
12/14/2022,10.15,10.15,10.15,10.15,-0.01,-0.10%,100
12/09/2022,10.16,10.185,10.16,10.16,-0.03,-0.29%,15100
12/07/2022,10.19,10.19,10.19,10.19,0.01,+0.10%,150000
11/30/2022,10.1328,10.18,10.1328,10.18,0.03,+0.30%,1127300
11/29/2022,10.13,10.15,10.13,10.15,0.03,+0.30%,26200
11/28/2022,10.12,10.12,10.12,10.12,0,0.00%,31800
11/25/2022,10.11,10.12,10.11,10.12,0.005,+0.05%,121700
11/23/2022,10.115,10.115,10.115,10.115,-0.055,-0.54%,200
11/21/2022,10.17,10.17,10.17,10.17,-0.01,-0.10%,400
11/18/2022,10.11,10.18,10.11,10.18,0.0381,+0.38%,2100
11/17/2022,10.11,10.15,10.11,10.1419,0.0019,+0.02%,5000
11/15/2022,10.14,10.14,10.14,10.14,0.03,+0.30%,2000
11/14/2022,10.11,10.11,10.105,10.11,0,0.00%,71200
11/11/2022,10.11,10.11,10.11,10.11,0,0.00%,100
11/03/2022,10.105,10.11,10.105,10.11,0.01,+0.10%,27900
10/27/2022,10.1,10.1,10.1,10.1,0.02,+0.20%,300
10/20/2022,10.075,10.08,10.075,10.08,0.05,+0.50%,17200
10/18/2022,10.07,10.07,10.03,10.03,0,0.00%,600
10/17/2022,10.05,10.05,10.03,10.03,0.01,+0.10%,5100
10/14/2022,10.02,10.02,10.02,10.02,-0.05,-0.50%,100
10/13/2022,10.07,10.07,10.07,10.07,0.05,+0.50%,1100
10/07/2022,10.02,10.02,10.02,10.02,0,0.00%,20000
10/05/2022,10.02,10.02,10.02,10.02,-0.04,-0.40%,100
09/27/2022,10.03,10.06,10.03,10.06,0,0.00%,200
