Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/07/2023,113.56,115.22,112.9,114.86,0.24,+0.21%,104500,0
02/06/2023,115.67,115.88,113.86,114.62,-1.99,-1.71%,121000,0
02/03/2023,116.6,118.105,115.94,116.61,-1.09,-0.93%,182300,0
02/02/2023,116.13,117.7,115.11,117.7,1.45,+1.25%,212900,0
02/01/2023,113.22,117.55,112.85,116.25,1.8,+1.57%,145200,0
01/31/2023,112.29,114.55,111.98,114.45,2.43,+2.17%,165400,0
01/30/2023,112.62,113.9178,111.95,112.02,-1.75,-1.54%,195900,0
01/27/2023,113.61,114.11,112.735,113.77,-0.19,-0.17%,123400,0
01/26/2023,112.73,114.04,112.52,113.96,1.85,+1.65%,134200,0
01/25/2023,109.75,112.35,108.985,112.11,2.22,+2.02%,97101,0
01/24/2023,110.64,114.32,109.83,109.89,2.46,+2.29%,185500,0
01/23/2023,108.25,108.6,106.59,107.43,-0.63,-0.58%,150200,0
01/20/2023,108.2,108.2,106.825,108.06,0.47,+0.44%,123800,0
01/19/2023,110,110,107.475,107.59,-3.02,-2.73%,77200,0
01/18/2023,111.29,111.91,110.11,110.61,-0.69,-0.62%,60600,0
01/17/2023,112.62,113.29,111.3,111.3,-1.73,-1.53%,72100,0
01/13/2023,112.13,113.34,111.42,113.03,0.75,+0.67%,61000,0
01/12/2023,112.28,113.57,110.67,112.28,1.37,+1.24%,90400,0
01/11/2023,110.79,111.78,110.44,110.91,0.43,+0.39%,147300,0
01/10/2023,110.49,111.24,109.36,110.48,0.27,+0.24%,164600,0
01/09/2023,111.7,111.7,109.77,110.21,-0.8,-0.72%,106000,0
01/06/2023,108.99,111.2,108.42,111.01,2.94,+2.72%,111400,0
01/05/2023,108.29,108.45,107.09,108.07,-0.19,-0.18%,107300,0
01/04/2023,108.4,110.19,107.4,108.26,0.92,+0.86%,102500,0
01/03/2023,107.03,107.91,105.51,107.34,1,+0.94%,125700,0
12/30/2022,107.35,107.51,105.67,106.34,-1.55,-1.44%,93900,0
12/29/2022,106.97,108.84,106.87,107.89,1.65,+1.55%,98600,0
12/28/2022,109.34,109.34,106.13,106.24,-2.8,-2.57%,109500,0
12/27/2022,109.98,110,108.29,109.04,-0.51,-0.47%,73400,0
12/23/2022,109.14,110.03,108.66,109.55,0.38,+0.35%,100500,0
12/22/2022,109.46,110.45,106.97,109.17,-0.76,-0.69%,123000,0
12/21/2022,109.84,111.1,108.9612,109.93,1.39,+1.28%,113600,0
12/20/2022,107.89,109.64,107.63,108.54,0.94,+0.87%,117600,0
12/19/2022,106.58,107.91,106.34,107.6,0.95,+0.89%,113400,0
12/16/2022,105.2,106.78,104.315,106.65,-0.39,-0.36%,478800,0
12/15/2022,107.92,108.39,105.76,107.04,-2.68,-2.44%,122000,0
12/14/2022,111.8,112.22,109.1,109.72,-2.28,-2.04%,147000,0
12/13/2022,114.52,115.03,111.23,112,-0.51,-0.45%,227600,0
12/12/2022,110.09,112.63,108.8,112.51,3.15,+2.88%,136600,0
