Time,Open,High,Low,Last,Change,%Chg,Volume
03/31/2023,10.28,10.3,10.28,10.3,0.005,+0.05%,6000
03/30/2023,10.295,10.295,10.295,10.295,0.005,+0.05%,100
03/29/2023,10.295,10.295,10.29,10.29,-0.005,-0.05%,12000
03/27/2023,10.295,10.295,10.29,10.295,-0.005,-0.05%,3300
03/24/2023,10.29,10.3,10.29,10.3,0.01,+0.10%,7100
03/23/2023,10.29,10.29,10.29,10.29,0.025,+0.24%,100
03/15/2023,10.27,10.28,10.265,10.265,0.025,+0.24%,28300
03/14/2023,10.25,10.25,10.24,10.24,-0.01,-0.10%,10000
03/13/2023,10.26,10.26,10.25,10.25,-0.01,-0.10%,500
03/10/2023,10.26,10.265,10.26,10.26,0,0.00%,42500
03/09/2023,10.2603,10.2603,10.26,10.26,0,0.00%,800
03/08/2023,10.26,10.26,10.26,10.26,0.01,+0.10%,500
03/07/2023,10.25,10.25,10.25,10.25,0,0.00%,2400
03/06/2023,10.25,10.25,10.25,10.25,-0.05,-0.49%,200
03/03/2023,10.3,10.3,10.3,10.3,0.01,+0.10%,400
03/02/2023,10.29,10.29,10.29,10.29,-0.01,-0.10%,200
03/01/2023,10.3,10.3,10.3,10.3,0.02,+0.19%,300
02/28/2023,10.27,10.28,10.27,10.28,-0.02,-0.19%,300
02/27/2023,10.25,10.3,10.25,10.3,0.06,+0.59%,40000
02/24/2023,10.22,10.24,10.22,10.24,0.02,+0.20%,36200
02/23/2023,10.21,10.23,10.21,10.22,0.01,+0.10%,5800
02/22/2023,10.21,10.21,10.21,10.21,0,0.00%,300
02/21/2023,10.22,10.22,10.21,10.21,0,0.00%,800
02/17/2023,10.21,10.21,10.21,10.21,0.01,+0.10%,400
02/16/2023,10.2,10.22,10.2,10.2,0,0.00%,2500
02/15/2023,10.2,10.2,10.19,10.2,0.005,+0.05%,11300
02/13/2023,10.195,10.195,10.195,10.195,0.005,+0.05%,900
02/10/2023,10.2,10.2,10.19,10.19,-0.01,-0.10%,19600
02/09/2023,10.1946,10.22,10.1946,10.2,0.02,+0.20%,8500
02/08/2023,10.18,10.19,10.18,10.18,0.01,+0.10%,55600
02/07/2023,10.15,10.19,10.15,10.17,0.01,+0.10%,251700
02/06/2023,10.16,10.16,10.16,10.16,-0.01,-0.10%,100
02/03/2023,10.17,10.17,10.17,10.17,0.01,+0.10%,100300
02/02/2023,10.17,10.17,10.16,10.16,0,0.00%,4300
02/01/2023,10.16,10.165,10.155,10.16,0,0.00%,33400
01/31/2023,10.16,10.16,10.155,10.16,0.005,+0.05%,270200
01/30/2023,10.1607,10.1607,10.155,10.155,-0.005,-0.05%,3300
01/26/2023,10.16,10.165,10.16,10.16,0.01,+0.10%,4300
01/24/2023,10.14,10.2,10.14,10.15,0.01,+0.10%,4100
01/23/2023,10.15,10.2,10.14,10.14,-0.01,-0.10%,1500
01/20/2023,10.135,10.17,10.135,10.15,0.015,+0.15%,5600
01/19/2023,10.13,10.14,10.13,10.135,0.0114,+0.11%,3600
01/18/2023,10.12,10.1236,10.12,10.1236,0.0136,+0.13%,1700
01/17/2023,10.11,10.11,10.11,10.11,0,0.00%,1200
01/13/2023,10.11,10.11,10.11,10.11,-0.02,-0.20%,600
01/11/2023,10.13,10.13,10.13,10.13,0,0.00%,19600
01/10/2023,10.12,10.13,10.12,10.13,0,0.00%,7200
01/06/2023,10.12,10.13,10.12,10.13,0.0102,+0.10%,6200
01/05/2023,10.13,10.15,10.11,10.1198,-0.0102,-0.10%,91100
01/04/2023,10.14,10.14,10.09,10.13,0.003,+0.03%,600
01/03/2023,10.6,10.6,10.1,10.127,-0.003,-0.03%,40900
12/30/2022,10.14,10.425,10.1,10.13,0.03,+0.30%,43100
12/29/2022,10.14,10.41,10.1,10.1,0,0.00%,30600
12/28/2022,10.3,10.55,10.1,10.1,-0.04,-0.39%,78300
12/27/2022,10.08,11,10.05,10.14,0.04,+0.40%,61400
12/23/2022,10.05,10.1,10.05,10.1,0.045,+0.45%,900
12/22/2022,10.05,10.09,10.05,10.055,-0.1386,-1.36%,4700
12/21/2022,10.15,10.1936,10.03,10.1936,0.1136,+1.13%,1700
12/20/2022,10.06,10.08,10.06,10.08,0.03,+0.30%,700
12/19/2022,10.12,10.12,10.05,10.05,-0.06,-0.59%,1500
12/16/2022,10.17,10.18,10.07,10.11,0.0599,+0.60%,16500
12/15/2022,10.05,10.59,10.04,10.0501,0.0201,+0.20%,49800
12/14/2022,10.05,10.05,10.03,10.03,-0.01,-0.10%,15500
12/13/2022,10.0113,10.0473,10.0113,10.04,-0.01,-0.10%,700
12/12/2022,10.04,10.05,10.04,10.05,0.01,+0.10%,100300
12/09/2022,10.04,10.04,10.04,10.04,-0.005,-0.05%,100
12/08/2022,10.045,10.045,10.04,10.045,0.005,+0.05%,1900
12/05/2022,10.04,10.04,10.04,10.04,0,0.00%,40000
12/02/2022,10.04,10.04,10.04,10.04,0.04,+0.40%,130000
12/01/2022,10.02,10.02,10,10,-0.04,-0.40%,15500
11/30/2022,10.04,10.04,10.04,10.04,0,0.00%,700
11/28/2022,10.04,10.04,10.04,10.04,0,0.00%,300
11/23/2022,10.04,10.04,10.034,10.04,0,0.00%,1023100
11/21/2022,10.04,10.04,10.04,10.04,0,0.00%,5000
11/17/2022,10.07,10.07,10.04,10.04,0.02,+0.20%,50800
11/15/2022,10.02,10.02,10.02,10.02,0.02,+0.20%,500
"Downloaded from Barchart.com as of 04-01-2023 10:56am CDT"
