Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/21/2023,12.82,13.01,12.49,12.63,-0.32,-2.47%,122900,0
02/17/2023,13.47,13.47,12.91,12.95,-0.7,-5.13%,123000,0
02/16/2023,13.54,13.89,13.4873,13.65,-0.04,-0.29%,92100,0
02/15/2023,13.69,13.86,13.47,13.69,-0.18,-1.30%,100900,0
02/14/2023,13.71,13.92,13.54,13.87,0.06,+0.43%,63000,0
02/13/2023,13.81,13.99,13.7,13.81,0,0.00%,70000,0
02/10/2023,13.57,13.97,13.5,13.81,0.38,+2.83%,123400,0
02/09/2023,13.65,13.775,13.34,13.43,-0.24,-1.76%,129900,0
02/08/2023,13.59,14.06,13.59,13.67,0.05,+0.37%,278300,0
02/07/2023,13.17,13.65,13.01,13.62,0.42,+3.18%,160400,0
02/06/2023,13.79,14.05,12.86,13.2,-0.84,-5.98%,279400,0
02/03/2023,14.21,14.5055,13.94,14.04,-0.29,-2.02%,293900,0
02/02/2023,14.84,14.84,14.25,14.33,-0.62,-4.15%,178600,0
02/01/2023,15.09,15.1417,14.32,14.95,-0.26,-1.71%,298000,0
01/31/2023,15.32,15.32,14.81,15.21,-0.13,-0.85%,199200,0
01/30/2023,15.75,15.75,15.34,15.34,-0.6,-3.76%,111600,0
01/27/2023,16.09,16.16,15.7701,15.94,-0.1,-0.62%,82300,0
01/26/2023,16,16.1743,15.86,16.04,0.23,+1.45%,149000,0
01/25/2023,15.68,15.825,15.17,15.81,0.03,+0.19%,259600,0
01/24/2023,15.46,15.9,15.15,15.78,0.15,+0.96%,289200,0
01/23/2023,15.61,15.82,15.505,15.63,0.18,+1.17%,262800,0
01/20/2023,15.3,15.5,15.04,15.45,0.22,+1.44%,190100,0
01/19/2023,15.26,15.41,14.87,15.23,0.21,+1.40%,257000,0
01/18/2023,15.27,15.73,14.77,15.02,-0.11,-0.73%,495300,0
01/17/2023,14.93,15.33,14.93,15.13,0.03,+0.20%,332800,0
01/13/2023,15,15.145,14.93,15.1,0.1,+0.67%,183000,0
01/12/2023,14.74,15.11,14.69,15,0.52,+3.59%,132100,0
01/11/2023,14.5,14.52,13.98,14.48,0.15,+1.05%,80900,0
01/10/2023,14.38,14.48,14.065,14.33,0.05,+0.35%,49600,0
01/09/2023,14.4,14.56,14.13,14.28,0.08,+0.56%,202800,0
01/06/2023,14.1,14.37,14.06,14.2,0.39,+2.82%,46700,0
