Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/24/2023,48.38,49.17,48.3201,48.91,-1.03,-2.06%,66120,0
02/23/2023,49.79,50.66,48.94,49.94,0.69,+1.40%,515400,0
02/22/2023,49.43,49.97,49.05,49.25,0.24,+0.49%,909200,0
02/21/2023,49.09,50.05,48.41,49.01,-0.83,-1.67%,1040900,0
02/17/2023,49.83,49.98,49,49.84,-0.27,-0.54%,793400,0
02/16/2023,49.95,50.36,48.77,50.11,-0.42,-0.83%,1054500,0
02/15/2023,52.94,53.18,49.5,50.53,-2.66,-5.00%,1628100,0
02/14/2023,52.66,53.67,51.47,53.19,-0.17,-0.32%,1078500,0
02/13/2023,52.25,53.58,51.47,53.36,0.81,+1.54%,785000,0
02/10/2023,52.35,53.09,51.3212,52.55,-0.65,-1.22%,913500,0
02/09/2023,54.87,55.49,52.96,53.2,-1.34,-2.46%,903200,0
02/08/2023,55.28,55.3499,54.36,54.54,-0.46,-0.84%,557200,0
02/07/2023,53.93,55.24,53.12,55,1.07,+1.98%,611400,0
02/06/2023,53.94,54.55,52.71,53.93,-0.9,-1.64%,696600,0
02/03/2023,53.88,56.11,53.51,54.83,-0.64,-1.15%,1186600,0
02/02/2023,53.93,55.96,53.73,55.47,0.74,+1.35%,1445400,0
02/01/2023,52.6,55.34,52.59,54.73,2.4,+4.59%,1096300,0
01/31/2023,50.01,52.36,49.86,52.33,2.33,+4.66%,762200,0
01/30/2023,50.21,50.82,49.72,50,-1.02,-2.00%,709100,0
01/27/2023,51,52,50.01,51.02,-0.02,-0.04%,851300,0
01/26/2023,52.45,52.6773,50.34,51.04,-0.77,-1.49%,980800,0
01/25/2023,51.26,51.92,50.35,51.81,-0.57,-1.09%,1177400,0
01/24/2023,54.78,54.98,52.08,52.38,-2.12,-3.89%,843700,0
01/23/2023,53.81,54.77,53.33,54.5,1.24,+2.33%,920900,0
01/20/2023,52.61,53.38,52.2445,53.26,1.06,+2.03%,738400,0
01/19/2023,51.85,52.43,51.07,52.2,-0.19,-0.36%,694300,0
