Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/07/2023,38.72,39.185,38.12,39.03,0.72,+1.88%,6368200,0
02/06/2023,38.46,38.855,37.53,38.31,-0.26,-0.67%,7887300,0
02/03/2023,38.3,39.4666,37.92,38.57,0.01,+0.03%,12724000,0
02/02/2023,40.55,40.59,38.285,38.56,-2.28,-5.58%,13517900,0
02/01/2023,40.84,41.17,39.8,40.84,-0.38,-0.92%,13876600,0
01/31/2023,40.31,41.24,40.085,41.22,0.88,+2.18%,7549500,0
01/30/2023,40.2,40.97,40.03,40.34,-0.18,-0.44%,8922400,0
01/27/2023,40.9,41.16,40.175,40.52,-0.48,-1.17%,10399100,0
01/26/2023,40.5,41.06,39.4994,41,0.97,+2.42%,8879600,0
01/25/2023,39.7,40.28,38.42,40.03,0.19,+0.48%,10474700,0
01/24/2023,40.04,41,39.18,39.84,-0.73,-1.80%,11912100,0
01/23/2023,41.09,41.27,40.3,40.57,-0.12,-0.29%,10789800,0
01/20/2023,40.41,41.31,39.93,40.69,0.5,+1.24%,8615100,0
01/19/2023,40.41,40.8,39.492,40.19,-0.41,-1.01%,9945900,0
01/18/2023,43,43.42,40.49,40.6,-1.93,-4.54%,11739700,0
01/17/2023,42.6,43,42.005,42.53,-0.13,-0.30%,9622100,0
01/13/2023,42.07,42.74,41.52,42.66,0.49,+1.16%,6660200,0
01/12/2023,41.5,42.99,41.38,42.17,1.18,+2.88%,10369600,0
01/11/2023,41.5,41.68,40.42,40.99,0.05,+0.12%,9881200,0
01/10/2023,40.55,41.0797,39.855,40.94,0.5,+1.24%,7755800,0
01/09/2023,40.91,41.655,40.2678,40.44,0.23,+0.57%,13191700,0
01/06/2023,39.42,40.91,39.38,40.21,1.26,+3.23%,8136700,0
01/05/2023,38.37,39.355,38.1656,38.95,0.52,+1.35%,8773600,0
01/04/2023,37.07,38.57,36.89,38.43,0.77,+2.04%,7446900,0
01/03/2023,38.96,39.54,36.985,37.66,-1.69,-4.29%,6941100,0
12/30/2022,38.53,39.425,38.39,39.35,0.48,+1.23%,5226900,0
12/29/2022,38,39.1,37.69,38.87,0.79,+2.07%,4544300,0
12/28/2022,39.11,39.19,37.74,38.08,-1.19,-3.03%,6178600,0
12/27/2022,39.32,39.73,38.88,39.27,0.18,+0.46%,6278100,0
12/23/2022,38.27,39.13,37.815,39.09,1.55,+4.13%,6041400,0
12/22/2022,38.74,38.8,36.68,37.54,-1.09,-2.82%,8713600,0
12/21/2022,37.96,38.73,37.47,38.63,1.21,+3.23%,7662700,0
12/20/2022,36.16,37.76,36.06,37.42,1.36,+3.77%,9058900,0
12/19/2022,36.11,36.68,35.655,36.06,0.21,+0.59%,5394000,0
12/16/2022,35.68,36.11,35.265,35.85,-0.84,-2.29%,12321000,0
12/15/2022,36.33,36.77,35.71,36.69,0.14,+0.38%,7298500,0
12/14/2022,37.2,37.35,35.9,36.55,-0.45,-1.22%,9942100,0
12/13/2022,35.28,37.18,35.21,37,2.7,+7.87%,14566200,0
12/12/2022,33.08,34.65,33,34.3,1.29,+3.91%,11083600,0
12/09/2022,34.98,35.44,32.97,33.01,-1.86,-5.33%,12705900,0
12/08/2022,36.17,36.32,34.615,34.87,-0.18,-0.51%,8834000,0
12/07/2022,36.25,36.66,34.85,35.05,-1.15,-3.18%,15603600,0
12/06/2022,36.77,37.735,35.94,36.2,-0.62,-1.68%,10399600,0
12/05/2022,39.5,39.79,36.355,36.82,-2.05,-5.27%,10768400,0
12/02/2022,37.54,39.255,37.5,38.87,0.98,+2.59%,7488400,0
12/01/2022,38.45,38.87,37.87,37.89,0,0.00%,6426200,0
11/30/2022,37.75,37.93,36.92,37.89,0.73,+1.96%,13149000,0
11/29/2022,36.43,37.3599,36.33,37.16,1.28,+3.57%,8222000,0
11/28/2022,34.88,36.53,34.67,35.88,-0.48,-1.32%,8653400,0
11/25/2022,36.37,36.79,36.12,36.36,-0.2,-0.55%,2930400,0
11/23/2022,36.51,37.29,36.04,36.56,-0.89,-2.38%,7527400,0
11/22/2022,37.2,37.85,36.66,37.45,1.32,+3.65%,14076500,0
11/21/2022,35.61,36.16,33.395,36.13,-0.58,-1.58%,14297000,0
11/18/2022,36.49,36.76,35.35,36.71,-0.76,-2.03%,9446500,0
11/17/2022,37,37.5,36.415,37.47,-0.38,-1.00%,7612600,0
11/16/2022,38.42,38.74,37.6324,37.85,-1.06,-2.72%,5940900,0
11/15/2022,38.44,39.18,37.74,38.91,0.86,+2.26%,8484600,0
11/14/2022,38.41,38.9,37.775,38.05,-0.69,-1.78%,8572000,0
11/11/2022,38.99,39.86,38.42,38.74,0.93,+2.46%,8436900,0
11/10/2022,37.63,38.0776,36.89,37.81,1,+2.72%,7807000,0
11/09/2022,38.82,38.83,36.655,36.81,-2.56,-6.50%,9982200,0
11/08/2022,39.48,39.99,38.95,39.37,-0.17,-0.43%,9018900,0
11/07/2022,38.71,39.675,38.71,39.54,1.06,+2.75%,9744300,0
11/04/2022,37.8,38.83,37.59,38.48,1.62,+4.40%,12184700,0
11/03/2022,35.46,36.94,35.26,36.86,1.07,+2.99%,8436500,0
11/02/2022,36.26,37.045,35.65,35.79,-0.71,-1.95%,10210300,0
11/01/2022,37.2,37.25,36.435,36.5,0.08,+0.22%,9626500,0
10/31/2022,35.63,36.785,35.39,36.42,0.47,+1.31%,9793700,0
10/28/2022,36.46,36.65,35.09,35.95,-0.32,-0.88%,10736400,0
10/27/2022,37.15,37.46,36.08,36.27,-0.21,-0.58%,14543000,0
10/26/2022,35.69,37.12,35.37,36.48,1.5,+4.29%,17039300,0
10/25/2022,34.85,36.11,34.09,34.98,0.4,+1.16%,21453900,0
10/24/2022,34.08,34.75,33.77,34.58,0.7,+2.07%,17108500,0
10/21/2022,31.98,34.145,31.92,33.88,2.22,+7.01%,17571000,0
10/20/2022,32.51,32.53,31.28,31.66,-0.3,-0.94%,11097300,0
10/19/2022,30.96,32.07,30.758,31.96,1.5,+4.92%,12343300,0
10/18/2022,30.39,30.89,29.61,30.46,0.47,+1.57%,8804700,0
10/17/2022,30.15,30.7,29.585,29.99,0.58,+1.97%,7869300,0
10/14/2022,30.57,30.99,29.39,29.41,-1.7,-5.46%,11191400,0
10/13/2022,29.51,31.53,29.4,31.11,1.31,+4.40%,14018800,0
10/12/2022,29.34,30.035,28.9,29.8,0.24,+0.81%,8909200,0
10/11/2022,28.92,30.48,28.69,29.56,0.01,+0.03%,10885400,0
10/10/2022,30.34,30.91,29.365,29.55,-0.86,-2.83%,9532600,0
10/07/2022,30,31.115,29.37,30.41,0.6,+2.01%,17472200,0
10/06/2022,28.92,30.05,28.92,29.81,0.57,+1.95%,13545300,0
10/05/2022,28,29.47,27.86,29.24,1.12,+3.98%,14897500,0
10/04/2022,26.96,28.21,26.62,28.12,1.74,+6.60%,17511900,0
10/03/2022,25.99,26.52,25.86,26.38,1.76,+7.15%,10265100,0
09/30/2022,24.35,24.945,23.99,24.62,-0.02,-0.08%,9344800,0
09/29/2022,24.37,24.7,23.81,24.64,-0.1,-0.40%,9360700,0
09/28/2022,24.13,24.92,23.84,24.74,0.98,+4.12%,11711400,0
09/27/2022,23.92,24.38,23.5325,23.76,0.45,+1.93%,12769000,0
09/26/2022,24.58,24.59,23.3,23.31,-1.27,-5.17%,11477600,0
09/23/2022,25.78,25.78,24.085,24.58,-2.34,-8.69%,15513900,0
09/22/2022,27.62,27.9,26.81,26.92,-0.16,-0.59%,6881600,0
09/21/2022,28.09,28.375,27.05,27.08,-0.54,-1.96%,6740100,0
09/20/2022,28.1,28.14,27.22,27.62,-0.75,-2.64%,8066100,0
09/19/2022,27.25,28.495,27.16,28.37,0.18,+0.64%,7382800,0
09/16/2022,28.92,29.02,27.6725,28.19,-1.21,-4.12%,16844800,0
09/15/2022,29.57,30.04,29.23,29.4,-1,-3.29%,6846800,0
09/14/2022,29.54,30.66,29.43,30.4,1.25,+4.29%,7892400,0
09/13/2022,29.69,30.59,28.98,29.15,-1.13,-3.73%,7105700,0
09/12/2022,30.1,30.455,29.715,30.28,0.62,+2.09%,11434200,0
09/09/2022,29.19,29.805,29.005,29.66,1.25,+4.40%,7864900,0
09/08/2022,28.9,29.08,28.355,28.41,-0.27,-0.94%,7873100,0
09/07/2022,28.77,29.075,28.36,28.68,-0.84,-2.85%,9500000,0
09/06/2022,30.22,30.34,29.2086,29.52,-0.49,-1.63%,7688700,0
09/02/2022,30,30.46,29.52,30.01,1.07,+3.70%,9110400,0
09/01/2022,29.45,29.715,28.68,28.94,-1.19,-3.95%,8294800,0
08/31/2022,29.57,30.99,29.3966,30.13,-0.22,-0.72%,11256900,0
08/30/2022,31.19,31.37,30.04,30.35,-1.55,-4.86%,9635200,0
08/29/2022,31.17,32.312,30.9204,31.9,0.8,+2.57%,9402700,0
08/26/2022,31.79,32.21,31.07,31.1,-0.77,-2.42%,5724400,0
08/25/2022,31.95,32.3384,31.57,31.87,0.21,+0.66%,8741600,0
08/24/2022,31.15,31.86,31.02,31.66,0.44,+1.41%,10129100,0
08/23/2022,29.83,31.82,29.79,31.22,2.03,+6.95%,18146900,0
08/22/2022,29.01,29.47,28.11,29.19,-0.2,-0.68%,9124100,0
08/19/2022,29.55,29.73,29.26,29.39,-0.44,-1.48%,8623200,0
08/18/2022,28.87,29.84,28.741,29.83,1.63,+5.78%,11030300,0
08/17/2022,27.93,28.37,27.465,28.2,-0.01,-0.04%,12248000,0
08/16/2022,28.76,29.1,27.81,28.21,-0.26,-0.91%,9049800,0
08/15/2022,28.35,28.635,27.81,28.47,-1.08,-3.65%,8387600,0
08/12/2022,29.34,29.61,28.8,29.55,-0.02,-0.07%,8558200,0
08/11/2022,29.05,29.75,29.01,29.57,1.16,+4.08%,8372000,0
08/10/2022,28.27,28.73,27.4528,28.41,0.1,+0.35%,7760100,0
08/09/2022,28.55,28.985,28.025,28.31,0.31,+1.11%,6534200,0
08/08/2022,27.89,28.39,27.85,28,0.21,+0.76%,5711500,0
08/05/2022,26.86,28.2,26.69,27.79,0.52,+1.91%,8575800,0
08/04/2022,28.2,28.355,27.14,27.27,-1.16,-4.08%,11034200,0
08/03/2022,29.14,29.16,28.12,28.43,-0.17,-0.59%,11012600,0
08/02/2022,28.24,29.035,27.98,28.6,0.41,+1.45%,7423900,0
08/01/2022,28.55,28.61,27.59,28.19,-1.11,-3.79%,11263300,0
07/29/2022,29.19,29.44,28.67,29.3,0.66,+2.30%,9664100,0
07/28/2022,29.15,29.37,27.95,28.64,-0.25,-0.87%,8007800,0
07/27/2022,28.45,29.07,27.77,28.89,0.85,+3.03%,7809700,0
07/26/2022,28.81,29.09,27.695,28.04,-0.38,-1.34%,8694900,0
07/25/2022,27.91,28.53,27.41,28.42,0.96,+3.50%,9141700,0
07/22/2022,28.41,28.9,27.38,27.46,-0.68,-2.42%,10616300,0
07/21/2022,28.27,28.42,27.31,28.14,-1.12,-3.83%,11546400,0
07/20/2022,28.93,29.7628,28.68,29.26,-0.2,-0.68%,13300200,0
07/19/2022,28.89,29.98,28.65,29.46,0.61,+2.11%,16731800,0
07/18/2022,28.64,29.25,28.47,28.85,0.99,+3.55%,12646600,0
07/15/2022,27.93,28.03,27.19,27.86,0.52,+1.90%,10278700,0
