Time,Open,High,Low,Last,Change,%Chg,Volume
01/18/2023,14.41,14.49,14.05,14.07,-0.43,-2.97%,16754100
01/17/2023,14.54,14.58,14.41,14.5,-0.08,-0.55%,17971600
01/13/2023,14.49,14.6,14.13,14.58,-0.07,-0.48%,18410800
01/12/2023,14.6,14.74,14.55,14.65,0.08,+0.55%,10520600
01/11/2023,14.48,14.575,14.38,14.57,0.1,+0.69%,11205800
01/10/2023,14.41,14.52,14.35,14.47,0.06,+0.42%,9339100
01/09/2023,14.63,14.63,14.38,14.41,-0.19,-1.30%,12233800
01/06/2023,14.34,14.63,14.27,14.6,0.34,+2.38%,12433600
01/05/2023,14.27,14.325,14.1,14.26,-0.1,-0.70%,11069700
01/04/2023,14.25,14.45,14.2,14.36,0.26,+1.84%,12374200
01/03/2023,14.29,14.32,13.99,14.1,0,0.00%,13366800
12/30/2022,14.06,14.19,13.985,14.1,-0.04,-0.28%,9323500
12/29/2022,14.02,14.16,13.965,14.14,0.16,+1.14%,8330100
12/28/2022,14.04,14.1,13.95,13.98,-0.06,-0.43%,6880000
12/27/2022,14.1,14.11,13.9601,14.04,-0.01,-0.07%,6714700
12/23/2022,13.95,14.06,13.88,14.05,0.14,+1.01%,9062800
12/22/2022,13.94,13.96,13.65,13.91,-0.09,-0.64%,10250200
12/21/2022,13.94,14.045,13.9,14,0.22,+1.60%,10552100
12/20/2022,13.76,13.87,13.69,13.78,0.09,+0.66%,12853600
12/19/2022,13.66,13.83,13.58,13.69,0.04,+0.29%,12309100
12/16/2022,13.51,13.68,13.43,13.65,-0.09,-0.66%,34659300
12/15/2022,13.78,13.815,13.61,13.74,-0.19,-1.36%,17831300
12/14/2022,14.24,14.29,13.86,13.93,-0.28,-1.97%,28774200
12/13/2022,14.62,14.76,14.08,14.21,-0.4,-2.74%,36456000
12/12/2022,14.57,14.63,14.38,14.61,0.06,+0.41%,16965800
12/09/2022,14.6,14.705,14.54,14.55,-0.07,-0.48%,13963300
12/08/2022,14.73,14.79,14.54,14.62,-0.05,-0.34%,16459000
12/07/2022,14.6,15.01,14.56,14.67,-0.01,-0.07%,23331400
12/06/2022,14.84,14.97,14.505,14.68,-0.21,-1.41%,16716200
12/05/2022,15.53,15.54,14.8,14.89,-0.57,-3.69%,14730400
12/02/2022,15.4,15.5,15.3099,15.46,-0.13,-0.83%,14368000
12/01/2022,15.46,15.74,15.295,15.59,0.11,+0.71%,17218100
11/30/2022,15.32,15.52,14.87,15.48,0.18,+1.18%,22373800
11/29/2022,15.13,15.34,15.07,15.3,0.25,+1.66%,11858400
11/28/2022,15.13,15.205,14.99,15.05,-0.19,-1.25%,10432000
11/25/2022,15.16,15.39,15.155,15.24,0.07,+0.46%,4746400
11/23/2022,15.09,15.23,15.07,15.17,0.02,+0.13%,6720600
11/22/2022,15.04,15.185,14.99,15.15,0.21,+1.41%,7873900
