Time,Open,High,Low,Last,Change,%Chg,Volume
01/20/2023,20.46,20.88,20.18,20.81,0.52,+2.56%,193600
01/19/2023,20.57,20.63,20.22,20.29,-0.42,-2.03%,120800
01/18/2023,20.97,21.06,20.67,20.71,-0.18,-0.86%,327200
01/17/2023,21.23,21.39,20.86,20.89,-0.43,-2.02%,89800
01/13/2023,21.27,21.535,21.14,21.32,-0.13,-0.61%,128200
01/12/2023,21.43,21.6,21.36,21.45,0.06,+0.28%,95600
01/11/2023,21.24,21.8099,21.2,21.39,0.17,+0.80%,132500
01/10/2023,21.17,21.42,20.945,21.22,0.11,+0.52%,105600
01/09/2023,20.96,21.23,20.96,21.11,0.15,+0.72%,151400
01/06/2023,20.77,21.01,20.705,20.96,0.29,+1.40%,100700
01/05/2023,20.84,20.8956,20.57,20.67,-0.27,-1.29%,144700
01/04/2023,20.96,21.17,20.82,20.94,0.09,+0.43%,160300
01/03/2023,20.47,20.895,20.43,20.85,0.48,+2.36%,222300
12/30/2022,20.38,20.47,20.22,20.37,-0.02,-0.10%,84400
12/29/2022,20.2,20.53,20.15,20.39,0.29,+1.44%,117300
12/28/2022,20.46,21.44,20.075,20.1,-0.29,-1.42%,111800
12/27/2022,20.67,20.835,20.28,20.39,-0.1,-0.49%,148700
12/23/2022,19.98,20.64,19.8503,20.49,0.54,+2.71%,251000
12/22/2022,19.74,20.019,19.61,19.95,0.03,+0.15%,166200
12/21/2022,19.95,20.11,19.7,19.92,0.08,+0.40%,107300
12/20/2022,20.04,20.21,19.825,19.84,-0.19,-0.95%,166900
12/19/2022,20.16,20.6,19.82,20.03,-0.07,-0.35%,163800
12/16/2022,20.36,20.56,20,20.1,-0.35,-1.71%,388300
12/15/2022,20.37,20.76,20.22,20.45,-0.01,-0.05%,575500
12/14/2022,20.63,20.805,19.96,20.46,-0.22,-1.06%,446200
12/13/2022,20.72,20.9,20.4,20.68,0.44,+2.17%,250700
12/12/2022,21.03,21.05,20.125,20.24,-0.66,-3.16%,267200
12/09/2022,23.27,23.27,20.88,20.9,-2.37,-10.18%,300100
12/08/2022,23.21,23.32,22.98,23.27,0.11,+0.47%,326400
12/07/2022,23.15,23.42,23.13,23.16,-0.02,-0.09%,392000
12/06/2022,23.16,23.26,23.04,23.18,-0.04,-0.17%,255300
12/05/2022,22.96,23.28,22.96,23.22,0.01,+0.04%,250700
12/02/2022,23.17,23.405,23.15,23.21,-0.04,-0.17%,383500
12/01/2022,23.06,23.4,23,23.25,0.15,+0.65%,513300
11/30/2022,22.81,23.3,22.73,23.1,0.29,+1.27%,600500
11/29/2022,22.73,22.84,22.63,22.81,0.02,+0.09%,191700
11/28/2022,22.72,22.895,22.65,22.79,-0.01,-0.04%,184800
11/25/2022,22.81,22.93,22.75,22.8,0.02,+0.09%,67100
11/23/2022,22.69,22.9,22.5873,22.78,0.17,+0.75%,314100
11/22/2022,22.67,22.8,22.37,22.61,-0.06,-0.26%,466200
11/21/2022,22.72,22.825,22.65,22.67,-0.05,-0.22%,172200
11/18/2022,22.95,22.95,22.64,22.72,-0.13,-0.57%,137900
11/17/2022,22.41,22.91,22.25,22.85,0.27,+1.20%,187000
11/16/2022,22.73,22.785,22.46,22.58,-0.17,-0.75%,236700
11/15/2022,22.69,22.985,22.35,22.75,0.23,+1.02%,161100
11/14/2022,22.34,22.62,21.96,22.52,0.06,+0.27%,158900
11/11/2022,22.62,22.81,21.88,22.46,-0.04,-0.18%,196500
11/10/2022,22.5,22.82,21.94,22.5,0.44,+1.99%,241700
11/09/2022,22,22.99,21.95,22.06,1.24,+5.96%,456900
11/08/2022,21.48,21.48,20.78,20.82,-0.57,-2.66%,132770
11/07/2022,20.93,21.54,20.925,21.39,0.44,+2.10%,82704
11/04/2022,20.93,21.07,20.72,20.95,0.11,+0.53%,74000
11/03/2022,20.89,21.21,20.78,20.84,-0.22,-1.04%,81600
11/02/2022,21.51,21.6,21.04,21.06,-0.44,-2.05%,128700
11/01/2022,21.92,21.93,21.5,21.5,-0.34,-1.56%,75600
10/31/2022,21.74,22.01,21.66,21.84,-0.09,-0.41%,154700
10/28/2022,21.47,22.02,20.3211,21.93,0.57,+2.67%,66900
10/27/2022,21.34,21.66,21.19,21.36,0.19,+0.90%,62900
10/26/2022,21.12,21.4,20.935,21.17,0.03,+0.14%,82200
10/25/2022,21.12,21.17,20.96,21.14,0.1,+0.48%,106300
10/24/2022,20.75,21.2199,20.75,21.04,0.34,+1.64%,94700
10/21/2022,20.29,20.78,20.15,20.7,0.51,+2.53%,69100
10/20/2022,20.43,20.68,19.06,20.19,-0.18,-0.88%,89500
10/19/2022,20.24,20.41,20.12,20.37,0.03,+0.15%,77900
10/18/2022,20.16,20.34,20.13,20.34,0.39,+1.95%,56100
10/17/2022,19.74,20.11,19.69,19.95,0.47,+2.41%,108600
10/14/2022,19.73,19.74,19.45,19.48,-0.19,-0.97%,78500
10/13/2022,18.91,19.68,18.73,19.67,0.53,+2.77%,98000
10/12/2022,19.18,19.285,19.03,19.14,0.02,+0.10%,61300
10/11/2022,18.98,19.28,18.97,19.12,0.01,+0.05%,160400
10/10/2022,18.99,19.175,18.84,19.11,0.06,+0.31%,80500
10/07/2022,19.09,19.2169,18.815,19.05,-0.09,-0.47%,102600
10/06/2022,18.82,19.26,18.82,19.14,0.16,+0.84%,60600
10/05/2022,19.08,19.37,18.9,18.98,-0.24,-1.25%,57600
10/04/2022,18.43,19.23,18.415,19.22,0.89,+4.86%,210800
10/03/2022,18.02,18.43,17.89,18.33,0.61,+3.44%,148600
09/30/2022,18.01,18.35,17.68,17.72,-0.21,-1.17%,76500
09/29/2022,18,18.07,17.71,17.93,-0.15,-0.83%,119400
09/28/2022,18.17,18.19,17.91,18.08,-0.01,-0.06%,171000
09/27/2022,17.8,18.22,17.8,18.09,0.38,+2.15%,97300
09/26/2022,17.61,17.93,17.6,17.71,-0.07,-0.39%,88600
09/23/2022,18.01,18.01,17.67,17.78,-0.29,-1.60%,84900
09/22/2022,18.11,18.25,17.98,18.07,-0.21,-1.15%,76200
09/21/2022,18.68,18.81,18.21,18.28,-0.19,-1.03%,161600
09/20/2022,18.78,18.78,18.24,18.47,-0.45,-2.38%,65800
09/19/2022,18.46,19.026,18.46,18.92,0.26,+1.39%,67800
09/16/2022,18.86,18.86,18.27,18.66,-0.39,-2.05%,273700
09/15/2022,19.17,19.32,18.88,19.05,-0.14,-0.73%,66000
09/14/2022,19.27,19.37,18.98,19.19,-0.04,-0.21%,107300
09/13/2022,19.65,19.675,19.16,19.23,-0.71,-3.56%,246300
09/12/2022,20.06,20.1621,19.823,19.94,0.03,+0.15%,57500
09/09/2022,19.82,19.99,19.67,19.91,0.26,+1.32%,48100
09/08/2022,19.83,19.89,19.47,19.65,-0.28,-1.40%,55000
09/07/2022,19.75,19.965,19.44,19.93,0.18,+0.91%,196100
09/06/2022,20.15,20.15,19.59,19.75,-0.43,-2.13%,70636
09/02/2022,20.55,20.635,20.09,20.18,-0.17,-0.84%,69136
09/01/2022,20.53,20.53,20.25,20.35,-0.18,-0.88%,86700
08/31/2022,20.74,20.75,20.34,20.53,-0.22,-1.06%,271900
08/30/2022,21.11,21.24,20.665,20.75,-0.43,-2.03%,76883
08/29/2022,21.11,21.46,21.1003,21.18,-0.12,-0.56%,64200
08/26/2022,22.1,22.145,21.27,21.3,-0.91,-4.10%,69900
08/25/2022,21.66,22.22,21.47,22.21,0.68,+3.16%,77400
08/24/2022,21.67,21.67,21.36,21.53,-0.03,-0.14%,56700
08/23/2022,21.99,22.07,21.54,21.56,-0.51,-2.31%,65000
08/22/2022,22.7,22.7,21.96,22.07,-0.68,-2.99%,160800
08/19/2022,22.67,22.83,22.5,22.75,0.04,+0.18%,132000
08/18/2022,22.24,22.91,22.24,22.71,0.47,+2.11%,81700
08/17/2022,22.4,22.4,22.05,22.24,-0.36,-1.59%,100200
08/16/2022,22.25,22.82,22.22,22.6,0.24,+1.07%,100500
08/15/2022,22.04,22.5,22.04,22.36,0.14,+0.63%,67700
08/12/2022,22.06,22.31,22.01,22.22,0.2,+0.91%,85600
08/11/2022,22.06,22.21,21.97,22.02,0.02,+0.09%,87000
08/10/2022,22.82,22.87,21.55,22,0.42,+1.95%,167200
08/09/2022,21.39,21.66,21.26,21.58,0.04,+0.19%,82800
08/08/2022,21.58,21.69,21.375,21.54,0.02,+0.09%,78100
08/05/2022,21.28,21.62,21.28,21.52,0.04,+0.19%,70800
08/04/2022,22.06,22.06,21.35,21.48,-0.59,-2.67%,75600
08/03/2022,21.65,22.16,21.65,22.07,0.48,+2.22%,99300
08/02/2022,21.75,21.9,21.57,21.59,-0.12,-0.55%,135000
08/01/2022,20.83,21.88,20.83,21.71,0.74,+3.53%,122300
07/29/2022,21.03,21.215,20.955,20.97,-0.1,-0.47%,151000
07/28/2022,20.88,21.17,20.6,21.07,0.1,+0.48%,53900
07/27/2022,20.67,21.155,20.57,20.97,0.44,+2.14%,100901
07/26/2022,20.12,20.53,20.09,20.53,0.45,+2.24%,129700
07/25/2022,20.26,20.36,19.95,20.08,-0.08,-0.40%,239700
07/22/2022,20.37,20.44,19.95,20.16,-0.18,-0.88%,109600
07/21/2022,20.25,20.39,19.89,20.34,-0.04,-0.20%,56000
07/20/2022,20.07,20.46,19.84,20.38,0.3,+1.49%,152700
07/19/2022,19.72,20.17,19.72,20.08,0.43,+2.19%,68303
07/18/2022,19.91,19.91,19.6,19.65,-0.05,-0.25%,66400
07/15/2022,19.73,20.03,19.2601,19.7,0.37,+1.91%,194900
07/14/2022,19.13,19.37,18.95,19.33,-0.03,-0.15%,76100
07/13/2022,19.27,19.51,19.12,19.36,0.01,+0.05%,266100
07/12/2022,19.37,19.54,19.15,19.35,-0.15,-0.77%,98500
07/11/2022,20.07,20.09,19.37,19.5,-0.81,-3.99%,105500
07/08/2022,19.64,20.38,19.63,20.31,0.5,+2.52%,191400
07/07/2022,19.6,19.97,19.55,19.81,0.28,+1.43%,130300
07/06/2022,19.21,19.53,19.09,19.53,0.18,+0.93%,90300
07/05/2022,19.05,19.35,18.88,19.35,0.06,+0.31%,141900
07/01/2022,18.89,19.32,18.81,19.29,0.32,+1.69%,93800
06/30/2022,18.54,19.025,18.37,18.97,0.35,+1.88%,114100
06/29/2022,18.89,18.98,18.52,18.62,-0.2,-1.06%,70500
06/28/2022,19.18,19.55,18.79,18.82,-0.22,-1.16%,111700
06/27/2022,19.15,19.32,18.965,19.04,-0.09,-0.47%,95300
06/24/2022,18.57,19.21,18.5069,19.13,0.67,+3.63%,251800
06/23/2022,18.16,18.535,18.16,18.46,0.16,+0.87%,93100
06/22/2022,18.53,18.8939,18.26,18.3,-0.49,-2.61%,139700
06/21/2022,18.31,19.14,18.28,18.79,0.6,+3.30%,167400
06/17/2022,18.46,18.75,18.15,18.19,-0.27,-1.46%,249200
06/16/2022,18.73,18.73,17.96,18.46,-0.49,-2.59%,146800
06/15/2022,18.99,19.51,18.79,18.95,0.16,+0.85%,145100
06/14/2022,18.99,19.11,18.59,18.79,-0.21,-1.11%,141700
06/13/2022,19.36,19.445,18.9,19,-0.65,-3.31%,133005
06/10/2022,19.75,19.88,19.54,19.65,-0.29,-1.45%,318900
06/09/2022,20.23,20.4699,19.89,19.94,-0.42,-2.06%,66300
06/08/2022,20.65,20.79,20.25,20.36,-0.41,-1.97%,75900
06/07/2022,20.4,20.95,20.4,20.77,0.24,+1.17%,82000
06/06/2022,20.64,20.86,20.4,20.53,0.13,+0.64%,95900
06/03/2022,20.89,20.92,20.37,20.4,-0.55,-2.63%,82800
06/02/2022,20.83,20.99,20.59,20.95,0.15,+0.72%,74100
06/01/2022,20.68,21.07,20.53,20.8,0.31,+1.51%,104300
05/31/2022,19.84,20.6,19.79,20.49,0.64,+3.22%,286200
05/27/2022,19.62,20,19.62,19.85,0.14,+0.71%,80901
05/26/2022,19.41,19.99,19.15,19.71,0.44,+2.28%,148400
05/25/2022,19.46,19.74,19.22,19.27,-0.27,-1.38%,108400
05/24/2022,19.47,20.04,18.81,19.54,0.2,+1.03%,194900
05/23/2022,19.76,19.84,19.26,19.34,-0.44,-2.22%,111300
05/20/2022,20.1,20.1,19.465,19.78,-0.26,-1.30%,82600
05/19/2022,19.83,20.26,19.6,20.04,0.13,+0.65%,176800
05/18/2022,20.73,20.73,19.68,19.91,-0.83,-4.00%,156500
05/17/2022,21.35,21.38,20.69,20.74,-0.38,-1.80%,104100
05/16/2022,21.18,21.335,20.77,21.12,-0.06,-0.28%,118500
05/13/2022,21.73,23.06,21.075,21.18,-0.32,-1.49%,131800
05/12/2022,21.21,21.58,21.02,21.5,0.15,+0.70%,167700
05/11/2022,23.78,23.86,21.28,21.35,-2.43,-10.22%,180800
05/10/2022,23.8,24.075,23.45,23.78,0.02,+0.08%,174000
05/09/2022,23.71,23.955,23.5,23.76,-0.1,-0.42%,126100
05/06/2022,24.08,24.09,23.585,23.86,-0.32,-1.32%,247800
05/05/2022,24.61,24.71,23.86,24.18,-0.6,-2.42%,434400
05/04/2022,24.05,24.78,23.99,24.78,0.73,+3.04%,109100
05/03/2022,23.76,24.1,23.118,24.05,0.3,+1.26%,113317
05/02/2022,23.65,24.2,23.4,23.75,0.26,+1.11%,191300
04/29/2022,24.19,24.19,23.43,23.49,-0.87,-3.57%,234500
04/28/2022,24.1,24.43,23.6,24.36,0.6,+2.53%,173200
04/27/2022,23.85,24.21,23.68,23.76,-0.08,-0.34%,137700
04/26/2022,24.02,24.25,23.72,23.84,-0.19,-0.79%,111000
04/25/2022,24.06,24.15,23.53,24.03,-0.03,-0.12%,123200
04/22/2022,24.05,24.26,23.78,24.06,-0.14,-0.58%,201800
04/21/2022,24.2,24.48,24.1567,24.2,0.08,+0.33%,147900
04/20/2022,24.17,24.4755,24.1,24.12,0.11,+0.46%,194600
04/19/2022,23.56,24.08,23.56,24.01,0.51,+2.17%,129700
04/18/2022,23.59,23.8,23.36,23.5,-0.18,-0.76%,134600
04/14/2022,23.48,23.8498,23.41,23.68,0.26,+1.11%,130401
04/13/2022,23.27,23.5,23.27,23.42,0.08,+0.34%,156900
04/12/2022,23.53,23.75,23.2606,23.34,-0.13,-0.55%,131200
04/11/2022,23.89,24.08,23.45,23.47,-0.41,-1.72%,164100
04/08/2022,23.79,24.06,23.615,23.88,0.09,+0.38%,155100
04/07/2022,23.88,24.02,23.685,23.79,-0.05,-0.21%,282300
04/06/2022,23.65,23.97,23.53,23.84,0.18,+0.76%,155000
04/05/2022,23.65,23.87,23.46,23.66,0.08,+0.34%,114000
04/04/2022,23.56,23.79,23.41,23.58,-0.05,-0.21%,140000
04/01/2022,23,23.65,22.99,23.63,0.57,+2.47%,185600
03/31/2022,22.98,23.21,22.9,23.06,0.07,+0.30%,108900
03/30/2022,23.5,23.97,22.93,22.99,-0.41,-1.75%,90000
03/29/2022,22.94,23.46,22.91,23.4,0.57,+2.50%,155500
03/28/2022,22.95,23.04,22.62,22.83,-0.04,-0.17%,145100
03/25/2022,22.83,22.95,22.42,22.87,0.35,+1.55%,233700
03/24/2022,22.3,22.54,22.13,22.52,0.13,+0.58%,178000
03/23/2022,22.44,22.5945,22.11,22.39,0.08,+0.36%,188900
03/22/2022,22,22.38,22,22.31,0.33,+1.50%,161500
03/21/2022,21.37,22.05,21.29,21.98,0.73,+3.44%,122900
03/18/2022,21.31,21.61,21.1225,21.25,-0.21,-0.98%,225100
03/17/2022,21,21.48,21,21.46,0.35,+1.66%,55302
03/16/2022,21.17,21.35,20.65,21.11,-0.04,-0.19%,93300
03/15/2022,20.98,21.35,20.9,21.15,0.08,+0.38%,163600
03/14/2022,20.8,21.11,20.64,21.07,0.43,+2.08%,243200
03/11/2022,20.86,20.94,20.51,20.64,-0.09,-0.43%,55300
03/10/2022,20.47,20.81,20.29,20.73,0.05,+0.24%,114100
03/09/2022,20.69,20.87,20.5,20.68,0.15,+0.73%,139300
03/08/2022,20.59,20.88,20.4,20.53,-0.07,-0.34%,99300
03/07/2022,20.69,20.85,20.37,20.6,-0.19,-0.91%,89000
03/04/2022,20.51,20.86,20.51,20.79,0.1,+0.48%,77500
03/03/2022,20.42,20.85,20.42,20.69,0.09,+0.44%,79000
03/02/2022,20.02,20.69,20.02,20.6,0.69,+3.47%,73500
03/01/2022,20.65,20.72,19.78,19.91,-0.81,-3.91%,151300
02/28/2022,20.67,20.87,20.535,20.72,-0.07,-0.34%,161800
02/25/2022,20.5,20.87,20.17,20.79,0.29,+1.41%,97500
02/24/2022,19.93,20.56,19.525,20.5,0.1,+0.49%,121300
02/23/2022,17.01,21.36,16.92,20.4,1.34,+7.03%,220600
02/22/2022,19.29,19.69,18.87,19.06,-0.32,-1.65%,70700
02/18/2022,19.16,19.53,19.16,19.38,0.14,+0.73%,78700
02/17/2022,19.18,19.29,19.04,19.24,0.01,+0.05%,77800
02/16/2022,18.87,19.27,18.77,19.23,0.26,+1.37%,50000
02/15/2022,18.89,19.12,18.84,18.97,0.16,+0.85%,50100
02/14/2022,18.79,19.04,18.7163,18.81,-0.02,-0.11%,69100
02/11/2022,19.07,19.1987,18.79,18.83,-0.3,-1.57%,81200
02/10/2022,19.27,19.57,19.0799,19.13,-0.4,-2.05%,77500
02/09/2022,19.34,19.56,19.2401,19.53,0.21,+1.09%,88600
02/08/2022,19.01,19.47,18.95,19.32,0.32,+1.68%,44800
02/07/2022,19.05,19.335,18.79,19,-0.11,-0.58%,64800
02/04/2022,19.23,19.82,18.98,19.11,-0.22,-1.14%,69300
02/03/2022,19.33,19.4095,19.1623,19.33,-0.08,-0.41%,67500
02/02/2022,19.48,19.5799,19.2801,19.41,0.03,+0.15%,61900
02/01/2022,19.21,19.5,18.9988,19.38,0.24,+1.25%,173800
01/31/2022,18.83,19.19,18.49,19.14,0.25,+1.32%,271200
01/28/2022,18.7,18.89,18.35,18.89,0.12,+0.64%,77400
01/27/2022,19.03,19.46,18.64,18.77,-0.22,-1.16%,61100
01/26/2022,19.18,19.53,18.69,18.99,0.01,+0.05%,80900
01/25/2022,19.13,19.24,18.44,18.98,-0.35,-1.81%,100700
01/24/2022,18.75,19.4,18.66,19.33,0.34,+1.79%,90100
01/21/2022,19.03,19.61,18.99,18.99,-0.17,-0.89%,78600
01/20/2022,19.55,19.79,19.07,19.16,-0.3,-1.54%,68300
01/19/2022,19.95,20.02,19.361,19.46,-0.44,-2.21%,75000
01/18/2022,19.74,20,19.66,19.9,0,0.00%,95300
01/14/2022,20.03,20.11,19.565,19.9,-0.29,-1.44%,85610
01/13/2022,20.41,20.4967,20.095,20.19,-0.13,-0.64%,54100
01/12/2022,20.41,20.695,20.2,20.32,-0.08,-0.39%,96126
01/11/2022,20.2,20.465,20.03,20.4,0.2,+0.99%,80400
01/10/2022,19.99,20.24,19.5401,20.2,0.09,+0.45%,64700
01/07/2022,20.85,20.9384,20.08,20.11,-0.78,-3.73%,50700
01/06/2022,20.99,21.13,20.79,20.89,-0.03,-0.14%,45400
01/05/2022,21.26,21.26,20.865,20.92,-0.29,-1.37%,155800
01/04/2022,21.14,21.29,20.98,21.21,0.19,+0.90%,146400
01/03/2022,20.62,21.08,20.61,21.02,0.49,+2.39%,83900
12/31/2021,20.59,20.827,20.31,20.53,-0.14,-0.68%,43000
12/30/2021,20.86,20.96,20.66,20.67,-0.19,-0.91%,46300
12/29/2021,20.85,21,20.7,20.86,0.01,+0.05%,48700
12/28/2021,20.95,21,20.6314,20.85,-0.02,-0.10%,52200
12/27/2021,20.74,20.915,20.555,20.87,0.21,+1.02%,92700
12/23/2021,20.56,20.82,20.4045,20.66,0.23,+1.13%,45400
12/22/2021,19.91,20.46,19.91,20.43,0.52,+2.61%,53600
12/21/2021,19.82,20.16,19.82,19.91,0.27,+1.37%,68800
12/20/2021,19.57,20.02,19.02,19.64,-0.17,-0.86%,93800
12/17/2021,20.18,20.52,19.73,19.81,-0.3,-1.49%,144400
12/16/2021,20.56,20.81,20.05,20.11,-0.36,-1.76%,93300
12/15/2021,20.41,20.6925,20,20.47,0.16,+0.79%,129600
12/14/2021,20.36,20.67,20.08,20.31,-0.16,-0.78%,200000
12/13/2021,20.63,20.67,20.02,20.47,-0.2,-0.97%,106700
12/10/2021,21.07,21.24,20.6,20.67,-0.21,-1.01%,76900
12/09/2021,20.82,20.96,20.68,20.88,-0.02,-0.10%,58700
12/08/2021,20.91,21.005,20.66,20.9,0.01,+0.05%,49000
12/07/2021,20.98,21.26,20.78,20.89,0.15,+0.72%,66900
12/06/2021,20.91,21.5099,20.62,20.74,0.04,+0.19%,57400
12/03/2021,20.94,21.62,19.6449,20.7,-0.16,-0.77%,76500
12/02/2021,20.4,20.87,20.12,20.86,0.48,+2.36%,86800
12/01/2021,20.81,21.04,20.345,20.38,-0.08,-0.39%,94300
11/30/2021,21.13,21.6875,20.45,20.46,-0.85,-3.99%,205200
11/29/2021,21.41,21.8,21.26,21.31,0.17,+0.80%,89100
11/26/2021,21.96,22.11,21.11,21.14,-1.22,-5.46%,75700
11/24/2021,22.2,22.53,21.91,22.36,0.12,+0.54%,61010
11/23/2021,21.99,22.35,21.63,22.24,0.26,+1.18%,135000
11/22/2021,21.85,22.115,21.69,21.98,0.28,+1.29%,125200
11/19/2021,21.33,21.74,21.33,21.7,0.26,+1.21%,62300
11/18/2021,21.74,21.74,21.27,21.44,-0.19,-0.88%,75000
11/17/2021,21.87,21.87,21.46,21.63,-0.24,-1.10%,63300
11/16/2021,22.05,22.2089,21.696,21.87,-0.11,-0.50%,52900
11/15/2021,22.15,22.86,21.6,21.98,-0.06,-0.27%,77900
11/12/2021,22.13,22.59,21.96,22.04,0.04,+0.18%,146900
11/11/2021,22.59,22.59,21.81,22,0.01,+0.05%,107900
11/10/2021,21.99,23.3,21.5267,21.99,0.29,+1.34%,133000
11/09/2021,21.68,21.83,21.38,21.7,0.01,+0.05%,71100
11/08/2021,21.73,21.91,21.5,21.69,0.02,+0.09%,50600
11/05/2021,21.26,21.78,21.26,21.67,0.52,+2.46%,73300
11/04/2021,21.66,21.66,21.01,21.15,-0.41,-1.90%,63100
11/03/2021,21,21.64,20.95,21.56,0.49,+2.33%,71400
11/02/2021,21.1,21.24,20.9237,21.07,-0.03,-0.14%,54400
11/01/2021,21.23,21.38,20.89,21.1,-0.04,-0.19%,91700
10/29/2021,21,21.18,20.93,21.14,0.14,+0.67%,53400
10/28/2021,21.32,21.54,20.73,21,-0.27,-1.27%,79400
10/27/2021,21.15,21.53,21,21.27,0.05,+0.24%,60600
10/26/2021,21.49,21.49,21.17,21.22,-0.26,-1.21%,39700
10/25/2021,21.36,21.5985,21.2454,21.48,0.17,+0.80%,70900
10/22/2021,21.31,21.48,21.12,21.31,0.14,+0.66%,53600
10/21/2021,21.07,21.24,20.91,21.17,0.11,+0.52%,70400
10/20/2021,20.78,21.15,20.7128,21.06,0.28,+1.35%,71000
10/19/2021,20.58,20.8,20.46,20.78,0.2,+0.97%,46400
10/18/2021,20.59,20.64,20.37,20.58,-0.04,-0.19%,39900
10/15/2021,20.7,20.74,20.25,20.62,0.11,+0.54%,112600
10/14/2021,20.44,20.67,20.4,20.51,0.26,+1.28%,78400
10/13/2021,20.35,20.5,19.93,20.25,-0.09,-0.44%,47100
10/12/2021,20.29,20.38,20.0202,20.34,0,0.00%,70200
10/11/2021,20.63,20.64,20.23,20.34,-0.27,-1.31%,77600
10/08/2021,20.75,20.8,20.43,20.61,-0.12,-0.58%,55965
10/07/2021,20.64,20.94,20.4717,20.73,0.21,+1.02%,52500
10/06/2021,20.33,20.5601,20.33,20.52,-0.02,-0.10%,76900
10/05/2021,20.22,20.5502,19.97,20.54,0.37,+1.83%,57100
10/04/2021,20.22,20.38,19.96,20.17,-0.04,-0.20%,77700
10/01/2021,19.77,20.29,19.67,20.21,0.59,+3.01%,74600
09/30/2021,19.83,19.85,19.62,19.62,-0.14,-0.71%,93200
09/29/2021,19.68,19.91,19.5087,19.76,0.16,+0.82%,73800
09/28/2021,19.75,19.8,19.495,19.6,-0.25,-1.26%,95100
09/27/2021,19.34,19.945,19.25,19.85,0.51,+2.64%,109700
09/24/2021,19.31,19.47,19.25,19.34,-0.04,-0.21%,78200
09/23/2021,18.93,19.46,18.93,19.38,0.29,+1.52%,89200
09/22/2021,18.81,19.09,18.735,19.09,0.4,+2.14%,74000
09/21/2021,18.67,18.85,18.55,18.69,0.01,+0.05%,79600
09/20/2021,18.35,18.85,18.23,18.68,0.14,+0.76%,109900
09/17/2021,19.15,19.315,18.51,18.54,-0.69,-3.59%,733700
09/16/2021,19.37,19.37,19.08,19.23,-0.05,-0.26%,67700
09/15/2021,19.48,19.631,19.19,19.28,-0.24,-1.23%,98300
09/14/2021,19.47,19.63,19.22,19.52,0.05,+0.26%,105200
09/13/2021,20.17,20.17,19.09,19.47,-0.66,-3.28%,207200
09/10/2021,20.61,20.61,20.1,20.13,-0.39,-1.90%,70100
09/09/2021,20.33,20.68,20.155,20.52,0.14,+0.69%,82100
09/08/2021,20.34,20.56,20.31,20.38,-0.06,-0.29%,128600
09/07/2021,20.25,20.47,20.19,20.44,0.2,+0.99%,91900
09/03/2021,20.08,20.32,19.93,20.24,0.23,+1.15%,90100
09/02/2021,19.6,20.26,19.42,20.01,0.42,+2.14%,122600
09/01/2021,19.66,19.72,19.43,19.59,-0.01,-0.05%,62700
08/31/2021,19.4,19.85,19.33,19.6,0.27,+1.40%,193000
08/30/2021,19.48,19.58,19.195,19.33,-0.15,-0.77%,59400
08/27/2021,19.52,19.7075,19.3501,19.48,0.03,+0.15%,64200
08/26/2021,19.61,19.69,19.41,19.45,-0.16,-0.82%,77600
08/25/2021,19.4,19.66,19.284,19.61,0.3,+1.55%,82900
08/24/2021,19.7,19.7,19.15,19.31,-0.36,-1.83%,80900
08/23/2021,19.26,19.7,19.23,19.67,0.58,+3.04%,107000
08/20/2021,19.28,19.565,18.78,19.09,0.08,+0.42%,216900
08/19/2021,18.87,19.1587,18.75,19.01,-0.05,-0.26%,83700
08/18/2021,18.99,19.7,18.97,19.06,0.07,+0.37%,155300
08/17/2021,18.73,19.02,18.515,18.99,0.2,+1.06%,172100
08/16/2021,18.56,18.86,18.23,18.79,0.11,+0.59%,119000
08/13/2021,19.22,19.25,18.4601,18.68,-0.35,-1.84%,166000
08/12/2021,18.24,19.165,17.6501,19.03,0.93,+5.14%,336300
08/11/2021,17.89,18.3506,17.66,18.1,0.45,+2.55%,200300
